c,bE,aE,bP,aP,bS,aS,t
0,8,8,20.79,24,8,2,1539946800074
0,8,11,20.79,23.7,8,2,1539946809073
0,11,11,22.7,23.7,1,2,1539946937552
0,8,11,20.79,23.7,8,2,1539947454696
0,11,11,22.75,23.7,1,2,1539947454698
0,11,11,22.75,22.8,1,10,1539947486510
0,11,11,22.75,23.7,1,2,1539947486771
0,8,11,20.79,23.7,8,2,1539947645913
0,11,11,22.8,23.7,1,2,1539947645915
0,11,11,22.8,23.95,1,2,1539949395802
0,12,11,23.7,23.95,1,2,1539949395803
0,12,11,23.7,23.95,1,2,1539949432510
0,11,11,22.8,23.95,1,2,1539949432510
0,12,18,23.7,23.9,1,1,1539949432510
0,12,12,23.7,23.85,1,1,1539949456181
0,11,18,22.8,23.82,1,1,1539949460149
0,11,12,22.8,23.85,1,1,1539949460149
0,12,18,23.7,23.82,1,1,1539949460149
0,12,12,23.7,23.82,1,1,1539949460298
0,12,12,23.7,23.85,1,1,1539949460304
0,12,8,23.7,23.8,1,2,1539950133100
0,12,12,23.7,23.85,1,1,1539950176820
0,12,11,23.7,23.75,1,2,1539950177025
0,12,12,23.7,23.85,1,1,1539950193514
0,11,12,23,23.82,1,1,1539950274051
0,12,19,23.7,23.82,1,1,1539950274051
0,11,12,23,23.85,1,1,1539950274051
0,12,12,23.7,23.82,1,1,1539950274109
0,12,12,23.7,23.85,1,1,1539950274195
0,12,12,23.7,23.85,1,1,1539950276184
0,11,12,23,23.85,1,1,1539950276184
0,11,12,23,23.82,1,1,1539950762969
0,11,12,23,23.85,1,1,1539950762969
0,12,12,23.7,23.82,1,2,1539950762969
0,11,12,23,23.82,1,2,1539950762969
0,12,17,23.7,23.81,1,1,1539950762969
0,12,12,23.7,23.82,1,1,1539950763113
0,12,17,23.7,23.82,1,1,1539950763130
0,12,12,23.7,23.85,1,1,1539950763531
0,11,12,23.72,23.85,1,1,1539950771976
0,19,12,23.72,23.85,1,1,1539950954750
0,8,12,23.72,23.85,1,1,1539951201657
0,12,19,23.72,23.82,1,1,1539951201657
0,12,12,23.72,23.85,1,1,1539951201657
0,12,19,23.7,23.82,1,2,1539951201657
0,12,19,23.72,23.82,1,2,1539951201657
0,11,19,23,23.79,1,1,1539951201658
0,11,12,23,23.79,1,1,1539951201658
0,11,11,23,23.7,1,1,1539951201658
0,12,19,23.7,23.79,1,1,1539951201658
0,12,12,23.7,23.79,1,1,1539951201658
0,12,11,23.7,23.7,1,1,1539951201658
0,11,19,23,23.77,1,1,1539951201658
0,12,19,23.7,23.75,1,1,1539951201658
0,12,19,23.7,23.77,1,1,1539951201658
0,12,19,23.7,23.77,1,1,1539951201658
0,11,19,23,23.75,1,1,1539951201658
0,12,19,23.7,23.75,1,1,1539951201658
0,11,11,23,23.7,1,1,1539951201659
0,11,19,23,23.75,1,1,1539951201659
0,12,19,23.7,23.75,1,1,1539951201660
0,12,11,23.7,23.7,1,1,1539951201660
0,11,19,23,23.75,1,1,1539951201660
0,11,11,23,23.7,1,1,1539951201661
0,11,19,23,23.75,1,1,1539951201661
0,12,19,23.7,23.75,1,1,1539951201663
0,12,19,23.7,23.74,1,1,1539951201841
0,12,19,23.7,23.74,1,1,1539951201841
0,11,19,23,23.74,1,1,1539951201841
0,12,12,23.7,23.74,1,1,1539951201917
0,12,12,23.7,23.85,1,1,1539951202261
0,12,19,23.7,23.79,1,1,1539951231344
0,12,19,23.7,23.82,1,1,1539951231344
0,12,19,23.7,23.79,1,1,1539951231344
0,11,19,23,23.79,1,1,1539951231344
0,12,19,23.7,23.79,1,1,1539951231344
0,11,19,23,23.79,1,1,1539951231344
0,11,19,23,23.77,1,1,1539951231345
0,12,19,23.7,23.77,1,1,1539951231345
0,12,19,23.7,23.77,1,1,1539951231345
0,12,17,23.7,23.82,1,1,1539951231518
0,12,12,23.7,23.85,1,1,1539951231577
0,11,17,23,23.82,1,1,1539951364319
0,12,17,23.7,23.82,1,1,1539951364319
0,12,17,23.7,23.82,1,1,1539951364319
0,12,12,23.7,23.85,1,1,1539951364524
0,12,11,23.7,23.7,1,9,1539951403947
0,12,12,23.7,23.85,1,1,1539951403948
0,11,12,23,23.85,1,1,1539951403948
0,11,11,23,23.7,1,1,1539951403948
0,12,12,23.7,23.85,1,1,1539951403949
0,11,12,23,23.85,1,1,1539951403949
0,11,12,23,23.85,1,1,1539951403949
0,11,11,23,23.7,1,1,1539951403950
0,12,12,23.7,23.85,1,1,1539951403950
0,12,11,23.7,23.7,1,1,1539951403950
0,12,19,23.7,23.82,1,1,1539951403951
0,11,19,23,23.82,1,1,1539951403951
0,11,19,23,23.82,1,1,1539951403951
0,12,19,23.7,23.82,1,1,1539951403951
0,12,19,23.7,23.82,1,1,1539951403952
0,12,17,23.7,23.82,1,1,1539951404120
0,12,12,23.7,23.82,1,1,1539951404143
0,12,12,23.7,23.85,1,1,1539951404143
0,11,19,23,23.82,1,1,1539951412415
0,11,12,23,23.85,1,1,1539951412415
0,12,19,23.7,23.82,1,1,1539951412415
0,12,12,23.7,23.82,1,1,1539951412520
0,12,17,23.7,23.82,1,1,1539951412552
0,12,12,23.7,23.85,1,1,1539951412752
0,12,12,23.71,23.85,1,1,1539951425863
0,19,11,23.74,24.2,1,2,1539951429864
0,19,12,23.74,23.85,1,1,1539951429864
0,19,12,23.74,23.85,1,1,1539951429864
0,19,11,23.74,24.2,1,2,1539951429865
0,19,12,23.77,23.85,1,1,1539951429865
0,19,11,23.77,24.2,1,2,1539951429865
0,12,12,23.77,23.85,1,1,1539951429865
0,17,12,23.74,23.85,1,1,1539951429961
0,12,12,23.71,23.85,1,1,1539951430361
0,12,19,23.71,23.8,1,1,1539951434674
0,12,19,23.71,23.8,1,1,1539951448824
0,12,19,23.7,23.8,1,1,1539951448824
0,12,19,23.71,23.8,1,1,1539951567742
0,12,19,23.7,23.8,1,1,1539951567742
0,12,11,23.71,23.75,1,10,1539951641032
0,12,11,23.71,23.71,1,4,1539951650135
0,12,11,23.7,23.75,1,10,1539951650136
0,12,11,23.71,23.75,1,10,1539951650136
0,12,11,23.7,23.71,1,1,1539951650136
0,12,11,23.71,23.71,1,1,1539951650137
0,12,11,23.71,23.75,1,10,1539951650137
0,12,11,23.7,23.75,1,10,1539951650137
0,12,11,23.7,23.75,1,10,1539951650138
0,12,11,23.7,23.71,1,1,1539951650138
0,12,11,23.71,23.75,1,10,1539951650138
0,12,11,23.7,23.75,1,10,1539951650139
0,12,11,23.7,23.71,1,1,1539951650139
0,12,11,23.7,23.75,1,10,1539951650140
0,12,11,23.7,23.75,1,10,1539951650140
0,12,11,23.71,23.75,1,10,1539951650140
0,12,11,23.7,23.75,1,10,1539951650141
0,12,11,23.7,23.71,1,1,1539951650141
0,12,11,23.71,23.75,1,10,1539951650141
0,12,11,23.7,23.75,1,10,1539951650142
0,12,11,23.7,23.71,1,1,1539951650142
0,12,11,23.71,23.71,1,1,1539951650143
