c,bE,aE,bP,aP,bS,aS,t
0,11,11,37.5,44.68,2,1,1538652471252
0,11,11,37.5,42.26,2,1,1538653410299
0,11,11,37.5,42.26,2,2,1538653744029
0,11,12,37.5,42,2,1,1538654064673
0,11,8,37.5,41.89,2,1,1538654403873
0,11,8,37.5,41.89,2,2,1538654576073
0,11,12,37.5,42,2,1,1538655177268
0,11,8,37.5,41.89,2,1,1538655177268
0,11,11,37.5,42.05,2,1,1538655224675
0,11,12,37.5,41.9,2,3,1538655280879
0,11,8,37.5,41.89,2,1,1538655308078
0,11,12,37.5,41.9,2,3,1538655364438
0,11,12,38.25,41.9,2,3,1538655593070
0,11,12,38.25,41.8,2,1,1538655629546
0,11,12,38.25,41.8,2,2,1538655630075
0,11,11,38.25,41.75,2,1,1538655764778
0,11,12,38.25,41.8,2,2,1538655785437
0,11,11,38.25,41.7,2,1,1538655789706
0,11,8,38.25,41.7,2,1,1538656063303
0,11,12,38.25,41.8,2,2,1538656065164
0,11,12,38.25,41.8,2,1,1538656100325
0,11,11,38.25,41.9,2,1,1538656100500
0,11,11,41.6,41.9,1,1,1538656107132
0,11,11,38.25,41.9,2,1,1538656141761
0,11,12,38.25,41,2,3,1538656447755
0,11,11,38.25,41.9,2,1,1538657260473
0,11,12,38.25,42,2,2,1538657376021
0,11,12,38.25,41.8,2,1,1538657376024
0,11,12,38.25,41.75,2,2,1538658255122
0,11,12,38.25,41.75,2,3,1538658284404
0,12,12,39.05,41.75,1,3,1538658595602
0,12,12,39.05,41.75,1,1,1538658611856
0,12,12,39.05,41.9,1,2,1538659039119
0,12,12,39.05,41.9,1,3,1538659056676
0,12,11,39.05,41.75,1,1,1538659326373
0,12,11,39.05,41.49,1,1,1538659565814
0,12,11,39.05,41.49,1,1,1538659800332
0,12,11,39.05,41.49,2,1,1538659800475
0,19,11,39.15,41.49,1,1,1538659801106
0,12,11,39.05,41.49,2,1,1538659801127
0,12,12,39.05,41.49,2,2,1538659801505
0,19,12,39.15,41.49,1,2,1538659802501
0,12,12,39.05,41.49,2,2,1538659802524
0,12,12,39.12,41.49,1,2,1538659811211
0,12,12,39.12,41.49,2,2,1538659812896
0,12,12,41,41.49,1,2,1538659840694
0,12,12,40.96,41.49,1,2,1538659840694
0,12,12,40.96,41.49,1,2,1538659840694
0,12,12,39.12,41.49,3,2,1538659840695
0,12,12,39.12,41,2,1,1538659840695
0,12,12,39.12,41.49,2,2,1538659840695
0,12,12,39.12,41,3,1,1538659840696
0,12,12,39.12,41,2,1,1538659840709
0,12,19,39.12,41.15,2,1,1538659841366
0,12,12,39.12,41.49,2,2,1538659841367
0,11,12,40.96,41.49,1,2,1538659847833
0,12,12,39.12,41.49,2,2,1538659847929
