c,bE,aE,bP,aP,bS,aS,t
0,12,11,1.01,539.3,50,1,1539936000050
0,11,11,435.57,539.3,1,1,1539936000051
0,11,11,473.35,539.3,1,1,1539936000051
0,11,11,447.39,539.3,1,1,1539936000051
0,11,11,460.29,539.3,1,1,1539936000051
0,11,11,475,539.3,1,1,1539936000051
0,11,11,500,539.3,1,1,1539936000052
0,11,11,500.11,539.3,1,1,1539936000052
0,11,11,485.93,539.3,1,1,1539936000052
0,11,11,505.81,539.3,1,1,1539936000052
0,11,11,500.11,539.3,1,1,1539936179663
0,11,11,525,539.3,2,1,1539936937453
0,11,11,510,539.3,1,1,1539937315735
0,11,11,500,539.3,1,1,1539937318843
0,11,11,523,539.3,1,1,1539938217750
0,11,11,531,539.3,1,1,1539939588237
0,11,11,523,539.3,1,1,1539939601701
0,11,11,532,539.3,1,1,1539939603626
0,11,11,534,539.3,3,1,1539939980599
0,11,11,532,539.3,1,1,1539939986364
0,11,11,523,539.3,1,1,1539943735370
0,11,11,531.2,539.3,1,1,1539943735375
0,11,11,532,539.3,1,1,1539944873479
0,8,11,532.1,539.3,2,1,1539946800002
0,8,11,532.1,538,2,1,1539946809440
0,8,11,532.1,538,1,1,1539946852395
0,8,8,532.1,537.99,1,5,1539946853905
0,8,11,532.1,538,1,1,1539946887796
0,12,11,532.75,538,1,1,1539946892557
0,12,12,532.75,536.99,1,1,1539947103891
0,11,12,534,536.99,1,1,1539947964488
0,12,12,532.75,536.99,1,1,1539948224606
0,12,8,532.75,536.98,1,1,1539948546061
0,11,8,535,536.98,1,1,1539948603855
0,11,12,535,536.99,1,1,1539948650216
0,12,12,532.75,536.99,1,1,1539948748029
0,12,12,532.75,535,1,3,1539948748036
0,8,12,533.05,535,1,3,1539948904075
0,12,12,532.75,535,1,3,1539949398980
0,12,11,532.75,534.99,1,1,1539949456360
0,10,11,534,534.99,1,1,1539949477076
0,10,12,534,534.94,1,2,1539949519871
0,10,11,534,534.99,1,1,1539949520737
0,10,12,534,535,1,3,1539949591151
0,10,12,534,535,1,2,1539949600556
0,8,12,534.01,535,1,2,1539949639787
0,8,12,534.01,537.13,1,2,1539949754832
0,11,12,535,537.13,2,2,1539949756036
0,11,12,535,537.13,1,2,1539949756046
0,8,12,534.01,537.13,1,2,1539949757517
0,10,12,535,537.13,1,2,1539950183445
0,10,12,536,537.13,2,2,1539950452819
0,10,12,536,537.13,1,2,1539950452820
0,10,11,536,536.99,1,1,1539950487030
0,10,12,536,537.13,1,2,1539950588004
0,10,11,536,539.3,1,1,1539950684254
0,8,11,536.5,539.3,1,1,1539950701682
0,10,11,536,539.3,1,1,1539950728922
0,8,11,536.05,539.3,1,1,1539950744819
0,11,11,537.25,539.3,1,1,1539950755535
0,11,11,537.25,539.11,1,1,1539950785529
0,11,11,537.25,539.11,1,2,1539951008561
0,11,11,537.25,539,1,1,1539951201063
0,11,11,537.25,538.5,1,2,1539951336834
0,11,11,537.25,539.11,1,1,1539951422345
0,12,11,538.5,539.11,1,1,1539951422350
0,11,11,537.25,539.11,1,1,1539951422350
0,11,11,538.5,539.11,1,1,1539951422351
0,11,11,538.5,539.3,1,1,1539951437910
0,12,11,538.51,539.3,1,1,1539951441079
0,11,11,538.5,539.3,1,1,1539951442639
0,11,11,538.51,539.3,1,1,1539951442639
0,11,11,537.25,539.3,2,1,1539951464078
0,11,11,537.25,539.3,1,1,1539951464144
0,11,11,537.25,539,1,1,1539951486631
0,11,11,537.25,539.3,1,1,1539951794947
0,11,12,537.25,538,1,2,1539951800599
0,11,12,537.25,538,1,1,1539951802815
0,11,11,537.25,539.3,1,1,1539951804715
0,10,11,539,539.3,5,1,1539952124140
0,10,11,539,539.3,4,1,1539952124140
0,10,11,539,539.3,3,1,1539952124140
0,11,11,537.25,539.3,1,1,1539952151350
0,11,11,537.25,539.96,1,10,1539952151356
0,11,11,537.25,539.96,1,3,1539952151360
0,8,11,537.26,539.96,2,3,1539952158786
0,12,11,537.31,539.96,1,3,1539952167948
0,8,11,537.26,539.96,2,3,1539952169608
0,11,11,537.75,539.96,1,3,1539952191340
0,11,11,537.75,539.9,1,1,1539952192330
0,11,11,537.75,539.85,1,1,1539952254028
0,8,11,537.76,539.85,2,1,1539952259251
0,8,11,537.76,539.85,2,1,1539952271948
0,8,11,539.75,539.85,1,1,1539952271948
0,8,11,537.76,539.9,2,1,1539952273126
0,8,11,537.76,539.96,2,4,1539952274270
0,8,11,537.76,539.7,2,1,1539952274372
0,11,11,538.9,539.7,1,1,1539952288782
0,11,11,537.75,539.7,1,1,1539952324444
0,11,11,539.47,539.7,1,1,1539952324692
0,11,11,537.75,539.7,1,1,1539952328161
0,11,11,537.76,539.7,2,1,1539952332461
0,11,11,537.75,539.7,1,1,1539952333664
0,8,11,537.76,539.7,2,1,1539952334131
0,8,11,537.76,539.96,2,4,1539952335717
0,11,11,537.75,539.96,1,4,1539952336297
0,8,11,537.76,539.96,3,4,1539952336818
0,12,11,538.01,539.96,1,4,1539952339514
0,8,11,537.76,539.96,3,4,1539952345183
0,11,11,539.1,539.96,10,4,1539952350005
0,11,11,539.1,539.96,10,3,1539952351252
0,11,11,539.1,539.96,10,2,1539952351420
0,11,11,539.1,543,10,1,1539952351421
0,11,11,539.96,543,1,1,1539952351621
0,11,11,539.1,543,10,1,1539952352381
0,11,11,539.15,543,1,1,1539952354143
0,11,8,539.15,542.99,1,3,1539952355363
0,11,8,540.15,542.99,1,3,1539952358796
0,11,11,540.15,543,1,1,1539952375156
0,11,8,540.15,542.99,1,2,1539952377580
0,11,11,540.15,543,1,1,1539952382836
0,11,18,540.15,542.99,1,2,1539952385696
0,11,18,540.16,542.99,1,2,1539952388111
0,11,11,540.16,543,1,1,1539952389144
0,11,11,540.18,543,1,1,1539952402652
0,11,8,540.18,542.95,1,1,1539952428322
0,11,8,540.16,542.95,1,1,1539952440133
0,11,8,540.16,542.94,1,2,1539952520451
0,11,11,540.16,542.75,1,1,1539952526161
0,11,11,540.16,542.94,1,1,1539952558347
0,11,11,539.15,542.94,1,1,1539952558637
0,11,8,539.15,542.93,1,2,1539952615429
0,11,11,539.15,542.94,1,1,1539952636784
0,11,2,539.15,542.93,1,2,1539952639618
0,11,11,539.15,542.94,1,1,1539952640335
0,11,17,539.15,542.93,1,2,1539952642857
0,8,17,540.21,542.93,2,2,1539952655852
0,8,11,540.21,542.75,2,1,1539952842655
0,8,17,540.21,542.93,2,2,1539952843744
0,8,11,540.21,542.75,2,1,1539952845889
0,8,8,540.21,542.74,2,2,1539952850655
0,8,12,540.21,542.95,2,1,1539953017354
0,8,12,540.3,542.95,1,1,1539953032471
0,8,8,540.3,542.94,1,2,1539953038434
0,8,12,540.3,542.95,1,1,1539953039814
0,8,8,540.3,542.94,1,2,1539953041655
0,8,12,540.3,542.95,1,1,1539953042035
0,8,18,540.3,542.94,1,2,1539953043555
0,8,18,540.21,542.94,2,2,1539953052755
0,12,18,540.3,542.94,1,2,1539953128839
0,8,18,540.21,542.94,2,2,1539953163895
0,11,18,539.15,542.94,1,2,1539953183038
0,8,18,539.25,542.94,1,2,1539953195517
0,8,12,539.25,540.5,1,2,1539953236173
0,8,18,539.25,542.94,1,2,1539953269164
0,8,12,539.25,540,1,2,1539953269165
0,12,12,539.26,540,2,2,1539953281059
0,12,12,539.26,540,4,2,1539953281216
0,12,12,539.26,540,2,2,1539953281515
0,12,12,539.27,540,2,2,1539953281516
0,12,12,539.27,540,4,2,1539953281697
0,12,12,539.27,540,2,2,1539953281977
0,12,12,539.28,540,2,2,1539953281979
0,12,12,539.26,540,1,2,1539953283053
0,12,12,539.27,540,2,2,1539953283053
0,8,12,539.25,540,1,2,1539953283053
0,12,12,539.26,540,1,2,1539953285218
0,12,12,539.26,540,2,2,1539953285218
