c,bE,aE,bP,aP,bS,aS,t
0,11,11,101.21,119.6,1,2,1539682130831
0,11,11,103,119.6,2,2,1539682172483
10,12,0,103,,2,,1539685890307
10,11,0,101.21,,1,,1539685916350
10,12,0,103,,2,,1539685916351
0,12,8,103,139.5,2,1,1539687600107
0,11,8,101.21,139.5,1,1,1539687600109
10,0,8,,139.5,,1,1539687600109
0,8,8,103,139.5,2,1,1539687600112
0,8,11,103,139,2,2,1539687600431
0,8,11,103,130,2,1,1539687603265
0,11,11,105.5,130,1,1,1539687603598
0,11,11,110,130,2,1,1539687937834
0,11,12,110,113.5,2,1,1539688585904
0,12,12,112,113.5,2,1,1539688958399
0,11,12,112.25,113.5,1,1,1539690030407
0,11,12,112.25,113.49,1,2,1539690163390
0,11,11,112.25,113.42,1,5,1539690406217
0,12,11,112.3,113.42,1,5,1539690986856
0,12,11,112.3,113.42,2,5,1539691011008
0,12,11,112.3,113.42,1,5,1539691086043
0,12,11,112.3,113.42,3,5,1539691463616
0,12,12,112.3,113.5,3,1,1539691499559
0,12,11,112.3,113.12,3,8,1539691798363
0,12,8,112.3,113.12,3,10,1539692040628
0,12,11,112.3,113,3,3,1539692189445
0,12,11,112.3,113,3,13,1539692382061
0,12,11,112.3,113,3,10,1539692625456
0,12,11,112.3,112.99,3,8,1539692759333
0,12,11,112.3,112.75,3,3,1539692920781
0,12,11,112.3,112.74,3,8,1539692964907
0,12,11,112.3,112.74,3,18,1539693105495
0,12,11,112.52,112.74,2,18,1539694021306
0,12,11,112.3,112.74,3,18,1539694025722
0,12,11,112.63,112.74,2,18,1539694025724
0,12,11,112.63,112.74,2,8,1539694163432
0,12,11,112.63,112.74,2,7,1539694163436
0,12,11,112.63,112.74,2,5,1539694190510
0,12,11,112.63,112.74,2,3,1539694190513
0,12,11,112.63,112.74,2,2,1539694191668
0,12,11,112.63,112.74,2,1,1539694192029
0,12,12,112.63,113.5,2,1,1539694192645
0,12,18,112.81,115.77,1,1,1539695759556
0,12,18,112.63,115.77,2,1,1539695759556
0,17,18,112.85,115.77,1,1,1539695759556
0,17,12,112.85,113.5,1,1,1539695759556
0,12,12,112.81,113.5,1,1,1539696118015
0,12,12,112.63,113.5,2,1,1539696118015
0,7,12,112.81,113.5,1,1,1539696118015
0,12,12,112.63,113.5,2,1,1539696600535
0,12,12,112.63,113.71,2,1,1539696600759
0,11,12,112.92,113.71,3,1,1539696600760
0,11,12,112.92,113.5,3,1,1539696600762
0,12,12,112.63,113.5,2,1,1539696600824
0,12,8,112.63,113.47,2,20,1539696601131
0,12,8,112.63,113.47,3,20,1539696601172
0,12,8,112.63,113.47,2,20,1539696601277
0,12,8,112.92,113.47,1,20,1539696601317
0,11,8,112.92,113.47,2,20,1539696601495
0,12,8,112.92,113.47,3,20,1539696601675
0,12,8,112.92,113.47,4,20,1539696601842
0,12,8,112.92,113.47,4,19,1539696602016
0,11,8,112.92,113.47,3,19,1539696602538
0,12,8,113.46,113.47,1,19,1539696603724
0,12,8,113.46,113.47,1,7,1539696603724
0,12,8,113.46,113.47,1,18,1539696603724
0,12,8,113.46,113.47,1,8,1539696603724
0,12,8,113.46,113.47,1,17,1539696603724
