c,bE,aE,bP,aP,bS,aS,t
0,11,11,29.81,30.17,5,10,1537833600012
0,11,11,1.02,30.48,1,2,1537862400030
0,11,11,1.03,30.48,100,2,1537864179530
0,11,11,1.03,30.6,100,2,1537866350307
0,11,11,1.03,30.7,100,2,1537866356802
0,11,11,1.03,33,100,2,1537866375109
0,11,11,1.03,31.8,100,2,1537866637504
0,8,8,30.09,31,15,10,1537873200113
0,8,11,30.09,30.9,15,1,1537873200532
0,8,11,30.09,30.72,15,2,1537873200976
0,8,11,30.09,30.49,15,2,1537873200977
0,8,11,29.85,30.49,1,2,1537873568627
0,11,11,30.12,30.49,15,2,1537873624773
0,8,11,29.85,30.49,1,2,1537873985412
0,11,11,30.25,30.49,10,2,1537874522463
0,11,11,30.26,30.49,3,2,1537874577068
0,11,11,30.26,30.72,3,2,1537874689617
0,11,11,30.5,30.72,8,2,1537874690597
0,11,11,30.5,30.72,7,2,1537874721556
0,11,11,30.55,30.72,3,2,1537875333525
0,11,11,30.55,30.72,2,2,1537875441082
0,11,11,30.55,30.72,2,1,1537875935777
0,11,11,30.55,30.72,1,1,1537876415250
0,11,11,30.55,30.9,1,1,1537876420729
0,11,11,30.72,30.9,3,1,1537876421700
0,11,11,30.72,31.5,3,2,1537876500167
0,11,8,30.72,31,3,10,1537876500167
0,11,11,30.72,31.8,3,3,1537876535435
0,8,11,31,31.8,5,3,1537876542905
0,11,11,31.1,31.8,3,3,1537876548428
0,11,11,31.1,31.8,3,2,1537876551828
0,11,11,31.1,31.8,3,3,1537876593860
0,11,11,31.12,31.8,9,3,1537876690090
0,11,11,31.12,31.5,9,1,1537876697370
0,11,11,31.12,31.6,9,1,1537876719106
0,11,11,31.12,31.6,6,1,1537876729334
0,11,11,31.12,31.6,5,1,1537876730940
0,12,11,31.13,31.6,1,1,1537876748288
0,11,11,31.12,31.6,5,1,1537876753437
0,11,11,31.12,31.6,8,1,1537876788581
0,11,11,31.2,31.6,2,1,1537876800433
0,11,11,31.2,31.6,4,1,1537876824865
0,11,11,31.2,31.5,4,47,1537876829996
0,11,11,31.2,31.5,1,47,1537876840953
0,11,11,31.3,31.5,2,47,1537876841045
0,11,7,31.3,31.46,1,1,1537876847973
0,11,11,31.3,31.5,1,47,1537876847973
0,11,7,31.2,31.46,1,1,1537876853667
0,11,18,31.2,31.42,1,1,1537876853668
0,8,11,31.3,31.5,3,47,1537876861615
0,8,18,31.3,31.42,3,1,1537876861615
0,8,8,31.3,31.42,3,1,1537876867621
0,11,8,31.2,31.42,1,1,1537876868228
0,11,8,31.1,31.42,1,1,1537876885264
0,11,18,31.1,31.37,1,1,1537876885264
0,11,18,30.72,31.37,3,1,1537876886563
0,11,7,30.72,31.37,3,1,1537876886564
0,11,8,30.72,31.42,3,1,1537876886564
0,11,8,30.72,31.42,2,1,1537876886982
0,11,12,30.72,31.41,2,1,1537876893517
0,11,8,30.72,31.42,2,1,1537876906105
0,11,11,30.72,31.43,2,47,1537876918290
0,11,8,30.72,31.35,2,1,1537876918393
0,11,11,30.72,31.32,2,9,1537876962648
0,11,11,30.72,31.32,2,10,1537877086805
0,11,11,30.72,31.32,2,20,1537877150075
0,11,11,30.72,31.32,2,19,1537877156518
0,11,11,30.72,31.2,2,1,1537877156611
0,11,11,30.72,31.2,2,21,1537877173821
0,11,11,30.72,31.2,2,20,1537877184593
0,11,11,30.72,31,2,1,1537877184691
0,11,11,30.72,31,1,1,1537877196820
0,11,18,30.72,30.94,1,1,1537877196821
0,11,18,30.1,30.94,4,1,1537877197481
0,11,11,30.1,31,4,1,1537877197481
0,11,11,30.1,30.72,4,28,1537877197750
0,11,11,30.1,30.97,4,1,1537877206618
0,11,11,30.1,30.5,4,1,1537877215964
0,11,11,30.1,30.97,4,1,1537877249094
0,11,11,30.5,30.97,2,1,1537877249753
0,11,11,30.5,30.9,2,20,1537877254195
0,11,11,30.5,30.9,2,17,1537877285363
0,11,11,30.1,30.9,4,17,1537877326072
0,8,11,30.5,30.9,5,17,1537877353024
0,8,11,30.5,30.97,5,1,1537877353237
0,7,11,30.11,30.97,2,1,1537877389688
0,7,11,30.11,30.97,2,4,1537877474041
0,11,11,30.51,30.97,10,4,1537877507379
0,7,11,30.11,30.97,2,4,1537877530026
0,8,11,30.49,30.97,10,4,1537877530123
0,7,11,30.11,30.97,2,4,1537877551139
0,8,11,30.51,30.97,10,4,1537877551224
0,11,11,30.55,30.97,1,4,1537877618618
0,11,11,30.55,30.97,6,4,1537877751325
0,11,11,30.72,30.97,2,4,1537877760993
0,11,11,30.75,30.97,5,4,1537877778199
0,11,11,30.72,30.97,2,4,1537877794579
0,11,11,30.77,30.97,5,4,1537877794657
0,11,11,30.8,30.97,1,4,1537877823387
0,11,11,30.8,30.97,1,3,1537877830594
0,18,11,30.84,30.97,1,3,1537877832478
0,11,12,30.8,31,1,1,1537877832792
0,18,12,30.84,31,1,1,1537877832792
0,7,12,30.87,31,1,1,1537877832792
0,11,12,30.97,31,4,1,1537877833788
0,12,11,30.98,31.32,1,10,1537877834064
0,11,11,30.97,31.32,4,10,1537877834064
0,11,11,30.97,31.32,4,10,1537877834245
0,11,8,30.97,31.32,4,3,1537877840632
0,11,8,30.8,31.32,1,3,1537877850434
0,11,8,31,31.32,4,3,1537877850513
0,11,11,31,31.2,4,19,1537877857237
0,11,11,31,31.2,2,19,1537877862504
0,11,18,31,31.16,2,1,1537877862505
0,11,18,30.8,31.16,1,1,1537877866616
0,11,11,30.8,31.2,1,19,1537877866617
0,11,11,30.15,31.2,4,19,1537877890696
0,11,11,30.4,31.2,3,19,1537877910951
0,11,8,30.4,31.15,3,11,1537877914662
0,11,11,30.4,31,3,10,1537877917629
0,11,11,30.4,30.97,3,12,1537877919787
0,11,11,30.42,30.97,4,12,1537877929657
0,12,11,30.42,30.97,5,12,1537877952839
0,11,11,30.6,30.97,1,12,1537877982360
0,11,11,30.42,30.97,6,12,1537878010033
0,11,11,30.42,30.97,6,11,1537878010147
0,8,11,30.45,30.97,1,11,1537878055743
0,8,11,30.45,30.95,1,8,1537878082943
0,7,11,30.46,30.95,2,8,1537878232846
0,11,11,30.75,30.95,1,8,1537878245911
0,11,11,30.75,30.95,3,8,1537878541124
0,11,11,30.75,30.95,8,8,1537878612184
0,11,11,30.75,30.95,7,8,1537878615239
0,8,11,30.8,30.95,2,8,1537878699269
0,8,11,30.8,30.95,1,8,1537878913786
0,11,11,30.75,30.95,2,8,1537878915714
0,11,11,30.51,30.95,4,8,1537879176109
0,11,11,30.51,30.95,4,6,1537879176114
0,11,11,30.51,30.95,4,3,1537879255192
0,11,8,30.51,30.95,4,1,1537879277287
0,12,8,30.57,30.95,1,1,1537879277288
0,12,11,30.57,30.97,1,11,1537879278740
0,11,11,30.51,30.97,4,11,1537879278740
0,2,11,30.57,30.97,1,11,1537879278740
0,11,11,30.51,30.97,4,5,1537879279551
0,11,8,30.51,31.15,4,11,1537879281890
0,11,11,30.51,30.97,4,3,1537879281890
0,11,8,30.52,31.15,1,11,1537879289547
0,11,8,30.65,31.15,4,11,1537879328881
0,11,11,30.65,31.12,4,9,1537879334177
0,11,11,30.97,31.12,3,9,1537879375542
0,11,11,30.65,31.12,4,9,1537879395671
0,11,11,30.98,31.12,3,9,1537879427594
0,11,8,30.98,31.15,3,11,1537879477725
0,11,8,30.65,31.15,4,11,1537879484351
0,11,11,30.65,30.97,4,14,1537879484889
0,11,11,30.65,30.97,4,11,1537879542861
0,11,8,30.65,30.8,4,1,1537879671219
0,11,11,30.65,30.97,4,11,1537879706469
0,8,11,30.7,30.97,1,11,1537879838300
0,8,11,30.8,30.97,3,11,1537879950648
0,8,11,30.8,30.95,3,1,1537879989465
0,8,11,30.8,30.95,3,2,1537879992461
0,8,11,30.85,30.95,1,2,1537880000290
0,8,12,30.8,30.92,3,1,1537880014069
0,8,11,30.8,30.95,3,2,1537880014069
0,8,12,30.8,30.92,2,1,1537880015052
0,8,12,30.7,30.92,1,1,1537880046145
0,8,12,30.7,30.77,1,6,1537880046156
0,8,11,30.7,30.95,1,2,1537880047991
0,8,11,30.7,30.8,1,1,1537880056223
0,12,11,30.7,30.8,3,1,1537880090375
0,12,12,30.7,30.77,3,1,1537880092711
0,11,12,30.6,30.74,4,1,1537880133409
0,11,12,30.6,30.77,4,1,1537880133409
0,11,12,30.6,30.71,3,1,1537880133412
0,11,12,30.6,30.74,3,1,1537880133412
0,11,17,30.6,30.7,3,1,1537880133412
0,11,12,30.6,30.75,3,1,1537880133440
0,11,12,30.6,30.71,3,1,1537880133440
0,11,11,30.6,30.8,3,1,1537880133514
0,11,12,30.6,30.79,3,1,1537880145858
0,11,12,30.6,30.79,3,2,1537880154710
0,11,11,30.6,30.7,3,1,1537880158868
