c,bE,aE,bP,aP,bS,aS,t
0,11,12,109.02,109.4,2,5,1539302400009
0,11,11,106,112,3,2,1539331200038
0,11,11,106.53,112,1,2,1539331200039
0,11,11,107.91,112,1,2,1539331200041
0,11,11,108.46,112,1,2,1539331469187
0,11,11,108.5,112,2,2,1539331686601
0,11,11,108.5,111,2,1,1539333115929
0,11,11,108.56,111,40,1,1539333804104
0,11,11,108.66,111,40,1,1539337516429
0,11,11,109.03,111,40,1,1539337686549
0,11,11,109.06,111,4,1,1539337926648
0,11,11,109.03,111,40,1,1539338811111
0,11,12,109.03,109.06,40,45,1539338811115
0,11,12,109.03,109.06,40,43,1539338811115
0,11,11,109.03,111,40,1,1539338811133
0,11,11,108.5,111,2,1,1539338811137
0,11,12,108.5,109.03,2,3,1539338811140
0,11,11,108.5,111,2,1,1539338811159
0,11,11,109,111,10,1,1539339070177
0,12,11,108.67,111,1,1,1539339144961
0,11,11,109,111,1,1,1539339436427
0,11,11,108.79,111,1,1,1539339469635
0,11,11,108.69,111,1,1,1539339483487
0,12,11,108.67,111,1,1,1539339506897
0,11,11,108.67,111,10,1,1539339620831
0,12,11,108.67,111,1,1,1539339673429
0,11,11,108.68,111,1,1,1539339733342
0,11,11,108.68,110.83,1,2,1539340141702
0,11,11,109,110.83,1,2,1539340230021
0,12,11,109,111,1,1,1539340418189
0,11,11,110.83,111,1,1,1539340418190
0,12,11,109,111,1,1,1539340429959
0,12,11,109,110.83,1,5,1539340429966
0,12,11,109,110.83,1,15,1539340430098
0,12,11,109,110.83,1,25,1539340430175
0,12,11,109,110.83,1,35,1539340430294
0,12,11,109,110.83,1,40,1539340430628
0,12,11,109,110.83,1,35,1539340430997
0,12,11,109,110.83,1,25,1539340432395
0,12,11,109,110.83,1,15,1539340433153
0,12,11,109,110.83,1,5,1539340433644
0,12,11,109,111,1,1,1539340434172
0,12,11,109,111,1,2,1539340449487
0,12,11,109,110.92,1,2,1539340452642
0,12,11,109,110.75,1,1,1539340514266
0,12,11,109,110.92,1,2,1539340627534
0,12,11,109,110.75,1,3,1539340683120
0,11,11,109,110.75,2,3,1539340685695
0,12,11,109,110.75,1,3,1539340809549
0,11,11,110,110.75,1,3,1539340838091
0,11,12,110,110.68,1,8,1539340866771
0,11,11,110,110.75,1,3,1539340903278
0,12,11,109,110,1,1,1539340968092
0,11,11,109,110,1,1,1539341092536
0,12,11,109,110,1,1,1539341111622
0,11,11,108.67,110,1,1,1539341111623
0,11,12,108.67,109.98,1,1,1539341175832
0,11,11,108.67,110,1,1,1539341235701
0,11,12,108.67,109.95,1,1,1539341235702
0,11,11,108.67,110,1,1,1539341276041
0,12,11,108.67,110,1,1,1539341293303
0,12,11,109.1,110,74,1,1539341348019
0,12,11,109.1,110,64,1,1539341364428
0,11,11,109.31,110,1,1,1539341370569
0,12,11,109.1,110,64,1,1539341372635
0,11,11,109.35,110,1,1,1539341372721
0,12,11,109.5,110,1,1,1539341380021
0,11,12,109.35,109.5,1,6,1539341385552
0,11,11,109.35,110,1,1,1539341385552
0,11,11,109.35,110,1,1,1539341385556
0,11,11,109.35,110,2,1,1539341391145
0,11,11,109.35,110,4,1,1539341397376
0,11,11,109.35,110,3,1,1539341400083
0,12,11,109.35,110,1,1,1539341402565
0,11,11,109.5,110,1,1,1539341403051
0,12,11,109.35,110,1,1,1539341425955
0,11,11,109.35,110,1,1,1539341437502
0,11,11,109.35,110,2,1,1539341440976
0,11,11,109.5,110,1,1,1539341446572
0,12,11,109.75,110,1,1,1539341479838
0,11,11,109.5,110,1,1,1539341491376
0,11,12,109.5,109.75,1,6,1539341491381
0,11,12,109.5,109.75,1,2,1539341493551
0,11,12,109.5,109.75,1,1,1539341494217
0,11,11,109.5,110,1,1,1539341494799
0,12,11,109.5,110,1,1,1539341495214
0,12,11,109.5,110,1,3,1539341499690
0,11,11,109.51,110,9,3,1539341501954
0,12,11,109.75,110,1,3,1539341513950
0,12,11,109.75,110,1,2,1539341517875
0,11,11,109.51,110,9,2,1539341530712
0,12,11,109.5,110,1,2,1539341554242
0,11,12,109.5,109.51,1,33,1539341554244
0,11,12,109.5,109.51,1,31,1539341554247
0,11,12,109.5,109.51,1,28,1539341557958
0,12,12,109.5,109.51,1,28,1539341559268
0,11,11,109.5,110,1,2,1539341561669
0,12,11,109.5,110,1,2,1539341561918
0,12,11,109.51,110,1,2,1539341562822
0,11,11,109.5,110,1,2,1539341564998
0,12,11,109.5,110,2,2,1539341568560
0,12,11,109.5,109.6,2,1,1539341569480
0,12,11,109.5,110,2,2,1539341569481
0,11,11,109.6,110,4,2,1539341573503
0,11,11,109.6,109.75,4,1,1539341574849
0,11,11,109.75,110,4,2,1539341576773
0,11,11,109.6,110,4,2,1539341576885
0,12,11,109.51,110,1,2,1539341581812
0,12,11,109.5,110,2,2,1539341581813
0,12,12,109.5,109.51,2,18,1539341581815
0,12,12,109.5,109.51,2,15,1539341583326
0,12,12,109.5,109.51,2,5,1539341583985
0,12,12,109.5,109.51,2,1,1539341584038
0,12,11,109.51,110,2,2,1539341584494
0,12,11,109.5,110,2,2,1539341584494
0,12,11,109.51,109.99,2,1,1539341586700
0,12,11,109.51,109.6,2,1,1539341588049
0,12,11,109.51,109.6,6,1,1539341589523
0,12,11,109.51,109.99,6,1,1539341590177
0,12,11,109.51,109.74,6,1,1539341593296
0,12,11,109.52,109.74,1,1,1539341595270
0,12,11,109.51,109.74,6,1,1539341596181
0,12,11,109.51,109.7,6,2,1539341598314
0,12,11,109.51,109.6,6,1,1539341598713
0,11,11,109.6,109.7,3,2,1539341600557
0,12,11,109.51,109.7,6,2,1539341600613
0,12,11,109.51,109.7,2,2,1539341601530
0,12,11,109.54,109.7,4,2,1539341601532
0,12,11,109.54,109.74,4,1,1539341601900
0,12,11,109.54,109.6,4,2,1539341601901
0,12,11,109.54,109.5,2,1,1539341605689
0,12,11,109.54,109.5,4,1,1539341605689
0,12,11,109.5,109.5,1,1,1539341605690
0,12,11,109.51,109.5,2,1,1539341605690
