c,bE,aE,bP,aP,bS,aS,t
0,11,11,98.5,116.85,1,2,1539860407970
0,11,11,98.6,116.85,2,2,1539863890917
0,11,11,98.6,105,2,1,1539864152696
0,11,11,98.6,105,3,1,1539864924993
0,11,11,98.6,105,2,1,1539867758821
0,11,11,98.4,105,2,1,1539869164217
0,11,11,98.51,105,1,1,1539869215361
0,11,12,98.51,104.99,1,2,1539869375095
0,11,11,98.51,105,1,1,1539869379095
0,11,12,98.51,104.99,1,2,1539869380197
0,11,11,98.51,105,1,1,1539869384197
0,11,12,98.51,104.99,1,2,1539869385243
0,11,12,98.4,104.99,3,2,1539869387964
0,11,11,98.4,105,3,1,1539869389243
0,11,12,98.4,104.99,3,2,1539869390125
0,11,11,98.4,105,3,1,1539869394125
0,11,11,98.4,105,2,1,1539869395017
0,11,12,98.4,104.99,2,1,1539869395037
0,11,12,98.4,104.99,1,1,1539869395540
0,19,12,98.13,104.99,1,1,1539869396419
0,19,12,97.92,104.99,1,1,1539869396433
0,19,11,97.92,105,1,1,1539869399036
0,11,11,96.43,105,1,1,1539869399914
0,12,11,96.19,105,6,1,1539869399932
0,12,11,96.19,105,7,1,1539869400088
0,12,11,96.19,105,7,1,1539869400170
0,12,12,96.19,105.82,7,1,1539869400174
0,12,19,96.19,105.95,7,1,1539869400202
0,12,11,96.19,107.94,7,1,1539869400202
0,12,11,96.19,107.89,7,1,1539869400203
0,12,11,101.01,107.89,1,1,1539869400237
0,12,12,101.01,105,1,1,1539869400267
0,12,15,101.01,104.99,1,6,1539869400418
0,12,12,101.01,103.44,1,1,1539869401311
0,12,12,101.01,103.44,2,1,1539869401411
0,12,12,101.01,103.44,2,2,1539869401593
0,12,12,101.01,103.44,1,2,1539869401672
0,12,12,101.01,103.44,1,3,1539869402404
0,12,12,101.01,103.44,1,2,1539869404613
0,12,12,101.01,103.44,1,3,1539869419284
0,12,12,101.01,103.44,1,4,1539869421003
0,12,12,101.01,103.44,1,3,1539869460780
0,12,12,101.26,103.44,1,3,1539869506514
0,12,12,101.26,103.44,2,3,1539869506516
0,12,12,101.26,103.44,2,2,1539869594619
0,8,12,101.5,103.44,10,2,1539869611384
0,8,12,101.5,103.43,10,1,1539869654904
0,8,12,101.5,103.43,10,2,1539869654905
0,8,12,101.5,103.43,10,3,1539869697228
0,8,12,102.01,103.43,1,3,1539869753740
0,8,12,102.01,103.43,1,4,1539869789130
0,11,12,102.32,103.43,1,4,1539869793490
0,11,12,102.32,103.08,1,1,1539869798551
0,12,12,102.32,103.08,1,1,1539869798552
0,12,12,102.32,103.43,1,3,1539869798552
