c,bE,aE,bP,aP,bS,aS,t
0,11,11,12.17,15.33,5,22,1538467200027
0,11,8,12.17,14.15,5,10,1538478000107
0,19,11,12.18,12.99,3,3,1538486187291
0,19,8,12.18,12.98,3,3,1538486187296
0,11,8,12.18,12.98,3,3,1538486187297
0,8,11,12.18,12.97,3,3,1538486187297
0,8,8,12.18,12.98,3,3,1538486187297
0,12,8,12.18,12.96,3,3,1538486187298
0,12,11,12.18,12.97,3,3,1538486187298
0,11,8,12.18,12.96,3,3,1538486187298
0,19,8,12.18,12.96,3,3,1538486187298
0,8,11,12.18,12.95,3,3,1538486187298
0,8,8,12.18,12.96,3,3,1538486187298
0,19,11,12.18,12.95,3,3,1538486187299
0,19,8,12.18,12.94,3,3,1538486187300
0,11,8,12.18,12.94,3,3,1538486187300
0,8,8,12.18,12.94,3,3,1538486187301
0,8,11,12.18,12.93,3,3,1538486192302
0,19,11,12.18,12.93,3,3,1538486192303
0,8,8,12.18,12.92,3,3,1538486192303
0,19,8,12.18,12.92,3,3,1538486192303
0,8,11,12.18,12.91,3,3,1538486192303
0,12,11,12.18,12.91,3,3,1538486192305
0,11,8,12.18,12.9,3,3,1538486192305
0,12,8,12.18,12.9,3,3,1538486192305
0,8,8,12.18,12.9,3,3,1538486192305
0,19,8,12.19,12.9,3,3,1538486207176
0,8,12,12.2,12.9,3,3,1538486207177
0,19,12,12.19,12.9,3,3,1538486207177
0,8,11,12.2,12.9,3,3,1538486207177
0,11,8,12.21,12.9,3,3,1538486207178
0,8,8,12.2,12.9,3,3,1538486207178
0,8,12,12.22,12.9,3,3,1538486207178
0,11,12,12.21,12.9,3,3,1538486207178
0,8,11,12.22,12.9,3,3,1538486207179
0,8,8,12.22,12.9,3,3,1538486207179
0,11,8,12.23,12.9,3,3,1538486207179
0,8,11,12.24,12.9,3,3,1538486207180
0,11,12,12.23,12.9,3,3,1538486207180
0,8,12,12.24,12.9,3,3,1538486207180
0,8,8,12.24,12.9,3,3,1538486207180
0,12,11,12.24,12.9,3,3,1538486207186
0,8,11,12.22,12.9,3,3,1538486207186
0,11,11,12.17,12.9,5,3,1538486207186
0,8,11,12.25,12.9,3,3,1538486207186
0,11,8,12.26,12.9,3,3,1538486207875
0,11,12,12.26,12.9,3,3,1538486207876
0,8,11,12.27,12.9,3,3,1538486207876
0,8,12,12.27,12.9,3,3,1538486207876
0,11,8,12.28,12.9,3,3,1538486207876
0,8,8,12.27,12.9,3,3,1538486207876
0,8,11,12.29,12.9,3,3,1538486207877
0,11,11,12.28,12.9,3,3,1538486207877
0,8,8,12.29,12.9,3,3,1538486207878
0,11,8,12.3,12.9,3,3,1538486212875
0,19,8,12.31,12.9,3,3,1538486212876
0,19,12,12.31,12.9,3,3,1538486212877
0,19,11,12.31,12.9,3,3,1538486212877
0,11,12,12.32,12.9,3,3,1538486212877
0,8,12,12.33,12.9,3,3,1538486212878
0,11,8,12.34,12.9,3,3,1538486212878
0,8,8,12.33,12.9,3,3,1538486212878
0,8,11,12.35,12.9,3,3,1538486212880
0,8,8,12.35,12.9,3,3,1538486212880
0,11,11,12.34,12.9,3,3,1538486212880
0,8,12,12.35,12.9,3,3,1538486212880
0,11,8,12.36,12.9,3,3,1538486217454
0,11,12,12.36,12.9,3,3,1538486217455
0,8,12,12.37,12.9,3,3,1538486217455
0,8,11,12.37,12.9,3,3,1538486217456
0,8,8,12.37,12.9,3,3,1538486217456
0,11,8,12.38,12.9,3,3,1538486217456
0,11,12,12.38,12.9,3,3,1538486217457
0,8,11,12.39,12.9,3,3,1538486217457
0,8,12,12.39,12.9,3,3,1538486217457
0,8,8,12.39,12.9,3,3,1538486217457
0,11,8,12.4,12.9,3,3,1538486217457
0,11,11,12.4,12.9,3,3,1538486217459
0,8,12,12.41,12.9,3,3,1538486217459
0,8,8,12.41,12.9,3,3,1538486217459
0,8,11,12.41,12.9,3,3,1538486217459
0,11,8,12.42,12.9,3,3,1538486217874
0,11,12,12.42,12.9,3,3,1538486217875
0,8,12,12.43,12.9,3,3,1538486217875
0,8,8,12.43,12.9,3,3,1538486217876
0,11,8,12.44,12.9,3,3,1538486222214
0,11,12,12.44,12.9,3,3,1538486222215
0,8,11,12.45,12.9,3,3,1538486222215
0,8,12,12.45,12.9,3,3,1538486222215
0,11,8,12.46,12.9,3,3,1538486222215
0,8,8,12.45,12.9,3,3,1538486222215
0,11,11,12.46,12.9,3,3,1538486222216
0,8,11,12.47,12.9,3,3,1538486222216
0,11,8,12.48,12.9,3,3,1538486222217
0,8,8,12.47,12.9,3,3,1538486222217
0,8,11,12.49,12.9,3,3,1538486222218
0,11,11,12.48,12.9,3,3,1538486222218
0,8,12,12.49,12.9,3,3,1538486222218
0,8,8,12.49,12.9,3,3,1538486222218
0,11,8,12.5,12.9,3,3,1538486222875
0,11,12,12.5,12.9,3,3,1538486222876
0,8,11,12.51,12.9,3,3,1538486222876
0,8,12,12.51,12.9,3,3,1538486222876
0,8,8,12.51,12.9,3,3,1538486222876
0,11,8,12.52,12.9,3,3,1538486227402
0,11,12,12.52,12.9,3,3,1538486227403
0,8,11,12.53,12.9,3,3,1538486227403
0,8,12,12.53,12.9,3,3,1538486227403
0,11,8,12.54,12.9,3,3,1538486227403
0,8,8,12.53,12.9,3,3,1538486227403
0,8,11,12.55,12.9,3,3,1538486227404
0,8,8,12.55,12.9,3,3,1538486227405
0,11,8,12.56,12.9,3,3,1538486227405
0,11,12,12.56,12.9,3,3,1538486227406
0,8,12,12.57,12.9,3,3,1538486227406
0,8,8,12.57,12.9,3,3,1538486227406
0,11,8,12.58,12.9,3,3,1538486380166
0,11,12,12.58,12.9,3,3,1538486380167
