c,bE,aE,bP,aP,bS,aS,t
0,11,11,18.53,19.4,8,3,1539820800011
0,11,11,18.09,21.3,6,5,1539849600026
0,11,8,18.09,19.98,6,3,1539860400196
0,8,8,18.53,19.98,8,3,1539860400196
0,8,8,18.53,19,8,2,1539860477499
0,11,8,18.7,19,10,2,1539860591432
0,8,8,18.53,19,8,2,1539860662635
0,11,8,18.8,19,10,2,1539860662639
0,8,8,18.53,19,8,2,1539860735014
0,11,8,18.8,19,5,2,1539860735018
0,8,7,18.53,18.96,8,1,1539860736652
0,8,8,18.53,19,8,2,1539860736652
0,8,11,18.53,18.8,8,1,1539860736652
0,8,11,18.53,18.7,8,1,1539862969236
0,11,11,18.09,18.7,6,1,1539863191852
0,11,11,18.09,18.7,6,31,1539863324880
0,11,19,18.09,18.7,6,1,1539863718065
0,11,11,18.09,18.63,6,30,1539863718067
0,11,11,18.09,18.63,6,31,1539863720504
0,11,19,18.09,18.63,6,1,1539863734994
0,11,11,18.09,18.52,6,30,1539863734996
0,11,11,18.09,18.5,6,1,1539863735044
0,11,8,18.09,18.5,6,1,1539863737846
0,11,19,18.09,18.5,6,1,1539863737846
0,11,11,18.09,18.52,6,30,1539863737846
0,11,12,18.09,18.5,6,1,1539863737846
0,11,11,18.09,18.3,6,2,1539863918069
0,11,8,18.09,18.2,6,1,1539863969681
0,11,12,18.09,18.18,6,1,1539864744754
0,11,12,18.1,18.18,2,1,1539864999732
0,11,11,18.1,18.52,2,30,1539865124717
0,11,8,18.1,18.2,2,1,1539865124717
0,11,11,18.13,18.52,2,30,1539865193313
0,12,11,18.14,18.52,1,30,1539865429142
0,11,11,18.13,18.52,2,30,1539865450380
0,11,12,18.13,18.5,2,1,1539865847392
0,11,12,18.49,18.5,1,1,1539866179367
0,11,12,18.13,18.5,2,1,1539866179625
0,11,11,18.13,18.52,2,30,1539866354372
0,11,11,18.3,18.52,1,30,1539866410919
0,11,12,18.3,18.55,1,3,1539866699660
0,11,12,18.4,18.55,15,3,1539867150011
0,11,12,18.52,18.55,15,3,1539867174059
0,11,12,18.52,18.55,5,3,1539867184244
0,11,12,18.3,18.55,1,3,1539867190448
0,11,12,18.3,18.55,1,2,1539867207408
0,18,11,18.35,18.55,1,1,1539867226738
0,11,11,18.3,18.55,1,1,1539867226738
0,18,11,18.35,18.5,1,1,1539867330339
0,11,11,18.3,18.5,1,1,1539867330340
0,11,11,18.3,18.5,1,2,1539867330802
0,11,11,18.3,18.49,1,5,1539868113032
0,11,11,18.3,18.48,1,1,1539868128820
0,11,11,18.3,18.48,1,2,1539868128986
0,11,18,18.13,18.39,2,1,1539868205461
0,11,11,18.13,18.48,2,2,1539868205461
0,11,7,18.13,18.44,2,1,1539868205491
0,11,11,18.13,18.3,2,1,1539868205997
0,11,11,18.13,18.3,2,2,1539868206484
0,11,11,18.13,18.3,2,3,1539868207191
0,11,11,18.13,18.3,2,3,1539868208110
0,11,11,18.13,18.2,2,1,1539868208110
0,11,11,18.13,18.3,2,2,1539868210487
0,11,11,18.13,18.3,2,1,1539868212703
0,11,11,18.13,18.48,2,2,1539868213064
0,11,11,18.13,18.48,2,1,1539868213401
0,11,11,18.13,18.48,2,2,1539868214895
0,11,11,18.13,18.48,2,3,1539868215084
0,11,11,18.13,18.48,2,4,1539868215251
0,11,11,18.13,18.3,2,1,1539868241233
0,11,11,18.13,18.48,2,4,1539868242561
0,11,11,18.13,18.48,2,3,1539868322961
0,11,11,18.13,18.48,2,4,1539868331964
0,11,11,18.13,18.48,2,3,1539868336299
0,11,11,18.13,18.4,2,1,1539868337627
0,11,11,18.13,18.2,2,1,1539868662517
0,11,11,18.13,18.4,2,1,1539868670028
0,11,11,18.13,18.4,2,2,1539868671660
0,11,11,18.13,18.4,2,1,1539868688286
0,11,11,18.13,18.2,2,1,1539868689878
0,11,11,18.13,18.4,2,1,1539868691903
0,11,11,18.13,18.4,1,1,1539868697047
0,11,11,18.13,18.49,1,5,1539868702631
0,11,11,18.13,18.4,1,1,1539868703764
0,11,11,18.13,18.4,1,2,1539868704073
0,11,11,18.13,18.35,1,9,1539868731715
0,11,11,18.13,18.2,1,1,1539868806134
0,11,11,18.13,18.35,1,9,1539868808930
0,11,11,18.1,18.35,2,9,1539868810801
0,11,18,18.1,18.3,2,1,1539868810802
0,11,11,18.1,18.24,1,1,1539868811312
0,11,18,18.1,18.3,1,1,1539868811312
0,11,18,18.1,18.24,1,1,1539868811342
0,11,7,18.1,18.24,1,1,1539868811343
0,11,11,18.1,18.35,1,9,1539868811343
0,11,12,18.1,18.24,1,1,1539868811343
0,11,11,18.1,18.3,1,5,1539868848340
0,11,12,18.1,18.2,1,1,1539868851812
0,11,12,18.09,18.2,7,1,1539868852615
0,11,12,18.09,18.2,6,1,1539868854025
0,11,12,18.09,18.2,6,2,1539868854026
0,11,12,18.09,18.18,6,1,1539868854026
0,11,12,18.09,18.2,6,1,1539868854056
0,11,12,18.09,18.2,4,1,1539868858183
0,8,12,18.04,18.2,3,1,1539868861718
0,8,12,18.04,18.2,3,2,1539868861720
0,8,12,18.04,18.2,3,1,1539868861750
0,8,11,18.04,18.09,3,1,1539868861855
0,8,12,18.04,18.2,3,1,1539868862841
0,8,11,18.04,18.09,3,1,1539868862845
0,8,11,18.04,18.09,2,1,1539868865146
0,11,11,18.08,18.3,9,6,1539868877869
0,8,11,18.04,18.3,2,6,1539868886105
0,11,11,18.09,18.3,8,5,1539868886106
0,11,7,18.09,18.25,3,1,1539868910252
0,11,11,18.09,18.3,3,5,1539868910252
0,8,11,18.04,18.2,2,1,1539868911437
0,8,7,18.04,18.25,2,1,1539868911437
0,8,19,18.04,18.2,2,2,1539868911438
0,8,19,18.03,18.2,5,2,1539868911447
0,8,19,18.03,18.16,5,9,1539868911447
0,8,17,18.03,18.16,5,8,1539868911468
0,8,11,18.03,18.3,5,5,1539868911468
0,11,11,18.01,18.3,4,5,1539868913966
0,8,11,18.03,18.3,4,5,1539868913966
0,11,11,18.03,18.3,5,5,1539868944536
0,11,11,18.03,18.35,5,9,1539868997243
0,11,11,18.05,18.35,5,9,1539869005213
0,11,11,18.05,18.45,5,5,1539869025074
0,11,11,18.05,18.3,5,14,1539869025085
0,11,11,18.15,18.3,5,14,1539869031182
0,11,11,18.25,18.3,5,14,1539869066794
0,8,11,18.01,18.3,5,14,1539869091841
0,11,11,18.02,18.3,3,14,1539869092242
0,8,11,18.01,18.3,5,14,1539869128103
0,8,12,18.01,18.29,5,1,1539869180075
0,8,12,18.01,18.29,5,2,1539869180601
0,8,12,18,18.29,8,2,1539869183547
0,8,12,18,18.29,3,2,1539869184839
0,8,12,18,18.29,7,2,1539869184839
0,11,12,17.77,18.29,4,2,1539869186454
0,8,12,18,18.29,2,2,1539869186454
0,11,12,17.77,18,4,1,1539869186463
0,11,12,17.77,18,4,6,1539869208878
0,11,12,17.8,18,5,6,1539869220852
0,11,12,17.81,18,1,6,1539869234982
0,11,12,17.81,18,2,6,1539869235447
0,11,12,17.81,17.9,2,2,1539869237997
0,11,12,17.8,17.9,5,2,1539869238309
0,11,12,17.81,17.9,1,2,1539869238309
0,11,12,17.8,17.9,3,2,1539869239210
0,11,12,17.77,17.9,4,2,1539869240007
0,11,12,17.77,17.8,4,1,1539869240735
0,11,12,17.77,17.8,3,1,1539869241356
0,11,12,17.77,17.9,3,2,1539869244178
0,11,12,17.77,18,3,6,1539869244411
0,11,12,17.77,18,3,1,1539869244560
0,11,12,17.61,18,4,1,1539869244942
0,11,18,17.61,17.99,4,1,1539869244943
0,11,8,17.61,17.99,4,1,1539869244944
0,11,12,17.61,17.7,4,2,1539869244965
0,11,12,17.61,17.7,3,2,1539869265184
0,11,12,17.61,17.7,1,2,1539869265185
0,11,12,17.61,17.7,2,2,1539869265185
0,8,12,17.6,17.7,4,2,1539869265185
0,8,12,17.6,17.7,3,2,1539869265210
0,8,11,17.6,17.61,3,2,1539869265687
0,8,11,17.6,17.61,1,2,1539869266895
0,11,11,17.53,17.61,1,2,1539869266937
0,11,11,17.28,17.61,16,2,1539869267758
0,11,19,17.28,17.57,16,1,1539869267758
0,11,7,17.28,17.57,16,1,1539869267788
0,11,8,17.28,17.57,16,1,1539869267788
0,11,15,17.28,17.57,16,1,1539869267788
0,11,11,17.28,17.61,16,2,1539869267860
0,11,12,17.28,17.7,16,2,1539869270728
0,11,12,17.29,17.7,1,2,1539869275259
0,11,12,17.3,17.7,1,2,1539869276310
0,11,12,17.5,17.7,4,2,1539869276344
0,11,12,17.6,17.7,5,2,1539869282445
0,11,11,17.6,17.99,5,5,1539869292865
0,11,11,17.61,17.99,1,5,1539869303222
0,11,11,17.61,17.99,2,5,1539869303688
0,11,11,17.61,17.99,3,5,1539869318627
0,11,11,17.61,17.99,4,5,1539869318805
0,11,11,17.61,17.99,3,5,1539869322299
0,11,11,17.63,17.99,5,5,1539869330338
0,11,11,17.65,17.99,1,5,1539869381109
0,11,11,17.65,17.99,2,5,1539869381274
0,11,11,17.65,17.99,3,5,1539869381405
0,11,11,17.65,18.3,3,14,1539869382722
0,12,11,17.65,18.3,4,14,1539869382733
0,12,19,17.65,18.02,4,1,1539869386053
0,11,19,17.65,18.02,3,1,1539869386056
0,11,12,17.65,18.23,3,4,1539869386083
0,11,8,17.65,18.02,3,1,1539869386083
0,11,11,17.65,18.3,3,14,1539869386166
0,12,11,17.65,18.3,4,14,1539869387075
0,12,19,17.65,18.02,4,1,1539869389063
0,18,19,17.63,18.02,6,1,1539869389068
0,18,12,17.63,18.27,6,4,1539869389093
0,18,8,17.63,18.02,6,1,1539869389093
0,17,12,17.63,18.27,6,4,1539869389093
0,2,11,17.63,18.3,6,14,1539869389196
0,17,11,17.63,18.3,6,14,1539869389196
0,11,11,17.63,18.3,5,14,1539869389196
0,11,12,17.63,18.3,5,4,1539869392284
0,11,19,17.63,18.01,5,1,1539869395014
0,17,19,17.63,18.01,6,1,1539869395014
0,2,19,17.63,18.01,6,1,1539869395014
0,17,12,17.63,18.27,6,4,1539869395044
0,17,12,17.63,18.55,6,1,1539869395138
0,17,12,17.63,18.55,6,5,1539869395559
0,17,19,17.63,18.55,6,3,1539869395559
0,17,12,17.63,18.55,6,9,1539869395559
0,17,12,17.63,18.55,6,1,1539869399961
0,17,12,17.63,18.55,6,5,1539869399961
0,11,12,17.5,18.55,9,1,1539869400062
0,11,12,17.5,18.55,10,1,1539869400140
0,12,12,17.6,18.55,8,1,1539869400621
0,8,12,17.9,18.55,1,1,1539869400954
0,12,12,17.6,18.55,8,1,1539869400956
0,12,12,17.6,18.55,8,2,1539869401986
0,12,12,17.6,18.55,8,3,1539869401997
0,12,19,17.6,18.54,8,1,1539869413454
0,12,12,17.6,18.54,8,2,1539869435008
0,12,12,17.6,18.54,8,3,1539869435009
0,12,19,17.6,18.44,8,1,1539869456607
0,12,19,17.6,18.35,8,1,1539869456608
0,12,12,17.6,18.35,8,2,1539869456611
0,8,12,17.67,18.35,1,2,1539869456633
0,12,12,17.6,18.35,8,2,1539869458022
0,12,8,17.6,17.67,8,1,1539869458022
0,12,19,17.6,17.66,8,8,1539869458023
0,12,12,17.6,17.66,8,9,1539869458025
0,12,12,17.6,17.66,8,10,1539869458026
0,12,12,17.6,17.66,8,2,1539869458069
0,11,12,17.63,17.66,1,2,1539869458792
0,11,19,17.63,17.72,1,1,1539869458792
0,12,19,17.66,17.72,1,1,1539869458792
0,11,12,17.63,17.66,1,1,1539869458792
0,12,11,17.66,18.02,1,2,1539869458792
0,12,11,17.66,17.72,1,1,1539869458792
0,12,11,17.63,18.02,2,2,1539869458793
0,12,11,17.63,18.02,1,2,1539869458793
0,12,11,17.62,18.02,8,2,1539869458793
0,17,11,17.63,18.02,6,2,1539869458793
0,12,11,17.62,18.02,8,2,1539869458794
0,12,11,17.62,18.02,8,1,1539869458801
