c,bE,aE,bP,aP,bS,aS,t
0,12,8,0.01,76.9,1,1,1539687600424
0,12,8,0.01,74.26,1,2,1539691200002
0,12,8,62.19,74.26,1,2,1539691782995
0,12,8,62.19,76.84,1,26,1539692580588
0,11,8,66.8,76.84,1,26,1539692837515
0,12,8,67.14,76.84,1,26,1539695442609
0,12,8,68.43,76.84,1,26,1539695442787
0,12,8,67.14,76.84,1,26,1539695444617
0,12,8,69.12,76.84,1,26,1539695444669
0,12,8,67.14,76.84,1,26,1539695444815
0,12,8,69.46,76.84,1,26,1539695444815
0,12,8,69.74,76.84,1,26,1539695444865
0,12,8,67.14,76.84,1,26,1539695444865
0,12,8,70.08,76.84,1,26,1539695445015
0,12,8,67.14,76.84,1,26,1539695445015
0,12,8,67.14,76.84,1,26,1539695446580
0,12,8,70.44,76.84,1,26,1539695446580
0,12,8,70.8,76.84,1,26,1539695446798
0,12,8,67.14,76.84,1,26,1539695446798
0,19,8,73.81,76.84,1,26,1539696017707
0,19,19,73.81,74.87,1,1,1539696020027
0,19,18,73.81,76.36,1,1,1539696304807
0,19,8,73.81,76.84,1,26,1539696304819
0,19,19,73.81,74.97,1,1,1539696305387
0,19,19,73.81,75.32,1,3,1539696335547
0,19,19,73.81,74.88,1,1,1539696336127
0,11,11,73.81,74.89,1,1,1539696489827
0,8,8,73.81,74.89,1,1,1539696489827
0,12,12,73.81,74.89,1,1,1539696489827
0,19,19,73.81,74.97,1,1,1539696490408
0,11,19,73.94,74.97,1,1,1539696514187
0,11,11,73.94,74.97,1,1,1539696514767
0,11,12,73.94,74.97,2,1,1539696583304
0,11,11,73.94,74.97,2,2,1539696583305
0,11,10,73.94,74.76,2,1,1539696600457
0,11,9,73.94,74.75,2,2,1539696600463
0,11,9,74.04,74.75,19,2,1539696600466
0,11,11,74.04,74.97,19,2,1539696600483
0,11,10,74.04,74.79,19,1,1539696600485
0,17,10,73.95,74.79,1,1,1539696600725
0,11,10,74.04,74.79,10,1,1539696600727
0,17,10,73.95,74.79,1,1,1539696600879
0,11,10,74.04,74.79,5,1,1539696600883
0,11,10,74.04,74.76,5,1,1539696601005
0,11,10,74.04,74.94,5,1,1539696601005
0,11,10,74.04,74.85,5,11,1539696601005
0,11,10,74.04,74.79,5,1,1539696601008
0,12,10,74.07,74.79,1,1,1539696601410
0,17,10,74.08,74.85,1,11,1539696601410
0,17,10,74.08,74.79,1,1,1539696601410
0,17,10,74.08,74.81,1,1,1539696601410
0,17,10,74.08,74.79,1,1,1539696602434
0,17,10,74.08,74.85,1,11,1539696604088
0,2,10,74.1,74.85,1,11,1539696604233
0,15,10,74.1,74.85,1,11,1539696607127
0,10,10,74.11,74.85,1,11,1539696609561
0,15,10,74.1,74.85,1,11,1539696611280
0,12,10,74.12,74.85,1,11,1539696611290
0,12,10,74.11,74.85,1,11,1539696615471
0,15,10,74.1,74.85,1,11,1539696615471
0,10,10,74.1,74.85,2,11,1539696615522
0,2,10,74.12,74.85,1,11,1539696615531
0,2,10,74.11,74.85,1,11,1539696634323
0,3,10,74.1,74.85,1,11,1539696634323
0,10,10,74.1,74.85,2,11,1539696634375
0,2,10,74.12,74.85,1,11,1539696634385
0,3,10,74.1,74.85,1,11,1539696635122
0,11,10,74.13,74.85,1,11,1539696635131
0,11,10,74.12,74.85,1,11,1539696635174
0,3,10,74.1,74.85,1,11,1539696635518
0,10,10,74.13,74.85,1,11,1539696635527
0,10,10,74.12,74.85,1,11,1539696635571
0,3,10,74.1,74.85,1,11,1539696635720
0,12,10,74.13,74.85,1,11,1539696635729
0,12,10,74.12,74.85,1,11,1539696635773
0,10,10,74.1,74.85,2,11,1539696635773
0,3,10,74.1,74.85,1,11,1539696636319
0,12,10,74.13,74.85,1,11,1539696636328
0,10,10,74.1,74.85,2,11,1539696636373
0,12,10,74.12,74.85,1,11,1539696636373
0,3,10,74.1,74.85,1,11,1539696636720
0,12,10,74.13,74.85,1,11,1539696636729
0,3,10,74.1,74.85,1,11,1539696636780
0,12,10,74.12,74.85,1,11,1539696636780
0,11,10,74.11,74.85,1,11,1539696637120
0,10,10,74.13,74.85,1,11,1539696637129
0,10,10,74.12,74.85,1,11,1539696637173
0,11,10,74.11,74.85,1,11,1539696637322
0,11,10,74.13,74.85,1,11,1539696637330
0,19,10,74.16,74.85,1,11,1539696641072
0,11,10,74.26,74.85,2,11,1539696659140
0,11,11,74.26,74.72,2,2,1539696659140
0,10,10,74.26,74.72,2,2,1539696659146
0,11,10,74.26,74.85,2,11,1539696659146
0,12,12,74.26,74.72,2,2,1539696659146
0,12,11,74.26,74.8,2,2,1539696659147
0,10,11,74.26,74.8,2,2,1539696659147
0,11,11,74.26,74.8,2,2,1539696659147
0,12,12,74.26,74.8,2,2,1539696659241
0,10,10,74.26,74.8,2,2,1539696659241
0,11,10,74.26,74.85,2,11,1539696659241
0,11,12,74.26,74.81,2,2,1539696659241
0,11,10,74.36,74.85,2,11,1539696659323
0,12,10,74.36,74.85,2,13,1539696659324
0,10,10,74.36,74.85,2,11,1539696659324
0,11,10,74.36,74.85,2,13,1539696659325
0,10,10,74.36,74.85,2,13,1539696659328
0,12,10,74.36,74.85,2,13,1539696659328
0,12,10,74.35,74.85,2,13,1539696659329
0,11,10,74.26,74.85,2,13,1539696659329
0,10,10,74.26,74.85,2,13,1539696659335
0,11,10,74.22,74.85,1,13,1539696659335
0,12,10,74.26,74.85,2,13,1539696659335
0,11,10,74.22,74.85,1,12,1539696659338
0,11,10,74.22,74.85,1,11,1539696659343
0,11,10,74.3,74.85,2,11,1539696659429
0,12,10,74.3,74.85,2,11,1539696659431
0,10,10,74.25,74.85,2,11,1539696659431
0,11,10,74.23,74.85,1,11,1539696659432
0,12,10,74.25,74.85,2,11,1539696659432
0,11,10,74.22,74.85,1,11,1539696659433
0,11,10,74.21,74.85,1,11,1539696659526
0,11,10,74.25,74.85,2,11,1539696659535
0,10,11,74.25,74.77,2,2,1539696659629
0,12,11,74.25,74.77,2,2,1539696659630
0,11,11,74.25,74.77,2,2,1539696659630
0,11,12,74.37,74.77,2,2,1539696659813
0,11,10,74.37,74.77,2,2,1539696659813
0,11,11,74.37,74.77,2,2,1539696659814
0,10,10,74.37,74.77,2,2,1539696664813
0,12,11,74.36,74.77,2,2,1539696664813
0,12,12,74.37,74.77,2,2,1539696664813
0,11,11,74.25,74.77,2,2,1539696664813
0,10,10,74.25,74.77,2,2,1539696664814
0,12,12,74.25,74.77,2,2,1539696664814
0,10,11,74.24,74.77,3,2,1539696664814
0,10,10,74.24,74.77,3,2,1539696664908
0,12,12,74.24,74.77,2,2,1539696664908
0,18,11,74.24,74.77,1,2,1539696664908
0,11,12,74.31,74.77,2,2,1539696664919
0,11,10,74.31,74.77,2,2,1539696664919
0,11,10,74.32,74.77,2,2,1539696664920
0,11,11,74.31,74.77,2,2,1539696664920
0,12,12,74.32,74.77,2,2,1539696664922
0,12,10,74.32,74.77,2,2,1539696664922
0,18,11,74.24,74.77,1,2,1539696664922
0,11,10,74.31,74.77,2,2,1539696664933
0,11,11,74.31,74.77,2,2,1539696664933
0,11,12,74.31,74.77,2,2,1539696664933
0,12,11,74.31,74.71,2,2,1539696665013
0,10,11,74.31,74.71,2,2,1539696665013
0,11,11,74.31,74.71,2,2,1539696665014
0,10,10,74.31,74.71,2,2,1539696665015
0,11,11,74.31,74.77,2,2,1539696665015
0,12,12,74.31,74.71,2,2,1539696665015
0,10,10,74.31,74.77,2,2,1539696665023
0,12,12,74.31,74.77,2,2,1539696665024
0,11,11,74.31,74.78,2,1,1539696665024
0,12,12,74.31,74.78,2,1,1539696665028
0,10,10,74.31,74.85,2,11,1539696665029
0,11,10,74.31,74.85,2,13,1539696665041
0,12,10,74.31,74.85,2,13,1539696665041
0,11,10,74.34,74.85,2,13,1539696665103
0,10,11,74.34,74.78,2,2,1539696665186
0,12,11,74.34,74.78,2,2,1539696665186
0,11,11,74.34,74.78,2,2,1539696665186
0,12,11,74.34,74.7,2,2,1539696665433
0,10,11,74.34,74.7,2,2,1539696665433
0,11,11,74.34,74.7,2,2,1539696665433
0,10,10,74.34,74.7,2,2,1539696665437
0,12,12,74.34,74.7,2,2,1539696665437
0,11,12,74.34,74.78,2,2,1539696665437
0,11,12,74.34,74.71,2,2,1539696665437
0,10,11,74.34,74.8,2,2,1539696665437
0,11,10,74.34,74.85,2,12,1539696665437
0,11,11,74.34,74.8,2,2,1539696665437
0,12,12,74.34,74.8,2,2,1539696665438
0,10,11,74.34,74.8,2,2,1539696665438
0,10,11,74.34,74.8,2,1,1539696665438
0,11,11,74.34,74.8,2,2,1539696665439
0,11,12,74.34,74.8,2,1,1539696665440
0,12,12,74.34,74.8,2,2,1539696665440
0,11,10,74.34,74.85,2,11,1539696665440
0,10,11,74.34,74.78,2,2,1539696665561
0,12,11,74.34,74.78,2,2,1539696665561
0,11,11,74.34,74.78,2,2,1539696665561
0,10,10,74.34,74.78,2,2,1539696665562
0,12,12,74.34,74.78,2,2,1539696665562
0,11,12,74.34,74.79,2,2,1539696665562
0,11,10,74.34,74.85,2,11,1539696665562
0,10,10,74.34,74.85,2,11,1539696665563
0,12,10,74.34,74.85,2,13,1539696665563
0,12,11,74.34,74.76,2,2,1539696665691
0,11,11,74.34,74.76,2,2,1539696665691
0,10,11,74.34,74.75,2,1,1539696666941
0,10,11,74.34,74.68,2,2,1539696667033
0,11,11,74.34,74.68,2,2,1539696667033
0,12,11,74.34,74.68,2,2,1539696667033
0,10,10,74.34,74.68,2,2,1539696667037
0,12,12,74.34,74.68,2,2,1539696667037
0,11,11,74.34,74.75,2,1,1539696667037
0,11,12,74.34,74.69,2,2,1539696667037
0,10,11,74.34,74.75,2,3,1539696667131
0,12,11,74.34,74.75,2,3,1539696667131
0,11,11,74.34,74.75,2,3,1539696667132
0,12,12,74.34,74.75,2,2,1539696667179
0,10,10,74.34,74.75,2,2,1539696667179
0,11,11,74.34,74.75,2,1,1539696667179
0,12,11,74.34,74.67,2,2,1539696667269
0,10,11,74.34,74.67,2,2,1539696667269
0,11,11,74.34,74.67,2,2,1539696667270
0,10,12,74.34,74.67,2,2,1539696667275
0,11,11,74.34,74.75,2,1,1539696667275
0,12,12,74.34,74.67,2,2,1539696667275
0,12,11,74.34,74.67,2,2,1539696667557
0,10,11,74.34,74.67,2,2,1539696667557
0,11,11,74.34,74.67,2,2,1539696667557
0,10,10,74.34,74.67,2,2,1539696667559
0,11,12,74.34,74.68,2,2,1539696667559
0,12,12,74.34,74.67,2,2,1539696667559
0,11,11,74.34,74.75,2,1,1539696667559
0,12,11,74.34,74.67,2,2,1539696668657
0,10,11,74.34,74.67,2,2,1539696668657
0,11,11,74.34,74.67,2,2,1539696668657
0,10,10,74.34,74.67,2,2,1539696668658
0,11,12,74.34,74.68,2,2,1539696668659
0,12,12,74.34,74.67,2,2,1539696668659
0,11,11,74.34,74.75,2,1,1539696668659
0,12,11,74.34,74.67,2,2,1539696668872
0,10,11,74.34,74.67,2,2,1539696668872
0,11,11,74.34,74.67,2,2,1539696668872
0,10,10,74.34,74.67,2,2,1539696668874
0,12,12,74.34,74.67,2,2,1539696668874
0,11,11,74.34,74.75,2,1,1539696668874
0,10,11,74.34,74.67,2,2,1539696669112
0,11,11,74.34,74.67,2,2,1539696669112
0,12,11,74.34,74.67,2,2,1539696669112
0,12,12,74.34,74.67,2,2,1539696669114
0,10,12,74.34,74.67,2,2,1539696669114
0,11,11,74.34,74.75,2,1,1539696669114
0,11,12,74.34,74.68,2,2,1539696669114
0,11,11,74.34,74.75,2,3,1539696669115
0,12,11,74.34,74.75,2,3,1539696669115
0,12,12,74.34,74.75,2,2,1539696669116
0,10,10,74.34,74.75,2,2,1539696669116
