c,bE,aE,bP,aP,bS,aS,t
0,8,8,17.85,17.94,1,18,1539820800000
0,11,12,17.81,17.94,5,2,1539820800011
0,11,11,17.81,17.95,5,2,1539820800048
0,11,11,17.66,30,10,1,1539849600035
0,11,11,17.66,22.01,10,2,1539849600035
0,11,11,17.66,,10,,1539849600035
0,11,11,17.66,18.08,10,5,1539849600036
0,11,11,17.73,18.08,5,5,1539849600036
0,8,11,17.76,18.08,20,5,1539860400090
0,11,11,17.8,18.08,9,5,1539860407071
0,11,11,17.8,18.08,7,5,1539860960801
0,11,11,17.8,18.07,7,10,1539861821538
0,11,11,17.9,18.07,2,10,1539862781389
0,11,11,17.9,18.07,1,10,1539863386874
0,8,11,17.85,18.07,2,10,1539863387497
0,11,11,17.86,18.07,5,10,1539864183132
0,11,11,17.86,18,5,250,1539865566763
0,11,11,17.86,18,4,250,1539865812393
0,11,8,17.86,17.99,4,10,1539866114113
0,11,8,17.86,17.87,4,3,1539867541454
0,11,8,17.86,17.99,4,10,1539867541460
0,12,8,17.87,17.99,1,10,1539867601247
0,11,8,17.86,17.99,4,10,1539867701602
0,11,12,17.86,17.94,4,1,1539868061099
0,8,12,17.85,17.94,2,1,1539868061099
0,8,18,17.85,17.92,2,1,1539868061100
0,11,18,17.8,17.92,9,1,1539868061100
0,11,19,17.8,17.97,9,5,1539868061130
0,11,8,17.8,17.99,9,10,1539868061216
0,11,11,17.8,17.98,9,2,1539868514828
0,11,8,17.8,17.99,9,10,1539868815559
0,11,11,17.8,17.97,9,2,1539868815563
0,11,11,17.8,17.97,10,2,1539868999221
0,11,8,17.8,17.99,10,10,1539869220010
0,11,8,17.88,17.99,1,10,1539869220010
0,19,8,17.88,17.99,2,10,1539869220011
0,12,8,17.88,17.99,1,10,1539869220011
0,11,8,17.8,17.99,10,10,1539869220011
0,18,8,17.88,17.99,1,10,1539869220011
0,8,8,17.88,17.99,1,10,1539869220011
0,11,8,17.83,17.99,1,10,1539869220012
0,18,8,17.83,17.99,1,10,1539869220042
0,19,8,17.83,17.99,1,10,1539869220042
0,8,8,17.83,17.99,1,10,1539869220042
0,12,8,17.83,17.99,1,10,1539869220042
0,7,8,17.83,17.99,1,10,1539869220042
0,11,8,17.8,17.99,10,10,1539869220043
0,11,8,17.89,17.99,1,10,1539869255010
0,19,8,17.89,18.05,2,30,1539869255010
0,19,8,17.89,17.99,2,10,1539869255010
0,7,8,17.89,18.05,1,30,1539869255040
0,8,8,17.89,18.05,1,30,1539869255040
0,18,8,17.89,18.05,1,30,1539869255040
0,12,8,17.89,18.05,1,30,1539869255040
0,12,8,17.87,18.05,1,30,1539869255041
0,11,8,17.8,18.05,10,30,1539869255041
0,8,11,17.76,17.99,20,1,1539869294691
0,8,8,17.76,18.05,20,30,1539869294691
0,8,19,17.76,17.99,20,3,1539869294691
0,8,19,17.76,17.95,20,5,1539869294697
0,8,19,17.76,17.91,20,1,1539869294697
0,8,8,17.76,17.8,20,1,1539869294702
0,11,8,17.78,17.8,1,1,1539869294703
0,8,8,17.76,17.8,20,1,1539869294703
0,8,8,17.76,17.8,20,1,1539869294704
0,8,8,17.78,17.8,1,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,12,8,17.78,17.8,1,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,11,8,17.78,17.8,1,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,11,8,17.78,17.8,1,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,18,8,17.78,17.8,1,1,1539869294704
0,11,8,17.78,17.8,1,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,18,8,17.78,17.8,1,1,1539869294704
0,8,8,17.78,17.8,17,1,1539869294704
0,8,8,17.78,17.8,16,1,1539869294704
0,8,8,17.78,17.8,16,1,1539869294704
0,11,8,17.79,17.8,1,1,1539869294704
0,8,8,17.78,17.8,16,1,1539869294704
0,8,8,17.79,17.8,1,1,1539869294704
0,11,8,17.79,17.8,1,1,1539869294704
0,8,8,17.78,17.8,16,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294704
0,12,8,17.78,17.8,1,1,1539869294704
0,8,8,17.76,17.8,20,1,1539869294705
0,8,8,17.76,17.8,20,1,1539869294705
0,8,8,17.79,17.8,1,1,1539869294705
0,12,8,17.79,17.8,1,1,1539869294705
0,11,17,17.78,17.95,1,5,1539869294705
0,11,8,17.78,17.8,1,1,1539869294705
0,12,17,17.79,17.95,1,5,1539869294705
0,11,17,17.78,17.95,1,5,1539869294705
0,19,17,17.84,17.95,19,5,1539869294705
0,19,8,17.84,18.05,19,30,1539869294867
0,8,8,17.76,18.05,20,30,1539869294954
0,11,8,17.84,18.05,3,30,1539869315037
0,19,8,17.84,18.05,5,30,1539869315038
0,19,8,17.84,18.05,6,30,1539869315039
0,19,8,17.84,18.05,5,30,1539869317041
0,7,8,17.84,18.05,1,30,1539869317041
0,7,8,17.82,18.05,3,30,1539869317041
0,19,8,17.82,18.05,9,30,1539869317041
0,8,8,17.76,18.05,20,30,1539869317041
0,19,8,17.84,18.05,1,30,1539869317041
0,8,8,17.76,18.05,20,30,1539869319046
0,11,8,17.9,18.05,8,30,1539869322195
0,19,11,17.84,18.04,1,1,1539869331724
0,19,8,17.84,18.05,1,30,1539869331724
0,19,19,17.84,18.04,1,3,1539869331724
0,19,8,17.84,17.9,1,1,1539869331728
0,8,8,17.76,17.9,20,1,1539869332023
0,11,8,17.83,17.9,1,1,1539869335014
0,11,8,17.83,18.05,1,30,1539869335014
0,8,8,17.83,18.05,1,30,1539869335044
0,12,8,17.83,18.05,1,30,1539869335044
0,18,8,17.83,18.05,1,30,1539869335044
0,8,8,17.76,18.05,20,30,1539869335044
0,8,11,17.76,18,20,1,1539869381595
0,8,8,17.76,17.95,20,1,1539869384362
0,8,8,17.76,18.05,20,30,1539869395963
0,8,11,17.76,18,20,1,1539869395964
0,8,8,17.76,17.85,20,1,1539869395968
0,11,8,17.8,17.85,1,1,1539869396015
0,8,8,17.76,17.85,20,1,1539869396015
0,11,8,17.8,17.85,1,1,1539869396015
0,19,8,17.8,17.85,1,1,1539869396015
0,18,8,17.8,17.85,1,1,1539869396015
0,8,8,17.8,17.85,1,1,1539869396015
0,8,8,17.76,17.85,20,1,1539869396015
0,7,8,17.8,17.85,1,1,1539869396015
0,12,8,17.8,17.85,1,1,1539869396015
0,8,8,17.76,17.85,20,1,1539869396015
0,8,8,17.76,17.85,20,1,1539869396015
0,10,10,17.82,17.85,1,3,1539869400932
0,10,10,17.81,17.85,3,3,1539869400938
0,10,17,17.81,17.84,3,1,1539869400945
0,10,17,17.81,17.84,5,1,1539869401011
0,10,10,17.81,17.84,5,3,1539869401195
0,10,10,17.81,17.84,3,3,1539869401195
0,19,10,17.81,17.84,4,3,1539869401301
0,10,10,17.81,17.84,5,3,1539869401301
0,10,10,17.81,17.84,6,3,1539869401939
