c,bE,aE,bP,aP,bS,aS,t
0,11,11,55,80.45,3,5,1537948800032
0,11,11,70.55,80.45,1,5,1537948800033
0,11,11,70.56,80.45,1,5,1537953903763
0,11,11,70.55,80.45,1,5,1537953905537
0,8,11,71,80.45,1,5,1537959600118
0,8,8,71,78.5,1,10,1537959604804
0,8,8,72.6,78.5,6,10,1537959622320
0,8,8,71,78.5,1,10,1537959670733
0,11,8,71.7,78.5,6,10,1537959670857
0,8,8,71,78.5,1,10,1537959692060
0,8,8,71.07,78.5,6,10,1537959721782
0,8,8,74,78.5,4,10,1537959921947
0,8,8,71.07,78.5,6,10,1537959949709
0,8,8,75,78.5,4,10,1537959954755
0,8,11,75,77,4,1,1537959985050
0,8,11,75,77,4,4,1537960304829
0,11,11,75.88,77,6,4,1537960305987
0,11,11,75.88,77,6,3,1537960328333
0,11,11,75.88,77,6,2,1537960784140
0,8,11,75.98,77,6,2,1537960811182
0,11,11,75.88,77,6,2,1537960927517
0,11,11,75.97,77,6,2,1537960927632
0,11,11,75.88,77,6,2,1537960936788
0,8,11,75.98,77,6,2,1537960936879
0,8,8,75.98,78.5,6,10,1537960986575
0,11,8,77,78.5,7,10,1537960986688
0,8,8,76.1,78.5,2,10,1537961027536
0,8,12,76.1,77.3,2,1,1537961066138
0,11,12,76.12,77.3,2,1,1537961084582
0,8,12,76.1,77.3,2,1,1537961185901
0,11,12,76.12,77.3,2,1,1537961204069
0,11,12,76.14,77.3,1,1,1537961290937
0,8,12,76.15,77.3,1,1,1537961342982
0,8,12,76.15,77.3,3,1,1537961356643
0,8,12,76.15,77.3,2,1,1537961386139
0,8,8,76.15,78.5,2,10,1537961534328
0,11,8,76.14,78.5,1,10,1537961536081
0,11,8,76.16,78.5,2,10,1537961536184
0,11,12,76.16,77.3,2,1,1537961574002
0,11,8,76.16,78.5,2,10,1537961589198
0,11,8,76.16,78.5,3,10,1537961593753
0,11,8,77.3,78.5,1,10,1537961645372
0,11,8,77.3,78.5,2,10,1537961713202
0,11,8,77.31,78.5,1,10,1537961727811
0,11,8,77.3,78.5,2,10,1537961740301
0,11,12,77.3,78.45,2,10,1537961752327
0,8,12,77.3,78.45,1,10,1537961788064
0,11,12,76.16,78.45,1,10,1537961788065
0,11,12,76.16,77,1,6,1537961788069
0,8,12,76.1,77,2,6,1537961817270
0,8,11,76.1,76.16,2,6,1537961817737
0,8,11,76.1,76.16,1,6,1537961823792
0,11,11,75.5,76.16,4,6,1537961825016
0,11,11,75.5,76.16,3,6,1537961832976
0,11,11,75.5,76.16,3,5,1537961899867
0,11,11,75.5,76.16,3,4,1537961908838
0,11,11,76,76.16,1,4,1537961968758
0,11,11,76,76.16,1,3,1537961971069
0,11,11,76,76.16,1,2,1537961971712
0,11,12,76,77,1,6,1537961974024
0,11,12,76,77,2,6,1537961980697
0,11,12,76.01,77,1,6,1537961986301
0,8,12,76.16,77,1,6,1537962023083
0,11,12,76.01,77,2,6,1537962062500
0,11,11,76.01,78,2,1,1537962101900
0,11,12,76.01,78,2,6,1537962101902
0,11,11,76.01,78,2,1,1537962108942
0,11,12,76.01,78,2,6,1537962115462
0,8,12,76.16,78,1,6,1537962116739
0,8,11,76.16,78,1,1,1537962122957
0,12,11,76.4,78,2,1,1537962129928
0,11,11,76.41,78,1,1,1537962164071
0,11,11,76.5,78,1,1,1537962171458
0,11,11,76.41,78,1,1,1537962189628
0,11,11,76.5,78,1,1,1537962225386
0,11,11,76.55,78,10,1,1537962236839
0,11,12,76.55,78.45,10,15,1537962244955
0,11,11,76.55,78,10,10,1537962262386
0,12,11,77.7,78,1,10,1537962264423
0,11,11,76.55,78,10,10,1537962267153
0,11,11,76.56,78,1,10,1537962317775
0,11,11,76.56,77.85,1,6,1537962339512
0,11,11,76.57,77.85,1,6,1537962403630
0,11,11,76.6,77.85,1,6,1537962417059
0,11,12,76.6,77,1,6,1537962440798
0,11,12,76.57,77,1,6,1537962464177
0,11,12,76.61,77,1,6,1537962474450
0,8,12,76.62,77,1,6,1537962486185
0,8,12,76.62,77,2,6,1537962497719
0,8,12,76.62,77,1,6,1537962514969
0,11,12,76.55,77,10,6,1537962579992
0,11,12,76.5,77,1,6,1537962592047
0,11,12,76.55,77,5,6,1537962592047
0,11,11,76.2,76.5,5,1,1537962596344
0,11,12,76.2,77,5,6,1537962598594
0,11,12,76.2,77,4,6,1537962599539
0,11,12,76.2,77,4,5,1537962611221
0,11,12,76.2,77,2,5,1537962634087
0,11,8,76.2,76.9,2,5,1537962638414
0,8,8,76.3,76.9,1,5,1537962679476
0,8,8,76.3,76.9,1,4,1537962733907
0,11,8,76.31,76.9,1,4,1537962828876
0,11,12,76.31,77,1,5,1537962829406
0,8,12,76.3,77,1,5,1537962868157
0,8,12,76.3,77,1,4,1537962940606
0,8,11,77,77.75,14,10,1537963088353
0,8,11,76.3,77.75,1,10,1537963088353
0,8,11,77,77.75,10,10,1537963100705
0,8,11,77,78.25,10,11,1537963146463
0,8,11,77,77.5,10,5,1537963146506
0,11,11,77.12,77.5,1,5,1537963183532
0,12,11,77.12,77.5,1,4,1537963185242
0,8,12,77.12,77.2,1,1,1537963188264
0,8,11,77.12,77.5,1,4,1537963189161
0,18,11,77.2,77.5,1,3,1537963201338
0,8,11,77.12,77.5,1,3,1537963201338
0,11,11,77.25,77.5,1,3,1537963201389
0,12,11,77.25,77.5,1,2,1537963205228
0,7,11,77.3,77.5,1,2,1537963205946
0,7,11,77.3,78,1,5,1537963206791
0,18,11,77.3,78,1,5,1537963206792
0,12,11,77.25,78,1,5,1537963206792
0,12,11,77.4,78,1,5,1537963206872
0,11,11,77.25,78,1,5,1537963225630
0,12,11,77.25,77.95,1,5,1537963235634
0,11,11,77.25,77.95,1,5,1537963243041
0,12,11,77.25,77.9,1,5,1537963258167
0,12,11,77.25,77.95,1,5,1537963280246
0,12,11,77.25,77.85,1,5,1537963280286
0,12,11,77.25,77.95,1,5,1537963335121
0,11,11,77.9,77.95,2,5,1537963335826
0,11,11,77.9,77.95,2,4,1537963337153
0,11,11,77.9,78.25,2,11,1537963337796
0,12,11,77.25,78.25,1,11,1537963378123
0,12,7,77.25,78.18,1,1,1537963378124
0,12,18,77.25,78.12,1,1,1537963382304
0,12,11,77.25,78.25,1,11,1537963382368
0,12,7,77.25,78.12,1,1,1537963382368
0,12,11,77.25,78,1,1,1537963382503
0,11,11,78,78.25,16,11,1537963402522
0,11,11,78,78.25,16,10,1537963405141
0,18,11,78.05,78.25,1,10,1537963405260
0,18,11,78.05,78.25,1,9,1537963405416
0,7,11,78.05,78.25,1,9,1537963405417
0,2,11,78.05,78.25,1,9,1537963405417
0,12,11,78.05,78.25,1,9,1537963405417
0,11,11,78,78.25,16,9,1537963405417
0,11,11,78,78.25,16,8,1537963406026
0,18,11,78.05,78.25,1,8,1537963406027
0,7,11,78.05,78.25,1,7,1537963406078
0,18,11,78.05,78.25,1,7,1537963406078
0,11,11,78,78.25,16,7,1537963406078
0,12,11,78.05,78.25,1,7,1537963406079
0,12,11,78.05,78.25,2,7,1537963406079
0,12,11,78.05,78.25,2,6,1537963406200
0,12,11,78.05,78.25,1,6,1537963406201
0,11,11,78,78.25,16,6,1537963406201
0,11,8,78,78.26,16,1,1537963406320
0,11,11,78,78.25,16,5,1537963406320
0,12,8,78.05,78.26,2,1,1537963406321
0,18,8,78.05,78.26,1,1,1537963406321
0,17,8,78.07,78.26,1,1,1537963406321
0,17,12,78.07,78.45,1,15,1537963406344
0,12,12,78.05,78.45,1,15,1537963406345
0,12,12,78.05,78.45,2,15,1537963406345
0,11,12,78,78.45,16,15,1537963406345
0,11,12,78.25,78.45,1,15,1537963406451
0,11,12,78.25,78.45,1,14,1537963406569
0,18,12,78.29,78.45,1,13,1537963406807
0,11,12,78.25,78.45,1,13,1537963406807
0,7,12,78.29,78.45,1,4,1537963406821
