c,bE,aE,bP,aP,bS,aS,t
0,11,11,100.01,118,1,2,1539907200051
0,8,11,99,106.5,1,4,1539946800295
0,8,8,99,115.43,1,5,1539946800298
0,8,8,99,106.5,1,4,1539946800301
0,11,8,100.01,106.5,1,4,1539946805646
0,11,8,100.01,106.5,2,4,1539946808653
0,11,8,102.12,106.5,1,4,1539946808964
0,11,8,100.01,106.5,2,4,1539947147754
0,11,8,101.12,106.5,1,4,1539947147853
0,11,8,101.12,108,1,4,1539947539685
0,11,8,101.12,109,1,4,1539947544842
0,11,8,101.12,115.43,1,5,1539947552104
0,11,8,101.12,115,1,4,1539947558655
0,11,8,100.01,115,2,4,1539948431927
0,11,8,101.55,115,1,4,1539948432026
0,11,8,100.01,115,2,4,1539948546903
0,11,8,101.95,115,1,4,1539948547003
0,11,11,101.95,111.82,1,1,1539948719121
0,11,11,101.95,110,1,1,1539949339451
0,11,11,100.01,110,2,1,1539949604831
0,11,11,102.15,110,1,1,1539949604929
0,11,11,100.01,110,2,1,1539950357279
0,11,11,100.01,102.75,2,1,1539950472838
0,11,11,100.25,102.75,1,1,1539950510367
0,11,11,100.25,110,1,1,1539950544460
0,11,11,100.25,102.45,1,1,1539950562567
0,11,11,100.25,110,1,1,1539950593745
0,11,11,100.25,102.35,1,1,1539950599928
0,11,11,100.5,102.35,10,1,1539950681789
0,11,11,100.5,110,10,1,1539950732069
0,11,11,100.5,102.7,10,2,1539950769146
0,11,11,101.75,102.7,1,2,1539950793332
0,11,11,101.75,102.7,1,1,1539951098383
0,7,11,101.94,102.7,1,1,1539951098384
0,7,11,101.94,110,1,1,1539951101411
0,18,11,101.94,110,1,1,1539951101411
0,11,11,101.75,110,1,1,1539951101411
0,11,11,102.7,110,4,1,1539951156263
0,11,11,103,110,2,1,1539951393672
0,11,11,103,103.7,2,1,1539951425543
0,18,11,103.1,103.7,1,1,1539951727402
0,18,11,103.1,110,1,1,1539951729738
0,11,11,103,110,2,1,1539951729739
0,12,11,103.3,110,1,1,1539951747289
0,11,7,103,108.66,2,1,1539951870067
0,11,11,103,110,2,1,1539951870067
0,11,11,103,110,2,1,1539951887098
0,11,18,103,108.66,2,1,1539951887098
0,11,18,103,108.6,2,1,1539952107048
0,11,18,103,107.48,2,1,1539952107049
0,11,12,103,105,2,4,1539952122413
0,11,7,103,104.6,2,1,1539952132147
0,11,12,103,105,2,4,1539952200088
0,11,7,103,104.6,2,1,1539953148373
0,11,18,103,104.28,2,1,1539953212875
0,11,18,103,104.6,2,2,1539953212875
0,11,12,103,104.6,2,1,1539953212941
0,11,17,103,104.6,2,1,1539953212957
0,11,12,103,105,2,4,1539953213043
0,11,12,103,105,3,4,1539954540074
0,11,12,103,105,2,4,1539954541985
0,11,12,103,104.6,2,1,1539954550206
0,11,17,103,104.5,2,1,1539954550206
0,11,12,103,105,2,4,1539955022138
0,11,12,103.5,105,1,4,1539955602067
0,18,12,103.8,105,1,4,1539955730006
0,18,12,103.8,105,1,2,1539955730006
0,18,12,104.04,105,1,1,1539955731276
0,18,12,103.8,105,1,1,1539955731276
0,11,12,103.1,105,3,1,1539955731608
0,11,18,103.1,108.68,3,1,1539955732082
0,12,18,103.48,108.68,1,1,1539955732082
0,17,18,103.58,108.68,1,1,1539955732083
0,17,12,103.58,109.2,1,3,1539955732084
0,17,12,103.58,108.99,1,8,1539955732084
0,17,12,103.58,109.2,1,2,1539955732084
0,17,12,103.58,109.2,1,1,1539955732085
0,17,11,103.58,110,1,1,1539955732094
0,11,11,105.1,110,5,1,1539955733652
0,11,11,105.1,110,4,1,1539955733660
0,11,11,105.2,110,3,1,1539955733938
0,11,11,105.2,110,7,1,1539955734219
0,11,11,105.2,110,9,1,1539955740046
0,11,11,105.2,110,6,1,1539955745951
0,11,11,105.2,110,2,1,1539955746226
0,11,11,103,110,2,1,1539955752052
0,11,11,104.95,110,2,1,1539955770054
0,11,11,104.95,110,9,1,1539955780053
0,11,11,104.95,110,8,1,1539955782067
0,11,11,104.95,110,7,1,1539955782067
0,11,11,104.95,110,1,1,1539955785062
0,11,12,104.95,107.95,1,1,1539955800468
0,19,12,106,107.95,8,1,1539955862400
0,19,12,106,107.95,8,2,1539955862402
0,11,12,104.95,107.95,1,2,1539955862410
0,11,12,107.04,107.95,1,2,1539955940003
0,11,12,104.95,107.95,1,2,1539955940017
0,12,12,106.5,107.95,1,2,1539955940018
0,11,19,104.95,107.66,1,1,1539955940019
0,11,12,104.95,107.95,1,2,1539955940019
0,11,19,107.04,107.66,1,1,1539955940019
0,11,12,107.04,107.66,1,1,1539955940020
0,11,12,107.04,107.66,1,1,1539955940020
0,11,17,107.04,107.66,1,1,1539955940020
0,11,12,107.04,107.66,1,2,1539955940022
0,19,12,105.55,107.66,1,2,1539955940030
0,11,12,105.55,107.66,1,2,1539955940050
0,11,17,105.55,107.66,1,1,1539955940069
0,11,12,105.55,107.66,1,1,1539955940241
0,12,12,105.55,107.66,1,1,1539955941046
0,12,19,105.55,107.4,1,1,1539955980125
0,19,19,105.55,107.4,1,1,1539955980127
0,12,12,105.55,107.4,1,1,1539955980224
0,12,8,105.55,106.49,1,1,1539955999610
0,19,8,105.13,106.49,1,1,1539955999611
0,19,8,103.69,106.49,1,1,1539955999611
0,19,12,103.69,106.49,1,2,1539955999622
0,12,12,103.69,106.49,1,2,1539956003734
0,19,19,103.69,106.49,1,1,1539956005001
0,12,19,104.25,106.53,1,1,1539956005001
0,12,19,104.25,106.49,1,1,1539956005001
0,17,19,104.39,106.53,1,1,1539956005001
0,19,19,105.09,106.53,1,1,1539956005001
0,2,19,105.37,106.53,1,1,1539956005005
0,2,19,105.37,107.41,1,1,1539956005022
0,19,19,105.09,107.41,1,1,1539956005023
0,12,19,104.7,107.41,1,1,1539956005031
0,17,19,104.7,107.41,1,1,1539956005068
0,19,19,103.69,107.41,1,1,1539956005236
0,12,12,103.69,107.41,1,1,1539956020149
0,19,19,103.69,107.83,1,1,1539956020149
0,12,19,103.69,107.93,1,1,1539956020150
0,12,12,103.69,107.95,1,1,1539956020150
0,12,12,103.69,106.95,1,1,1539956101281
0,12,12,103.69,107.78,1,1,1539956101889
0,12,19,103.69,107.37,1,1,1539956101889
0,12,12,103.69,107.95,1,1,1539956101915
0,12,11,103.69,107.25,1,1,1539956109702
0,10,10,105.5,105.76,2,2,1539956169096
0,10,10,105.5,106,2,14,1539956169096
0,10,10,105.5,106,1,14,1539956169096
0,12,10,103.69,106,1,14,1539956169096
0,17,10,103.69,106,2,14,1539956169097
0,12,10,103.69,106,1,14,1539956169099
0,17,10,103.69,106,2,14,1539956169099
0,17,10,103.69,106,2,13,1539956169103
0,17,8,103.69,105.75,2,1,1539956169105
0,17,10,103.69,106,2,13,1539956169106
0,17,11,103.69,105.99,2,1,1539956169108
0,17,10,103.69,105.99,2,2,1539956169122
0,10,10,105.18,105.99,1,2,1539956169144
0,3,10,105.18,105.99,1,2,1539956169173
0,3,17,105.18,105.98,1,1,1539956169236
0,3,10,105.18,105.99,1,2,1539956169307
0,3,17,105.18,105.99,1,2,1539956172235
0,10,17,105.18,105.99,1,2,1539956172243
0,3,17,105.18,105.99,1,2,1539956172274
0,12,17,105.18,105.99,2,2,1539956172545
0,12,10,105.18,105.99,2,2,1539956174850
0,12,10,105.18,105.98,2,1,1539956192549
0,17,10,105.18,105.98,2,1,1539956195906
0,17,12,105.18,105.98,2,1,1539956201096
0,17,15,105.18,105.98,2,1,1539956202049
0,17,12,105.18,105.98,2,1,1539956202058
0,17,12,105.18,105.98,2,2,1539956203534
0,12,12,105.18,105.98,1,2,1539956203570
0,15,12,105.17,105.19,1,1,1539956203570
0,15,12,105.17,105.18,1,1,1539956203570
0,15,12,105.17,105.98,1,2,1539956203570
0,10,12,104.86,105.18,1,1,1539956203570
0,10,12,104.75,105.18,1,1,1539956203571
0,10,17,104.75,105.82,1,1,1539956203572
0,10,17,104.65,105.82,1,1,1539956203572
0,10,17,104.65,105.82,1,1,1539956203576
0,10,17,104.75,105.82,1,1,1539956203576
0,10,17,104.94,105.82,1,1,1539956203576
0,19,8,104.94,105.41,1,1,1539956203577
0,10,8,104.94,105.41,1,1,1539956203577
0,10,8,104.99,105.41,1,1,1539956203577
0,10,8,104.99,105.37,1,1,1539956203581
0,19,8,104.99,105.37,1,1,1539956203581
0,10,8,105.04,105.37,1,1,1539956203581
0,19,8,104.99,105.37,1,1,1539956203583
0,8,8,104.97,105.37,1,1,1539956203584
0,8,8,104.97,105.33,1,1,1539956203591
0,8,8,104.93,105.33,1,1,1539956203591
0,19,8,104.94,105.33,1,1,1539956203591
0,8,12,104.97,105.36,1,1,1539956203591
0,10,8,104.65,105.33,1,1,1539956203591
0,10,18,104.65,105.13,1,1,1539956203592
0,10,18,104.65,105.13,1,1,1539956203592
0,10,2,104.65,105.28,1,1,1539956203592
0,8,18,104.97,105.13,1,1,1539956203592
0,10,18,104.65,105.13,1,1,1539956203592
0,10,8,104.65,105.33,1,1,1539956203622
0,12,8,104.65,105.33,1,1,1539956203626
0,12,8,104.65,105.29,1,1,1539956203700
0,12,8,104.65,105.29,2,1,1539956203700
0,12,8,104.65,105.25,2,1,1539956203721
0,12,8,104.65,105.21,2,1,1539956203807
0,12,8,104.65,105.17,2,1,1539956203812
0,12,8,104.65,105.13,2,1,1539956203827
0,12,8,104.65,105.09,2,1,1539956203842
0,12,8,104.65,105.05,2,1,1539956203977
0,12,8,104.65,105.01,2,1,1539956204040
0,12,8,104.65,105.01,1,1,1539956204042
0,10,8,104.27,105.01,1,1,1539956204042
