c,bE,aE,bP,aP,bS,aS,t
0,11,12,46.8,47.05,2,2,1538524800010
0,11,11,40.15,53.6,2,1,1538553600036
0,11,11,40.29,53.6,1,1,1538553600037
0,11,11,43.15,53.6,1,1,1538553600037
0,11,11,43.15,52.27,1,3,1538553600038
0,11,11,43.15,49.34,1,2,1538553600038
0,11,11,43.16,49.34,2,2,1538554389617
0,11,11,43.16,49.34,2,3,1538560325310
0,11,11,43.16,50.27,2,1,1538561004625
0,11,11,47,50.27,1,1,1538561056659
0,11,11,48.64,50.27,1,1,1538561117053
0,11,11,48.67,50.27,1,1,1538561134857
0,11,11,47,50.27,1,1,1538561181168
0,11,11,47,48.67,1,1,1538561181832
0,11,11,47,50.27,1,1,1538561183589
0,11,11,47,50,1,3,1538561290362
0,11,11,43.16,50,2,3,1538561417973
0,11,11,45.26,50,1,3,1538561422860
0,11,11,45.27,50,2,3,1538561629012
0,11,11,45.27,50,2,18,1538561754294
0,11,11,45.26,50,1,18,1538561760997
0,11,11,49.34,50,4,18,1538561793519
0,11,11,49.34,50,6,18,1538562173489
0,11,11,49.34,50,6,7,1538562342611
0,11,12,49.34,49.95,6,1,1538562450301
0,11,12,49.34,49.95,6,2,1538562450323
0,11,12,45.26,49.95,1,2,1538562486866
0,11,12,49.34,49.95,5,2,1538562503542
0,11,11,49.34,50,5,10,1538562541363
0,11,12,49.34,49.95,5,1,1538562541363
0,11,12,49.34,49.95,5,1,1538562541363
0,11,11,49.34,50,5,10,1538562541365
0,11,12,49.34,49.95,5,1,1538562541365
0,12,12,45.34,49.95,5,1,1538562544487
0,11,12,49.34,49.95,5,1,1538562544766
0,11,11,49.34,50,5,10,1538562602736
0,11,11,49.95,50,3,10,1538562602738
0,11,11,49.34,50,5,10,1538562602805
0,12,11,45.35,50,3,10,1538562603142
0,12,11,45.35,49.3,3,1,1538562603145
0,11,11,45.45,49.3,1,1,1538562631778
0,12,11,45.45,49,1,1,1538562674439
0,12,11,45.45,49.25,1,1,1538562697051
0,12,11,45.45,49.05,1,1,1538563215039
0,11,11,45.45,49.05,1,1,1538563237387
0,12,11,45.45,49.25,1,2,1538563402716
0,12,11,45.45,48.9,1,1,1538563402718
0,11,11,46,48.9,1,1,1538563473793
0,11,11,46,49.25,1,2,1538563552328
0,11,11,46,48.75,1,1,1538563552329
0,11,11,46,49.25,1,2,1538563741790
0,11,11,46,48.55,1,1,1538563741792
0,11,11,46.05,48.55,1,1,1538563757722
0,12,11,46.05,48.5,1,1,1538563897635
0,11,11,46.05,48.5,6,1,1538564135230
0,12,11,46.05,48.5,1,1,1538564138386
0,8,11,48.31,48.5,1,1,1538564400002
