c,bE,aE,bP,aP,bS,aS,t
0,11,11,132.32,161,1,4,1539763200056
0,11,11,134.1,161,2,4,1539763200056
0,11,11,134.1,156.45,2,2,1539763200056
0,11,11,134.1,156.45,3,2,1539763200057
0,11,11,140,156.45,1,2,1539763200058
0,11,11,147.85,156.45,4,2,1539763200058
0,11,11,153.81,156.45,4,2,1539763200058
0,11,11,145.25,156.45,1,2,1539763232303
0,11,11,153.81,156.45,1,2,1539763232309
0,11,11,145.25,156.45,1,2,1539764015431
0,11,11,152.05,156.45,1,2,1539764332860
0,11,11,145.25,156.45,1,2,1539764398032
0,11,11,153,156.45,4,2,1539764624233
0,11,11,145.25,156.45,1,2,1539764629770
0,11,11,153,156.45,1,2,1539764629772
0,11,11,152,156.45,1,2,1539765478012
0,11,11,151,156.45,1,2,1539765487063
0,11,11,150,156.45,1,2,1539765740933
0,11,11,145.25,156.45,1,2,1539766009663
0,11,11,145.26,156.45,10,2,1539766364511
0,11,11,146.55,156.45,1,2,1539766554517
0,11,11,145.26,156.45,10,2,1539766557283
0,11,12,145.26,155,10,1,1539767023952
0,12,12,145.55,155,1,1,1539767383439
0,12,12,145.56,155,1,1,1539767685221
0,12,12,145.55,155,1,1,1539767686353
0,12,12,145.56,155,1,1,1539767693891
0,12,12,145.55,155,1,1,1539767694784
0,11,12,150,155,6,1,1539767740366
0,11,12,150.01,155,5,1,1539767743800
0,11,12,150,155,6,1,1539767746738
0,12,12,150.05,155,5,1,1539767747716
0,11,12,150,155,6,1,1539767766160
0,11,11,150,154.8,6,4,1539767788721
0,11,12,150,154.79,6,1,1539767965690
0,11,11,150,154.8,6,4,1539768029662
0,11,11,150,154.4,6,1,1539768728532
0,11,11,150,153.78,6,1,1539769246355
0,11,11,150,154.4,6,1,1539769429868
0,11,11,152.02,154.4,1,1,1539770886374
0,11,11,150,154.4,6,1,1539770966089
0,12,11,145.55,154.4,1,1,1539771046875
0,11,11,148.5,154.4,6,1,1539771046878
0,11,11,148.5,153.8,6,1,1539771261660
0,11,11,148.5,154.4,6,1,1539771262490
0,12,11,149.1,154.4,2,1,1539772225449
0,12,11,149.1,153.5,2,1,1539772918851
0,11,11,153.5,154.4,1,1,1539772991178
0,12,11,149.1,154.4,2,1,1539772993123
0,11,11,150.03,154.4,2,1,1539773006756
0,11,11,150.03,153.5,2,1,1539773009129
0,11,11,150.03,154.4,2,1,1539773011547
0,12,11,149.1,154.4,2,1,1539773054275
0,8,11,150.4,154.4,1,1,1539774000202
0,8,11,150.12,154.4,1,1,1539774000202
0,8,11,150.4,154.18,1,3,1539774006725
0,8,11,150.4,153.78,1,5,1539774006739
0,11,11,152.5,153.78,2,5,1539774039593
0,7,11,152.76,153.78,1,1,1539774073883
0,11,11,152.5,153.78,2,1,1539774073883
0,18,11,152.76,153.78,1,1,1539774077697
0,11,11,152.5,153.78,2,1,1539774077697
0,8,11,150.4,153.78,1,1,1539774152973
0,11,11,152.65,153.78,2,1,1539774153014
0,11,11,152.7,153.78,2,1,1539774173031
0,11,11,152.7,154.18,2,3,1539774192697
0,11,11,153.78,154.18,1,3,1539774192879
0,11,11,152.7,154.18,2,3,1539774192910
0,11,11,153.2,154.18,6,3,1539774252897
0,11,11,153.25,154.18,20,3,1539774343919
0,11,11,153.5,154.18,6,3,1539774374506
0,8,11,153.5,154.18,19,3,1539774399265
0,8,11,153.5,154.18,19,1,1539774418605
0,8,11,153.5,154.4,19,1,1539774549961
0,11,11,154,154.4,1,1,1539774549963
0,11,11,154,154.4,3,1,1539774570007
0,11,11,154,154.4,9,1,1539774579778
0,11,11,154,154.4,7,1,1539774591574
0,11,11,154,154.8,7,4,1539774597088
0,11,11,154,154.8,6,4,1539774604252
0,11,11,154,154.8,5,4,1539774685054
0,11,11,154,154.8,5,2,1539774706018
0,11,11,154.01,154.8,3,2,1539774738779
0,11,11,154,154.8,5,2,1539774740076
0,8,11,154.01,154.8,3,2,1539774740501
0,12,11,154.5,154.8,4,2,1539774935314
0,11,11,154.8,155,3,2,1539774986918
0,11,11,154.8,155.07,3,4,1539775016050
0,11,11,154.8,155.07,3,1,1539775016054
0,11,11,154.8,156.45,3,2,1539775017329
0,11,11,155,156.45,3,2,1539775051299
0,11,11,155,156.45,4,2,1539775118966
0,11,11,155,156.45,4,3,1539775259259
0,11,11,155,156.45,3,3,1539775296297
0,11,11,155,156.4,3,1,1539775308910
0,11,11,155,155.6,3,1,1539775335210
0,11,11,154.8,155.6,3,1,1539775343535
0,11,11,155.1,155.6,3,1,1539775343541
0,11,11,155.1,155.6,6,1,1539775366161
0,11,11,155.1,155.6,6,2,1539775409989
0,12,11,155.5,155.6,5,2,1539775700026
0,12,11,155.5,155.6,5,1,1539775702232
0,11,11,155.1,155.6,6,1,1539775710009
0,11,19,155.1,155.58,6,1,1539775710010
0,11,8,155.1,155.58,6,1,1539775710189
0,11,11,155.1,155.6,6,1,1539775710189
0,11,11,155.1,155.5,6,1,1539775785084
0,11,11,155.1,155.49,6,1,1539775797582
0,11,2,155.1,155.41,6,1,1539775807374
0,11,11,155.1,155.36,6,1,1539775830611
0,11,11,155.1,155.27,6,1,1539775863988
0,11,11,155.1,155.27,3,1,1539776101593
0,11,11,155.1,155.27,6,1,1539776101600
0,11,11,155.1,155.3,6,2,1539776260722
0,11,11,155.12,155.3,1,2,1539776274338
0,11,11,155.1,155.3,6,2,1539776280855
0,11,11,155.1,155.3,5,2,1539776419075
0,11,11,155.1,155.3,4,2,1539776487598
0,11,11,155.1,155.3,3,2,1539776574049
0,11,8,155.1,155.9,3,1,1539776613492
0,8,11,155.11,155.9,5,1,1539776704103
0,11,8,155.2,155.9,19,1,1539776784884
0,11,8,155.3,155.9,5,1,1539776792593
0,11,8,155.4,155.9,1,1,1539776797464
0,11,8,155.4,155.9,6,1,1539776900073
0,11,11,155.4,155.9,6,1,1539776990094
0,12,11,155.49,155.9,1,1,1539777066576
0,11,11,155.55,155.9,2,1,1539777150934
0,12,11,155.49,155.9,1,1,1539777155771
0,12,11,155.49,155.7,1,1,1539777165069
0,12,11,155.49,155.7,1,2,1539777180216
0,12,11,155.49,155.7,1,1,1539777190040
0,12,11,155.49,155.6,1,1,1539777190146
0,12,11,155.49,155.7,1,1,1539777205768
0,11,11,155.4,155.7,6,1,1539777215073
0,11,11,155.1,155.7,3,1,1539777220425
0,11,11,155.29,155.7,7,1,1539777220426
0,11,11,155.1,155.7,3,1,1539777220427
0,11,11,155.1,155.4,3,1,1539777224242
0,11,11,155.1,155.7,3,1,1539777226662
0,11,11,155.1,155.2,3,1,1539777228127
0,11,11,155.1,155.7,3,1,1539777228959
0,11,11,155.1,155.9,3,1,1539777229708
0,11,2,155.1,155.67,3,1,1539777247172
0,11,12,155.1,155.82,3,1,1539777247172
0,11,18,155.1,155.55,3,1,1539777247174
0,11,7,155.1,155.67,3,1,1539777247174
0,11,12,155.1,155.82,3,1,1539777247201
0,11,7,155.1,155.55,3,1,1539777247201
0,11,11,155.1,155.9,3,1,1539777247291
0,11,11,155.1,155.45,3,1,1539777290558
0,11,2,155.1,155.38,3,1,1539777340304
0,11,11,155.1,155.45,3,1,1539777341112
0,11,8,155.1,155.31,3,1,1539777347334
0,11,11,155.1,155.45,3,1,1539777364847
0,11,7,155.1,155.26,3,1,1539777364853
0,11,11,155.1,155.45,3,1,1539777367802
0,11,12,155.1,155.21,3,1,1539777367807
0,11,11,155.1,155.45,3,1,1539777371481
0,11,19,155.1,155.26,3,1,1539777371486
0,11,8,155.1,155.4,3,1,1539777379980
0,11,12,155.1,155.12,3,1,1539777379985
0,11,8,155.1,155.4,3,1,1539777382820
0,11,8,155.1,155.4,2,1,1539777440623
0,11,2,155.1,155.34,2,1,1539777440624
0,11,8,155.1,155.4,1,1,1539777440654
0,11,2,155.1,155.34,1,1,1539777440654
0,11,8,154.1,155.4,1,1,1539777442657
0,11,2,154.1,155.34,1,1,1539777443236
0,11,8,154.1,155.4,1,1,1539777444149
0,11,8,154,155.4,1,1,1539777444591
0,11,11,154,155,1,1,1539777446715
0,11,8,154,155.4,1,1,1539777448203
0,11,8,155.1,155.4,3,1,1539777467556
0,11,17,155.1,155.32,3,1,1539777676465
0,11,2,155.1,155.34,3,1,1539777676465
0,11,8,155.1,155.4,3,1,1539777677162
0,11,2,155.1,155.34,3,1,1539777700985
0,11,17,155.1,155.32,3,1,1539777700985
0,11,8,155.1,155.4,3,1,1539777703786
0,11,8,155.1,155.25,3,1,1539777727715
0,11,8,155.1,155.4,3,1,1539777779666
0,11,8,155.1,155.25,3,5,1539777887447
0,11,8,155.2,155.25,1,5,1539777945183
0,11,8,155.1,155.25,3,5,1539777945763
0,11,8,155.1,155.25,3,4,1539777946494
0,11,8,154,155.25,1,4,1539778047382
0,11,12,154,155.1,1,1,1539778055772
0,11,8,154,155.25,1,4,1539778056409
