c,bE,aE,bP,aP,bS,aS,t
0,11,8,50,79,1,2,1538478000103
0,11,8,45.76,79,1,2,1538478000104
0,8,8,50,79,1,2,1538478000175
0,8,11,50,69.98,1,1,1538478007806
0,11,11,60,69.98,10,1,1538478008881
0,11,11,60,67.05,10,1,1538478008881
0,8,11,61,67.05,2,1,1538479576706
0,8,11,61,69.98,2,1,1538483427783
0,11,11,67.05,69.98,1,1,1538483427784
0,11,8,67.05,69,1,1,1538483705318
0,11,11,67.05,69.98,1,1,1538483742002
0,11,8,67.05,70,1,1,1538483818718
0,11,8,67.05,70,7,1,1538483927268
0,11,8,67.05,70,1,1,1538484074257
0,11,8,67.07,70,4,1,1538484099645
0,12,8,67.1,70,2,1,1538484324280
0,12,8,68.01,70,2,1,1538484410578
0,12,8,68.01,70,2,2,1538485140967
0,12,8,68.75,70,7,2,1538485269099
0,12,11,68.75,69.95,7,1,1538485271757
0,12,11,68.75,69.95,6,1,1538485389229
0,12,11,68.75,69.95,6,2,1538485391375
0,12,18,68.75,69.71,5,1,1538485449902
0,12,11,68.75,69.95,5,2,1538485449902
0,12,11,68.75,69.95,5,2,1538485790462
0,12,11,68.75,69.71,5,2,1538485846943
0,12,11,68.75,69.95,5,2,1538485937061
0,12,8,68.75,69.7,5,2,1538485937306
0,12,11,68.75,69.95,5,2,1538486228717
0,12,11,68.75,69.5,5,2,1538486228844
0,12,7,68.75,69.35,4,1,1538486309336
0,12,11,68.75,69.5,4,2,1538486309336
0,12,11,68.76,69.5,1,2,1538486653119
0,12,7,68.76,69.35,1,1,1538486653119
0,12,11,68.76,69.95,1,1,1538486723447
0,11,11,69.51,69.95,2,1,1538486724139
0,12,11,68.76,69.95,1,1,1538486724140
0,11,11,69.51,69.95,1,1,1538486724140
0,12,19,68.75,69.94,4,1,1538486724140
0,12,11,68.75,69.95,4,1,1538486724140
0,12,19,69.37,69.94,1,1,1538486724141
0,12,19,69.3,69.94,1,1,1538486724141
0,12,17,69.37,69.94,1,1,1538486724540
0,12,11,69.37,69.95,1,1,1538486726141
0,12,11,69.37,69.5,1,1,1538486745968
0,12,11,69.37,69.95,1,1,1538486746662
0,12,11,69.37,69.6,1,1,1538486747719
0,12,11,69.37,69.95,1,1,1538486748692
0,12,11,69.37,69.9,1,1,1538486777023
0,12,7,69.37,69.79,1,1,1538486822878
0,12,7,68.75,69.79,4,1,1538486822878
0,12,12,68.75,69.61,4,1,1538486827370
0,12,12,68.75,69.75,4,1,1538486827370
0,12,17,68.75,69.75,4,1,1538486827400
0,12,11,68.75,69.9,4,1,1538486827870
0,12,11,68.75,69.41,4,1,1538486828312
0,12,12,68.75,69.3,4,1,1538486828318
0,12,11,68.75,69.2,4,1,1538486829139
0,12,7,68.75,69.11,3,1,1538486830942
0,12,11,68.75,69.2,3,1,1538486830942
0,12,11,68.75,69.2,3,1,1538486833117
0,12,18,68.75,69.11,3,1,1538486833117
0,12,11,68.75,69,3,1,1538486837764
0,12,11,68.75,69,1,1,1538486838575
0,12,11,68.75,68.75,1,2,1538486839094
0,12,11,68.01,68.75,2,2,1538486839095
0,12,11,68.01,68.6,2,1,1538486839393
0,12,11,68.01,69,2,1,1538486841365
0,12,12,68.01,69.3,2,1,1538486862413
0,18,12,68.21,69.3,1,1,1538486862414
0,11,12,69,69.3,1,1,1538486862414
0,11,7,69,69.24,1,1,1538486868327
0,12,7,68.01,69.24,2,1,1538486875007
0,12,12,68.01,69.3,2,1,1538486875007
0,12,12,68.01,69,2,1,1538486880978
0,12,12,68.01,69,2,2,1538486881583
0,12,12,68.01,69,2,3,1538486882511
0,12,12,68.01,68.7,2,1,1538486884504
0,7,12,68.15,68.7,1,1,1538486889254
0,8,12,68.15,68.7,1,1,1538486889254
0,18,12,68.15,69,2,3,1538486889254
0,7,12,68.15,69,1,3,1538486889254
0,12,12,68.35,69,1,3,1538486889254
0,11,12,68.48,69,1,3,1538486889256
0,11,12,68.48,69,1,1,1538486889256
0,11,12,68.48,69,1,2,1538486889256
0,18,12,68.48,69.3,2,1,1538486889256
0,11,12,68.48,69.3,1,1,1538486889256
0,12,12,68.48,69.3,3,1,1538486889256
0,11,12,69,69.3,1,1,1538486889257
0,12,12,68.01,69.3,2,1,1538486890022
0,12,11,68.01,68.9,2,8,1538486895089
0,12,12,68.01,69.3,2,1,1538486907161
0,12,11,68.01,69.95,2,1,1538486908937
0,12,11,68.01,68.98,2,4,1538486915058
0,12,19,68.01,68.98,2,6,1538486915059
0,12,19,68.01,68.98,2,7,1538486915063
0,12,7,68.01,68.98,2,3,1538486917059
0,12,11,68.01,68.98,2,1,1538486917059
0,12,19,68.01,68.98,2,1,1538486919060
0,12,7,68.01,68.98,2,1,1538486919061
0,12,11,68.01,69.95,2,1,1538486919061
0,12,11,68.01,69.8,2,2,1538486923958
0,12,11,68.01,68.98,2,1,1538486925030
0,12,11,68.01,68.9,2,8,1538486925077
0,12,11,68.01,68.9,2,5,1538486928441
0,11,11,68.1,68.9,1,5,1538486932493
0,11,11,68.1,68.89,1,1,1538486934680
0,11,11,68.1,68.8,1,8,1538486940068
0,11,11,68.1,68.89,1,1,1538486945031
0,11,11,68.1,68.8,1,4,1538486945032
0,11,11,68.1,68.89,1,1,1538486945062
0,7,11,68.24,68.89,1,1,1538486945063
0,17,11,68.28,68.89,1,1,1538486945063
0,12,11,68.01,68.89,2,1,1538486946909
0,2,11,68.24,68.89,1,1,1538486946909
0,12,11,68.01,69.95,2,1,1538486946918
0,11,11,68.71,69.95,1,1,1538486952186
0,11,11,69.05,69.95,1,1,1538486953679
0,11,11,68.71,69.95,1,1,1538486953679
0,11,11,69.05,69.95,1,1,1538486953826
0,11,11,68.71,69.95,1,1,1538486954811
0,11,11,69.05,69.95,1,1,1538486954814
0,11,11,69.1,69.95,8,1,1538486955063
0,11,11,69.2,69.95,1,1,1538486956816
0,11,11,69.35,69.95,1,1,1538486957276
0,11,11,69.38,69.95,1,1,1538486961449
0,11,11,69.38,69.95,1,3,1538486968598
0,11,11,69.41,69.95,1,3,1538486968842
0,11,11,69.1,69.95,8,3,1538486984851
0,12,11,68.44,69.95,1,3,1538486985134
0,11,11,68.44,69.95,1,3,1538486985141
0,11,11,69.38,69.95,1,3,1538486990818
0,11,11,69.42,69.95,4,3,1538486992797
0,11,11,69.45,69.95,1,3,1538486993526
0,11,11,69.45,69.85,1,1,1538486995013
