c,bE,aE,bP,aP,bS,aS,t
0,8,8,71.3,88,3,2,1539946800198
0,8,11,71.3,78.35,3,1,1539948695719
0,8,8,71.3,88,3,2,1539949132883
0,8,12,71.3,78.36,3,1,1539949800451
0,8,8,71.3,88,3,2,1539950076703
0,8,11,71.3,77.7,3,10,1539950391278
0,8,11,71.3,74.7,3,1,1539950460747
0,8,11,71.3,77.7,3,10,1539950461269
0,8,8,71.3,88,3,2,1539950534882
0,8,8,71.3,75.39,3,1,1539951314446
0,8,17,71.3,75.39,3,1,1539951314519
0,8,8,71.3,88,3,2,1539951314717
0,8,8,71.3,86.25,3,1,1539951315086
0,8,11,71.3,76.25,3,5,1539951549688
0,8,8,71.3,86.25,3,1,1539951551349
0,8,11,71.3,77.95,3,1,1539951631459
0,8,11,71.3,76.84,3,1,1539951840063
0,8,11,71.3,75.99,3,1,1539953138917
0,8,11,71.3,74.88,3,1,1539953219713
0,12,11,73,74.88,1,1,1539953485724
0,8,19,71.3,74.59,3,1,1539953584540
0,12,19,73,74.59,1,1,1539953584540
0,8,12,71.3,74,3,1,1539953584540
0,8,12,71.3,73,3,1,1539953584541
0,8,11,71.3,74.88,3,1,1539953601440
0,8,12,71.3,74.5,3,1,1539953601441
0,8,11,71.3,73,3,10,1539953627680
0,8,11,71.3,73,3,9,1539953634051
0,12,11,71.5,73,1,9,1539953671260
0,11,11,71.5,73,2,9,1539954140046
0,8,11,72.25,74,1,10,1539954468730
0,11,11,71.5,74,2,10,1539954468730
0,17,11,72.44,74,1,10,1539954468730
0,15,11,72.25,74,1,10,1539954468760
0,11,11,71.5,74,2,10,1539954468832
0,11,11,72,74,1,10,1539954489539
0,11,11,71.5,74,2,10,1539954494418
0,11,11,71.5,73.55,2,1,1539955216990
0,11,19,71.5,73.55,2,2,1539955216991
0,11,12,71.5,73.55,2,1,1539955217021
0,11,11,71.5,74,2,10,1539955217021
0,11,8,71.5,73.55,2,1,1539955217021
0,11,11,71.5,74,2,5,1539955718263
0,7,11,72,74,1,5,1539955718264
0,7,12,72,74.5,1,1,1539955740084
0,18,12,72,74.5,1,1,1539955740085
0,11,12,71.5,74.5,2,1,1539955740085
0,11,12,74.1,74.5,2,1,1539955755080
0,11,12,74.1,74.5,2,1,1539955757817
0,11,11,74.1,74.88,2,1,1539955757817
0,11,12,74.1,74.5,1,1,1539955764278
0,11,12,71.5,74.5,2,1,1539955767091
0,12,12,72.38,74.5,8,1,1539955767091
0,11,12,72.5,74.5,1,1,1539955784867
0,11,11,72.5,74.5,1,2,1539955788702
0,18,11,72.9,74.5,1,2,1539955800064
0,18,11,73.22,74.5,1,2,1539955800068
