c,bE,aE,bP,aP,bS,aS,t
0,11,12,42.97,55.59,1,1,1539952200804
0,11,12,42.97,50.49,1,1,1539954635907
0,8,12,43.43,49.49,1,1,1539954925957
0,8,12,43.43,49.49,1,2,1539954939483
0,11,12,42.97,49.49,1,2,1539955131269
0,8,12,43.43,49.49,1,2,1539955287062
0,11,12,42.97,49.49,1,2,1539955297614
0,12,12,41.16,49.49,6,2,1539955680172
0,12,11,41.16,42.92,6,2,1539955680172
0,12,11,40.84,42.92,6,2,1539955680172
0,11,11,40.11,42.92,4,2,1539955680172
0,11,12,40.11,44.72,4,2,1539955683451
0,11,11,40.11,45.07,4,2,1539955683451
0,11,11,40.11,45.07,4,1,1539955683619
0,11,12,40.11,46.6,4,6,1539955683620
0,11,11,40.11,47.33,4,3,1539955683620
0,11,12,40.11,46.93,4,6,1539955683620
0,11,12,40.11,44.99,4,1,1539955775090
0,11,12,40.11,46.39,4,6,1539955779090
0,11,19,40.11,46.56,4,1,1539955779090
0,11,11,40.11,47.33,4,3,1539955779097
0,11,12,40.11,42.87,4,1,1539955800209
0,11,12,40.11,42.87,4,1,1539955800209
0,12,11,40.83,42.87,1,1,1539955803731
0,11,11,40.11,42.87,4,1,1539955803735
0,11,12,40.11,42.25,4,2,1539955805776
0,11,12,40.11,42.25,4,3,1539955922842
0,11,12,41.4,42.25,7,2,1539955940933
0,11,12,41.4,42.25,7,3,1539955940933
0,11,12,41.4,42.25,7,3,1539955941109
0,12,12,40.62,42.25,1,3,1539955941430
0,12,12,41.4,42.25,5,3,1539955941433
0,12,12,41.4,42.25,6,3,1539955944061
0,12,12,41.4,42.25,6,2,1539955946004
0,12,12,41.4,42.24,6,1,1539955946874
0,12,11,41.4,42.24,6,1,1539955986022
0,12,12,41.4,42.23,6,1,1539955987889
0,19,12,42.23,42.23,1,1,1539955987889
0,19,11,42.23,42.24,1,1,1539955987889
0,12,11,41.4,42.24,6,1,1539955987889
0,12,12,41.4,42.29,6,1,1539955987890
0,19,12,41.66,42.29,1,1,1539955987892
0,12,12,41.57,42.29,1,1,1539955987892
0,19,12,41.66,42.25,1,1,1539955987955
0,12,12,41.4,42.25,6,1,1539955988060
0,12,12,41.66,42.25,1,1,1539955988061
0,12,12,41.66,42.29,1,1,1539955989862
0,12,12,41.66,42.3,1,1,1539955989865
0,12,12,41.66,42.97,1,6,1539955990336
0,12,12,41.66,42.67,1,1,1539955990336
0,12,11,41.66,43.01,1,1,1539955990336
0,12,11,42.4,43.01,6,1,1539955990340
0,12,11,41.66,43.01,1,1,1539955990343
0,11,11,42.11,43.01,1,1,1539955990343
0,12,11,42.66,43.01,6,1,1539955990345
0,11,11,42.11,43.01,1,1,1539955990345
0,12,11,42.66,43.01,1,1,1539955990345
0,17,11,42.29,43.84,1,1,1539955990346
0,11,11,42.11,43.84,1,1,1539955990346
0,17,12,42.29,42.66,1,1,1539955990346
0,11,12,42.11,42.66,1,1,1539955990376
0,11,11,42.11,43.84,1,1,1539955990419
0,11,12,42.11,44.58,1,1,1539955990451
0,11,19,42.11,44.48,1,9,1539955990454
0,11,12,42.11,44.58,1,1,1539955990613
0,11,12,42.11,44.58,1,2,1539955990719
0,11,12,42.11,44.57,1,1,1539955990765
0,11,11,42.11,44.57,1,1,1539955991222
0,11,12,42.11,44.57,1,2,1539955991344
0,19,12,42.11,44.57,1,2,1539955991344
0,12,11,42.71,44.57,1,2,1539955991401
