c,bE,aE,bP,aP,bS,aS,t
0,8,8,112,135,48,1,1538046000032
0,11,8,129.5,135,4,1,1538046007637
0,11,8,129.5,135,3,1,1538046007642
0,11,8,116.55,135,1,1,1538046036892
0,11,11,116.55,129,1,1,1538046147836
0,11,8,116.55,135,1,1,1538046152926
0,11,11,116.55,134.95,1,1,1538046703189
0,11,11,126,134.95,3,1,1538046894697
0,8,11,117,134.95,1,1,1538046928437
0,11,11,126.01,134.95,3,1,1538046928490
0,8,11,117,134.95,1,1,1538046978782
0,8,11,117,131,1,1,1538047049293
0,8,11,126.06,131,1,1,1538047191998
0,8,11,126.06,134.95,1,1,1538047324037
0,8,8,126.06,134,1,1,1538047348167
0,8,8,127,134,1,1,1538047356871
0,8,8,126.06,134,1,1,1538047419718
0,11,8,122,134,1,1,1538047443587
0,11,8,122,134,2,1,1538047447401
0,11,8,122,134,1,1,1538047570781
0,11,8,126.5,134,1,1,1538048087650
0,11,8,122,134,1,1,1538048138169
0,11,11,122,130,1,1,1538048138171
0,11,8,122,134,1,1,1538048142247
0,11,11,122,129,1,1,1538048226752
0,11,8,122,134,1,1,1538048229214
0,11,11,122,129.89,1,12,1538048444854
0,11,12,122,129.59,1,1,1538048495169
0,11,8,122,134,1,1,1538048641159
0,11,11,122,130,1,2,1538048767358
0,11,11,116.55,130,1,2,1538048777039
0,11,11,126,130,1,2,1538048777082
0,11,11,116.55,130,1,2,1538048853857
0,11,11,122,130,1,2,1538048853902
0,11,11,123,130,10,2,1538049235613
0,11,8,123,131.88,10,1,1538049524936
0,11,11,123,130.48,10,2,1538049610782
0,11,12,123,129.5,10,5,1538049615953
0,11,11,123,129,10,1,1538049669006
0,11,12,123,129.5,10,5,1538049674050
0,11,12,123,128,10,1,1538049882797
0,11,12,123,128,10,1,1538049883329
0,11,12,123,129.5,10,5,1538049883329
0,11,11,123,128,10,1,1538050227594
0,11,12,123,127,10,1,1538050227596
0,11,12,123,127,10,3,1538050334376
0,11,19,123,126.99,10,1,1538050401674
0,11,12,123,127,10,3,1538050402007
0,11,11,123,125,10,1,1538051541873
0,11,12,123,127,10,2,1538051541873
0,11,19,123,124.99,10,1,1538051737055
0,11,11,123,125,10,1,1538051738115
0,11,11,116.85,125,1,1,1538051812201
0,11,18,116.85,124.6,1,1,1538051812202
0,11,17,116.85,124.5,1,1,1538051812202
0,11,12,116.85,123,1,3,1538051812203
0,11,11,116.85,125,1,1,1538051815464
0,11,8,116.85,124.99,1,5,1538051817527
0,8,8,116.86,124.99,5,5,1538051820839
0,11,8,123,124.99,4,5,1538051880081
0,11,12,123,123,3,1,1538051886503
0,11,12,123,123,4,1,1538051886503
0,11,8,123,124.99,3,5,1538051886504
0,11,11,123,125,3,1,1538051886873
0,11,12,123,125,3,2,1538051888430
0,11,12,116.85,125,1,2,1538051888843
0,11,11,116.85,123,1,1,1538051888851
0,11,12,116.85,123,1,2,1538051890188
0,11,11,116.85,125,1,1,1538051891060
0,11,11,116.85,123,1,1,1538051893780
0,8,11,116.86,123,1,1,1538051898630
0,11,11,116.85,123,1,1,1538051901864
0,11,11,116.85,122.95,1,2,1538051907338
0,11,11,116.85,123,1,1,1538051910643
0,11,12,116.85,123,1,2,1538051947851
0,11,11,116.85,123,1,1,1538051966370
0,11,11,117,123,1,1,1538052045350
0,8,11,117.01,123,1,1,1538052049583
0,11,11,117,123,1,1,1538052050215
0,11,11,117,126.9,1,1,1538052129852
0,11,12,117,127,1,2,1538052133854
0,8,12,117.01,127,1,2,1538052137189
0,8,11,117.01,125,1,1,1538052138409
0,11,11,117,125,1,1,1538052140510
0,11,11,117.5,125,1,1,1538052227679
0,8,11,117.51,125,1,1,1538052238435
0,11,11,117.5,125,1,1,1538052240081
0,8,11,117.51,125,1,1,1538052240978
0,11,11,117.5,125,1,1,1538052241685
0,8,11,117.51,125,1,1,1538052244092
0,11,11,117.5,125,1,1,1538052247133
0,11,11,117.6,125,1,1,1538052330772
0,11,11,117.6,125,1,3,1538052342310
0,11,11,117.5,125,1,3,1538052352201
0,8,11,117.51,125,1,3,1538052364041
0,11,11,117.5,125,1,3,1538052366635
0,11,11,117.5,125,1,1,1538052392837
0,12,11,120.99,125,1,1,1538052700821
0,8,11,121,125,1,1,1538052705996
0,12,11,120.99,125,1,1,1538052706641
0,8,11,121,125,1,1,1538052708204
0,12,11,120.99,125,1,1,1538052710576
0,12,11,120.99,125,1,2,1538052742892
0,12,11,120.99,125,1,1,1538052752614
0,11,11,123,125,1,1,1538052759177
0,11,11,123,126.9,1,1,1538052763648
0,12,11,123.01,126.9,1,1,1538052817049
0,11,11,123,126.9,1,1,1538052817513
0,11,12,123,124.95,1,2,1538052977555
0,11,11,123,124,1,1,1538052982954
0,11,12,123,124.95,1,2,1538052985094
0,11,12,123,124.95,2,2,1538052990334
0,11,12,123.5,124.95,1,2,1538053344724
0,11,12,123.7,124.95,1,2,1538053357034
0,12,12,123.51,124.95,1,2,1538053360139
0,11,12,123,124.95,2,2,1538053367035
0,11,12,123,124.95,1,2,1538053408588
0,11,11,123,124,1,1,1538053414534
0,11,12,123,124.95,1,2,1538053431753
0,11,8,123,124,1,1,1538053474440
0,12,18,120.99,123.8,1,1,1538053609858
0,12,8,120.99,124,1,1,1538053609858
0,12,18,121,123.8,1,1,1538053609860
0,12,8,121,124,1,1,1538053631599
0,12,7,121,123.8,1,1,1538053631599
0,11,8,123,124,1,1,1538053647436
0,8,8,123.01,124,5,1,1538053675083
0,11,8,123,124,1,1,1538053676399
0,11,8,123.75,124,1,1,1538053686210
0,11,8,123,124,1,1,1538053686639
0,11,12,123,123.63,1,5,1538053686643
0,11,8,123,124,1,1,1538053695428
0,11,19,123,123.88,1,1,1538054042183
0,12,19,121,123.88,1,1,1538054042195
0,11,18,121,123.7,1,1,1538054042196
0,12,18,121,123.7,1,1,1538054042196
0,11,17,121,123.66,1,1,1538054042196
0,11,12,121,123.7,1,2,1538054042196
0,12,17,121,123.66,1,1,1538054042211
0,19,17,122.51,123.66,1,1,1538054042212
0,19,12,122.51,123.7,1,1,1538054042212
0,19,2,122.51,123.7,1,1,1538054042212
0,19,2,122.51,123.71,1,1,1538054042212
0,19,8,122.51,124,1,1,1538054042212
