c,bE,aE,bP,aP,bS,aS,t
0,11,11,38.55,42.35,3,2,1537430400049
0,11,11,38.55,42.35,1,2,1537430400049
0,11,11,39.25,42.35,1,2,1537430400049
0,11,11,39.25,42.25,1,2,1537430474551
0,11,11,39.25,42.25,2,2,1537430952732
0,11,11,39.3,42.25,2,2,1537431050848
0,11,11,39.3,42.25,3,2,1537431111946
0,11,11,39.3,42.25,4,2,1537431179547
0,11,11,40,42.25,2,2,1537431317346
0,11,11,40,42.35,2,2,1537431352830
0,11,11,40,42.35,4,2,1537431692343
0,11,11,40.9,42.35,2,2,1537432065897
0,11,11,40,42.35,4,2,1537432105579
0,11,11,40.05,42.35,1,2,1537432733006
0,11,11,40,42.35,4,2,1537432962552
0,11,8,40,41,4,2,1537441200203
0,8,8,40.1,41,5,2,1537441461368
0,8,8,40.2,41,9,2,1537441930021
0,11,8,40.3,41,5,2,1537442048603
0,11,8,40.5,41,2,2,1537442050916
0,11,8,40.5,41,2,1,1537442088778
0,8,8,40.55,41,9,1,1537442321795
0,8,8,40.55,41,10,1,1537442493648
0,8,8,40.55,41,9,1,1537442564250
0,11,8,40.5,41,2,1,1537442708690
0,11,8,40.5,40.55,2,3,1537442708707
0,11,8,40.5,41,2,1,1537442713209
0,11,8,40.3,41,5,1,1537442713219
0,11,8,40.3,40.5,5,3,1537442713219
0,11,8,40.3,40.5,5,1,1537442827926
0,11,8,40.4,40.5,10,1,1537442829712
0,11,8,40.4,40.5,10,3,1537442830597
0,11,8,40.4,40.5,9,3,1537442923100
0,11,8,40.4,40.5,8,3,1537442947988
0,11,8,40.4,40.5,7,3,1537443489289
0,11,8,40.4,40.5,6,3,1537443565098
0,11,8,40.4,40.5,4,3,1537443590034
0,11,8,40.3,40.5,5,3,1537443590035
0,11,8,39.5,40.5,1,3,1537443593562
0,12,8,39.4,40.5,6,3,1537443609134
0,8,8,39.45,40.5,1,3,1537443638762
0,8,12,39.45,40.3,1,1,1537443701635
0,8,8,39.45,40.5,1,3,1537443710743
0,8,8,39.45,40.5,2,3,1537443736362
0,8,8,39.5,40.5,2,3,1537443799796
0,8,8,40.1,40.5,1,3,1537444266332
0,11,8,40.2,40.5,15,3,1537444566990
0,8,8,40.1,40.5,1,3,1537444615127
0,11,8,40.3,40.5,15,3,1537444615214
0,11,8,40.3,40.5,15,2,1537444629144
0,11,8,40.3,40.5,15,3,1537444633900
0,11,8,40.3,40.5,15,2,1537444670586
0,8,8,40.1,40.5,1,2,1537444673166
0,11,8,40.4,40.5,15,2,1537444673270
0,11,8,40.4,41,15,2,1537444676615
0,11,8,40.4,41,15,1,1537444680799
0,8,8,40.1,41,1,1,1537444690212
0,11,8,40.5,41,15,1,1537444690295
0,8,8,40.1,41,1,1,1537444700994
0,11,8,40.5,41,1,1,1537444729850
0,11,8,40.6,41,15,1,1537444784019
0,11,8,40.5,41,1,1,1537444890992
0,8,8,40.65,41,15,1,1537444891106
0,11,8,40.5,41,1,1,1537444902486
0,11,8,40.75,41,1,1,1537444906631
0,11,8,40.8,41,15,1,1537444934624
0,11,8,40.75,41,1,1,1537444955432
0,8,8,40.1,41.35,1,2,1537444960788
0,8,8,40.1,41,1,1,1537444960788
0,11,8,41,41.35,15,2,1537444961170
0,8,8,40.1,41.35,1,2,1537444979656
0,8,8,40.2,41.35,15,2,1537445022939
0,8,8,40.2,41.35,19,2,1537445279180
0,8,8,40.25,41.35,7,2,1537445305768
0,8,8,40.25,41.5,7,7,1537445452736
0,8,11,40.25,40.45,7,2,1537445453237
0,8,11,40.3,40.45,15,2,1537445533566
0,8,11,40.3,40.45,15,1,1537445549762
0,8,11,40.25,40.45,7,1,1537445573081
0,8,11,40.4,40.45,15,1,1537445573167
0,8,8,40.4,41.5,15,7,1537445584883
0,8,8,40.25,41.5,7,7,1537445586582
0,8,8,40.45,41.5,15,7,1537445586661
0,8,8,40.25,41.5,7,7,1537445605787
0,8,8,40.3,41.5,15,7,1537445614872
0,8,8,40.3,40.95,15,3,1537445699323
0,12,8,40.35,40.95,1,3,1537445750884
0,11,8,40.4,40.95,15,3,1537445800378
0,12,8,40.5,40.95,1,3,1537446058142
0,11,8,40.55,40.95,15,3,1537446130924
0,12,8,40.5,40.95,1,3,1537446258683
0,8,8,40.55,40.95,15,3,1537446258770
0,11,8,40.55,40.95,1,3,1537446654472
0,11,8,40.6,40.95,15,3,1537446713139
0,11,8,40.55,40.95,1,3,1537446896079
0,11,8,40.75,40.95,15,3,1537446896183
0,11,8,40.55,40.95,1,3,1537446907927
0,12,8,40.4,40.95,5,3,1537447783206
0,12,8,40.4,40.95,1,3,1537448046944
0,12,8,40.05,40.95,1,3,1537448222191
0,12,8,40.05,40.4,1,8,1537448222193
0,8,8,39.5,40.4,2,9,1537448266554
0,8,8,39.5,40.4,2,8,1537448266554
0,8,8,39.5,40,2,4,1537448266556
0,11,8,40,40,5,4,1537448287380
0,11,8,40,40.4,5,8,1537448287380
0,11,8,40,40.4,2,8,1537448380624
0,11,8,40,40.4,1,8,1537448400449
0,8,8,40,40.4,1,8,1537448504297
0,8,8,40,40.4,2,8,1537448551743
0,8,8,40,40.4,3,8,1537448552032
0,8,12,40,40.05,3,1,1537448556781
0,8,12,40,40.05,2,1,1537448556781
0,8,8,40,40.4,2,8,1537448566781
0,11,8,40,40.4,1,8,1537448577793
0,8,8,40,40.4,1,8,1537448748717
0,12,8,40.05,40.4,2,8,1537448766179
0,12,12,40.05,40.35,1,1,1537448916911
0,12,12,40.05,40.35,2,1,1537448916911
0,12,19,40.05,40.35,1,1,1537448916912
0,12,17,40.05,40.35,1,1,1537448916912
0,12,8,40.05,40.4,1,8,1537448916912
0,12,12,40.05,40.3,1,1,1537449037251
0,12,11,40.05,40.1,1,1,1537449075031
0,12,12,40.05,40.1,1,1,1537449095312
0,12,12,40.05,40.3,1,1,1537449103135
0,12,12,40.05,40.3,1,2,1537449121011
0,12,12,40.05,40.3,1,1,1537449148301
0,12,12,40.05,40.2,1,1,1537449148302
0,12,12,40.05,40.3,1,1,1537449173144
0,12,12,40.05,40.2,1,1,1537449193136
0,12,12,40,40.2,4,1,1537449247886
0,12,12,40,40.3,4,1,1537449253917
0,8,12,40,40.3,2,1,1537449351298
0,8,12,40,40.3,1,1,1537449361453
0,8,12,40.2,40.3,6,1,1537449417367
0,12,12,40.05,40.3,1,1,1537449417367
0,8,12,40.2,40.3,5,1,1537449417371
0,8,8,40.2,40.4,5,8,1537449425307
0,8,8,40.2,40.4,6,8,1537449472659
0,8,8,40.2,40.4,5,8,1537449472689
0,8,8,40.2,40.4,5,7,1537449679616
0,11,8,40.3,40.4,1,7,1537449680400
0,12,8,40.4,40.4,10,7,1537449696995
0,12,8,40.4,40.4,8,7,1537449711084
0,12,8,40.4,40.4,8,6,1537449721060
0,12,8,40.4,40.95,8,3,1537449725403
0,12,8,40.5,40.95,8,3,1537449725405
0,12,8,40.5,40.95,9,3,1537449725405
0,12,8,40.5,40.6,8,20,1537449740875
0,12,8,40.4,40.6,8,20,1537449744028
0,12,8,40.4,40.95,8,3,1537449760078
0,17,8,40.45,40.95,1,3,1537449780008
0,12,8,40.45,40.95,1,3,1537449780008
0,19,8,40.45,40.95,1,3,1537449780008
0,8,8,40.45,40.95,1,3,1537449780009
0,12,8,40.4,40.95,8,3,1537449780009
0,12,12,40.4,40.9,8,1,1537449793136
0,12,12,40.4,40.85,8,1,1537449800182
0,12,12,40.4,40.85,8,2,1537449800184
0,12,12,40.4,40.85,8,1,1537449810183
0,8,12,40.45,40.85,1,1,1537449821727
0,8,12,40.55,40.85,1,1,1537449853711
0,8,12,40.45,40.85,1,1,1537449862541
0,11,12,40.5,40.85,1,1,1537449884403
0,8,12,40.75,40.85,20,1,1537449900535
0,8,8,40.75,40.95,20,3,1537449903555
0,12,8,40.85,40.95,1,3,1537449903558
0,8,8,40.75,40.95,20,3,1537449911753
0,11,8,40.85,40.95,2,3,1537449911864
0,8,8,40.45,40.95,1,3,1537449925415
0,8,12,40.45,40.9,1,1,1537449943135
0,8,8,40.45,40.95,1,3,1537449961078
0,8,8,40.45,40.95,3,3,1537449986971
0,8,12,40.45,40.85,3,1,1537450014375
0,8,8,40.45,40.95,3,3,1537450043136
0,8,12,40.45,40.85,3,1,1537450053135
0,8,8,40.45,40.95,3,3,1537450073132
0,11,8,40.3,40.95,20,3,1537450082643
0,8,8,40.45,40.95,2,3,1537450082643
0,11,8,40.3,40.95,10,3,1537450082711
0,8,8,40,40.95,1,3,1537450082711
0,12,8,39.8,40.95,3,3,1537450083811
0,12,12,39.8,40.9,3,7,1537450140141
0,12,12,40,40.9,5,7,1537450142029
0,12,8,40,40.95,5,3,1537450145122
0,8,8,40.4,40.95,1,3,1537450174634
0,8,12,40.4,40.85,1,6,1537450175100
0,8,8,40.4,40.95,1,3,1537450179100
0,12,8,40.1,40.95,5,3,1537450180078
0,12,12,40.1,40.9,5,5,1537450180140
0,12,12,40.1,40.85,5,7,1537450180140
0,12,8,40.1,40.95,5,3,1537450184140
0,12,12,40.1,40.9,5,5,1537450184141
0,12,12,40.1,40.85,5,7,1537450185263
0,12,8,40.1,40.95,5,3,1537450189263
0,12,12,40.1,40.9,5,5,1537450189264
0,12,12,40.1,40.85,5,7,1537450190258
0,12,8,40.1,40.95,5,3,1537450194258
0,12,12,40.1,40.9,5,5,1537450194259
0,12,12,40.1,40.85,5,7,1537450195223
0,12,12,40.1,40.85,5,7,1537450199151
0,12,11,40.1,40.8,5,1,1537450199151
0,12,11,40.1,40.75,5,1,1537450199151
0,12,12,40.1,40.85,5,7,1537450199152
0,12,12,40.1,40.85,5,7,1537450199153
0,12,11,40.1,40.8,5,1,1537450199153
0,12,11,40.1,40.75,5,1,1537450199154
0,12,11,40.1,40.8,5,1,1537450199154
0,12,11,40.1,40.8,5,1,1537450199155
0,12,12,40.1,40.85,5,7,1537450199155
0,12,12,40.1,40.85,5,7,1537450199156
0,12,11,40.1,40.8,5,1,1537450199156
0,12,12,40.1,40.85,5,7,1537450199156
0,12,11,40.1,40.75,5,1,1537450199157
0,12,11,40.1,40.8,5,1,1537450199157
0,12,12,40.1,40.85,5,7,1537450199157
0,12,11,40.1,40.8,5,1,1537450199157
0,12,12,40.1,40.85,5,7,1537450199158
0,12,8,40.1,40.95,5,3,1537450199223
0,12,8,39.8,40.95,5,3,1537450199817
0,12,8,39.8,40.95,3,3,1537450199822
0,12,8,39.8,41.2,3,1,1537450200018
0,12,12,39.8,40,3,4,1537450200868
0,12,12,39.8,40,3,4,1537450200868
0,12,8,39.8,40,3,5,1537450201487
0,12,8,39.8,40,2,5,1537450201516
0,11,12,39.8,39.85,1,1,1537450201516
0,11,8,39.8,40,1,5,1537450201516
0,8,12,39.5,39.85,2,1,1537450201517
0,8,12,39.5,39.8,2,1,1537450201517
0,8,8,39.5,40,2,5,1537450201520
0,8,8,39.5,40,2,5,1537450201992
0,8,12,39.5,39.65,2,1,1537450201992
0,8,8,39.65,40,1,5,1537450202029
0,12,8,39.65,40,5,5,1537450202043
0,12,8,39.95,40,1,5,1537450202043
0,12,8,39.65,40,4,5,1537450202044
0,12,8,39.65,40,2,5,1537450202044
0,12,8,39.65,40,3,5,1537450202044
0,19,8,39.55,40,1,5,1537450202044
0,8,8,39.65,40,1,5,1537450202044
0,12,11,39.55,40,1,2,1537450202045
0,19,11,39.55,40,1,2,1537450202045
0,12,12,39.55,40.2,1,1,1537450202046
0,19,12,39.55,40.25,1,1,1537450202244
0,19,19,39.55,40.45,1,1,1537450202245
0,12,8,39.55,40.5,1,6,1537450202245
0,19,8,39.55,40.5,1,6,1537450202247
0,19,8,39.55,40.5,1,3,1537450202248
0,19,12,39.55,40.75,1,27,1537450202248
0,19,12,39.55,40.55,1,2,1537450202248
0,12,12,39.55,40.75,1,27,1537450202248
0,12,12,40.5,40.75,17,27,1537450202249
0,12,12,40.5,40.75,13,27,1537450202250
0,12,19,40.5,40.65,13,12,1537450202276
0,12,19,40.5,40.65,13,11,1537450202277
0,12,19,40.5,40.65,3,11,1537450202278
0,12,19,40.5,40.65,3,10,1537450202291
0,12,19,40,40.65,1,10,1537450202365
0,11,19,39.7,40.65,1,10,1537450202366
0,19,19,39.55,40.65,1,10,1537450202375
0,19,19,40.5,40.65,1,10,1537450202527
0,19,19,40.5,40.65,1,4,1537450202609
0,19,12,40.5,40.75,1,27,1537450202849
0,12,12,40.5,40.75,1,27,1537450202885
0,12,12,40.5,40.75,1,26,1537450203171
0,12,12,40.5,40.75,3,26,1537450203613
0,12,12,40.5,40.75,3,27,1537450204108
0,12,12,40.5,40.75,2,27,1537450205592
0,12,12,40.5,40.75,1,27,1537450205593
0,12,12,40.4,40.75,4,27,1537450205897
0,12,12,40.4,40.75,4,28,1537450205897
0,12,12,40.4,40.5,3,1,1537450205897
0,12,12,40.4,40.5,4,1,1537450205897
0,12,12,40.4,40.5,1,1,1537450205897
0,12,12,40.4,40.5,2,1,1537450205897
0,19,19,40,40.5,1,1,1537450205897
0,19,8,40,40.45,1,1,1537450205898
0,11,8,39.95,40.45,1,1,1537450205898
0,2,8,40,40.45,1,1,1537450205898
0,12,8,39.75,40.45,2,1,1537450205898
0,12,8,39.75,40.4,2,1,1537450205898
0,12,12,39.75,40.5,2,1,1537450205899
0,12,2,39.75,40.4,2,1,1537450205899
0,12,2,39.75,40.5,2,1,1537450205900
0,2,2,39.75,40.5,1,1,1537450205910
0,19,19,39.75,40.5,1,1,1537450205940
0,12,19,39.75,40.7,1,1,1537450206347
0,12,19,39.75,40.7,2,1,1537450208397
0,12,11,40,40.7,10,1,1537450208969
0,12,19,40,40.7,10,1,1537450208969
0,12,11,40,40.5,10,10,1537450211855
0,12,11,40,40.5,11,10,1537450211872
0,12,11,40,40.5,11,11,1537450211904
0,12,12,40,40.45,11,1,1537450214012
0,12,12,40,40.45,13,1,1537450214405
0,12,11,40,40.5,13,11,1537450214491
0,12,11,40,40.5,11,11,1537450218574
0,12,11,40,40.5,13,11,1537450218750
0,12,12,40,40.45,13,1,1537450224347
0,12,12,40,40.45,10,1,1537450225111
0,12,12,40,40.45,11,1,1537450225111
0,12,11,40,40.5,10,10,1537450225124
0,12,11,40,40.5,11,10,1537450225129
0,19,11,40.1,40.5,1,10,1537450225141
0,12,11,40,40.5,11,10,1537450225188
0,12,11,40,40.5,13,10,1537450225619
0,12,11,40,40.5,11,10,1537450239717
0,12,11,40.05,40.5,2,10,1537450239914
0,12,11,40,40.5,11,10,1537450240414
0,12,11,40,40.5,13,10,1537450241589
0,12,11,40,40.5,2,10,1537450245263
0,12,11,40,40.5,3,10,1537450245263
0,12,11,40,40.5,11,10,1537450245263
0,11,11,40,40.5,1,10,1537450245263
0,11,11,40,40.5,1,10,1537450245263
0,11,19,40,40.05,1,1,1537450245263
0,11,12,40,40.05,1,1,1537450245263
0,11,8,40,40.05,1,1,1537450245263
0,19,8,39.85,40.05,1,1,1537450245263
0,12,8,39.75,40,2,1,1537450245264
0,12,8,39.75,40.05,2,1,1537450245264
0,12,8,39.75,40,2,1,1537450245264
0,12,8,40,40,1,1,1537450245264
0,12,19,39.75,40,2,1,1537450245264
0,12,12,39.75,40,2,2,1537450245264
0,12,12,39.75,40,1,2,1537450246404
0,12,8,39.75,40,1,1,1537450246404
0,19,8,39.6,40,4,1,1537450247195
0,11,12,39.55,39.75,1,1,1537450248522
0,11,8,39.55,40,1,1,1537450248522
0,11,12,39.55,39.75,1,1,1537450248522
0,11,19,39.55,39.6,1,1,1537450248522
0,11,8,39.55,39.75,1,1,1537450248525
0,11,19,39.55,39.75,1,2,1537450249254
0,8,19,39.5,39.75,2,2,1537450249573
0,11,19,39.6,39.75,12,2,1537450255925
0,11,8,39.6,39.75,12,1,1537450257430
0,11,12,39.6,39.75,12,1,1537450257430
0,11,19,39.6,39.9,12,1,1537450257430
0,11,12,39.6,39.95,12,1,1537450257431
0,11,19,39.6,40.2,12,1,1537450257590
0,11,19,39.6,40.45,12,1,1537450257592
0,11,11,39.6,40.5,12,10,1537450257592
0,11,11,39.6,40.5,12,11,1537450257592
0,11,12,39.6,40.15,12,1,1537450260673
0,11,11,39.6,40.5,12,10,1537450260676
0,11,11,39.6,40.45,12,1,1537450262070
0,11,11,39.6,40,12,40,1537450273756
0,11,11,39.6,40,12,39,1537450273828
0,11,11,39.6,40,12,40,1537450279285
0,11,11,39.6,40,12,41,1537450282742
0,11,12,39.6,39.85,12,1,1537450285302
0,11,11,39.6,40,12,41,1537450285305
