c,bE,aE,bP,aP,bS,aS,t
0,12,11,17,21,1,2,1539778409024
0,12,8,17,20.1,1,1,1539778657034
0,11,8,10,20.1,1,1,1539778699145
0,11,8,10,20.1,2,1,1539781159687
0,11,8,10,20.1,3,1,1539781170234
0,8,8,15,20.1,1,1,1539781739722
0,12,8,15.35,20.1,1,1,1539781878687
0,12,8,15.72,20.1,1,1,1539781880574
0,12,8,16.09,20.1,1,1,1539781880884
0,12,8,16.47,20.1,1,1,1539781883887
0,12,12,16.47,22.11,1,1,1539782112351
0,11,12,19.07,22.11,1,1,1539782880339
0,11,12,19.07,22.11,2,1,1539782880431
0,11,12,19.07,22.11,3,1,1539782893629
0,12,12,19.25,20.86,1,1,1539783000628
0,12,12,19.25,20.86,1,1,1539783000628
0,12,15,19.25,20.84,1,10,1539783000886
0,11,15,19.07,20.84,3,10,1539783001347
0,11,11,19.07,20.85,3,1,1539783001779
0,11,12,19.07,20.08,3,1,1539783001887
0,11,11,19.07,20.85,3,1,1539783001890
0,11,11,19.07,20.85,2,1,1539783002222
0,11,11,19.07,20.85,1,1,1539783002281
0,19,19,19.07,20.83,9,9,1539783002662
0,11,19,19.07,20.83,1,9,1539783002662
0,19,15,19.07,20.81,9,10,1539783002663
0,15,15,19.08,20.81,10,10,1539783002663
0,15,11,19.08,20.85,10,1,1539783002833
0,12,11,18.81,20.85,2,1,1539783003904
0,12,15,18.81,20.83,2,10,1539783003905
0,15,15,18.83,20.83,10,10,1539783003906
0,11,15,19.1,20.83,5,10,1539783008969
0,15,15,19.12,20.83,10,10,1539783008971
0,15,19,19.12,20.79,10,9,1539783038132
0,15,15,19.12,20.77,10,10,1539783038134
0,8,3,19.15,20.25,10,1,1539783038135
0,8,15,19.15,20.77,10,10,1539783038135
0,15,3,19.17,20.25,10,1,1539783038137
0,15,3,19.17,20.24,10,1,1539783063533
0,15,3,19.17,20.23,10,1,1539783072722
0,8,3,19.17,20.23,1,1,1539783072722
0,15,3,19.19,20.23,10,1,1539783072723
0,8,3,19.19,20.23,1,1,1539783072727
0,8,19,19.19,20.2,1,9,1539783072757
0,8,19,19.24,20.2,10,9,1539783072801
0,8,19,19.24,20.2,11,9,1539783072804
0,8,3,19.24,20.23,11,1,1539783075633
0,15,3,19.25,20.23,10,1,1539783075634
0,15,12,19.25,20.22,10,2,1539783075645
0,15,12,19.25,20.22,10,1,1539783075645
0,15,12,19.25,20.22,10,3,1539783075985
0,3,12,19.26,20.22,1,3,1539783083285
0,3,12,19.26,20.22,1,4,1539783083550
0,12,12,19.26,20.22,3,4,1539783111894
0,15,12,19.27,20.22,10,4,1539783111897
0,8,12,19.27,20.22,1,4,1539783111945
0,8,12,19.32,20.22,10,4,1539783112476
0,8,19,19.32,20.14,10,9,1539783112507
0,8,19,19.32,20.19,10,1,1539783115138
0,15,19,19.34,20.19,10,1,1539783115138
0,15,19,19.34,20.18,10,1,1539783115151
0,12,19,19.26,20.18,3,1,1539783115263
0,12,19,19.26,20.13,3,9,1539783115299
0,12,8,19.26,20.08,3,9,1539783115302
0,15,8,19.28,20.08,10,9,1539783126485
0,3,8,19.29,20.08,1,9,1539783129882
0,15,8,19.28,20.08,10,9,1539783129903
0,10,8,19.29,20.08,1,9,1539783129905
0,15,8,19.3,20.08,10,9,1539783129907
0,15,19,19.3,20.07,10,1,1539783129914
0,12,19,19.26,20.07,3,1,1539783129924
0,3,19,19.29,20.07,1,1,1539783129925
