c,bE,aE,bP,aP,bS,aS,t
0,11,11,12.8,13.5,1,15,1539734400012
0,11,11,12.02,13.5,1,10,1539763200023
0,11,11,12.02,13.5,1,20,1539771099518
0,11,11,12.02,13.3,1,10,1539772696423
0,11,11,12.66,13.3,4,10,1539773184785
0,11,11,12.66,13.3,4,8,1539773427925
0,11,11,12.02,13.3,1,8,1539773464180
0,8,11,13.05,13.3,4,8,1539774000297
0,8,8,13.05,13.45,4,3,1539774050829
0,8,12,13.05,13.45,4,8,1539774065679
0,11,12,13.2,13.45,7,8,1539774449600
0,8,12,13.05,13.45,4,8,1539774504325
0,11,12,13.25,13.45,3,8,1539774617859
0,11,8,13.25,13.45,3,3,1539774652061
0,8,8,13.05,13.45,4,3,1539774652063
0,8,12,13.05,13.25,4,4,1539774652067
0,8,8,13.05,13.45,4,3,1539774672465
0,8,12,13.05,13.45,4,4,1539774672466
0,8,11,13.05,13.2,4,6,1539775566563
0,8,11,13.05,13.2,4,1,1539777159307
0,8,11,13.05,13.15,4,10,1539778308267
0,12,18,13,13.13,4,1,1539778397773
0,12,11,13,13.15,4,10,1539778397773
0,19,7,13.06,13.13,1,1,1539778506135
0,19,18,13.06,13.13,1,1,1539778506135
0,12,11,13.06,13.15,2,10,1539778506135
0,19,11,13.06,13.15,1,10,1539778506135
0,12,11,13.06,13.15,1,10,1539778506165
0,12,11,13.06,13.2,1,1,1539778687347
0,12,11,13.06,13.08,1,10,1539778687457
0,12,11,13.06,13.08,1,2,1539778704838
0,12,11,12.91,13.08,2,2,1539779091578
0,12,11,12.91,12.92,2,6,1539779255796
0,12,11,12.91,12.92,2,7,1539779255796
0,12,11,12.91,13.08,2,2,1539779293594
0,18,11,12.99,13.2,1,1,1539779293893
0,12,11,12.91,13.2,2,1,1539779293893
0,12,11,12.91,13.2,2,1,1539779293923
0,11,11,12.91,13.2,1,1,1539779377307
0,8,11,12.91,13.2,4,1,1539779559744
0,11,11,12.91,13.2,1,1,1539779759236
0,11,11,12.93,13.2,2,1,1539779799825
0,11,11,13.06,13.2,1,1,1539780066692
0,8,11,13.1,13.2,1,1,1539780401008
0,8,12,13.1,13.3,1,1,1539780951084
0,11,19,12.93,13.28,2,1,1539780964214
0,11,12,12.93,13.3,2,1,1539780964214
0,11,12,12.93,13.28,2,1,1539780964244
0,11,18,12.93,13.28,2,1,1539780964244
0,11,15,12.93,13.28,2,1,1539780964244
0,11,12,12.93,13.3,2,1,1539780965216
0,11,12,12.93,13.3,3,1,1539781024143
0,11,12,12.93,13.06,3,1,1539781201472
0,11,12,12.93,13,3,1,1539781496929
0,11,12,12.93,13,2,1,1539781497150
0,11,12,12.93,12.98,2,1,1539781497151
