c,bE,aE,bP,aP,bS,aS,t
0,11,11,273.5,295.3,1,1,1538092800072
0,11,12,268.5,199999.99,1,1,1538132400385
0,11,12,271.03,199999.99,1,1,1538132407085
0,11,11,271.03,295.3,1,1,1538132407085
0,11,11,273.15,295.3,1,1,1538132409223
0,11,11,273.15,290,1,1,1538132530925
0,11,11,273.15,295.3,1,1,1538132580139
0,11,11,273.15,285,1,1,1538132709067
0,11,11,273.5,285,1,1,1538134899353
0,11,11,273.15,285,1,1,1538135609188
0,11,8,273.15,273.5,1,3,1538135609189
0,11,8,272.06,273.5,1,3,1538135613042
0,11,8,272,273.5,1,3,1538135614073
0,11,8,272,273.5,1,2,1538135626115
0,11,8,272,273.5,1,1,1538135627427
0,11,8,271.2,273.5,1,1,1538135635644
0,11,8,272,273.5,1,1,1538135635684
0,11,8,271.2,273.5,1,1,1538135653572
0,11,11,271.2,285,1,1,1538135661897
0,11,11,271.2,283,1,5,1538135920450
0,11,11,271.5,283,1,5,1538135927752
0,11,11,272.5,283,1,5,1538135966224
0,11,11,271.5,283,1,5,1538135971442
0,11,11,272,283,1,5,1538136013185
0,11,11,271.5,283,1,5,1538136042110
0,11,11,271.5,283,1,4,1538136070353
0,11,11,273,283,1,4,1538136078198
0,11,11,272,283,1,4,1538136103947
0,11,11,272,283,1,5,1538136109591
0,11,11,271.03,283,1,5,1538136117533
0,11,11,271.03,283,1,6,1538136181285
0,11,11,271.03,271.75,1,1,1538136181285
0,11,11,271.03,283,1,5,1538136209504
0,11,11,271.5,283,1,5,1538136218573
0,11,11,269.77,283,1,5,1538136305908
0,11,11,271.03,283,1,5,1538136305908
0,11,11,269.77,282.9,1,1,1538136482918
0,11,11,270,282.9,1,1,1538136538705
0,11,11,270,281.9,1,1,1538136627356
0,11,11,270,282.9,1,1,1538136631570
0,11,11,270,274,1,1,1538136638928
0,11,11,270,274,2,1,1538136700909
0,11,11,270,274,1,1,1538136778230
0,11,11,270,282.9,1,1,1538136798623
0,11,11,272,282.9,2,1,1538136895024
0,11,11,272,282,2,1,1538136974038
0,11,11,272,282,1,1,1538137206443
0,11,11,272,281.4,1,1,1538137520695
0,11,11,278,281.4,1,1,1538137962114
0,11,11,272,281.4,2,1,1538137965984
0,11,11,272,281.4,1,1,1538138017597
0,11,11,275.2,281.4,1,1,1538138039724
0,11,11,275.2,280.2,1,1,1538138163017
0,11,11,275.2,278,1,1,1538138479994
0,11,11,275.2,277.8,1,1,1538138596851
0,11,11,275.2,277,1,3,1538139514543
0,8,11,274.3,277,1,3,1538139639116
0,8,11,274.3,275,1,2,1538140724341
0,8,11,274.3,275,1,3,1538140724341
0,11,11,272,275,2,2,1538140733721
0,11,11,272,275,1,2,1538140749397
0,11,11,274.2,275,1,2,1538140819249
0,11,11,272,275,1,2,1538140819894
0,11,12,272,275,1,1,1538141023554
0,11,11,272,277,1,3,1538141025961
0,17,11,273.57,277,1,3,1538141027935
0,19,11,273.57,277,1,3,1538141027935
0,11,11,272,277,1,3,1538141027935
0,12,11,273.57,277,1,3,1538141027935
0,11,11,272.1,277,1,3,1538141077823
0,11,11,272.2,277,1,3,1538141133940
0,11,11,272.1,277,1,3,1538141142775
0,11,11,272.1,277,2,3,1538141146179
0,11,11,273,277,1,3,1538141187439
0,11,11,272.1,277,2,3,1538141189189
0,11,11,273.8,277,1,3,1538141191620
0,11,11,274.3,277,1,3,1538141193938
0,11,11,273.8,277,1,3,1538141196940
0,11,11,272.1,277,2,3,1538141197562
0,11,11,274.1,277,1,3,1538141231451
0,11,11,275.1,277,1,3,1538141234775
0,11,11,275.1,277,1,2,1538141241592
0,11,11,275.5,277,1,2,1538141250279
0,11,11,275.1,277,1,2,1538141251973
0,11,11,274.1,277,1,2,1538141252501
0,11,11,272.1,277,2,2,1538141252939
0,11,11,272.1,277,1,2,1538141253437
0,11,11,272.1,277,1,1,1538141266723
0,11,11,272.1,277.8,1,1,1538141267660
0,11,11,274,277.8,1,1,1538141269122
0,11,11,274,277.8,2,1,1538141275850
0,11,11,274,283,2,5,1538141282736
0,8,11,275.1,283,1,5,1538141282845
0,11,11,274,283,2,5,1538141282871
0,8,11,275.9,283,1,5,1538141285803
0,11,11,274,283,2,5,1538141285833
0,11,11,274,283,1,5,1538141296646
0,11,11,275,283,1,5,1538141302056
0,11,11,275.5,283,1,5,1538141341032
0,11,11,277,283,1,5,1538141357997
0,11,11,278.2,283,1,5,1538141361444
0,11,11,279.1,283,1,5,1538141367304
0,11,11,278.2,283,1,5,1538141369482
0,11,11,277,283,1,5,1538141369663
0,11,11,275.5,283,1,5,1538141369839
0,11,11,275.5,283,1,3,1538141370318
0,12,11,273.07,283,1,3,1538141383748
0,11,11,273.07,283,1,3,1538141383764
0,11,11,272,283,1,3,1538141390758
