c,bE,aE,bP,aP,bS,aS,t
0,11,11,41.1,48.22,1,2,1537516800085
0,11,11,42.85,48.22,6,3,1537516800085
0,11,11,42.85,48.22,6,2,1537516800085
0,11,11,42.85,44.8,6,1,1537516800085
0,11,11,42.85,44.75,6,1,1537516800085
0,11,11,42.85,44.79,6,1,1537516800085
0,11,11,42.88,44.75,5,1,1537516800086
0,11,11,42.88,44,5,1,1537516800086
0,11,11,42.88,44.5,5,1,1537516800086
0,11,11,42.88,43.5,5,1,1537516800086
0,11,11,42.88,43.25,5,40,1537516800086
0,11,11,42.88,42.95,5,5,1537516800087
0,11,11,42.89,42.95,12,5,1537516800090
0,11,11,42.89,42.95,24,5,1537516832742
0,11,11,42.89,42.95,24,4,1537516839735
0,11,11,42.95,43,7,1,1537516844181
0,11,11,42.89,43,12,1,1537516845501
0,11,11,42.95,43,12,1,1537516846990
0,11,11,43,43.1,1,1,1537516850852
0,11,11,43,43.1,13,1,1537516855136
0,11,11,43.1,43.2,1,1,1537516856140
0,11,11,43.15,43.2,6,1,1537516856225
0,11,11,43.2,43.25,4,46,1537516860683
0,11,11,43.2,43.25,3,46,1537516863332
0,11,11,43.2,43.25,16,46,1537516863684
0,11,11,43.2,43.25,17,46,1537516863843
0,11,11,43.2,43.25,13,42,1537516866567
0,11,11,43.2,43.25,12,38,1537516868622
0,11,11,43,43.25,10,26,1537516873740
0,11,11,43,43.24,10,1,1537516879286
0,11,11,43,43.24,10,51,1537516893514
0,11,11,43.05,43.24,10,51,1537516893928
0,11,11,42.99,43.24,10,51,1537516901599
0,11,11,42.99,43.23,10,10,1537516908075
0,11,11,42.95,43.23,10,10,1537516909097
0,11,11,42.9,43.23,10,10,1537516917074
0,11,11,42.88,43.23,5,10,1537516923267
0,11,11,43.1,43.23,1,10,1537516924480
0,11,12,43.1,43.22,1,1,1537516938483
0,11,12,43,43.22,20,1,1537516940158
0,11,11,43,43.2,20,10,1537516982000
0,11,11,43,43.2,20,9,1537516995629
0,11,11,43,43.2,20,8,1537517111527
0,11,11,43,43.2,20,7,1537517115823
0,11,11,43,43.2,20,6,1537517119368
0,11,12,43,43.15,20,2,1537517151046
0,11,12,43,43.15,20,1,1537517170993
0,11,11,43,43.2,20,6,1537517171565
0,11,11,42.9,43.2,10,6,1537517222409
0,11,12,42.9,43,10,27,1537517222420
0,11,11,42.9,43.2,10,6,1537517253742
0,12,11,42.92,43.2,1,6,1537517255425
0,12,12,42.92,43.19,1,1,1537517271725
0,12,12,42.92,43,1,5,1537517292343
0,12,12,42.92,43.19,1,1,1537517317360
