c,bE,aE,bP,aP,bS,aS,t
0,11,11,29.29,139.76,1,2,1537873503720
0,11,12,29.29,88.68,1,1,1537873503725
0,11,12,45,88.68,1,1,1537877791902
0,11,12,29.29,88.68,1,1,1537877811788
0,11,11,29.29,87,1,1,1537877871064
0,11,12,29.29,88.68,1,1,1537877876388
0,11,8,29.29,88,1,1,1537877933605
0,11,7,29.29,88.68,1,1,1537878342717
0,11,7,75.25,88.68,1,1,1537879186477
0,11,7,77.2,88.68,1,1,1537879211193
0,11,11,77.2,86,1,1,1537879764449
0,11,7,77.2,88.68,1,1,1537879775140
0,11,19,77.2,88.5,1,1,1537879824843
0,11,19,77.5,88.5,1,1,1537880002309
0,11,12,77.5,88.25,1,1,1537880253899
0,11,19,77.5,88.5,1,1,1537880254666
0,11,19,77.5,88,1,1,1537880524369
0,11,19,77.5,87.5,1,1,1537880777543
0,11,11,77.5,87.5,1,1,1537882111074
0,11,11,77.5,87,1,10,1537882195340
0,12,11,83.37,87,1,10,1537882200314
0,12,11,83.37,87,1,10,1537882200314
0,12,12,83.37,83.5,1,1,1537882200551
0,11,11,81.7,87,1,10,1537882200552
0,11,12,81.7,83.5,1,1,1537882200552
0,11,11,81.7,85,1,5,1537882200555
0,12,11,80.71,85,1,5,1537882200556
0,12,12,80.71,85,1,6,1537882200559
0,12,12,79.82,85,1,6,1537882200957
0,12,12,79.82,84.58,1,1,1537882200989
0,12,12,79.82,81.95,1,4,1537882200994
0,12,12,79.76,81.95,1,4,1537882201077
0,12,12,79.25,81.95,3,4,1537882201081
0,12,12,79.25,81.95,1,4,1537882201889
0,12,12,78.48,81.95,4,4,1537882201890
0,12,12,78.48,81.95,3,4,1537882201891
0,11,12,77.66,81.95,1,4,1537882201892
0,12,12,77.53,81.95,1,4,1537882201895
0,12,12,77.53,81.95,2,4,1537882202181
0,12,12,77.53,81.95,1,4,1537882202324
0,11,12,77.5,81.95,1,4,1537882202621
0,11,8,77.5,77.75,1,1,1537882203923
0,12,8,77.62,77.75,1,1,1537882204141
0,19,8,77.64,77.75,1,1,1537882204350
0,8,8,77.64,77.75,2,1,1537882204352
0,12,8,77.64,77.75,2,1,1537882204402
0,19,8,77.64,77.75,1,1,1537882204410
0,12,8,77.62,77.75,1,1,1537882204410
0,8,8,77.64,77.75,1,1,1537882204440
0,12,8,77.62,77.75,1,1,1537882204453
0,11,8,77.63,77.75,2,1,1537882204516
0,11,8,77.64,77.75,2,1,1537882204691
0,12,12,77.65,80.5,1,6,1537882204708
0,11,12,77.64,80.5,2,6,1537882204708
0,8,12,77.75,80.5,1,6,1537882204708
0,11,12,77.64,80.5,2,6,1537882204711
0,11,12,77.64,80.5,2,9,1537882204711
0,11,12,77.65,80.5,2,9,1537882204850
0,11,12,77.65,80.5,2,8,1537882205368
0,11,12,77.65,80.5,2,6,1537882205369
0,11,12,77.65,80.5,2,7,1537882205369
