c,bE,aE,bP,aP,bS,aS,t
0,11,11,366.76,409,6,3,1539763200069
0,11,11,366.76,409,6,2,1539763200069
0,11,11,366.76,403.33,6,1,1539763200070
0,11,11,366.76,405,6,1,1539763200070
0,11,11,366.76,403,6,1,1539763200070
0,11,11,366.76,396.7,6,1,1539763200070
0,11,11,366.76,395,7,1,1539763200070
0,11,11,366.76,395,6,1,1539763200070
0,11,11,366.76,395,9,1,1539763200071
0,11,11,366.76,394.01,9,1,1539763200072
0,11,11,366.76,390,10,1,1539763200072
0,11,11,366.76,390,9,1,1539763200072
0,11,11,366.76,390,11,1,1539763200072
0,11,11,366.76,390,12,1,1539763200074
0,11,11,366.76,390,12,23,1539763200074
0,11,11,366.76,390,12,21,1539763200074
0,11,11,366.76,387.47,12,1,1539763200074
0,11,11,366.76,387.47,28,1,1539763200075
0,11,11,377.61,387.47,1,1,1539763200076
0,11,11,382,387.47,4,1,1539763200076
0,11,11,382.1,384.5,1,1,1539763200076
0,11,11,384.1,384.5,6,1,1539763200076
0,11,11,382,384.5,4,1,1539763200076
0,11,11,383.55,384.5,1,1,1539763200076
0,11,11,384.1,384.39,11,1,1539763200076
0,11,11,384.1,384.5,11,1,1539763200076
0,11,11,384.1,384.5,11,1,1539763201393
0,11,11,384.1,385.99,11,1,1539763201394
0,11,11,384.1,387.47,11,1,1539763201395
0,12,11,386,387.47,10,1,1539763201403
0,12,11,386,387.47,5,1,1539763201403
0,12,11,386,387.47,3,1,1539763201723
0,12,11,386,387.47,2,1,1539763202129
0,12,11,386,387.47,1,1,1539763202220
0,12,11,386,387.47,1,2,1539763206214
0,11,11,384.58,387.47,1,2,1539763210421
0,11,11,386.01,387.47,1,2,1539763227759
0,11,11,384.58,387.47,2,2,1539763229403
0,11,11,384.58,387.47,1,2,1539763229403
0,11,11,384.58,386,1,1,1539763230751
0,11,11,384.58,387,1,1,1539763230778
0,11,11,384.58,387.47,1,2,1539763233454
0,11,11,385,387.47,2,2,1539763237731
0,11,11,386,387.47,1,2,1539763251371
0,11,11,386,387,1,1,1539763261236
0,11,11,386,387.47,1,2,1539763269286
0,11,11,386,387,1,1,1539763269288
0,11,11,386.11,387,1,1,1539763301097
0,11,11,386.11,387.47,1,1,1539763311030
0,12,11,387,387.47,2,1,1539763316007
0,12,11,387,387.47,1,1,1539763316323
0,12,11,387,388.51,1,1,1539763319495
0,12,11,387,388.4,1,1,1539763338332
0,12,11,387,388,1,1,1539763340110
0,11,11,386.11,388,1,1,1539763355489
0,11,11,386.11,387.4,1,1,1539763362924
0,11,11,386.11,388,1,1,1539763362925
0,11,11,386.11,387.8,1,1,1539763364734
0,11,11,386.55,387.8,1,1,1539763373365
0,11,11,386.55,387.4,1,15,1539763385028
0,11,11,386.55,387.4,1,5,1539763386788
0,11,11,386.55,387.8,1,1,1539763387283
0,11,11,386.71,387.8,1,1,1539763391286
0,11,12,386.71,387.18,1,2,1539763397122
0,11,12,386.71,387.18,1,2,1539763398928
0,11,11,386.71,387.8,1,1,1539763398928
0,11,12,386.71,387.18,1,1,1539763399699
0,11,11,386.71,387.8,1,1,1539763401177
0,11,11,386.55,387.8,1,1,1539763403842
0,11,11,386.59,387.8,1,1,1539763414448
0,11,11,386.59,387.4,1,7,1539763425387
0,11,11,386.59,387,1,1,1539763436246
0,11,12,386.59,387,1,20,1539763444408
0,11,12,386.11,387,1,20,1539763461022
0,11,12,385.87,387,1,20,1539763465342
0,11,12,386,387,1,20,1539763478290
0,11,11,386,386.99,1,1,1539763482955
0,11,11,386.23,386.99,1,1,1539763484056
0,11,11,386.23,386.5,1,1,1539763546901
0,11,11,386.23,386.99,1,1,1539763556338
0,12,11,386.23,386.9,1,1,1539763571342
0,11,11,386.23,386.9,1,1,1539763668170
0,11,11,386.23,386.89,1,1,1539763724341
0,11,11,386.23,386.6,1,1,1539763753013
0,12,11,386,386.6,1,1,1539763869036
0,11,12,386,386.3,1,1,1539763898829
0,12,12,386,386.3,1,1,1539763906979
0,11,11,386.3,386.6,1,1,1539763912914
0,11,12,386.3,386.3,1,1,1539763912914
0,12,11,386,386.6,1,1,1539763923125
0,11,11,386,386.6,1,1,1539763923126
0,11,11,386,386.5,1,1,1539763928619
0,11,11,385.7,386.5,2,1,1539763931408
0,11,11,385.7,386.49,2,1,1539763936505
0,11,11,385.73,386.49,1,1,1539763947926
0,11,11,385.73,386.09,1,1,1539763951701
0,11,12,385.73,386,1,1,1539763972013
0,11,12,385.73,386,1,1,1539764021630
0,11,11,385.73,386.09,1,1,1539764021630
0,11,12,385.7,386,2,1,1539764027291
0,11,12,385.55,386,1,1,1539764031062
0,11,12,385.55,386,1,5,1539764036965
0,11,12,385.55,385.95,1,1,1539764056274
0,12,12,385.55,385.95,2,1,1539764057485
0,12,12,385.55,386,2,5,1539764065844
0,12,12,385.55,385.9,2,1,1539764065846
0,11,12,384.82,385.9,1,1,1539764071253
0,11,12,384.82,386,1,5,1539764077796
0,11,12,384.82,385.85,1,1,1539764077797
0,11,11,384.82,385.65,1,1,1539764085053
0,11,11,384.57,385.65,1,1,1539764105024
0,11,12,384.57,385.65,1,1,1539764129629
0,12,12,385,385.65,1,1,1539764132124
0,12,11,385,385.6,1,1,1539764143068
0,12,12,385,385.3,1,2,1539764154906
0,12,12,385,385.3,1,1,1539764165047
0,12,11,385,385.6,1,1,1539764170603
0,12,12,385,385.15,1,2,1539764170604
0,12,12,385,385.15,1,1,1539764170716
0,12,12,385,385.15,1,2,1539764174523
0,12,11,385,385.6,1,1,1539764174523
0,12,11,385,385.6,1,1,1539764175589
0,12,11,385,385.5,1,1,1539764194095
0,12,11,385,385.6,1,1,1539764199689
0,12,12,385,386,1,5,1539764202430
0,12,12,385,386,1,1,1539764216094
0,12,11,385,385.8,1,1,1539764230638
0,12,11,385,385.8,2,1,1539764295064
0,11,11,385.13,385.8,1,1,1539764296421
0,12,11,385,385.8,2,1,1539764304624
0,11,11,385.58,385.8,1,1,1539764354853
0,12,11,385,385.8,2,1,1539764355895
0,12,12,385,386,2,2,1539764357178
0,12,12,385,386,2,2,1539764361343
0,12,12,385,386,2,1,1539764361343
0,12,12,385,386,2,1,1539764361343
0,11,12,385.5,386,1,1,1539764420800
0,11,12,385.5,386,1,1,1539764430097
0,11,12,386.18,386,1,1,1539764430097
0,11,12,385.5,386,1,1,1539764430097
0,11,11,385.5,386.35,1,1,1539764430097
0,11,12,385.5,385.5,1,1,1539764430696
0,11,12,385.5,386,1,1,1539764431063
0,12,12,385,386,2,1,1539764431065
0,11,12,385.5,386,1,1,1539764431066
0,11,11,386.03,386.35,1,1,1539764446713
0,11,12,386.03,386,1,1,1539764446713
0,11,12,386.03,386,1,1,1539764446713
0,11,11,386.03,386.35,1,1,1539764446724
0,11,11,385.5,386.03,1,1,1539764446735
0,11,11,385.5,386.35,1,1,1539764446744
0,11,12,385.5,386,1,1,1539764446753
0,11,11,385.5,386.35,1,1,1539764455144
0,11,12,385.5,386,1,1,1539764455145
0,11,12,386.03,386,1,1,1539764488764
0,11,11,386.03,386.35,1,1,1539764488764
0,11,12,386.03,386,1,1,1539764488764
0,11,11,386.03,386.35,1,1,1539764488775
0,11,11,385.5,386.03,1,1,1539764488786
