c,bE,aE,bP,aP,bS,aS,t
0,11,8,96.48,103,1,1,1539774009505
0,11,8,96.5,103,2,1,1539775034776
0,11,8,96.48,103,1,1,1539775092958
0,11,11,96.48,98,1,1,1539775845158
0,11,19,96.48,97.8,1,1,1539776174120
0,11,11,96.48,97.78,1,1,1539776198260
0,8,11,96.28,97.78,1,1,1539776228093
0,11,7,92,97.52,1,1,1539776228093
0,8,7,96.28,97.52,1,1,1539776228093
0,11,18,92,97.27,1,1,1539776228093
0,11,11,92,97.78,1,1,1539776257599
0,11,7,92,97.27,1,1,1539776257599
0,11,19,92,97.7,1,1,1539776257653
0,11,8,92,97.7,1,1,1539776258584
0,11,11,92,97.7,1,1,1539776258584
0,11,11,92,97.78,1,1,1539776258585
0,11,19,92,97.6,1,1,1539776258593
0,12,19,93.5,97.6,2,1,1539776316750
0,12,19,93.5,97.6,6,1,1539776316905
0,12,19,93.5,97.6,8,1,1539776316908
0,12,11,93.5,97.6,8,1,1539776495446
0,12,8,93.5,97.6,8,1,1539776495446
0,12,11,93.5,97.78,8,1,1539776495447
0,12,19,93.5,97.5,8,1,1539776495454
0,12,12,93.5,97.5,8,1,1539776496475
0,12,8,93.5,97.5,8,1,1539776496475
0,12,11,93.5,97.78,8,1,1539776496475
0,12,11,93.5,97.5,8,1,1539776496475
0,12,19,93.5,97.4,8,1,1539776496483
0,10,19,94.5,97.4,1,1,1539776583081
0,10,11,94.5,96.95,1,1,1539777458050
0,10,11,94.5,96.9,1,1,1539777535920
0,10,11,94.5,96.28,1,1,1539777565882
0,10,8,94.5,96,1,1,1539777608051
0,10,11,94.5,96.9,1,1,1539777948261
0,10,11,94.5,95.5,1,1,1539777948357
0,12,11,93.5,95.5,8,1,1539778140659
0,12,12,93.5,96.25,8,13,1539778410590
0,12,11,93.5,95,8,1,1539778410686
0,11,11,93.7,95,2,1,1539781451278
0,10,11,94.5,95,8,1,1539782156511
0,10,12,94.5,96.4,8,1,1539782405271
0,18,12,94.6,96.4,1,1,1539782405272
0,7,12,94.6,96.4,1,1,1539782405274
0,18,12,94.68,96.4,1,1,1539782608500
0,18,12,94.6,96.4,1,1,1539782608500
0,18,12,94.75,96.4,1,1,1539782612601
0,10,12,94.5,96.4,8,1,1539782615177
0,10,12,94.5,94.98,8,9,1539782619436
0,10,12,94.5,94.88,8,1,1539782880131
0,10,12,94.5,94.56,8,1,1539782880132
0,10,2,94.5,94.38,3,1,1539782880132
0,10,12,94.5,94.56,3,1,1539782880132
0,12,2,93.5,94.38,8,1,1539782880133
0,12,11,93.5,94.44,8,2,1539782880133
0,12,11,93.5,94.44,8,10,1539782880133
0,12,11,93.5,94.51,8,3,1539782880855
0,12,12,93.5,94.56,8,1,1539782883455
0,12,12,93.5,94.55,8,29,1539782885158
