c,bE,aE,bP,aP,bS,aS,t
0,11,11,59.6,59.97,2,1,1539820800015
0,11,11,59.11,79,2,2,1539849600028
0,11,11,59.11,62.28,2,2,1539849600029
0,11,11,59.11,61.6,2,3,1539849600030
0,11,11,59.11,62.28,2,2,1539849673428
0,11,11,59.11,62.28,1,2,1539849675542
0,11,11,59.11,62.26,1,1,1539849906321
0,11,11,59.11,62.28,1,2,1539853118485
0,11,11,,62.28,,2,1539853119701
0,8,11,55,62.28,1,2,1539860400213
0,8,8,55,61,1,1,1539860400213
0,8,8,55,61.5,1,2,1539860400213
0,8,8,56.43,61,1,1,1539860400213
0,11,8,59.62,61,1,1,1539861406987
0,11,8,59.62,61,2,1,1539862359775
0,11,8,59.62,61,1,1,1539862517701
0,11,8,59.62,60.66,1,1,1539863822088
0,11,11,59.62,61,1,1,1539863840282
0,11,11,59.62,60,1,2,1539863956132
0,8,11,56.43,60,1,2,1539864235128
0,8,8,56.43,59.62,1,2,1539864235130
0,8,11,56.43,60,1,2,1539864528527
0,8,8,56.43,59.5,1,5,1539864571791
0,11,8,58,59.5,1,5,1539864913389
0,11,8,56.5,59.5,2,5,1539865271362
0,11,8,58.01,59.5,1,5,1539865271451
0,8,8,58.02,59.5,2,5,1539866022766
0,11,8,58.03,59.5,1,5,1539866143637
0,12,8,58.09,59.5,1,5,1539866238575
0,11,8,58.03,59.5,1,5,1539866300722
0,12,8,58.2,59.5,1,5,1539866300725
0,11,8,58.03,59.5,1,5,1539866304000
0,12,8,58.4,59.5,1,5,1539866304002
0,11,8,58.03,59.5,1,5,1539866312806
0,12,8,58.7,59.5,1,5,1539866312809
0,11,8,58.03,59.5,1,5,1539866319005
0,12,8,59,59.5,1,5,1539866319007
0,11,8,58.03,59.5,1,5,1539866335598
0,12,8,59.1,59.5,1,5,1539866335601
0,11,8,58.03,59.5,1,5,1539866337579
0,11,11,58.03,59,1,1,1539867691079
0,11,8,58.03,59.5,1,5,1539867697502
0,12,8,59.12,59.5,1,5,1539867783929
0,11,8,58.03,59.5,1,5,1539867806157
0,12,8,59.2,59.5,1,5,1539867806159
0,11,8,58.03,59.5,1,5,1539867864763
0,11,12,58.03,59.3,1,2,1539867883400
0,12,12,58.1,59.3,1,2,1539867922333
0,11,12,58.03,59.3,1,2,1539867934353
0,12,12,58.2,59.3,2,2,1539867934356
0,11,12,58.03,59.3,1,2,1539867973082
0,8,12,58.5,59.3,1,2,1539868004898
0,12,12,58.55,59.3,1,2,1539868019894
0,7,12,58.7,59.3,1,1,1539868039326
0,12,12,58.55,59.3,1,1,1539868039326
0,8,12,58.5,59.3,1,1,1539868050763
0,12,12,58.55,59.3,1,1,1539868050763
0,12,12,58.71,59.3,1,1,1539868050766
0,8,12,58.5,59.3,1,1,1539868069339
0,12,12,58.69,59.3,1,1,1539868069342
0,8,12,58.5,59.3,1,1,1539868072301
0,12,12,58.56,59.3,1,1,1539868072304
0,8,12,58.5,59.3,1,1,1539868075440
0,12,12,58.51,59.3,1,1,1539868079614
0,8,12,59,59.3,1,1,1539868203535
0,12,12,58.51,59.3,1,1,1539868222493
0,8,12,59.02,59.3,10,1,1539868327361
0,11,12,59.03,59.3,3,1,1539868357313
0,8,12,59.02,59.3,10,1,1539868360001
0,8,12,58.5,59.3,1,1,1539868422299
0,11,12,59.03,59.3,1,1,1539868465407
0,8,12,58.5,59.3,1,1,1539868725415
0,11,12,58.51,59.3,1,1,1539868731725
0,11,12,58.51,59.3,2,1,1539868732165
0,8,12,58.5,59.3,1,1,1539869128102
0,11,12,58.51,59.3,1,1,1539869128102
0,8,11,58.5,58.98,1,1,1539869315043
0,8,19,58.5,58.98,1,1,1539869319045
0,8,7,58.5,58.98,1,1,1539869319045
0,8,8,58.5,59.5,1,5,1539869319046
0,8,11,58.5,58.9,1,4,1539869322111
0,8,11,58.5,58.9,1,16,1539869322115
0,8,11,58.5,58.9,1,4,1539869327129
0,8,8,58.5,59.5,1,5,1539869334124
0,8,11,58.5,58.9,1,4,1539869340119
0,8,8,58.5,59.5,1,5,1539869352122
0,8,11,58.5,58.9,1,4,1539869370090
0,8,11,58.5,58.89,1,1,1539869381170
0,10,11,58.5,58.89,11,1,1539869400608
0,10,11,58.75,58.89,1,1,1539869400613
0,10,10,58.75,59.03,1,10,1539869400632
0,10,10,58.75,59.03,1,11,1539869401087
0,10,11,58.75,58.9,1,1,1539869401525
0,12,11,58.7,58.9,1,1,1539869401720
0,10,11,58.75,58.9,1,1,1539869401724
0,10,12,58.75,58.89,1,1,1539869401753
0,10,19,58.75,58.89,1,1,1539869402147
0,10,12,58.75,58.89,1,2,1539869405162
0,10,12,58.75,58.89,1,3,1539869405163
0,10,12,58.75,58.89,1,2,1539869405357
0,10,19,58.75,58.89,1,1,1539869405358
0,10,12,58.75,58.89,1,2,1539869405363
0,10,12,58.75,58.89,1,3,1539869405364
0,10,12,58.75,58.89,1,2,1539869405392
0,10,12,58.75,58.89,1,3,1539869405402
0,10,12,58.75,58.89,1,2,1539869405694
0,10,19,58.75,58.89,1,1,1539869405763
0,10,12,58.75,58.89,1,2,1539869405773
0,12,12,58.75,58.89,1,2,1539869405970
0,10,12,58.75,58.89,1,3,1539869407030
0,12,12,58.75,58.89,1,3,1539869407875
0,10,12,58.75,58.89,1,2,1539869407884
0,10,19,58.75,58.89,1,1,1539869407990
0,10,12,58.75,58.89,1,2,1539869408000
0,10,19,58.75,58.89,1,1,1539869408018
0,10,12,58.75,58.89,1,2,1539869408023
0,10,19,58.75,58.89,1,1,1539869408268
0,10,12,58.75,58.89,1,2,1539869408278
0,10,19,58.75,58.89,1,1,1539869409470
0,12,19,58.75,58.89,1,1,1539869409471
0,12,12,58.75,58.89,1,1,1539869410269
0,10,12,58.75,58.89,1,2,1539869415347
0,10,12,58.75,58.89,1,3,1539869415348
0,12,12,58.75,58.89,1,2,1539869415348
0,10,12,58.75,58.89,1,2,1539869416283
0,10,19,58.75,58.89,1,1,1539869416284
0,10,12,58.75,58.89,1,2,1539869416293
0,10,12,58.75,58.89,1,3,1539869416294
0,10,12,58.75,58.89,1,2,1539869416319
0,10,19,58.75,58.89,1,1,1539869416319
0,10,12,58.75,58.89,1,3,1539869416329
0,10,12,58.75,58.89,1,2,1539869416329
0,10,12,58.75,58.89,1,2,1539869416353
0,12,12,58.75,58.89,1,2,1539869416353
0,12,19,58.75,58.89,1,1,1539869416366
0,10,12,58.75,58.89,1,2,1539869420446
0,10,12,58.75,58.89,1,3,1539869420448
0,10,19,58.75,58.89,1,1,1539869420466
0,10,12,58.75,58.89,1,2,1539869420466
0,10,12,58.75,58.89,1,2,1539869420479
