c,bE,aE,bP,aP,bS,aS,t
0,11,11,81.66,87,1,1,1539820800014
0,12,12,86.08,86.17,7,7,1539849600043
0,11,12,86.04,86.17,1,7,1539849600103
0,12,12,86.08,86.17,7,7,1539849600104
0,12,12,86.08,86.17,7,7,1539849600955
0,12,11,86.08,86.2,7,1,1539849600955
0,11,12,86.03,86.17,1,7,1539849601755
0,12,12,86.07,86.17,7,7,1539849601755
0,12,12,86.07,86.17,6,7,1539849605263
0,12,12,86.08,86.17,7,7,1539849605264
0,12,12,86.08,86.17,7,7,1539849606310
0,11,12,86.06,86.17,1,7,1539849606310
0,12,12,86.08,86.17,7,5,1539849608219
0,12,12,86.08,86.18,7,7,1539849608297
0,12,12,86.08,86.18,7,2,1539849608297
0,12,11,86.08,86.2,7,1,1539849616439
0,12,12,86.08,86.18,7,2,1539849616439
0,12,12,86.08,86.19,7,7,1539849616439
0,12,11,86.08,86.2,7,1,1539849616451
0,12,12,86.08,,7,,1539849616453
0,12,12,86.08,86.2,7,1,1539849616453
0,11,0,86.06,,1,,1539849616454
0,12,12,86.1,,5,,1539849616455
0,12,12,86.11,,2,,1539849616455
0,12,12,86.12,,2,,1539849616456
0,12,12,86.12,86.19,2,2,1539849616466
0,12,12,86.12,86.21,2,5,1539849616469
0,12,12,86.12,86.2,2,2,1539849616469
0,12,12,86.12,86.2,5,2,1539849616475
0,12,12,86.12,86.2,7,2,1539849616484
0,12,12,86.12,86.21,7,7,1539849618080
0,12,12,86.12,86.21,7,5,1539849618080
0,12,12,86.12,86.21,7,5,1539849618103
0,12,12,86.12,86.21,7,2,1539849618112
0,12,12,86.12,86.23,7,7,1539849619097
0,12,12,86.12,86.23,7,5,1539849619097
0,12,12,86.12,86.23,7,2,1539849619107
0,12,12,86.12,86.23,7,5,1539849619107
0,12,12,86.12,86.25,7,7,1539849619107
0,12,11,86.12,86.26,7,1,1539849619107
0,12,11,86.12,86.26,7,1,1539849619108
0,12,12,86.12,86.23,7,7,1539849619108
0,12,12,86.12,86.25,7,7,1539849619111
0,12,11,86.12,86.26,7,1,1539849619111
0,11,12,86.13,86.25,1,7,1539849619138
0,12,12,86.14,86.25,7,7,1539849619140
0,12,12,86.14,86.25,7,5,1539849619149
0,12,12,86.14,86.25,7,2,1539849619439
0,12,12,86.14,86.25,8,2,1539849619705
0,11,12,86.14,86.25,1,2,1539849619706
0,12,12,86.15,86.25,7,2,1539849619706
0,12,12,86.15,86.27,7,5,1539849619780
0,12,12,86.15,86.27,7,7,1539849619780
0,12,12,86.15,86.27,7,7,1539849621350
0,11,12,86.14,86.27,1,7,1539849621350
0,12,12,86.15,86.27,7,2,1539849622325
0,12,12,86.15,86.27,7,5,1539849622325
0,12,11,86.15,86.31,7,1,1539849622325
0,12,12,86.15,86.28,7,7,1539849622325
0,11,12,86.16,86.28,1,7,1539849622470
0,12,12,86.17,86.28,7,7,1539849622472
0,12,12,86.17,86.28,6,7,1539849622474
0,12,12,86.17,86.29,6,2,1539849622475
