c,bE,aE,bP,aP,bS,aS,t
0,11,8,15.5,16.15,10,3,1539951839573
0,8,8,15.3,16.15,1,3,1539955500839
0,12,8,15.32,16.15,8,3,1539955779450
0,11,8,15.34,16.15,1,3,1539955790065
0,11,8,15.34,16.15,7,3,1539955790065
0,11,8,15.34,16.15,2,3,1539955790065
0,19,8,15.34,16.15,8,3,1539955790066
0,19,8,15.36,16.15,1,3,1539955790068
0,11,8,15.36,16.15,1,3,1539955792069
0,19,8,15.36,16.15,1,3,1539955793020
0,11,8,15.36,16.15,1,3,1539955794070
0,11,12,15.36,15.65,1,1,1539955800029
0,19,12,15.37,15.65,1,1,1539955800147
0,11,12,15.37,15.65,1,1,1539955800398
0,19,12,15.37,15.65,1,1,1539955800588
0,11,12,15.37,15.65,1,1,1539955802147
0,19,12,15.4,15.65,4,1,1539955812265
0,19,12,15.4,15.65,4,1,1539955887434
0,19,10,15.4,15.57,4,4,1539955887434
0,19,8,15.4,15.56,4,1,1539955887463
0,8,8,15.5,15.56,2,1,1539955887463
0,8,12,15.5,15.61,2,1,1539955887538
0,10,12,15.51,15.61,1,1,1539955892763
0,8,12,15.51,15.61,1,1,1539955938117
0,8,12,15.56,15.61,1,1,1539955938117
0,10,12,15.51,15.61,1,1,1539955938118
0,8,12,15.51,15.61,1,1,1539955938121
0,8,19,15.51,15.65,1,1,1539955938130
0,10,19,15.51,15.65,1,1,1539955938140
0,8,19,15.51,15.65,1,1,1539955938168
0,19,8,15.52,15.65,7,1,1539955970652
0,19,8,15.53,15.65,1,1,1539955975818
0,19,12,15.53,15.65,1,1,1539955983698
0,19,19,15.53,15.65,1,1,1539955987506
0,10,19,15.54,15.65,1,1,1539955995252
0,10,8,15.54,15.65,1,1,1539955996951
0,8,19,15.56,15.64,1,1,1539955996951
0,10,19,15.54,15.64,1,1,1539955996951
0,8,12,15.56,15.65,1,1,1539955996952
0,8,8,15.56,15.65,1,1,1539955996952
0,19,12,15.57,15.65,1,1,1539955996952
0,8,12,15.56,15.65,1,1,1539955996952
0,19,19,15.57,15.64,2,1,1539955996952
0,19,19,15.57,15.64,1,1,1539955996952
0,19,12,15.57,15.65,2,1,1539955996954
0,19,12,15.61,15.65,1,1,1539955996955
0,19,12,15.61,15.65,1,1,1539955996955
0,19,8,15.61,15.65,1,1,1539955996955
0,19,8,15.61,15.65,2,1,1539955996955
0,19,12,15.61,15.65,2,1,1539955996955
0,19,8,15.61,15.65,1,1,1539955996955
0,19,8,15.61,15.65,2,1,1539955996956
0,19,12,15.61,15.7,3,1,1539955996956
0,19,8,15.61,15.65,3,1,1539955996956
0,19,12,15.61,15.65,2,1,1539955996956
0,19,12,15.61,15.7,2,1,1539955996956
0,19,19,15.61,15.7,2,1,1539955996956
0,19,19,15.61,15.7,1,1,1539955996956
0,19,12,15.61,15.65,2,1,1539955996956
0,19,12,15.61,15.65,1,1,1539955996956
0,19,12,15.61,15.65,1,1,1539955996956
0,19,12,15.57,15.65,3,1,1539955996956
0,19,12,15.59,15.65,1,1,1539955996957
0,19,19,15.59,15.7,1,1,1539955996957
0,19,19,15.59,15.7,1,1,1539955996957
0,12,12,15.59,15.7,1,1,1539955996957
0,19,12,15.59,15.7,1,1,1539955996957
0,19,12,15.59,15.65,1,1,1539955996957
0,19,12,15.61,15.7,1,1,1539955996960
0,12,12,15.59,15.65,1,1,1539955996960
0,19,12,15.61,15.65,1,1,1539955996960
0,19,19,15.59,15.7,1,1,1539955996960
0,19,12,15.6,15.65,1,1,1539955996976
0,10,12,15.53,15.65,1,1,1539955997025
0,19,12,15.57,15.65,1,1,1539955997025
0,10,12,15.53,15.65,1,3,1539955997044
0,19,12,15.53,15.65,1,3,1539955997058
