c,bE,aE,bP,aP,bS,aS,t
0,19,8,69.5,71.25,1,1,1539648000001
0,12,11,69.5,79,1,1,1539648000012
0,11,11,65.5,79,2,1,1539648000059
0,11,11,65.42,74.9,1,6,1539684851965
0,11,11,65.42,74.9,1,2,1539684851965
0,11,11,69.6,74.9,1,6,1539686729251
0,11,11,70.5,74.9,20,6,1539686734536
0,11,11,69.6,74.9,1,6,1539686856353
0,11,11,69.6,72.6,1,1,1539686872654
0,11,11,70.1,72.6,20,1,1539687599648
0,11,11,66,72.6,10,1,1539687883349
0,11,11,69.75,72.6,1,1,1539688112846
0,12,11,70,72.6,1,1,1539690203295
0,11,11,70.25,72.6,1,1,1539690244782
0,11,7,70.25,72.13,1,1,1539690402980
0,11,11,70.25,73.1,1,1,1539690402980
0,11,7,70.25,72.13,6,1,1539690846518
0,11,18,70.25,72.13,6,1,1539690846519
0,11,11,70.25,73.1,6,1,1539690846519
0,11,11,70.5,73.1,10,1,1539691202760
0,11,12,70.5,73.1,15,1,1539691497830
0,11,8,70.5,73.1,15,10,1539692205683
0,11,8,70.5,73.1,5,10,1539692395059
0,11,8,71,73.1,1,10,1539693443021
0,11,11,71,73,1,1,1539694664831
0,11,11,71,73,1,11,1539694729845
0,12,11,71,73,1,11,1539695218052
0,2,11,71.24,73,1,11,1539695293556
0,8,11,71.11,73,1,11,1539695293556
0,12,11,71,73,1,11,1539695293586
0,12,11,71.11,73,1,11,1539695293586
0,11,11,71,73,5,11,1539695898547
0,12,11,71.01,73,1,11,1539696127851
0,11,11,71.5,73,1,11,1539696194387
0,11,11,72,73,3,11,1539696248450
0,11,11,72,73,2,11,1539696248461
0,11,11,72,73,2,10,1539696304524
0,18,11,72.2,73,1,5,1539696305185
0,11,11,72,73,2,5,1539696305185
0,11,11,72.3,73,2,5,1539696315205
0,11,12,72.3,73.02,2,1,1539696319632
0,7,12,72.44,73.02,1,1,1539696319633
0,18,11,72.44,73.1,1,2,1539696322027
0,7,11,72.44,73.1,1,2,1539696322027
0,11,12,72.3,73.02,2,1,1539696322027
0,11,11,72.3,73.1,2,2,1539696322027
0,7,11,72.45,73.1,1,2,1539696325688
0,11,11,72.3,73.1,2,2,1539696325688
0,7,12,72.45,73.02,1,1,1539696325688
0,18,12,72.45,73.02,1,1,1539696325738
0,11,11,72.3,73.1,2,2,1539696325739
0,11,12,72.3,73.02,2,1,1539696325739
0,11,12,72.3,73.02,2,1,1539696325739
0,19,12,72.71,73.02,1,1,1539696332903
0,18,12,72.45,73.02,1,1,1539696332903
0,19,12,72.71,73.02,1,1,1539696332903
0,19,11,72.71,73.1,1,2,1539696332903
0,17,12,72.48,73.02,1,1,1539696332904
0,17,11,72.48,73.1,1,2,1539696333869
0,11,12,72.3,73.02,2,1,1539696333869
0,11,11,72.3,73.1,2,2,1539696333869
0,18,11,72.45,73.1,1,2,1539696334710
0,11,11,72.3,73.1,2,2,1539696334710
0,19,11,72.71,73.1,1,2,1539696334710
0,18,11,72.78,73.1,1,2,1539696334844
0,19,11,72.88,73.1,1,2,1539696334844
0,18,11,72.78,73.1,1,2,1539696334847
0,7,11,72.78,73.1,1,2,1539696334874
0,11,11,72.3,73.1,2,2,1539696334874
0,8,11,72.65,73.1,1,1,1539696335486
0,11,11,72.3,73.1,2,1,1539696335486
0,17,11,72.74,73.1,1,1,1539696335487
0,2,11,72.74,73.1,1,1,1539696335517
0,15,11,72.65,73.1,1,1,1539696335517
0,11,11,72.3,73.1,2,1,1539696335588
0,11,18,72.3,74.56,2,1,1539696335931
0,7,18,72.46,74.56,1,1,1539696335932
0,7,12,72.46,74.9,1,6,1539696335932
0,18,18,72.46,74.56,1,1,1539696335932
0,18,12,72.46,74.9,1,6,1539696335932
0,7,12,72.46,74.9,1,6,1539696335932
0,8,12,72.7,74.9,1,6,1539696336235
0,19,12,72.7,74.9,1,6,1539696336236
0,19,12,73.35,74.9,1,6,1539696336236
0,12,12,73.35,74.9,1,6,1539696336266
0,17,12,72.96,74.9,1,6,1539696336266
0,11,12,72.3,74.9,2,6,1539696336559
0,11,11,72.3,74.8,2,1,1539696338783
0,11,11,72.3,74.8,2,2,1539696358024
0,11,12,72.3,74.8,2,3,1539696370274
0,11,12,72.3,74.8,2,7,1539696370351
0,11,12,72.3,74.8,2,9,1539696370380
0,11,12,72.4,74.8,1,9,1539696377443
0,11,12,72.6,74.8,1,9,1539696378682
0,11,11,72.6,74.78,1,3,1539696388085
0,11,11,74,74.78,1,3,1539696415162
0,18,8,72.52,74.39,1,1,1539696442541
0,18,11,72.52,74.78,1,3,1539696442541
0,11,8,72,74.39,2,1,1539696442553
0,11,12,72,74.39,2,1,1539696442554
0,11,15,72,74.39,2,1,1539696442571
0,11,11,72,74.78,2,3,1539696442643
0,11,12,72,74.5,2,1,1539696451720
0,11,12,72,74.4,2,1,1539696465297
0,11,12,72,74.4,9,1,1539696470631
0,11,11,72,73.9,9,3,1539696484868
0,11,12,72,74.4,9,1,1539696496881
0,11,12,72,74.5,9,1,1539696504629
0,11,11,72,74.78,9,3,1539696531256
0,11,11,72,73.9,9,4,1539696540106
0,11,11,72,74.78,9,3,1539696552118
0,11,11,72,73.9,9,4,1539696555081
0,11,12,72,74.8,9,8,1539696567084
0,11,11,72,73.9,9,4,1539696570135
0,11,11,72,73.9,10,4,1539696582004
0,11,12,72,74.17,10,1,1539696582148
0,11,19,72,74.26,10,1,1539696582166
0,11,12,72,74.3,10,1,1539696582190
0,12,12,72.06,74.3,1,1,1539696586734
0,12,12,72.06,74.4,1,1,1539696586744
0,11,12,72,74.4,10,1,1539696586745
0,11,12,72,74.8,10,8,1539696590510
0,11,11,72,74.79,10,1,1539696593625
0,11,11,72,74.79,10,2,1539696600050
0,11,8,72,74.78,10,1,1539696642589
0,11,8,72,74.78,4,1,1539696662371
0,19,8,71.72,74.78,1,1,1539696662372
0,12,8,72,74.78,1,1,1539696662372
0,19,12,71.72,72.01,1,1,1539696662372
0,19,17,71.72,74.22,1,1,1539696662372
0,19,12,71.72,73.39,1,1,1539696662372
0,19,8,71.72,74.22,1,1,1539696662372
0,17,17,71.26,74.22,1,1,1539696662372
0,17,12,71.26,74.22,1,2,1539696662374
0,17,11,71.26,73.45,1,1,1539696662377
0,17,17,71.26,74.22,1,1,1539696662378
0,17,12,71.26,73.45,1,1,1539696662379
0,11,12,71.26,73.45,1,1,1539696662526
0,11,7,71.26,73.73,1,1,1539696666014
0,12,7,72.02,73.73,1,1,1539696666015
0,12,7,73.44,73.73,1,1,1539696666015
0,11,7,72.02,73.73,1,1,1539696666015
0,8,7,71.17,73.73,1,1,1539696666015
0,11,11,72.02,73.99,1,1,1539696667426
0,11,19,72.02,73.99,1,1,1539696667426
0,12,11,72.03,73.99,1,1,1539696667634
0,11,11,72.03,73.99,1,1,1539696668209
0,11,11,72.03,73.98,1,2,1539696672211
0,11,11,72.03,73.98,1,1,1539696672211
0,10,10,72.18,73.9,1,8,1539696693404
0,10,10,71.81,72.03,1,1,1539696693405
0,10,10,71.81,73.9,1,8,1539696693405
0,10,10,72.02,73.9,21,8,1539696693405
0,10,10,72.5,73.9,20,8,1539696693405
0,10,10,72.5,73.9,21,8,1539696693405
0,10,10,72.5,73.9,18,8,1539696693405
0,10,10,72.5,73.9,17,8,1539696693407
0,10,10,72.5,73.9,15,8,1539696693407
0,10,10,72.5,73.9,16,8,1539696693407
0,10,10,72.5,72.76,14,1,1539696693407
0,10,10,72.5,73.9,14,8,1539696693407
0,10,10,72.5,72.54,13,1,1539696693407
0,10,10,72.5,72.54,14,1,1539696693407
0,10,10,72.5,72.54,6,1,1539696693408
0,10,10,72.5,72.54,5,1,1539696693408
0,10,10,72.5,72.54,4,1,1539696693408
0,10,10,71.81,72.54,1,1,1539696693409
0,10,10,71.81,72.54,1,2,1539696693416
0,8,12,71.76,72.54,1,1,1539696693457
0,8,10,71.76,72.54,1,2,1539696693457
0,12,12,71.76,72.54,1,1,1539696693516
0,12,12,71.76,72.54,2,1,1539696693558
0,12,19,71.76,72.3,2,1,1539696693627
0,12,19,71.76,72.34,2,1,1539696693627
0,12,12,71.76,72.32,2,1,1539696693629
0,12,10,71.76,72.32,2,1,1539696693643
0,12,10,71.76,72.32,2,2,1539696693778
0,12,10,71.76,72.32,2,3,1539696694173
0,12,10,71.79,72.32,1,3,1539696694332
0,12,10,71.79,72.32,2,3,1539696695187
0,17,10,71.82,72.32,1,3,1539696695833
0,17,12,71.82,72.17,1,1,1539696699125
0,17,19,71.82,72.19,1,1,1539696699125
0,17,10,71.82,72.17,1,2,1539696699127
0,17,10,71.82,72.17,1,3,1539696699173
0,17,19,71.82,72.1,1,1,1539696699272
0,17,12,71.82,72.08,1,1,1539696699272
0,17,10,71.82,72.08,1,2,1539696699275
0,17,10,71.82,72.07,1,1,1539696700385
0,17,12,71.82,72.07,1,1,1539696700568
0,19,2,71.87,72.08,1,1,1539696700569
0,17,2,71.82,72.08,1,1,1539696700569
0,12,2,72.07,72.08,1,1,1539696700569
0,12,10,72.07,72.13,1,1,1539696700569
0,12,12,72.07,72.08,1,1,1539696700569
0,12,10,71.94,72.13,1,1,1539696700569
0,19,10,71.87,72.13,1,1,1539696700569
0,17,8,71.87,72.11,1,1,1539696700569
0,17,10,71.87,72.13,1,1,1539696700569
0,17,19,71.87,72.11,1,1,1539696700569
0,17,12,71.87,72.13,1,1,1539696700588
0,12,12,71.87,72.13,2,2,1539696700623
0,17,12,71.87,72.13,1,2,1539696700623
0,17,12,71.87,72.13,1,2,1539696700728
0,12,12,71.87,72.13,1,2,1539696700779
0,12,12,71.89,72.13,2,2,1539696701143
0,12,12,71.89,72.13,1,2,1539696701143
0,12,12,71.92,72.13,1,2,1539696701143
0,12,12,71.89,72.13,3,2,1539696701143
0,12,12,71.92,72.13,2,2,1539696701424
0,19,12,71.97,72.13,1,2,1539696701557
0,19,12,71.97,72.16,1,1,1539696701557
0,19,12,71.97,72.13,1,1,1539696701557
0,12,12,72.12,72.16,1,1,1539696701557
0,19,10,72.13,72.17,1,1,1539696701557
0,17,12,71.97,72.16,1,1,1539696701557
0,12,10,72.12,72.17,1,1,1539696701557
0,12,10,72.12,72.32,1,1,1539696701557
0,12,10,72.12,72.17,1,1,1539696701557
0,12,10,72.13,72.32,1,1,1539696701557
0,12,10,72.02,72.32,1,1,1539696701558
0,17,10,71.97,72.32,1,1,1539696701558
