c,bE,aE,bP,aP,bS,aS,t
0,12,11,10,12.6,1,1,1537959608371
0,0,11,,12.6,,1,1537959608374
0,11,11,10,12.6,1,1,1537959608377
0,11,11,,12.6,,1,1537963213089
0,11,11,10.4,12.6,20,1,1537963226378
0,11,11,10.4,12.6,20,2,1537963327686
0,11,11,10.4,12.6,20,1,1537963346035
0,11,11,10.4,12.6,19,1,1537963346041
0,11,11,10.4,12.6,9,1,1537963521421
0,11,11,,12.6,,1,1537963521422
0,8,11,9,12.6,1,1,1537963781472
0,0,11,,12.6,,1,1537964004134
0,12,11,0.05,12.6,1,1,1537964060609
0,12,8,0.05,10.45,1,1,1537964257333
0,12,11,0.05,12.6,1,1,1537964436574
0,12,8,0.05,10.4,1,1,1537964465747
0,11,8,4.9,10.4,1,1,1537964727051
0,11,11,4.9,12.6,1,1,1537964736693
0,11,8,4.9,10.25,1,1,1537964792035
0,11,11,4.9,12.6,1,1,1537964993907
0,11,11,8,12.6,3,1,1537965757324
0,11,11,8,9.85,3,1,1537966025341
0,11,11,8,9.85,7,1,1537966318471
0,11,11,8.05,9.85,1,1,1537966329057
0,8,11,8.05,9.85,4,1,1537966473162
0,12,11,8.15,9.85,10,1,1537967139697
0,8,11,8.75,9.85,3,1,1537967611019
0,11,11,9.35,9.85,1,1,1537968480560
0,11,12,9.35,10.3,1,24,1537968524963
0,11,11,9.35,10.35,1,2,1537968524964
0,11,11,9.35,10.35,1,1,1537968524965
0,11,19,9.35,9.6,1,1,1537968526612
0,12,19,8.9,9.6,24,1,1537968571132
0,12,19,9.05,9.6,24,1,1537968571132
0,11,19,8.85,9.6,3,1,1537968571133
0,11,19,8.85,9.6,2,1,1537968571138
0,12,19,8.6,9.6,24,1,1537968571138
0,11,19,8.85,9.6,1,1,1537968571138
0,11,19,8.55,9.6,3,1,1537968571139
0,11,19,8.55,9.6,2,1,1537968571465
0,12,19,8.55,9.6,2,1,1537968582235
0,11,19,8.55,9.6,3,1,1537968585014
0,11,19,8.55,9.6,2,1,1537968613656
0,12,19,8.55,9.6,1,1,1537968613657
