c,bE,aE,bP,aP,bS,aS,t
0,11,11,26.76,31.44,2,1,1539936000044
0,11,11,26.76,31.44,2,3,1539936000045
0,12,11,26.8,31.44,2,3,1539936049784
0,12,11,26.8,31.44,2,1,1539936103715
0,12,11,26.8,30.73,2,1,1539936355904
0,12,12,26.8,30.44,2,1,1539936355906
0,11,12,26.8,30.44,14,1,1539936396884
0,12,12,26.81,30.44,2,1,1539936929715
0,12,12,27,30.44,1,1,1539945143435
0,11,12,27.5,30.44,1,1,1539945276085
0,12,12,27,30.44,1,1,1539945367085
0,11,12,27.5,30.44,1,1,1539945367087
0,11,12,27.51,30.44,1,1,1539946079972
0,11,12,28.05,30.44,1,1,1539946086991
0,12,12,28.06,30.44,3,1,1539946211661
0,12,11,28.06,30.73,3,1,1539946525111
0,12,11,28.06,30,3,1,1539946651889
0,12,12,28.06,29.7,3,5,1539946770861
0,8,8,28.1,29.5,5,2,1539946800243
0,8,8,28.1,28.99,5,2,1539946800723
0,11,8,28.5,28.99,2,2,1539946810512
0,8,8,28.1,28.99,5,2,1539946818764
0,8,12,28.1,28.5,5,15,1539946818764
0,8,8,28.1,28.99,5,2,1539946820766
0,8,11,28.1,28.99,5,10,1539946862454
0,8,8,28.1,28.99,5,2,1539946863353
0,12,8,28.3,28.99,1,2,1539946883621
0,12,12,28.3,29.7,1,5,1539947064036
0,12,8,28.3,29.49,1,2,1539947064133
0,12,11,28.3,29,1,1,1539947097102
0,12,11,28.5,29,2,1,1539947143258
0,12,11,28.51,29,1,1,1539947813629
0,11,11,28.75,29,5,1,1539947963070
0,12,11,28.51,29,1,1,1539947967118
0,12,12,28.51,28.75,1,5,1539947967118
0,12,11,28.51,29,1,1,1539947968452
0,12,11,28.51,29,1,1,1539948003232
0,12,11,28.5,29,2,1,1539948003232
0,12,12,28.51,28.9,1,1,1539948026098
0,12,12,28.51,28.9,1,1,1539948052561
0,12,12,28.5,28.9,2,1,1539948052561
0,12,12,28.5,28.9,2,1,1539948067093
0,12,12,28.51,28.9,1,1,1539948067093
0,8,12,28.52,28.9,1,1,1539948079455
0,12,12,28.51,28.9,1,1,1539948304341
0,12,12,28.51,28.9,1,1,1539948304361
0,12,12,28.5,28.9,2,1,1539948304361
0,12,12,28.51,28.9,1,1,1539948304362
0,12,12,28.51,28.9,1,1,1539948304362
0,12,12,28.5,28.9,2,1,1539948304362
0,12,12,28.5,28.9,2,1,1539948304362
0,12,12,28.51,28.9,1,1,1539948304667
0,12,12,28.5,28.9,2,1,1539948304667
0,12,12,28.51,28.9,1,1,1539948308286
0,12,12,28.5,28.9,2,1,1539948308286
0,12,12,28.5,28.9,2,1,1539948316078
0,12,12,28.51,28.9,1,1,1539948316078
0,12,12,28.51,28.9,1,1,1539948317065
0,12,12,28.5,28.9,2,1,1539948317065
0,11,12,28.53,28.9,2,1,1539948361771
0,8,12,28.6,28.9,3,1,1539948381293
0,11,12,28.53,28.9,2,1,1539948398261
0,12,12,28.51,28.9,1,1,1539948524668
0,12,12,28.5,28.9,2,1,1539948524669
0,12,12,28.51,28.9,1,1,1539948524669
0,12,12,28.5,28.9,2,1,1539948525311
0,12,12,28.5,28.9,1,1,1539948526358
0,12,12,28.11,28.9,50,1,1539948528555
0,12,11,28.11,28.5,50,1,1539948529163
