c,bE,aE,bP,aP,bS,aS,t
0,11,11,69.74,75.85,1,2,1538467200043
0,8,11,70,75.85,2,2,1538478000001
0,8,11,70,75.75,2,4,1538478004119
0,11,11,70.75,75.75,2,4,1538478004120
0,8,11,73,75.75,10,4,1538478238761
0,11,11,70.75,75.75,2,4,1538478911914
0,8,11,73.75,75.75,4,4,1538478940633
0,11,11,70.75,75.75,2,4,1538478981696
0,11,11,70.75,75.25,2,8,1538479010386
0,11,11,70.76,75.25,5,8,1538479222954
0,11,11,70.76,75.25,7,8,1538479525548
0,11,11,71,75.25,1,8,1538481600840
0,8,11,71,75.25,20,8,1538481861966
0,11,11,72.5,75.25,1,8,1538482458775
0,8,11,73.25,75.25,1,8,1538482633528
0,11,11,73.3,75.25,2,8,1538482700722
0,8,11,73.25,75.25,1,8,1538482755181
0,8,11,73.25,73.3,1,8,1538482756110
0,8,11,73,73.3,1,8,1538482808220
0,8,11,73.1,73.3,1,8,1538482980762
0,8,11,73.1,73.25,1,2,1538483090158
0,8,11,73.1,73.3,1,8,1538483126714
0,8,11,73.1,73.2,1,2,1538483126858
0,8,11,72.79,73.2,1,2,1538483126859
0,8,11,72.79,73.2,1,1,1538483126859
0,8,11,72.79,73.3,1,8,1538483168894
0,8,11,71,73.3,20,8,1538483222944
0,8,11,71,75.25,20,8,1538483400158
0,11,11,72,75.25,1,8,1538483456508
0,8,11,71,75.25,20,8,1538483508903
0,11,11,72.5,75.25,1,8,1538483508999
0,11,11,72.5,74.99,1,1,1538483548065
0,11,11,72.5,74.99,1,2,1538483571388
0,11,11,72.3,74.99,10,2,1538483586091
0,8,11,72.79,74.99,1,2,1538483591212
0,8,11,72.99,74.99,1,2,1538483596162
0,8,11,72.79,74.99,1,2,1538483621101
0,8,11,72.79,74,1,8,1538483700277
0,11,11,72.3,74,10,8,1538483718564
0,11,11,72.3,74.5,10,8,1538483739349
0,12,11,72.4,74.5,1,8,1538483790654
0,19,11,72.4,74.5,1,8,1538483790684
0,15,11,72.4,74.5,1,8,1538483790684
0,8,11,72.4,74.5,1,8,1538483790684
0,11,11,72.3,74.5,10,8,1538483790756
0,11,12,72.3,74.15,10,1,1538483825341
0,11,18,72.3,74.15,10,1,1538483825371
0,11,15,72.3,74.15,10,1,1538483825371
0,11,19,72.3,74.15,10,1,1538483825371
0,11,11,72.3,74.5,10,8,1538483826343
0,11,11,73,74.5,1,8,1538483865845
0,11,11,73,74.5,3,8,1538483933020
0,11,11,73.25,74.5,2,8,1538484216631
0,11,11,73,73.25,3,1,1538484354799
0,11,11,73,74.5,3,8,1538484354801
0,11,12,73,73.25,3,1,1538484354803
0,11,11,73,74.5,3,8,1538484384732
0,18,11,73.05,74.5,1,8,1538484384733
0,7,11,73.05,74.5,1,8,1538484396126
0,11,11,73,74.5,3,8,1538484396126
0,8,11,73.25,74.5,5,8,1538484457374
0,12,11,73.3,74.5,1,8,1538484468260
0,8,11,73.7,74.5,1,8,1538484507901
0,8,11,73.7,74.5,3,8,1538484820394
0,8,11,73.7,74.5,4,8,1538484832897
0,8,11,73.7,74.5,3,8,1538484841937
0,8,11,73.7,74.5,7,8,1538484997325
0,8,11,73.8,74.5,5,8,1538485049938
0,11,11,74.25,74.5,1,8,1538485084949
0,8,11,73.8,74.5,5,8,1538485084956
0,12,11,74.26,74.5,1,8,1538485093769
0,17,11,74.26,74.5,1,8,1538485093769
0,12,11,74.26,74.99,1,1,1538485093769
0,17,11,74.26,74.99,1,1,1538485093769
0,17,11,74.26,74.99,1,1,1538485094170
0,8,11,73.8,74.99,5,1,1538485095769
0,12,11,74.26,74.99,1,1,1538485100450
0,17,11,74.26,74.99,1,1,1538485100850
0,8,11,73.8,74.99,5,1,1538485102450
0,8,11,73.7,74.99,7,1,1538485169368
0,8,8,73.7,74.99,7,10,1538485173438
0,8,11,73.7,74.9,7,1,1538485243268
0,8,8,73.7,74.99,7,10,1538485247374
0,8,8,73.7,74.99,3,10,1538485255636
0,11,8,73.8,74.99,1,10,1538485308640
0,18,8,74.04,74.99,1,10,1538485413250
0,7,8,74.04,74.99,1,9,1538485569357
0,18,8,74.04,74.99,1,9,1538485569357
0,11,8,73.8,74.99,1,9,1538485569357
0,11,8,73.8,74.99,1,10,1538485855884
0,11,8,73.8,74.99,1,9,1538485985975
0,11,11,73.8,74.7,1,1,1538485986021
0,11,11,73.8,74.6,1,1,1538486003817
0,11,12,73.8,74.5,1,1,1538486039666
0,8,12,73.7,74.5,3,1,1538486041798
0,8,12,73.7,74.36,3,1,1538486058784
0,12,2,73.3,74.23,1,1,1538486058784
0,12,12,73.3,74.36,1,1,1538486058784
0,12,8,73.3,74.36,1,1,1538486058814
0,12,19,73.3,74.36,1,1,1538486058814
0,12,11,73.3,74.36,1,1,1538486058814
0,12,12,73.3,74.5,1,1,1538486058815
0,12,12,73.3,74,1,1,1538486134227
0,12,12,73.3,74.5,1,1,1538486151204
0,12,12,73.31,74.5,1,1,1538486151204
0,12,12,73.65,74.5,1,1,1538486151204
0,17,12,73.44,74.5,1,1,1538486151204
0,12,12,74,74.5,18,1,1538486151207
0,12,11,74,74.6,18,1,1538486169634
0,12,11,73.3,74.6,1,1,1538486186173
0,12,11,73.71,74.6,18,1,1538486186174
0,12,8,73.71,74.5,18,1,1538486211844
0,12,8,73.3,74.5,1,1,1538486252192
0,12,8,73.38,74.5,18,1,1538486252193
0,12,12,73.38,74.5,18,2,1538486271414
0,12,12,73.3,74.5,1,2,1538486290312
0,12,12,73.05,74.5,18,2,1538486556194
0,8,12,73.75,74.5,2,2,1538486704621
0,8,12,73.75,74.12,2,1,1538486840501
0,8,12,73.75,74.5,2,2,1538486874495
0,8,12,73.75,73.98,2,1,1538486874498
0,12,12,73.05,73.98,18,1,1538486886012
0,12,12,73.05,74.5,18,2,1538486907388
0,12,12,73.05,73.68,18,1,1538486907391
0,12,12,73.05,74.5,18,3,1538486907391
0,12,12,73.05,74.5,18,2,1538486907391
0,12,12,73.05,74.5,18,2,1538486907408
0,12,12,73.18,74.5,1,2,1538486907408
0,12,12,73.05,74.5,18,2,1538486907439
0,12,11,73.05,74.1,18,1,1538486978505
0,12,11,73.51,74.1,1,1,1538486999956
0,12,12,73.51,73.75,1,1,1538487000388
0,12,11,73.51,74.1,1,1,1538487000388
0,12,12,73.51,73.75,1,2,1538487001027
0,12,12,73.5,73.75,2,2,1538487001186
0,12,12,73.5,73.75,2,1,1538487001564
0,12,12,73.5,73.75,3,1,1538487001619
0,12,12,73.5,73.75,1,1,1538487003993
0,12,11,73.5,73.75,2,1,1538487007159
0,12,11,73.5,73.75,3,1,1538487008075
0,12,19,73.5,73.7,3,2,1538487018612
0,12,12,73.5,73.72,3,1,1538487019213
0,12,11,73.5,73.7,3,2,1538487019213
0,12,12,73.5,73.72,3,1,1538487020005
0,12,12,73.5,73.69,3,2,1538487020005
0,12,12,73.5,73.68,3,2,1538487020022
0,12,19,73.5,73.67,3,2,1538487021108
0,12,12,73.5,73.71,3,1,1538487021108
0,12,19,73.5,73.66,3,2,1538487021131
0,12,19,73.5,73.65,3,2,1538487021264
0,12,19,73.5,73.64,3,2,1538487021313
0,12,19,73.5,73.63,3,2,1538487021535
0,12,19,73.5,73.62,3,2,1538487021659
0,12,12,73.5,73.67,3,1,1538487022587
0,12,11,73.5,73.62,3,2,1538487022587
0,12,11,73.5,73.62,2,2,1538487023587
0,12,12,73.5,73.61,2,2,1538487023604
0,12,12,73.5,73.67,2,1,1538487023604
0,12,12,73.5,73.61,1,2,1538487028646
0,10,12,73.48,73.61,1,2,1538487028646
0,10,12,73.48,73.5,1,1,1538487028646
0,10,12,73.48,73.56,1,1,1538487028646
0,10,19,73.48,73.51,1,1,1538487028646
0,10,12,73.48,73.58,1,2,1538487028646
0,12,19,73.47,73.5,1,1,1538487028647
0,10,19,73.48,73.5,1,1,1538487028647
0,12,12,73.46,73.58,3,2,1538487028647
0,12,12,73.47,73.58,1,2,1538487028647
0,12,12,73.46,73.55,3,1,1538487028647
0,12,12,73.46,73.49,3,1,1538487028647
0,12,8,73.46,73.55,2,2,1538487028650
0,12,8,73.46,73.55,3,2,1538487028650
0,12,12,73.46,73.53,2,1,1538487028650
0,12,12,73.46,73.53,1,1,1538487028651
0,12,11,73.46,73.5,1,2,1538487028651
0,12,12,73.46,73.51,1,1,1538487028651
0,12,11,73.46,73.5,2,2,1538487028652
0,12,11,73.46,73.5,1,2,1538487028654
0,12,12,73.45,73.49,7,1,1538487028654
0,12,11,73.45,73.5,7,2,1538487028654
0,12,12,73.45,73.53,7,1,1538487028660
0,12,11,73.45,73.49,7,1,1538487028660
0,12,11,73.45,73.52,7,2,1538487028687
0,12,11,73.45,73.46,7,3,1538487028866
0,12,11,73.45,73.46,5,2,1538487028866
0,12,11,73.45,73.46,7,2,1538487028866
0,19,11,73.45,73.52,3,2,1538487028866
0,12,11,73.45,73.52,5,2,1538487028866
0,12,11,73.43,73.52,2,2,1538487028866
0,19,11,73.45,73.52,2,2,1538487028866
0,19,12,73.43,73.51,3,1,1538487028866
0,19,11,73.43,73.52,3,2,1538487028866
0,11,12,73.46,73.51,2,1,1538487028866
0,19,12,73.43,73.51,3,1,1538487028866
0,12,12,73.43,73.51,1,1,1538487028866
0,12,12,73.45,73.51,2,1,1538487028867
0,12,11,73.45,73.52,2,2,1538487028867
0,11,11,73.45,73.52,2,2,1538487028899
0,11,12,73.45,73.49,2,1,1538487030624
0,12,19,73.43,73.49,1,1,1538487030624
0,12,12,73.45,73.49,2,1,1538487030624
0,12,12,73.43,73.47,1,1,1538487030624
0,11,12,73.4,73.47,15,1,1538487030625
0,12,12,73.36,73.47,1,1,1538487030626
0,12,19,73.36,73.46,1,2,1538487030641
0,12,19,73.33,73.46,1,2,1538487030654
0,19,12,73.3,73.44,1,1,1538487030663
0,19,19,73.3,73.46,1,2,1538487030663
0,12,12,73.25,73.44,1,1,1538487030664
0,19,17,73.21,73.44,1,1,1538487030675
0,12,17,73.05,73.44,18,1,1538487030675
0,19,19,73.06,73.43,1,2,1538487030675
0,19,17,73.06,73.44,1,1,1538487030675
0,19,19,73.06,73.42,1,2,1538487030696
0,19,19,73.06,73.41,1,2,1538487030766
0,19,12,73.06,73.41,1,1,1538487031023
0,19,11,73.06,73.4,1,2,1538487031023
0,19,11,73.06,73.39,1,2,1538487031030
0,19,11,73.06,73.38,1,2,1538487031036
0,19,11,73.06,73.37,1,2,1538487031064
0,19,11,73.06,73.36,1,2,1538487031069
0,19,11,73.06,73.35,1,2,1538487031178
0,19,11,73.06,73.34,1,2,1538487031241
0,19,11,73.06,73.33,1,2,1538487031249
0,19,11,73.06,73.32,1,2,1538487031258
0,19,11,73.06,73.31,1,2,1538487031268
0,12,11,73.27,73.31,1,2,1538487031269
0,12,11,73.28,73.31,1,1,1538487031269
0,12,11,73.28,73.31,1,2,1538487031269
0,12,2,73.28,73.36,1,1,1538487031269
0,12,2,73.31,73.36,1,1,1538487031270
0,12,2,73.27,73.36,1,1,1538487031277
0,12,2,73.28,73.36,1,1,1538487031277
0,19,2,73.16,73.36,1,1,1538487031319
0,19,2,73.06,73.36,1,1,1538487032808
0,19,18,73.06,73.34,1,1,1538487034742
0,19,12,73.06,73.34,1,1,1538487034772
0,12,12,73.05,73.34,18,1,1538487034785
0,12,11,73.05,73.25,18,5,1538487037195
0,12,11,73.05,73.25,19,5,1538487038519
0,12,11,73.05,73.18,19,1,1538487039418
0,12,12,73.05,73.22,19,1,1538487044215
0,12,19,73.05,73.22,19,1,1538487044521
0,12,19,73.05,73.22,20,1,1538487045271
0,12,19,73.05,73.22,19,1,1538487047031
0,12,19,73.05,73.22,16,1,1538487048167
0,12,19,73.05,73.22,15,1,1538487048168
0,12,19,73.05,73.22,11,1,1538487049094
0,12,10,73.05,73.18,10,1,1538487049103
0,12,19,73.05,73.22,10,1,1538487049103
0,12,12,73.05,73.21,10,1,1538487049105
0,12,19,73.05,73.22,10,1,1538487049522
0,12,8,73.05,73.14,10,1,1538487052928
0,12,8,73.05,73.14,1,1,1538487052928
0,11,8,73,73.14,22,1,1538487052928
0,11,12,73,73.12,22,2,1538487052928
0,11,12,73,73.1,19,1,1538487052928
0,11,12,73,73.12,22,3,1538487052928
0,11,12,73,73.1,22,1,1538487052928
0,11,11,73,73.09,19,2,1538487052929
0,11,12,73,73.08,19,1,1538487052929
0,19,19,72.91,73.07,2,1,1538487052929
0,11,19,73,73.07,19,1,1538487052929
0,19,11,72.91,73.03,2,2,1538487052930
0,19,11,72.91,73.05,2,2,1538487052930
0,12,11,72.86,73.03,1,2,1538487052931
0,19,17,72.8,73,1,1,1538487052933
0,12,12,72.86,73,1,1,1538487052933
0,19,12,72.8,72.94,1,1,1538487052933
0,19,12,72.8,72.97,1,1,1538487052933
0,19,12,72.8,72.92,1,1,1538487052933
0,19,12,72.8,72.94,1,2,1538487052933
0,19,12,72.8,72.92,1,2,1538487052933
0,19,12,72.76,72.92,1,2,1538487052934
0,8,12,72.75,72.92,2,2,1538487052934
0,8,12,72.75,72.92,1,1,1538487052936
0,8,12,72.75,72.92,1,2,1538487052936
0,11,12,72.71,72.92,1,1,1538487052936
0,12,12,72.53,72.92,1,1,1538487052938
0,12,17,72.53,72.87,1,1,1538487052938
0,12,17,72.53,72.87,1,2,1538487052938
0,12,17,72.53,72.87,1,2,1538487052941
0,12,12,72.53,72.87,1,3,1538487052941
0,12,17,72.53,72.81,1,1,1538487052943
0,12,12,72.53,72.8,1,1,1538487052944
0,12,12,72.53,72.8,1,3,1538487052944
0,12,12,72.53,72.8,1,2,1538487052944
0,12,17,72.5,72.79,1,1,1538487052944
0,12,12,72.53,72.79,1,1,1538487052944
0,12,12,72.5,72.73,1,1,1538487052944
0,12,12,72.5,72.72,1,1,1538487052944
0,12,12,72.5,72.68,1,2,1538487052944
0,12,12,72.5,72.68,1,1,1538487052944
0,12,12,72.5,72.64,1,2,1538487052944
0,12,12,72.5,72.64,1,1,1538487052944
0,11,12,72.38,72.61,1,1,1538487052944
0,12,12,72.5,72.61,1,1,1538487052944
0,11,12,72.38,72.58,1,1,1538487052944
0,11,12,72.38,72.58,1,2,1538487052944
0,11,10,72.38,72.57,1,1,1538487052945
0,11,12,72.38,72.58,1,1,1538487052948
0,11,12,72.38,72.57,1,1,1538487052954
0,11,17,72.38,72.54,1,1,1538487052955
0,12,17,72.34,72.54,5,1,1538487052969
0,12,12,72.34,72.56,5,1,1538487052969
0,12,12,72.34,72.54,5,2,1538487053009
0,12,12,72.34,72.54,5,1,1538487053009
0,12,11,72.34,72.5,5,1,1538487053015
0,12,17,72.34,72.46,5,1,1538487053052
0,12,17,72.34,72.47,5,1,1538487053052
0,12,11,72.34,72.5,5,1,1538487053062
0,12,17,72.34,72.47,5,1,1538487053078
0,12,11,72.34,72.5,5,1,1538487053089
0,12,12,72.34,72.47,5,1,1538487053089
0,12,11,72.4,72.5,1,1,1538487053089
0,12,11,72.37,72.5,1,1,1538487053089
0,12,11,72.4,72.5,2,1,1538487053090
0,12,17,72.4,72.64,2,1,1538487053090
0,19,17,72.57,72.64,5,1,1538487053090
0,19,17,72.4,72.64,3,1,1538487053090
0,19,17,72.57,72.64,4,1,1538487053091
0,19,17,72.57,72.64,3,1,1538487053095
0,19,17,72.4,72.64,3,1,1538487053095
0,19,17,72.57,72.64,1,1,1538487053095
0,15,17,72.4,72.64,1,1,1538487053095
0,11,17,72.4,72.64,2,1,1538487053095
0,15,11,72.4,72.62,1,1,1538487053095
0,17,11,72.38,72.62,1,1,1538487053096
0,17,17,72.38,72.64,1,1,1538487053098
0,17,12,72.38,72.62,1,1,1538487053103
0,12,12,72.38,72.62,1,1,1538487053109
0,17,12,72.38,72.62,1,1,1538487053187
0,12,12,72.34,72.62,5,1,1538487053309
0,12,8,72.34,72.7,5,5,1538487053370
0,12,17,72.34,72.63,5,1,1538487053377
0,12,12,72.34,72.63,5,1,1538487053741
0,12,2,72.34,72.63,5,2,1538487053845
0,11,2,72.3,72.63,10,2,1538487053943
0,11,17,72.3,72.6,10,1,1538487053974
0,11,2,72.3,72.6,10,2,1538487054649
0,11,2,72.3,72.6,6,2,1538487054666
0,11,2,72.3,72.6,5,2,1538487054736
0,12,2,72.22,72.6,3,2,1538487054736
0,12,18,72.22,72.6,3,1,1538487054924
0,12,18,72.22,72.6,2,1,1538487055218
0,12,18,72.22,72.6,1,1,1538487056126
0,19,18,72.12,72.6,1,1,1538487058091
0,8,18,72.36,72.6,2,1,1538487065581
0,8,12,72.36,72.63,2,1,1538487065959
0,12,12,72.5,72.63,2,1,1538487072724
0,8,12,72.36,72.63,2,1,1538487072726
0,8,12,72.36,72.58,2,1,1538487072728
0,8,12,72.36,72.56,2,1,1538487072728
0,8,12,72.36,72.56,2,3,1538487072728
0,8,12,72.36,72.56,2,2,1538487072758
0,8,12,72.36,72.58,2,1,1538487075805
0,8,12,72.36,72.56,2,1,1538487075805
0,12,12,72.56,72.58,1,1,1538487075805
0,12,12,72.4,72.58,1,1,1538487075805
0,12,19,72.57,72.61,1,2,1538487075805
0,12,19,72.56,72.61,1,2,1538487075805
0,8,15,72.6,72.61,1,1,1538487075805
0,12,15,72.57,72.61,1,1,1538487075805
0,12,15,72.59,72.61,1,1,1538487075806
0,12,12,72.59,72.66,1,1,1538487075806
0,12,18,72.59,72.66,1,1,1538487075836
0,12,11,72.59,72.66,1,1,1538487075836
0,12,7,72.59,72.66,1,1,1538487075836
0,12,8,72.59,72.7,1,5,1538487075836
0,12,8,72.59,72.7,1,3,1538487075852
0,12,8,72.59,72.7,1,4,1538487075852
0,12,19,72.59,72.88,1,1,1538487075852
0,11,19,72.63,72.88,1,1,1538487075852
0,11,12,72.63,73.56,1,11,1538487075852
0,11,8,72.63,73.63,1,10,1538487075852
0,12,8,72.83,73.63,1,10,1538487075852
0,8,8,72.7,73.63,1,10,1538487075853
0,12,8,72.71,73.63,1,10,1538487075853
0,17,8,72.64,73.63,1,10,1538487075854
0,12,8,72.64,73.63,1,10,1538487075897
0,17,8,72.64,73.63,1,10,1538487075903
0,8,8,72.36,73.63,2,10,1538487076054
0,8,8,72.36,73.63,2,7,1538487078163
0,12,8,72.36,73.62,2,1,1538487078172
0,8,8,72.36,73.62,2,1,1538487078173
0,12,8,72.36,73.62,3,1,1538487079266
0,12,8,72.5,73.62,2,1,1538487079837
0,12,8,72.5,73.62,3,1,1538487079854
0,12,8,72.5,73.62,4,1,1538487080837
0,12,8,72.5,73.62,2,1,1538487081102
0,17,8,72.51,73.62,1,1,1538487088302
0,12,8,72.51,73.62,1,1,1538487090378
0,17,8,72.52,73.62,1,1,1538487093150
0,12,8,72.52,73.62,1,1,1538487094764
0,11,8,72.6,73.62,1,1,1538487095428
0,12,8,72.6,73.62,2,1,1538487095441
0,17,8,72.61,73.62,1,1,1538487097645
0,12,8,72.8,73.62,2,1,1538487102877
0,12,12,72.8,73.62,2,1,1538487103967
0,17,12,72.81,73.62,1,1,1538487107568
0,17,8,72.81,73.62,1,1,1538487107763
0,8,12,73.21,73.62,1,1,1538487107794
0,19,12,73.21,73.62,2,1,1538487107794
0,19,8,73.21,73.62,2,1,1538487107803
0,8,8,73.21,73.62,1,1,1538487122744
0,10,12,73.21,73.62,1,1,1538487122744
0,11,12,73.21,73.62,1,1,1538487122744
0,19,12,73.21,73.62,1,1,1538487122744
0,17,12,73.08,73.62,1,1,1538487122746
0,17,17,73.08,73.53,1,1,1538487122746
0,17,12,73.08,73.42,1,1,1538487122746
0,17,19,73.08,73.42,1,1,1538487122776
0,19,19,72.93,73.42,1,1,1538487122851
0,12,19,72.94,73.42,1,1,1538487122861
0,19,12,72.93,73.28,1,1,1538487124807
0,19,19,72.93,73.42,1,1,1538487124807
0,19,12,72.81,73.28,1,1,1538487124808
0,12,12,72.68,73.28,1,1,1538487124816
0,12,19,72.61,73.28,1,1,1538487124816
0,12,17,72.61,73.16,1,1,1538487124816
0,12,19,72.61,73.05,1,1,1538487124816
0,12,19,72.61,73.05,1,2,1538487124816
0,12,19,72.61,73.05,1,1,1538487124846
0,12,19,72.61,73.05,2,1,1538487124877
0,12,19,72.77,73.05,1,1,1538487124906
0,12,19,72.77,73.05,2,1,1538487124937
0,12,19,72.77,73.05,3,1,1538487124937
0,12,19,72.77,73.05,2,1,1538487125488
0,19,19,72.77,73.05,2,1,1538487126525
0,12,19,72.77,73.05,3,1,1538487126525
0,12,19,72.77,73.05,2,1,1538487126525
0,11,19,72.77,73.05,2,1,1538487126525
0,11,19,72.77,73.05,1,1,1538487126528
0,12,19,72.77,73.05,1,1,1538487126528
0,12,19,72.77,73.05,2,1,1538487126559
0,12,19,72.77,73.05,2,1,1538487126560
0,12,19,72.77,73.05,1,1,1538487126560
0,11,19,72.77,73.05,2,1,1538487127568
0,12,19,72.77,73.05,3,1,1538487127568
0,12,19,72.77,73.05,2,1,1538487127568
0,12,19,72.77,73.05,1,1,1538487128117
0,19,19,72.62,73.05,1,1,1538487128117
0,19,19,72.62,73.05,2,1,1538487128148
0,19,19,72.62,73.05,2,3,1538487129007
0,8,19,72.62,73.05,1,3,1538487129007
0,11,19,72.62,73.05,1,3,1538487129007
0,19,19,72.62,73.05,1,3,1538487129008
0,10,19,72.62,73.05,1,3,1538487129008
0,17,19,72.63,73.05,1,3,1538487129008
0,17,19,72.63,73.04,1,3,1538487129014
0,17,19,72.63,73.04,1,2,1538487129014
0,17,19,72.63,73.03,1,2,1538487129020
0,17,19,72.63,73.03,1,3,1538487129020
0,17,19,72.63,73.02,1,3,1538487129062
0,17,19,72.63,73.02,1,2,1538487129062
0,12,19,72.63,73.02,2,3,1538487129144
0,11,19,72.63,73.02,2,3,1538487130123
0,17,19,72.63,73.02,1,3,1538487130124
0,17,12,72.63,73.01,1,1,1538487136746
0,17,11,72.63,73,1,2,1538487136747
0,17,11,72.64,73,1,2,1538487136747
0,12,11,72.63,73,1,2,1538487136747
0,17,11,72.64,72.99,1,2,1538487136762
0,12,11,72.64,72.99,2,2,1538487136792
0,19,11,72.64,72.99,2,2,1538487136793
0,11,11,72.64,72.99,2,2,1538487136793
0,17,11,72.64,72.99,1,2,1538487136794
0,12,11,72.64,72.99,1,2,1538487136938
0,12,11,72.64,72.99,1,3,1538487138763
0,19,11,72.64,72.99,1,3,1538487138991
0,12,11,72.64,72.99,2,3,1538487138991
0,12,12,72.64,72.98,2,1,1538487143518
0,12,12,72.64,72.97,2,2,1538487143519
0,12,12,72.64,72.97,2,5,1538487146083
0,12,12,72.64,72.96,2,1,1538487151848
0,12,12,72.64,72.96,2,4,1538487151849
0,12,12,72.64,72.96,1,4,1538487153879
0,12,12,72.64,72.96,2,4,1538487155099
0,12,11,72.64,72.95,2,5,1538487158930
0,12,11,72.64,72.95,3,5,1538487162746
0,12,12,72.64,72.94,3,1,1538487163414
0,12,12,72.64,72.94,3,1,1538487163414
0,12,19,72.64,72.93,3,1,1538487163414
0,12,12,72.64,72.94,3,1,1538487163415
0,12,19,72.64,72.92,3,1,1538487163415
0,12,19,72.64,72.91,3,1,1538487163415
0,12,12,72.64,72.94,3,1,1538487163415
0,12,19,72.64,72.9,3,1,1538487163415
0,12,12,72.64,72.94,3,1,1538487163415
0,12,19,72.64,72.89,3,1,1538487163415
0,12,12,72.64,72.94,3,4,1538487163415
0,12,12,72.64,72.94,3,4,1538487163415
0,12,19,72.64,72.88,3,1,1538487163415
0,12,12,72.64,72.94,3,4,1538487163415
0,12,19,72.64,72.87,3,1,1538487163415
0,12,19,72.64,72.86,3,1,1538487163416
0,12,12,72.64,72.94,3,4,1538487163416
0,12,19,72.64,72.85,3,1,1538487163416
0,12,12,72.64,72.94,3,4,1538487163416
0,12,19,72.64,72.83,3,1,1538487163416
0,12,12,72.64,72.94,3,1,1538487163416
0,12,12,72.64,72.94,3,4,1538487163417
0,12,12,72.64,72.94,3,1,1538487163417
0,19,12,72.69,72.94,1,4,1538487163417
0,12,12,72.89,72.94,3,4,1538487163417
0,12,12,72.89,72.94,2,4,1538487163417
0,19,12,72.69,72.94,1,4,1538487163417
0,19,12,72.69,72.93,1,1,1538487163417
0,19,12,72.69,72.92,1,1,1538487163417
0,19,12,72.69,72.83,1,3,1538487163417
0,19,12,72.69,72.92,1,1,1538487163418
0,19,12,72.69,72.93,1,1,1538487163418
0,18,12,72.68,72.92,1,3,1538487163418
0,19,12,72.69,72.92,1,3,1538487163418
0,18,12,72.68,72.93,1,1,1538487163419
0,18,12,72.68,72.83,1,3,1538487163419
0,18,11,72.68,72.83,1,2,1538487163420
0,18,11,72.68,72.83,1,1,1538487163420
0,18,12,72.68,72.83,1,3,1538487163420
0,12,12,72.68,72.83,2,3,1538487163423
0,18,12,72.68,72.83,1,3,1538487163430
0,12,12,72.68,72.83,1,3,1538487163430
0,12,12,72.68,72.83,2,3,1538487163449
0,11,12,72.68,72.76,2,1,1538487166190
0,11,12,72.68,72.83,2,3,1538487166190
0,19,12,72.68,72.76,1,1,1538487166190
0,12,12,72.64,72.76,1,1,1538487166190
0,12,12,72.68,72.76,1,1,1538487166190
0,12,12,72.68,72.83,1,3,1538487166190
0,12,10,72.68,72.8,1,1,1538487166191
0,12,12,72.68,72.76,1,3,1538487166191
0,12,12,72.64,72.76,1,3,1538487166191
0,12,12,72.64,72.74,1,1,1538487166191
0,12,12,72.64,72.72,1,1,1538487166191
0,12,12,72.64,72.72,1,4,1538487166192
0,15,12,72.63,72.7,1,1,1538487166208
0,15,12,72.63,72.72,1,4,1538487166208
0,12,12,72.32,72.7,11,2,1538487166209
0,15,12,72.63,72.7,1,2,1538487166209
0,12,12,72.32,72.7,11,5,1538487166209
0,12,12,72.32,72.7,10,5,1538487166214
