c,bE,aE,bP,aP,bS,aS,t
0,11,11,16.05,16.49,2,10,1539946810533
0,11,12,16.05,16.27,2,1,1539955680191
0,11,12,15.22,16.27,2,1,1539955680191
0,11,11,15.22,15.72,2,10,1539955680191
0,12,11,15.43,15.72,67,10,1539955680192
0,12,11,15.31,15.72,67,10,1539955680192
0,11,11,15.22,15.72,2,10,1539955680192
0,11,11,15.22,16,2,3,1539955680741
0,11,19,15.22,15.71,2,1,1539955680897
0,11,12,15.22,16.31,2,67,1539955684897
0,11,18,15.22,16.33,2,1,1539955684898
0,11,11,15.22,16.49,2,10,1539955684898
0,12,11,16.08,16.49,3,10,1539955740420
0,18,11,15.44,16.49,1,10,1539955745117
0,18,12,15.44,15.82,1,8,1539955745117
0,12,12,15.43,15.82,3,8,1539955745118
0,12,12,15.43,15.82,1,8,1539955745119
0,12,12,15.43,15.82,2,8,1539955745119
0,11,12,15.22,15.82,2,8,1539955745120
0,11,12,15.22,15.7,2,4,1539955770023
0,12,12,15.46,15.7,11,4,1539955782416
0,12,12,15.46,15.7,11,6,1539955785041
0,12,12,15.48,15.7,11,6,1539955791265
0,12,12,15.48,15.6,11,2,1539955795144
0,12,12,15.48,15.6,11,6,1539955799101
0,12,12,15.5,15.6,1,6,1539955799965
0,12,12,15.5,15.6,3,6,1539955800778
0,12,12,15.5,15.6,1,6,1539955800778
0,12,12,15.5,15.65,3,1,1539955800778
0,12,12,15.5,15.6,3,2,1539955800778
0,12,11,15.5,15.91,3,1,1539955800778
0,12,12,15.5,16.15,3,1,1539955800785
0,2,12,15.5,16.15,4,1,1539955800785
0,17,2,15.5,16.15,4,4,1539955800785
0,2,2,15.5,16.15,4,4,1539955800785
0,12,2,15.5,16.15,8,4,1539955801530
0,12,2,15.5,16.15,7,4,1539955801819
0,18,17,15.58,16.15,7,4,1539955801974
0,18,2,15.58,16.15,3,4,1539955801974
0,2,17,15.58,16.15,4,4,1539955801974
0,18,7,15.58,16.15,7,4,1539955801974
0,18,2,15.58,16.15,7,4,1539955801974
0,18,17,15.58,16.15,8,4,1539955801974
0,18,18,15.58,16.15,7,4,1539955801974
0,2,17,15.58,16.15,5,4,1539955801974
0,7,17,15.58,16.15,6,4,1539955801974
0,2,17,15.58,16.15,6,4,1539955801975
0,18,17,15.58,16.15,5,4,1539955801976
0,12,17,15.59,16.15,2,4,1539955802041
0,12,17,15.59,16.15,1,4,1539955802041
0,2,17,15.59,16.15,4,4,1539955802041
0,2,18,15.59,16.15,4,4,1539955802041
0,2,18,15.59,16.15,5,4,1539955802041
0,2,17,15.59,16.15,5,4,1539955802041
0,2,7,15.59,16.15,5,4,1539955802041
0,2,15,15.59,16.11,5,1,1539955802043
0,12,15,16.01,16.11,3,1,1539955802446
0,12,15,16.01,16.11,1,1,1539955802447
0,12,15,15.69,16.11,2,1,1539955802448
0,2,15,15.69,16.11,5,1,1539955802448
0,2,15,15.69,16.11,4,1,1539955802448
0,17,15,15.69,16.11,4,1,1539955802448
0,17,12,15.69,16.08,4,1,1539955802448
0,2,12,15.69,16.08,1,1,1539955802448
0,18,12,15.69,16.08,4,1,1539955802448
0,7,12,15.69,16.08,5,1,1539955802448
0,18,12,15.69,16.08,5,1,1539955802448
0,12,12,15.69,16.08,1,1,1539955802448
0,18,19,15.59,16.08,5,1,1539955802449
0,18,12,15.59,16.08,5,2,1539955802449
0,18,17,15.59,16.08,5,4,1539955802449
0,7,17,15.59,16.08,4,4,1539955802449
