c,bE,aE,bP,aP,bS,aS,t
0,11,11,97.5,114,3,1,1538467200054
0,11,11,100,114,1,1,1538467200054
0,11,11,101.69,114,1,1,1538467200054
0,11,11,108.63,114,1,1,1538467200055
0,11,11,107,114,1,1,1538467200055
0,11,11,108.63,113.06,1,1,1538467200055
0,11,11,107,113.06,1,1,1538473917453
0,11,11,107,114,1,1,1538473917466
0,11,12,107,109.92,1,1,1538474434694
0,11,12,107,109.92,1,1,1538474434787
0,11,11,107,114,1,1,1538474434787
0,11,12,107,109.92,1,1,1538474434806
0,11,11,107,114,1,1,1538474434806
0,11,11,107,114,1,1,1538474464893
0,11,12,107,109.88,1,5,1538474466236
0,11,12,108,109.88,1,5,1538474486473
0,11,11,108,109.88,1,5,1538474512370
0,11,11,108,114,1,1,1538474512371
0,11,11,108,111,1,3,1538474598355
0,11,11,108,110.5,1,3,1538474738554
0,12,11,108.27,110.5,1,3,1538474857267
0,11,11,108,110.5,1,3,1538474889456
0,12,11,108.74,110.5,1,3,1538474920598
0,11,11,108,110.5,1,3,1538474933348
0,11,11,109,110.5,1,3,1538475203121
0,11,11,109.5,110.5,2,3,1538475236366
0,11,11,109.5,110.5,1,3,1538475236366
0,11,11,109.5,110.5,2,3,1538475328884
0,11,11,109.75,110.5,1,3,1538475476783
0,11,11,109.75,110.5,1,2,1538475702052
0,11,11,109.75,110.5,1,3,1538476278917
0,11,11,109.75,110.5,1,2,1538476279890
0,11,11,110,110.5,1,2,1538476565844
0,11,11,110,114,1,1,1538476578979
0,11,11,110.5,114,1,1,1538476578981
0,11,11,110.51,114,1,1,1538476598312
0,11,11,110.51,113.99,1,1,1538476642145
0,11,11,110.51,112.89,1,1,1538476980483
0,11,11,110.51,113.99,1,1,1538476981456
0,11,11,110.51,112.25,1,1,1538476981529
0,11,11,110.51,113.99,1,1,1538476982431
0,11,11,110.51,112.09,1,1,1538476982504
0,11,11,110.51,113.99,1,1,1538476989726
0,11,11,110.51,111.29,1,1,1538476989798
0,11,11,110.51,113.99,1,1,1538477502997
0,8,11,110.71,113.99,3,1,1538478000096
0,8,11,110.71,113.87,3,3,1538478005153
0,8,11,110.71,112.85,3,10,1538478005154
0,11,11,111.29,112.85,3,10,1538478005154
0,11,11,111.29,112.69,3,3,1538478005155
0,11,11,111.29,111.75,3,5,1538478009082
0,11,11,111.29,111.75,3,4,1538478009314
0,8,11,111.3,111.75,1,4,1538478072893
0,8,11,111.3,111.65,1,3,1538478075369
0,8,11,111.3,111.65,7,3,1538478090357
0,8,11,111.3,111.65,6,3,1538478109695
0,8,11,111.3,111.65,6,2,1538478162046
0,11,11,111.31,111.65,1,2,1538478167822
0,11,11,111.33,111.65,2,2,1538478208623
0,8,11,111.4,111.65,1,2,1538478306156
0,11,11,111.45,111.65,4,2,1538478344590
0,8,11,111.4,111.65,1,2,1538478373469
0,11,11,111.33,111.65,2,2,1538478398295
0,11,11,111.33,111.65,3,2,1538478398420
0,11,11,111.33,111.65,2,2,1538478457865
0,11,11,111.31,111.65,1,2,1538478506661
0,11,11,111.31,111.75,1,4,1538478590171
0,8,11,111.3,111.6,6,1,1538478591374
0,11,11,111.29,111.6,3,1,1538478604738
0,11,8,111.29,111.31,3,1,1538478619988
0,11,11,111.29,111.6,3,1,1538478620909
0,11,11,111.29,111.6,4,1,1538478640948
0,8,11,111.3,111.6,5,1,1538478750676
0,8,11,111.3,111.75,5,4,1538478800950
0,8,11,111.5,111.75,1,4,1538478827227
0,8,11,111.3,111.75,5,4,1538478909320
0,8,11,111.3,111.75,5,3,1538478909528
0,11,11,111.29,111.75,4,3,1538478917754
0,11,11,111.29,111.75,10,3,1538478978656
0,11,11,111.29,111.55,10,7,1538478997884
0,8,11,111.32,111.55,1,7,1538479021950
0,11,11,111.42,111.55,5,7,1538479179546
0,11,11,111.42,111.55,5,2,1538479198968
0,8,11,111.32,111.55,1,2,1538479203615
0,8,11,111.32,111.55,2,2,1538479520147
0,11,11,111.32,111.55,1,2,1538479546957
0,8,11,111.34,111.55,1,2,1538479579109
0,11,11,111.32,111.55,1,2,1538479676537
0,11,8,111.32,111.4,1,1,1538479685220
0,8,8,111.29,111.4,1,1,1538479692836
0,11,8,111,111.4,1,1,1538479697370
0,11,8,110.51,111.4,1,1,1538479703024
0,8,8,110.71,111.4,3,1,1538479731610
0,8,11,110.71,111.55,3,2,1538479848456
0,8,8,110.71,111.29,3,1,1538479848460
0,8,11,110.71,111.55,3,2,1538479879142
0,11,11,110.51,111.55,1,2,1538479907879
0,8,11,110.75,111.55,3,2,1538479907883
0,8,8,110.75,111.54,3,2,1538479939604
0,11,8,110.51,111.54,1,2,1538479946958
0,8,8,110.83,111.54,10,2,1538479946962
0,8,11,110.83,111.55,10,2,1538479962370
0,11,11,110.93,111.55,1,2,1538479966348
0,8,11,110.83,111.55,10,2,1538479994581
0,8,8,110.83,111.54,10,2,1538480001293
0,11,8,110.51,111.54,1,2,1538480004988
0,8,8,110.94,111.54,5,2,1538480004992
0,8,11,110.94,111.25,5,1,1538480082135
0,8,11,110.94,111.25,1,1,1538480093179
0,11,11,110.51,111.25,1,1,1538480094735
0,11,12,110.51,110.94,1,1,1538480097405
0,11,18,110.51,110.94,1,2,1538480097407
0,11,11,110.51,110.93,1,5,1538480120132
0,11,11,110.45,110.93,1,5,1538480124182
0,11,12,110.45,110.51,1,1,1538480124186
0,11,12,110,110.51,3,1,1538480126524
0,11,8,110,110.51,3,2,1538480148956
0,11,12,110,110.51,3,1,1538480152459
0,11,18,110,110.94,3,2,1538480153276
0,11,11,110,110.74,3,5,1538480156473
0,11,11,110,110.74,2,5,1538480169328
0,11,11,110,110.5,2,4,1538480178901
0,11,11,110,110.5,2,3,1538480206991
0,11,11,110,110.5,2,2,1538480212880
0,11,11,109.98,110.5,1,2,1538480254044
0,11,11,109.75,110.5,1,2,1538480254045
0,11,11,109.5,110.5,2,2,1538480254947
0,11,11,109.5,110.5,2,1,1538480255225
0,11,11,109.5,110.5,1,1,1538480255226
0,11,11,109.25,110.5,1,1,1538480261855
0,11,8,109.25,109.47,1,2,1538480261856
0,11,8,109.25,109.47,1,1,1538480262498
0,11,11,109.25,110.5,1,1,1538480263277
0,11,8,109.25,110.45,1,8,1538480305504
0,11,8,109.5,110.45,9,8,1538480350992
0,11,11,109.5,110.44,9,1,1538480359701
0,11,11,109.25,110.44,1,1,1538480375904
0,11,11,109.75,110.44,9,1,1538480376014
0,11,11,109.75,110.44,12,1,1538480425478
0,11,8,109.75,110.43,12,8,1538480450273
0,11,11,109.75,110.42,12,1,1538480455218
0,11,8,109.75,110.25,12,2,1538480514836
0,11,8,109.75,110.25,2,2,1538480546864
0,8,11,109.75,110.05,2,3,1538480557008
0,11,11,109.75,110.05,2,3,1538480561251
0,11,11,109.25,110.05,1,3,1538480561252
0,11,8,109.25,110.25,1,2,1538480563283
0,11,10,109.25,109.72,1,1,1538480563285
0,11,8,109.25,110.25,1,2,1538480565523
0,11,19,109.25,109.75,1,1,1538480583945
0,11,11,109.25,109.75,1,1,1538480589035
0,11,8,109.25,109.75,1,1,1538480589035
0,11,8,109.25,110.25,1,2,1538480589035
0,8,8,109.3,110.25,4,2,1538480627031
0,8,8,109.3,110.25,4,6,1538480683906
0,8,8,109.3,110.25,4,2,1538480736043
0,8,8,110,110.25,5,2,1538480755949
0,8,8,110,110.25,1,2,1538480755987
0,8,8,109.48,110.25,1,2,1538480759034
0,8,8,109.3,110.25,4,2,1538480761641
0,8,19,109.3,110,4,1,1538480786400
0,8,11,109.3,109.9,4,5,1538480934588
0,8,11,109.3,109.9,1,5,1538480946845
0,8,8,109.3,109.69,1,1,1538480953313
0,11,8,109.25,109.69,1,1,1538480961033
0,11,11,109.25,109.68,1,5,1538480964080
0,8,11,109.07,109.68,3,5,1538480972392
0,11,11,108.75,109.68,6,5,1538480972393
0,11,11,109.21,109.68,1,5,1538480972394
0,11,11,108.75,109.68,6,5,1538480975943
0,11,11,108.75,109.67,6,1,1538480978680
0,11,11,108.76,109.67,1,1,1538481003615
0,11,11,108.76,109.25,1,2,1538481018362
0,11,11,108.76,109.25,1,1,1538481018363
0,11,11,108.76,109.67,1,1,1538481018430
0,11,8,108.76,109.65,1,12,1538481019984
0,11,11,108.76,109.64,1,1,1538481144424
0,11,11,108.76,109,1,1,1538481211169
0,11,11,108.75,109,6,1,1538481243008
0,11,11,108.75,109,5,1,1538481274038
0,11,11,108.75,109,3,1,1538481275532
0,11,11,108.75,109,2,1,1538481297897
0,11,11,108.5,109,1,1,1538481299433
0,11,11,108.5,108.99,1,1,1538481312345
0,11,11,108.5,109,1,1,1538481314462
0,11,11,108.5,108.99,1,1,1538481317468
0,11,11,108.5,108.9,1,1,1538481359533
0,11,11,108.5,108.89,1,1,1538481380927
0,11,11,108.5,108.89,2,1,1538481388339
0,11,11,108.5,108.9,2,1,1538481397809
0,11,11,108.7,108.9,9,1,1538481402193
0,11,11,108.7,109.64,9,1,1538481403933
0,11,8,108.7,109.6,9,12,1538481438663
0,8,8,108.85,109.6,7,12,1538481504850
0,8,8,108.9,109.6,1,12,1538481534516
0,11,8,109,109.6,1,12,1538481600838
0,11,8,109.01,109.6,1,12,1538481624819
0,11,12,109.01,109.45,1,1,1538481733622
0,11,12,109,109.45,1,1,1538481747093
0,11,8,109,109.6,1,12,1538481752932
0,11,8,109,109.59,1,1,1538481760775
0,11,12,109,109.6,1,1,1538481817479
0,11,8,109,109.6,1,12,1538481817479
0,12,11,109.04,109.69,1,1,1538481817479
0,11,11,109,109.69,1,1,1538481817479
0,11,11,109,109.69,1,1,1538481817636
0,11,8,109,109.69,1,1,1538481820091
0,11,11,109,110.36,1,3,1538481821348
0,8,11,109.1,110.36,12,3,1538481884947
0,8,19,109.1,110.25,12,1,1538481892593
0,11,19,109.7,110.25,1,1,1538481927423
0,11,12,109.7,110.1,1,1,1538481960916
0,8,12,109.1,109.7,12,1,1538481967153
0,8,12,109.1,110.1,12,1,1538481967153
0,8,12,109.1,110.1,12,1,1538481967804
0,8,8,109.1,110.25,12,1,1538481967805
0,12,8,109.24,110.25,1,1,1538481967805
0,12,15,109.24,110.25,1,1,1538481967806
0,11,15,110.1,110.25,1,1,1538481967807
0,11,11,110.1,110.25,1,1,1538481969907
0,18,12,110.13,110.25,1,1,1538481979594
0,11,12,110.1,110.25,1,1,1538481979594
0,18,11,110.13,110.36,1,3,1538481979594
0,18,8,110.13,110.25,1,1,1538481979594
0,18,12,110.16,110.25,1,3,1538481979594
0,18,11,110.16,110.36,1,3,1538481979594
0,11,11,110.25,110.36,1,3,1538481979595
0,11,12,110.25,110.25,1,3,1538481979595
0,18,11,110.16,110.36,1,3,1538481979596
0,18,12,110.16,110.25,1,2,1538481979597
0,18,12,110.16,110.25,1,3,1538481979601
0,7,12,110.16,110.25,1,3,1538481979644
0,7,12,110.13,110.25,1,3,1538481979644
0,18,12,110.13,110.25,1,3,1538481979644
0,11,12,110.1,110.25,1,3,1538481979644
0,11,12,110.1,110.25,1,2,1538481982613
0,11,11,110.1,110.36,1,3,1538481983554
0,18,11,110.13,110.36,1,3,1538481983554
0,11,11,110.1,110.36,1,3,1538481983603
0,11,11,110.1,110.43,1,1,1538481984339
0,11,8,110.1,110.6,1,2,1538481985010
0,11,11,110.1,110.45,1,1,1538481985011
0,11,8,110.1,110.6,1,2,1538481986226
0,8,8,109.1,110.6,12,2,1538482003881
0,11,8,109.61,110.6,1,2,1538482072892
0,8,8,109.1,110.6,12,2,1538482079826
0,11,8,109.61,110.6,1,2,1538482080478
0,8,8,109.62,110.6,12,2,1538482083964
0,8,12,109.62,110.3,12,2,1538482091746
0,8,12,109.8,110.3,1,2,1538482152482
0,8,15,109.8,110.3,1,1,1538482222901
0,8,8,109.8,110.6,1,2,1538482222904
0,8,12,109.8,110.25,1,2,1538482222914
0,8,12,109.85,110.25,1,2,1538482241985
0,8,12,109.8,110.25,1,2,1538482259315
0,8,19,109.8,109.85,1,1,1538482259316
0,8,12,109.8,109.85,1,2,1538482259316
