c,bE,aE,bP,aP,bS,aS,t
0,11,11,80.8,81.15,1,3,1539907200013
0,11,11,76.68,92,1,1,1539936000042
0,11,11,77.34,90.98,1,1,1539936000042
0,11,11,76.68,90.98,1,1,1539936000042
0,11,11,77.34,90,1,1,1539936000042
0,11,11,77.72,83.28,1,1,1539936000042
0,11,11,77.72,90,1,1,1539936000042
0,11,11,81.15,83.28,1,1,1539936000043
0,11,11,79.5,81.98,1,1,1539936000043
0,11,11,81.15,81.98,1,1,1539936000043
0,12,12,80.18,81.24,2,2,1539936151598
0,12,11,80.18,81.98,2,1,1539936151598
0,11,11,80.26,81.13,2,2,1539936151604
0,11,12,80.26,81.24,2,2,1539936151604
0,11,12,80.29,81.13,3,2,1539936529050
0,11,11,80.29,81.13,3,2,1539936529051
0,11,12,80.29,81.13,3,2,1539936603206
0,11,12,80.32,81.13,2,2,1539936630477
0,11,11,80.32,81.13,2,2,1539936630479
0,12,12,80.32,81.13,2,2,1539936903215
0,11,12,80.32,81.16,2,2,1539936903224
0,11,11,80.32,81.98,2,1,1539936903224
0,11,12,80.32,81.19,2,2,1539936903224
0,11,12,80.32,81.35,2,2,1539936903425
0,12,11,80.32,81.05,2,2,1539936903465
0,11,11,80.32,81.05,2,2,1539936904104
0,12,11,80.32,81.02,2,2,1539937107273
0,11,11,80.32,81.02,2,2,1539937107275
0,12,11,80.32,80.99,2,3,1539937304524
0,11,11,80.32,80.99,2,3,1539937304526
0,12,11,80.32,80.99,2,3,1539937429922
0,12,11,80.29,80.99,2,3,1539937429924
0,11,11,79.5,80.99,1,3,1539937429924
0,12,11,80.26,80.99,2,3,1539937429924
0,12,11,79.83,80.99,2,3,1539937430124
0,11,11,79.96,80.99,3,3,1539937430172
0,11,11,79.96,80.96,3,2,1539937685097
0,11,11,79.96,80.93,3,3,1539937686597
0,11,11,79.96,80.9,3,2,1539937687596
0,11,11,79.96,80.87,3,2,1539937689084
0,11,11,79.96,80.84,3,2,1539937690084
0,11,11,79.96,80.81,3,2,1539937691583
0,11,11,79.96,80.78,3,3,1539937693210
0,11,11,79.96,80.75,3,2,1539937823806
0,11,11,79.96,80.72,3,2,1539937852508
0,11,11,80.08,80.72,2,2,1539938053371
0,11,12,80.08,80.72,2,2,1539938053371
0,12,12,80.07,80.72,2,2,1539938076710
0,11,11,80.07,80.72,2,2,1539938178429
0,11,11,80.1,80.72,2,2,1539938222884
0,12,12,80.1,80.72,2,1,1539938228240
0,12,11,80.1,80.72,2,3,1539938228776
0,12,12,80.1,80.72,2,1,1539938231248
0,11,12,80.1,80.75,2,2,1539938233553
0,12,12,80.1,80.75,2,2,1539938233734
0,11,12,80.13,80.75,3,2,1539938268062
0,11,11,80.13,80.75,3,2,1539938268063
0,11,12,80.13,80.78,3,2,1539938268773
0,11,11,80.13,80.78,3,2,1539938337757
0,11,12,80.13,80.81,3,2,1539938337767
0,11,12,80.16,80.81,2,2,1539938371425
0,11,11,80.16,80.81,2,2,1539938371426
0,12,12,80.16,80.84,2,2,1539943142877
0,11,12,80.19,80.84,2,2,1539943154067
0,11,11,80.19,80.84,2,2,1539943154068
0,12,12,80.19,80.84,2,2,1539943169042
0,11,11,80.19,80.84,2,2,1539943176042
0,12,12,80.19,80.87,2,2,1539943180550
0,11,12,80.22,80.87,2,2,1539943216501
0,11,11,80.22,80.87,2,2,1539943216503
0,12,12,80.22,80.9,2,2,1539943217538
0,11,12,80.25,80.9,2,2,1539943318728
0,11,11,80.25,80.9,2,2,1539943318729
0,12,12,80.25,80.93,2,2,1539943447404
0,12,11,80.19,80.93,2,2,1539943477422
0,12,11,80.22,80.93,2,2,1539943477422
0,11,11,79.18,80.93,1,2,1539943477422
0,11,11,79.18,80.65,1,2,1539943477518
0,12,11,79.3,80.65,2,2,1539943477623
0,11,11,79.36,80.65,2,2,1539943477673
0,12,11,79.36,80.62,2,3,1539943478498
0,11,11,79.36,80.62,2,3,1539943478498
0,12,11,79.36,80.59,2,2,1539943479499
0,11,11,79.36,80.59,2,2,1539943479500
0,11,12,79.39,80.59,3,2,1539943479502
0,12,11,79.4,80.59,2,2,1539943479503
0,11,12,79.42,80.59,2,2,1539943480002
0,12,11,79.43,80.59,2,2,1539943480004
0,12,11,79.43,80.55,2,2,1539943481499
0,12,11,79.43,80.52,2,2,1539943482998
0,11,11,79.45,80.52,2,2,1539943483001
0,12,11,79.46,80.52,2,2,1539943483003
0,12,12,79.46,80.53,2,2,1539943483546
0,12,12,79.46,80.49,2,2,1539943483552
0,12,11,79.46,80.49,2,3,1539943483796
0,11,11,79.48,80.49,3,3,1539943486029
0,11,11,79.51,80.49,3,3,1539943486998
0,11,11,78.74,80.49,1,3,1539943489147
0,12,11,79.28,80.49,2,3,1539943489348
0,11,11,79.29,80.49,3,3,1539943489397
0,12,11,79.25,80.49,2,3,1539943507632
0,12,11,79.22,80.49,2,3,1539943507632
0,12,11,79.28,80.49,2,3,1539943507632
0,11,11,78.74,80.49,1,3,1539943507632
0,12,11,78.82,80.49,2,3,1539943507833
0,11,11,78.94,80.49,2,3,1539943507883
0,11,11,78.94,80.4,2,2,1539943508639
0,12,11,78.94,80.4,2,2,1539943508639
0,11,12,78.99,80.41,2,2,1539943509140
0,11,11,78.99,80.4,2,2,1539943509140
0,11,12,78.99,80.37,2,2,1539943509140
0,11,12,79.12,80.37,3,2,1539943509640
0,11,12,79.18,80.37,3,2,1539943510158
0,11,12,79.18,80.41,3,2,1539943510208
0,11,12,79.22,80.41,2,2,1539943510640
0,11,12,79.25,80.41,2,2,1539943511109
0,11,12,79.28,80.41,2,2,1539943512397
0,11,11,79.28,80.41,2,2,1539943512398
0,11,11,79.32,80.41,2,2,1539943512599
0,11,12,79.32,80.41,2,2,1539943512599
0,11,12,79.35,80.41,2,2,1539943514593
0,11,11,79.35,80.41,2,2,1539943514595
0,11,12,79.38,80.41,2,2,1539943516108
0,11,11,79.38,80.41,2,2,1539943516110
0,11,12,79.41,80.41,3,2,1539943516597
0,11,11,79.41,80.41,3,2,1539943516598
0,12,12,79.41,80.41,2,2,1539943517101
0,11,12,79.44,80.41,2,2,1539943518594
0,11,11,79.44,80.41,2,2,1539943518595
0,11,12,79.47,80.41,3,2,1539943519155
0,11,11,79.47,80.41,3,2,1539943519156
0,12,12,79.47,80.41,2,2,1539943519158
0,12,11,79.44,80.41,2,2,1539943520649
0,12,11,79.41,80.41,2,2,1539943520649
0,12,11,79.38,80.41,2,2,1539943520850
0,12,11,79.35,80.41,2,2,1539943522338
0,12,12,79.38,80.41,2,2,1539943522338
0,12,11,79.32,80.41,2,2,1539943522539
0,12,12,79.32,80.41,2,2,1539943522540
0,12,11,79.32,80.38,2,3,1539943546095
0,11,11,79.32,80.38,3,3,1539943559177
0,11,12,79.32,80.41,3,2,1539943561240
0,11,12,79.32,80.38,3,2,1539943561240
0,11,12,79.32,80.44,3,2,1539943561306
0,11,11,79.32,81.4,3,1,1539943561378
0,11,11,79.32,80.64,3,1,1539943562241
0,11,11,80.38,80.64,1,1,1539943565223
0,11,12,80.38,80.97,1,2,1539943565338
0,11,12,80.38,80.93,1,2,1539943565338
0,11,11,80.38,80.97,1,2,1539943565625
0,11,12,80.02,80.97,2,2,1539943566793
0,11,11,80.02,80.97,2,2,1539943566794
0,12,11,79.99,80.97,2,2,1539943566863
0,12,12,80.02,80.97,2,2,1539943566863
0,11,11,79.11,80.97,1,2,1539943566864
0,12,11,79.97,80.97,2,2,1539943566864
0,12,11,79.17,80.97,2,2,1539943567064
0,11,12,79.3,80.97,2,2,1539943567114
0,11,11,79.3,80.97,2,2,1539943567264
0,11,12,79.4,80.97,2,2,1539943567375
0,12,11,79.46,80.97,2,2,1539943567465
0,11,12,79.47,80.97,2,2,1539943567576
0,11,11,79.51,80.97,2,2,1539943568611
0,11,12,79.51,80.97,2,2,1539943568611
0,11,11,79.54,80.97,2,2,1539943570111
0,11,12,79.54,80.97,2,2,1539943570111
0,11,12,79.57,80.97,2,2,1539943571611
0,11,11,79.57,80.97,2,2,1539943571612
0,11,11,79.6,80.97,3,2,1539943572595
0,11,12,79.6,80.97,3,2,1539943572595
0,11,12,79.76,80.97,2,2,1539943572795
0,11,11,79.76,80.97,2,2,1539943572796
0,12,12,79.76,80.97,2,2,1539943574114
0,12,11,79.73,80.97,2,2,1539943574115
0,11,12,79.78,80.97,2,2,1539943574364
0,11,11,79.78,80.97,2,2,1539943574366
0,12,12,79.78,80.97,2,2,1539943574594
0,12,11,79.75,80.97,2,2,1539943574595
0,12,11,79.73,80.97,2,2,1539943574796
0,11,12,79.73,80.97,3,2,1539943574844
0,11,12,79.76,80.97,1,2,1539943584096
0,12,11,79.76,80.97,2,2,1539943584098
0,12,11,79.73,80.97,2,2,1539943584594
0,12,12,79.76,80.97,2,2,1539943584594
0,11,11,78.4,80.97,1,2,1539943584594
0,12,11,79.7,80.97,2,2,1539943584594
0,12,11,79.13,80.97,2,2,1539943584796
0,11,12,79.35,80.97,1,2,1539943584845
0,12,11,79.35,80.97,2,2,1539943584996
0,11,11,79.49,80.97,2,2,1539943585596
0,11,12,79.49,80.97,2,2,1539943585596
0,11,12,79.52,80.97,2,2,1539943586595
0,11,11,79.52,80.97,2,2,1539943586596
0,11,12,79.55,80.97,3,2,1539943588096
0,11,11,79.55,80.97,3,2,1539943588097
0,11,12,79.59,80.97,2,2,1539943589594
0,11,11,79.59,80.97,2,2,1539943589595
0,11,12,79.62,80.97,2,2,1539943591094
0,11,11,79.62,80.97,2,2,1539943591095
0,11,12,79.65,80.97,2,2,1539943592594
0,11,11,79.65,80.97,2,2,1539943592595
0,11,12,79.68,80.97,2,2,1539943593597
0,11,11,79.68,80.97,2,2,1539943593598
0,12,12,79.68,80.97,2,2,1539943594162
0,11,12,79.69,80.97,3,2,1539943594413
0,11,12,79.72,80.97,2,2,1539943595594
0,11,11,79.72,80.97,2,2,1539943595595
0,11,12,79.75,80.97,2,2,1539943597097
0,11,11,79.75,80.97,2,2,1539943597098
0,11,12,79.78,80.97,2,2,1539943598096
0,11,11,79.78,80.97,2,2,1539943598098
0,12,12,79.78,80.97,2,2,1539943599100
0,12,11,79.75,80.97,2,2,1539943599106
0,11,11,78.4,80.97,1,2,1539943599106
0,12,11,79.72,80.97,2,2,1539943599106
0,12,11,79.17,80.97,2,2,1539943599306
0,11,12,79.35,80.97,1,2,1539943599351
0,12,11,79.35,80.97,2,2,1539943599507
0,12,12,79.35,80.97,2,2,1539943599628
0,11,12,79.36,80.97,2,2,1539943599878
0,11,11,79.39,80.97,2,2,1539943600644
0,11,12,79.39,80.97,2,2,1539943600644
0,11,12,79.42,80.97,2,2,1539943602144
0,11,11,79.42,80.97,2,2,1539943602144
0,11,12,79.45,80.97,2,2,1539943603094
0,11,11,79.45,80.97,2,2,1539943603095
0,11,12,79.48,80.97,3,2,1539943604596
0,11,11,79.48,80.97,3,2,1539943604597
0,11,11,79.51,80.97,2,2,1539943606094
0,11,12,79.51,80.97,2,2,1539943606094
0,11,12,79.54,80.97,2,2,1539943607143
0,11,11,79.54,80.97,2,2,1539943607144
0,11,11,79.57,80.97,3,2,1539943608643
0,11,12,79.57,80.97,3,2,1539943608643
0,11,12,79.61,80.97,2,2,1539943610143
0,11,11,79.61,80.97,2,2,1539943610145
0,11,12,79.64,80.97,1,2,1539943611644
0,12,11,79.64,80.97,2,2,1539943611646
0,11,12,79.67,80.97,1,2,1539943613094
0,12,11,79.67,80.97,2,2,1539943613095
0,11,12,79.7,80.97,1,2,1539943614113
0,11,11,79.7,80.97,1,2,1539943614114
0,12,11,79.7,80.97,2,2,1539943614316
0,11,12,79.73,80.97,1,2,1539943615628
0,12,11,79.73,80.97,2,2,1539943615630
0,11,12,79.77,80.97,1,2,1539943617095
0,12,11,79.77,80.97,2,2,1539943617097
0,12,11,79.73,80.97,2,2,1539943618113
0,11,11,78.4,80.97,1,2,1539943618113
0,12,12,79.77,80.97,2,2,1539943618113
0,12,11,79.7,80.97,2,2,1539943618113
0,12,11,79.12,80.97,2,2,1539943618313
0,11,12,79.35,80.97,1,2,1539943618363
0,12,11,79.35,80.97,2,2,1539943618514
0,12,12,79.35,80.97,2,2,1539943618599
0,11,12,79.37,80.97,3,2,1539943618849
0,12,11,79.38,80.97,2,2,1539943619613
0,11,12,79.4,80.97,2,2,1539943620129
0,12,11,79.41,80.97,2,2,1539943621146
0,11,12,79.43,80.97,2,2,1539943621644
0,12,11,79.44,80.97,2,2,1539943622129
0,11,12,79.46,80.97,3,2,1539943622629
0,12,11,79.47,80.97,2,2,1539943623629
0,11,12,79.49,80.97,2,2,1539943624114
0,12,11,79.5,80.97,2,2,1539943625109
0,11,12,79.52,80.97,3,2,1539943625129
0,11,11,79.55,80.97,2,2,1539943626594
0,11,12,79.55,80.97,2,2,1539943626594
0,11,12,79.58,80.97,2,2,1539943627598
0,11,11,79.58,80.97,2,2,1539943627599
0,11,12,79.61,80.97,3,2,1539943629099
0,11,11,79.61,80.97,3,2,1539943629100
0,11,12,79.64,80.97,2,2,1539943630594
0,11,11,79.64,80.97,2,2,1539943630596
0,11,12,79.67,80.97,2,2,1539943631597
0,11,11,79.67,80.97,2,2,1539943631599
0,11,12,79.7,80.97,2,2,1539943633098
0,11,11,79.7,80.97,2,2,1539943633099
0,12,12,79.7,80.97,2,2,1539943633109
0,11,12,79.74,80.97,1,2,1539943634738
0,11,11,79.74,80.97,1,2,1539943634739
0,12,12,79.64,80.97,2,2,1539943635049
0,11,12,79.75,80.97,1,2,1539943635299
0,11,11,79.75,80.97,1,2,1539943635301
0,12,11,79.75,80.97,2,2,1539943636095
0,11,12,79.78,80.97,1,2,1539943636595
0,12,12,79.75,80.97,2,2,1539943637098
0,12,11,79.72,80.97,2,2,1539943637099
0,11,11,78.4,80.97,1,2,1539943637099
0,12,11,79.69,80.97,2,2,1539943637099
0,12,11,79.18,80.97,2,2,1539943637299
0,11,12,79.34,80.97,2,2,1539943637349
0,11,11,79.34,80.97,2,2,1539943637499
0,11,12,79.37,80.97,3,2,1539943637598
0,11,11,79.37,80.97,3,2,1539943637700
0,11,12,79.4,80.97,2,2,1539943639101
0,11,11,79.4,80.97,2,2,1539943639102
0,11,12,79.43,80.97,2,2,1539943640594
0,11,11,79.43,80.97,2,2,1539943640595
0,11,12,79.46,80.97,2,2,1539943641598
0,11,11,79.46,80.97,2,2,1539943641599
0,11,12,79.49,80.97,3,2,1539943643098
0,11,11,79.49,80.97,3,2,1539943643100
0,11,12,79.53,80.97,3,2,1539943644594
0,11,11,79.53,80.97,3,2,1539943644596
0,11,12,79.56,80.97,2,2,1539943646094
0,11,11,79.56,80.97,2,2,1539943646095
0,11,12,79.6,80.97,2,2,1539943647598
0,11,11,79.6,80.97,2,2,1539943647599
0,11,12,79.63,80.97,3,2,1539943649098
0,11,11,79.63,80.97,3,2,1539943649100
0,12,12,79.63,80.97,2,2,1539943650096
0,11,12,79.65,80.97,2,2,1539943650346
0,11,12,79.68,80.97,2,2,1539943651095
0,11,11,79.68,80.97,2,2,1539943651096
0,12,12,79.68,80.97,2,2,1539943652119
0,11,12,79.7,80.97,2,2,1539943652369
0,11,12,79.73,80.97,2,2,1539943653598
0,11,11,79.73,80.97,2,2,1539943653600
0,11,12,79.76,80.97,2,2,1539943655131
0,11,11,79.76,80.97,2,2,1539943655133
0,11,12,79.79,80.97,2,2,1539943656100
0,11,11,79.79,80.97,2,2,1539943656101
0,11,12,78.4,80.97,1,2,1539943656595
0,12,11,79.15,80.97,2,2,1539943656795
0,11,12,79.42,80.97,1,2,1539943656845
0,12,11,79.42,80.97,2,2,1539943656846
0,11,12,79.56,80.97,2,2,1539943657098
0,11,11,79.56,80.97,2,2,1539943657099
0,11,12,79.59,80.97,2,2,1539943658598
0,11,11,79.59,80.97,2,2,1539943658600
0,11,12,79.62,80.97,3,2,1539943659599
0,11,11,79.62,80.97,3,2,1539943659600
0,12,12,79.62,80.97,2,2,1539943660599
0,11,12,79.64,80.97,1,2,1539943660849
0,11,12,79.67,80.97,1,2,1539943662095
0,12,11,79.67,80.97,2,2,1539943662096
0,11,12,79.7,80.97,1,2,1539943663095
0,11,11,79.7,80.97,1,2,1539943663096
0,12,11,79.7,80.97,2,2,1539943663297
0,11,12,79.73,80.97,1,2,1539943664599
0,12,11,79.73,80.97,2,2,1539943664601
0,11,12,79.77,80.97,1,2,1539943666093
0,12,11,79.77,80.97,2,2,1539943666095
0,12,12,79.77,80.97,2,2,1539943667600
0,12,11,79.7,80.97,2,2,1539943667601
0,12,11,79.73,80.97,2,2,1539943667601
0,11,11,78.4,80.97,1,2,1539943667601
0,12,11,79.14,80.97,2,2,1539943667801
0,11,12,79.35,80.97,1,2,1539943667851
0,12,11,79.35,80.97,2,2,1539943668002
0,11,12,79.38,80.97,2,2,1539943668099
0,11,11,79.38,80.97,2,2,1539943668202
0,11,12,79.41,80.97,2,2,1539943669594
0,11,11,79.41,80.97,2,2,1539943669596
0,11,11,79.45,80.97,3,2,1539943671095
0,11,12,79.45,80.97,3,2,1539943671095
0,11,11,79.48,80.97,2,2,1539943672599
0,11,12,79.48,80.97,2,2,1539943672599
0,11,12,79.51,80.97,2,2,1539943674094
0,11,11,79.51,80.97,2,2,1539943674095
0,11,12,79.54,80.97,2,2,1539943675099
0,11,11,79.54,80.97,2,2,1539943675100
0,11,11,79.57,80.97,2,2,1539943676594
0,11,12,79.57,80.97,2,2,1539943676594
0,11,11,79.6,80.97,2,2,1539943677594
0,11,12,79.6,80.97,2,2,1539943677594
0,11,12,79.63,80.97,2,2,1539943679132
0,11,11,79.63,80.97,2,2,1539943679133
0,11,12,79.67,80.97,3,2,1539943680600
0,11,11,79.67,80.97,3,2,1539943680601
0,12,12,79.67,80.97,2,2,1539943682047
0,11,12,79.7,80.97,1,2,1539943682297
0,12,11,79.7,80.97,2,2,1539943682298
0,11,12,79.74,80.97,1,2,1539943683594
0,11,11,79.74,80.97,1,2,1539943683596
0,12,11,79.74,80.97,2,2,1539943683797
0,11,12,79.77,80.97,1,2,1539943685100
0,12,11,79.77,80.97,2,2,1539943685102
0,12,12,79.77,80.97,2,2,1539943686593
0,12,11,79.74,80.97,2,2,1539943686594
0,11,11,78.4,80.97,1,2,1539943686594
0,12,11,79.71,80.97,2,2,1539943686594
0,12,11,79.11,80.97,2,2,1539943686794
0,11,12,79.27,80.97,2,2,1539943686844
0,11,11,79.27,80.97,2,2,1539943686995
0,11,12,79.33,80.97,2,2,1539943687094
0,11,11,79.33,80.97,2,2,1539943687195
