c,bE,aE,bP,aP,bS,aS,t
0,12,12,16.8,20.92,1,1,1538485824329
0,19,19,18.63,19.57,2,2,1538486450227
0,19,12,18.63,19.22,2,2,1538486829200
0,12,12,18.63,19.22,2,2,1538486829800
0,12,11,18.63,19.15,2,2,1538486873600
0,11,11,18.63,19.15,2,2,1538486874200
0,12,11,18.66,19.15,2,2,1538486887400
0,12,19,18.66,19.15,2,2,1538486888000
0,12,8,18.66,19.15,2,2,1538486888000
0,12,12,18.66,19.15,2,2,1538486888000
0,8,19,18.66,19.05,2,2,1538486889200
0,12,19,18.66,19.05,2,2,1538486889200
0,19,19,18.66,19.05,2,2,1538486889800
0,12,11,18.66,19,2,2,1538486901800
0,19,11,18.66,19,2,2,1538486901800
0,11,11,18.66,19,2,2,1538486901800
0,11,8,18.66,18.96,2,2,1538486915600
0,19,8,18.66,18.96,2,2,1538486916200
0,8,8,18.66,18.96,2,2,1538486916200
0,8,11,18.66,18.96,2,3,1538486990027
0,8,17,18.66,18.95,2,1,1538487000562
0,19,17,18.66,18.95,2,1,1538487001018
0,10,17,18.67,18.95,1,1,1538487001110
0,19,17,18.66,18.95,2,1,1538487001121
0,8,17,18.66,18.95,2,1,1538487006800
0,12,17,18.6,18.95,10,1,1538487006800
0,15,17,18.61,18.95,4,1,1538487006801
0,15,12,18.61,19.18,4,1,1538487010021
0,15,15,18.61,19.17,4,3,1538487010022
0,15,10,18.61,19.23,4,2,1538487010025
0,15,15,18.61,19.21,4,3,1538487015076
0,10,15,18.62,19.21,1,3,1538487021020
0,15,15,18.63,19.21,4,3,1538487021022
0,10,15,18.64,19.21,1,3,1538487033626
0,15,15,18.65,19.21,4,3,1538487033629
0,10,15,18.66,19.21,1,3,1538487043624
0,15,15,18.67,19.21,4,3,1538487043626
0,10,15,18.68,19.21,1,3,1538487059715
0,15,15,18.69,19.21,4,3,1538487059717
0,12,15,18.69,19.21,5,3,1538487061042
0,15,15,18.7,19.21,4,3,1538487061044
0,12,15,18.7,19.21,4,3,1538487062289
0,15,15,18.71,19.21,4,3,1538487062290
0,10,15,18.68,19.21,1,3,1538487062291
0,7,15,18.68,19.21,2,3,1538487063431
