c,bE,aE,bP,aP,bS,aS,t
0,11,11,45,89.88,1,1,1539849600029
0,11,11,60.16,89.88,1,1,1539849600029
0,11,11,70,89.88,1,1,1539849600030
0,11,11,74,89.88,1,1,1539849600030
0,11,11,71,89.88,1,1,1539849600030
0,11,11,74,88,1,2,1539849600030
0,11,11,75.51,88,1,2,1539849600030
0,11,11,75,88,1,2,1539849600030
0,11,11,76,88,1,2,1539849600030
0,11,11,76.31,86,1,1,1539849600030
0,11,11,76,86,1,1,1539849600030
0,11,11,76.5,86,3,1,1539849600031
0,11,11,77,86,1,3,1539849600032
0,11,11,77,86,1,1,1539849600032
0,11,11,80.26,86,3,3,1539849600032
0,11,11,80.26,88,3,4,1539860340195
0,11,11,80.26,87.5,3,6,1539860374775
0,11,11,80.26,88,3,4,1539860381560
0,11,8,80.26,87.77,3,2,1539860400308
0,11,8,80.26,86.2,3,2,1539860400308
0,11,8,80.26,87,3,3,1539860400308
0,11,8,80.26,85.4,3,2,1539860400309
0,11,8,82,85.4,1,2,1539860404332
0,11,8,84,85.4,3,2,1539860407269
0,8,8,84.01,85.4,2,2,1539860679327
0,11,8,84,85.4,3,2,1539860680344
0,11,8,84.2,85.4,1,2,1539860850245
0,11,8,84.6,85.4,25,2,1539860916274
0,12,8,85,85.4,2,2,1539860925989
0,11,8,84.6,85.4,25,2,1539860926637
0,11,8,84.61,85.4,1,2,1539860979051
0,11,8,84.62,85.4,1,2,1539861066029
0,18,11,84.78,85.5,1,1,1539861665497
0,11,11,84.62,85.5,1,1,1539861665497
0,18,11,84.78,85.67,1,1,1539861671130
0,11,11,84.62,85.67,1,1,1539861671131
0,19,11,85.13,85.67,1,1,1539861671131
0,18,11,84.8,85.67,1,1,1539861671131
0,8,11,85.5,85.67,3,1,1539861671135
0,7,11,84.8,85.67,1,1,1539861683023
0,18,11,84.8,85.67,1,1,1539861683023
0,11,11,84.62,85.67,1,1,1539861683023
0,12,11,84.8,85.67,1,1,1539861683023
0,11,11,84.62,85.98,1,4,1539861683025
0,11,11,85.67,85.98,2,4,1539861683029
0,11,11,84.62,85.98,1,4,1539861684548
0,11,11,84.62,85.98,1,3,1539861703532
0,11,11,84,85.98,3,3,1539861739980
0,11,11,84,84.62,3,1,1539861759624
0,11,11,84,85.98,3,3,1539861759625
0,11,11,84,85.98,3,4,1539861762320
0,11,11,84,85.98,3,3,1539861762432
0,11,11,84.2,85.98,1,3,1539861779585
0,11,11,84.2,84.62,1,1,1539861781350
0,11,11,84.2,85.98,1,4,1539861781351
0,11,11,84.2,84.62,1,1,1539861786674
0,11,11,84.2,85.98,1,4,1539861806618
0,11,11,84.2,85.98,1,3,1539861808060
0,11,11,84.2,85.62,1,1,1539861842218
0,11,11,84.5,85.62,1,1,1539861853684
0,11,11,84.6,85.62,1,1,1539861857700
0,11,11,84.5,85.62,1,1,1539861867358
0,11,11,84.62,85.62,1,1,1539861881909
0,11,11,85,85.62,1,1,1539862018051
0,11,11,85.01,85.62,1,1,1539862041247
0,11,11,85,85.62,1,1,1539862067835
0,11,11,84.62,85.62,1,1,1539862156393
0,8,11,85.4,85.62,1,1,1539862239757
0,11,11,84.62,85.62,1,1,1539862244587
0,8,11,84.75,85.62,1,1,1539862257799
0,11,11,84.62,85.62,1,1,1539862281581
0,11,11,84.85,85.62,1,1,1539862281906
0,11,11,84.62,85.62,1,1,1539862314070
0,8,11,84.9,85.62,1,1,1539862314351
0,11,11,85.5,85.62,1,1,1539862399672
0,19,11,85.5,85.98,1,3,1539862402687
0,19,11,85.5,85.62,1,1,1539862436419
