c,bE,aE,bP,aP,bS,aS,t
0,11,11,132.3,134.97,1,4,1539302400010
0,11,11,,135,,1,1539340706618
0,11,11,,159.95,,10,1539341147122
0,11,11,,136,,1,1539341151854
0,11,11,127,136,2,1,1539341317486
0,11,11,127,135,2,1,1539341675209
0,11,11,127,134.99,2,1,1539341777440
0,11,11,121,134.99,2,1,1539341863023
0,11,11,130,134.99,1,1,1539342002121
0,11,11,130,134.99,2,1,1539342004138
0,11,11,132,134.99,1,1,1539342010009
0,11,11,132,134.98,1,2,1539342039759
0,8,11,132,134.98,10,2,1539342176584
0,8,11,132.01,134.98,1,2,1539342180792
0,8,11,132,134.98,10,2,1539342181995
0,11,11,132.01,134.98,2,2,1539342324054
0,11,11,133,134.98,5,2,1539342866937
0,11,11,132.01,134.98,2,2,1539342952666
0,11,11,133.5,134.98,5,2,1539342952691
0,11,11,133.5,134.5,5,1,1539343013452
0,11,11,133.05,134.5,1,1,1539343026329
0,11,11,134,134.5,3,1,1539343077249
0,11,11,133.05,134.5,1,1,1539343087945
0,11,7,133.05,134.4,1,1,1539343087946
0,11,7,132.01,134.4,2,1,1539343103394
0,11,11,132.01,134.5,2,1,1539343103395
0,11,11,132.46,134.5,1,1,1539343117244
0,11,11,132.01,134.5,2,1,1539343122396
0,11,11,132.46,134.5,1,1,1539343129975
0,11,11,134,134.5,2,1,1539343144640
0,11,11,134,134.5,1,1,1539343144918
0,11,7,132.46,134.4,1,1,1539343152702
0,11,11,132.46,134.5,1,1,1539343152702
0,11,11,132.46,134.25,1,2,1539343168357
0,11,11,132.46,134.5,1,1,1539343181880
0,11,11,132.46,134,1,2,1539343181881
0,11,11,132.46,133.99,1,1,1539343192388
0,11,11,132.46,133.9,1,2,1539343250681
0,11,11,132.46,133.99,1,1,1539343252017
0,11,11,132.46,133.8,1,2,1539343252018
0,11,11,132.01,133.8,2,2,1539343310056
0,11,11,132.46,133.8,1,2,1539343310079
0,11,12,132.46,133,1,1,1539343344237
0,11,11,132.46,132.85,1,1,1539343367307
0,11,11,132.01,132.85,2,1,1539343435534
0,8,11,132,132.85,10,1,1539343625038
0,11,11,130,132.85,2,1,1539343625041
0,11,12,130,132.83,2,1,1539343625044
0,11,2,130,132.71,2,1,1539343625044
0,11,8,130,130.29,2,3,1539343625049
0,11,8,130,130.29,1,3,1539343643397
0,8,18,129,130.23,2,1,1539343647368
0,8,8,129,130.29,2,3,1539343647368
0,8,8,129,130.29,2,3,1539343654852
0,8,7,129,130.23,2,1,1539343654852
0,8,11,129,132.85,2,1,1539343662834
0,8,8,129,132.84,2,1,1539343668138
0,8,8,129,132.84,2,3,1539343668139
0,8,12,129,132.75,2,1,1539343699257
0,12,12,130,132.75,2,1,1539343706295
0,8,12,129,132.75,2,1,1539343712287
0,12,12,130,132.75,6,1,1539343784683
0,12,11,130,132.7,6,1,1539343839058
0,11,11,130.01,132.7,2,1,1539343861135
0,11,11,130.01,132.7,2,2,1539343921435
0,11,12,130.01,132.65,2,1,1539343937296
0,11,11,130.01,132.6,2,1,1539343957920
0,11,11,130.01,132.6,2,2,1539343969458
0,12,11,130,132.6,6,2,1539343999784
0,12,19,130,132.5,6,1,1539344165860
0,12,8,130,130.29,6,11,1539344189882
0,12,8,130,130.29,6,10,1539344189883
0,12,19,130,132.5,6,1,1539344192234
0,12,19,130,132.5,6,2,1539344204838
0,12,11,130,132.49,6,2,1539344229292
0,11,11,131,132.49,2,2,1539344251763
0,8,11,130,132.49,10,2,1539344317704
0,8,18,130,132.19,10,1,1539344317705
0,8,11,130,131,10,1,1539344317709
0,8,11,130,131,10,3,1539344330112
0,8,8,130,130.99,10,3,1539344333820
0,12,8,130,130.99,6,3,1539344447709
0,8,8,130.5,130.99,9,3,1539344447847
0,8,11,130.5,130.98,9,1,1539344545235
0,8,7,130.5,130.88,4,1,1539344663831
0,8,11,130.5,130.98,4,1,1539344663831
0,8,18,130.5,130.8,4,1,1539344669715
