c,bE,aE,bP,aP,bS,aS,t
0,12,8,0.01,69.95,1,1,1539774000459
0,12,8,54.5,69.95,1,1,1539775332236
0,12,8,55,69.95,1,1,1539776674813
0,8,8,55.55,69.95,1,1,1539778665677
0,12,8,55,69.95,1,1,1539781093323
0,8,8,56,69.95,1,1,1539781093325
0,12,8,55,69.95,1,1,1539781358700
0,12,19,55,58.8,1,1,1539781358700
0,12,8,55,69.95,1,1,1539781358730
0,12,11,55,65.99,1,5,1539781435686
0,12,8,55,69.95,1,1,1539781454036
0,12,11,55,65.9,1,5,1539781455288
0,12,11,52.45,65.9,10,5,1539782501061
0,11,11,50.25,65.9,1,5,1539782501062
0,11,12,50.25,65.21,1,1,1539782502579
0,11,12,51.3,65.21,1,1,1539782881082
0,11,12,51.3,65.21,2,1,1539782881355
0,11,12,55.05,65.21,1,1,1539782882080
0,11,12,55.05,65.21,1,5,1539782925373
0,12,12,55.2,57.21,2,1,1539783000629
0,11,12,55.05,65.21,1,5,1539783000629
0,12,12,55.47,57.21,1,1,1539783000806
0,12,12,55.2,57.21,2,1,1539783001186
0,12,12,55.2,57.95,2,5,1539783001348
0,12,12,55.2,57,2,1,1539783001353
0,12,12,55.83,57,1,1,1539783001963
0,12,12,56,57,2,1,1539783003736
0,12,12,56,57,2,2,1539783011583
0,12,12,56.34,57,1,2,1539783011584
0,12,12,56,57,2,2,1539783011585
0,12,12,56.69,57,1,2,1539783011585
0,12,12,56,56.72,2,1,1539783011585
0,12,12,56,57,2,2,1539783011585
0,12,12,56,57,2,2,1539783011585
0,12,12,56.15,57,1,2,1539783011585
0,12,12,56.15,57,2,2,1539783011585
0,12,12,56.69,57,1,2,1539783011585
0,17,12,56.15,57,2,2,1539783011585
0,17,2,56.15,56.93,2,1,1539783011586
0,8,2,56.34,56.93,1,1,1539783011586
0,17,12,56.15,57,2,2,1539783011596
0,17,2,56.15,56.93,2,1,1539783011596
0,12,12,56.16,57,1,2,1539783011597
0,17,12,56.15,57,2,2,1539783011598
0,12,12,56.17,57,1,2,1539783011598
0,12,12,56.17,57,2,2,1539783011723
0,12,12,56.17,57,2,1,1539783020540
0,12,12,56.17,56.95,2,1,1539783020590
0,12,17,56.17,56.94,2,1,1539783020590
0,12,11,56.17,56.94,2,1,1539783029312
0,12,11,56.17,56.94,3,1,1539783030821
0,12,12,56.17,56.85,3,1,1539783033570
0,12,11,56.17,56.85,3,1,1539783067929
0,12,12,56.17,56.84,3,2,1539783071344
0,12,12,56.17,56.55,3,1,1539783078712
0,12,12,56.17,56.84,3,2,1539783078713
0,17,12,56.25,56.55,1,1,1539783078713
0,12,12,56.25,56.84,1,2,1539783078713
0,17,12,56.25,56.84,1,2,1539783078713
0,12,12,56.31,56.84,1,2,1539783078713
0,12,12,56.4,56.84,1,2,1539783078713
0,17,12,56.31,56.55,1,1,1539783078713
0,17,12,56.31,56.84,1,2,1539783078713
0,17,11,56.31,56.85,1,1,1539783078713
0,12,11,56.36,56.85,1,1,1539783078713
0,12,12,56.4,56.55,1,1,1539783078713
0,17,12,56.36,56.55,1,1,1539783078713
0,17,19,56.36,56.83,1,2,1539783078714
0,17,12,56.4,56.55,1,1,1539783078714
0,12,19,56.4,56.83,1,2,1539783078714
0,12,19,56.43,56.83,1,2,1539783078715
0,17,19,56.4,56.83,1,2,1539783078715
0,17,19,56.43,56.83,1,2,1539783078843
0,17,19,56.43,56.82,1,2,1539783078846
0,12,19,56.44,56.82,1,2,1539783078847
0,8,19,56.44,56.82,1,2,1539783080093
0,8,15,56.44,56.85,1,1,1539783080093
0,8,12,56.44,56.84,1,2,1539783080094
0,12,12,56.45,56.84,1,2,1539783080094
0,8,12,56.45,56.84,2,2,1539783080099
0,12,12,56.45,56.84,3,2,1539783081832
0,8,12,56.45,56.84,2,2,1539783082013
0,12,15,56.53,56.85,1,1,1539783083663
0,8,15,56.45,56.85,2,1,1539783083663
0,17,12,56.53,56.84,1,1,1539783083664
0,17,12,56.53,56.84,1,2,1539783083664
0,11,12,56.48,56.84,1,2,1539783083846
0,12,12,56.49,56.84,1,2,1539783083848
0,3,12,56.49,56.75,1,1,1539783085736
0,12,12,56.49,56.75,2,1,1539783086853
0,12,19,56.49,56.75,2,2,1539783095241
0,12,19,56.49,56.75,4,2,1539783095295
0,12,12,56.49,56.75,4,3,1539783095363
0,12,19,56.49,56.75,4,2,1539783097316
0,12,19,56.55,56.75,1,2,1539783097316
0,17,19,56.55,56.75,1,2,1539783097316
0,17,11,56.55,56.75,1,1,1539783097317
0,12,11,56.59,56.75,1,1,1539783097317
0,17,11,56.59,56.75,1,1,1539783097317
0,17,11,56.63,56.75,1,1,1539783097317
0,12,11,56.63,56.75,1,1,1539783097317
0,17,12,56.63,56.75,1,1,1539783097317
0,17,19,56.63,56.72,1,1,1539783097320
0,17,11,56.63,56.8,1,1,1539783097321
0,17,12,56.63,56.75,1,1,1539783097321
0,12,12,56.64,56.75,1,1,1539783097321
0,17,12,56.63,56.75,1,1,1539783097321
0,12,12,56.65,56.75,1,1,1539783097336
0,12,12,56.66,56.75,1,1,1539783097338
0,12,12,56.66,56.75,1,1,1539783097798
0,12,11,56.66,56.8,1,1,1539783097798
0,19,11,56.68,56.8,1,1,1539783097798
0,19,12,56.68,56.75,1,1,1539783097798
0,19,12,56.68,56.75,1,1,1539783097798
0,19,11,56.68,56.8,1,1,1539783097798
0,19,12,56.68,56.75,2,1,1539783097798
0,19,12,56.68,56.75,1,1,1539783097798
0,19,12,56.68,56.75,1,1,1539783097798
0,19,12,56.68,56.75,2,1,1539783097799
0,19,12,56.68,56.75,1,1,1539783097799
0,12,12,56.69,56.75,1,1,1539783097799
0,12,12,56.69,56.75,1,1,1539783098040
0,12,11,56.69,56.8,1,1,1539783098040
0,12,11,56.69,56.8,1,1,1539783098040
0,12,15,56.69,56.85,1,1,1539783098628
0,12,15,56.69,56.85,2,1,1539783098887
