c,bE,aE,bP,aP,bS,aS,t
0,12,12,0.01,199999.99,1,1,1539860400429
0,12,12,0.01,161.01,1,1,1539860400431
0,8,12,144.1,161.01,1,1,1539861558005
0,8,12,146,161.01,1,1,1539862252700
0,8,8,146,159,1,1,1539862505664
0,8,11,146,152,1,1,1539862527520
0,8,11,144.1,152,1,1,1539862730471
0,8,11,145,152,1,1,1539862772892
0,8,11,146,152,1,1,1539864082866
0,8,11,146.7,152,1,1,1539864374040
0,8,11,146.7,151.44,1,1,1539866250791
0,8,11,146.7,152,1,1,1539866773103
0,11,11,146.75,152,1,1,1539867121077
0,11,11,147,152,1,1,1539868108616
0,2,11,147,152,1,1,1539869100717
0,2,11,145,152,1,1,1539869112307
0,8,11,144.1,152,1,1,1539869149896
0,11,11,140.6,152,3,1,1539869283722
0,11,12,140.6,145,3,2,1539869400330
0,11,12,140.6,147.9,3,1,1539869400330
0,11,12,140.6,145,3,1,1539869400330
0,11,11,140.6,152,3,1,1539869400330
0,11,12,140.6,150.85,3,1,1539869400330
0,11,11,140.6,152,3,1,1539869400330
0,11,11,140.6,152,2,1,1539869400330
0,11,12,140.6,147.9,2,1,1539869400331
0,11,12,140.6,150.85,2,1,1539869400331
0,11,11,140.6,152,2,1,1539869400331
0,11,12,140.6,150.85,2,1,1539869400332
0,11,11,140.6,152,2,1,1539869400333
0,11,11,140.6,147.9,2,1,1539869400335
0,11,12,140.6,150.85,2,2,1539869400337
0,11,12,140.6,150.85,2,1,1539869400337
0,11,11,140.6,152,2,1,1539869400338
0,12,11,147.76,152,2,1,1539869400634
0,12,11,147.76,152,2,1,1539869400634
0,12,12,147.76,152,2,1,1539869400641
0,12,11,147.76,151.65,2,2,1539869400695
0,12,11,147.76,151.65,2,2,1539869400757
0,12,11,150.71,151.65,1,2,1539869400757
0,12,11,147.77,151.65,1,2,1539869400772
0,12,11,147.76,151.65,2,2,1539869401305
0,19,11,147.77,151.65,1,2,1539869401470
0,19,12,147.77,149.28,1,1,1539869401720
0,19,11,147.77,151.65,1,2,1539869401726
0,19,12,147.77,149.28,1,1,1539869401727
0,19,12,147.77,149.28,1,2,1539869401980
0,19,12,147.77,149.28,1,3,1539869404514
0,12,12,148.65,149.28,1,3,1539869405197
0,19,12,147.77,149.28,1,3,1539869405198
0,12,12,147.76,149.28,2,3,1539869405207
0,12,12,147.76,149.28,2,3,1539869410589
0,12,12,147.76,149.28,2,2,1539869410589
0,12,12,147.76,149.28,2,2,1539869411588
0,12,12,148,149.28,1,2,1539869413946
0,19,12,148,148.75,1,1,1539869449903
0,12,12,148,148.75,1,1,1539869449903
0,19,12,148,149.28,1,2,1539869449904
0,19,12,148,149.28,2,2,1539869449940
0,12,12,148,149.28,1,2,1539869451495
0,19,12,148,149.28,2,2,1539869451503
0,12,12,148,149.28,1,2,1539869451519
0,19,12,148,149.28,2,2,1539869473120
0,19,11,148,149.33,2,1,1539869476897
0,19,12,148,149.28,2,1,1539869476897
0,19,11,148,149.33,2,1,1539869476897
0,12,11,149.28,149.33,1,1,1539869476897
0,19,12,148,149.96,2,1,1539869476899
0,19,12,148,149.96,1,1,1539869476902
0,19,12,148,150,1,1,1539869476906
0,19,19,148,150.16,1,1,1539869476906
0,19,12,148,150,1,1,1539869476906
0,19,19,148,150.16,1,1,1539869476908
0,12,12,148,150.16,1,1,1539869476921
0,19,12,148,150.16,2,1,1539869476957
0,19,12,148,150.16,2,2,1539869489005
0,19,8,148,150.15,2,1,1539869489005
0,19,11,148,149.8,2,1,1539869489006
0,19,12,148,149.8,2,2,1539869489009
0,19,11,148,149.8,2,1,1539869489009
0,19,11,148,149.8,1,1,1539869489011
0,19,11,148,149.8,2,1,1539869489065
0,12,11,148,149.8,1,1,1539869499825
0,19,11,148,149.8,2,1,1539869499853
0,12,11,148,149.8,1,1,1539869506922
0,19,11,148,149.8,2,1,1539869506984
0,19,12,148,149.8,2,2,1539869510822
0,19,11,148,149.8,2,1,1539869520989
0,19,11,148,149.8,2,2,1539869581575
0,19,12,148,149.78,2,1,1539869584096
0,12,12,148,149.78,2,1,1539869616543
0,12,15,148,149.78,2,1,1539869628099
0,12,19,148,150,2,1,1539869632708
0,12,8,148,149.8,2,1,1539869633008
0,12,8,148,149.8,3,1,1539869636424
0,12,12,148,149.8,3,2,1539869639725
0,12,8,148,149.8,3,1,1539869641083
0,12,8,148.26,149.8,1,1,1539869644136
0,12,8,148.26,149.8,2,1,1539869644138
0,12,8,148.6,149.8,1,1,1539869649787
0,12,8,148.6,149.8,2,1,1539869649789
0,12,8,148.6,149.8,3,1,1539869659547
0,12,8,148.6,149.8,2,1,1539869673307
0,17,8,148.75,149.8,1,1,1539869680785
0,12,8,148.75,149.8,1,1,1539869683046
0,12,8,148.75,149.8,2,1,1539869683047
0,12,12,148.75,149.29,2,1,1539869701552
0,12,12,148.75,149.34,2,1,1539869704302
0,12,19,148.75,150,2,1,1539869704302
0,12,11,148.75,149.8,2,1,1539869705003
0,12,2,148.75,149.8,2,1,1539869709670
0,11,2,149.41,149.8,1,1,1539869709670
0,19,2,148.75,149.8,1,1,1539869709670
0,12,2,148.75,149.8,2,1,1539869709672
0,12,12,148.75,149.61,2,1,1539869709689
0,12,11,148.75,149.6,2,1,1539869719432
0,12,11,148.76,149.6,1,1,1539869744876
0,12,11,148.76,149.6,2,1,1539869744878
0,12,11,148.76,149.6,3,1,1539869750169
0,12,11,148.76,149.59,3,1,1539869764298
0,12,12,148.76,149.58,3,1,1539869767794
0,12,11,148.76,149.59,3,1,1539869767794
0,12,11,148.76,149.59,3,1,1539869767795
0,12,12,148.76,149.58,3,1,1539869767795
0,12,11,148.76,149.59,2,1,1539869767795
0,12,12,148.76,149.61,2,1,1539869767795
0,12,19,148.76,150,2,1,1539869767795
0,12,19,148.76,150,3,1,1539869767804
0,12,18,148.76,149.8,3,2,1539869768002
0,12,8,148.76,149.8,3,2,1539869779592
0,12,19,148.76,150,3,1,1539869779592
0,12,8,148.76,149.8,3,1,1539869779592
0,12,19,148.76,150,2,1,1539869779592
0,12,12,148.76,150.34,2,1,1539869779593
0,12,18,148.76,149.8,2,1,1539869779595
0,12,18,148.76,149.8,3,1,1539869779596
0,12,18,148.76,149.8,2,1,1539869780384
0,12,12,148.76,150.34,2,1,1539869780385
0,12,12,148.76,150.5,2,1,1539869780406
0,12,8,148.76,149.8,2,1,1539869781056
0,12,12,148.76,150.5,2,1,1539869781057
0,12,12,148.76,149.8,2,1,1539869781057
0,12,8,148.76,149.8,2,2,1539869782749
0,12,12,148.76,149.8,2,2,1539869809339
0,12,19,148.76,149.74,2,1,1539869820640
0,12,19,148.76,149.74,3,1,1539869832812
0,12,19,148.76,149.74,2,1,1539869847324
0,12,19,148.77,149.74,1,1,1539869857611
0,12,19,148.77,149.74,2,1,1539869857613
0,12,8,148.77,149.74,2,1,1539869857714
0,12,12,148.77,149.73,2,1,1539869861309
0,12,12,148.77,149.73,2,2,1539869861313
0,12,12,148.77,149.73,3,2,1539869864737
0,12,12,148.77,149.73,3,2,1539869876235
0,12,12,148.77,149.55,3,1,1539869876235
0,12,12,148.77,149.73,3,1,1539869876235
0,12,12,148.77,149.73,2,1,1539869876235
0,12,8,148.77,149.55,2,1,1539869876236
0,12,8,148.77,149.74,2,1,1539869876236
0,12,8,148.77,149.74,2,1,1539869876236
0,12,8,148.77,149.74,3,1,1539869876238
0,12,8,148.77,149.74,4,1,1539869876242
0,12,12,148.77,150,4,1,1539869876342
0,12,12,148.77,150,4,5,1539869876463
0,12,12,148.77,150,4,4,1539869876465
0,12,12,148.77,149.8,4,1,1539869877006
0,12,12,148.77,149.65,4,1,1539869881220
0,12,12,148.78,149.65,1,1,1539869889767
0,12,12,148.78,150,1,4,1539869889767
0,12,12,148.78,150,2,4,1539869889768
0,12,12,148.78,150,3,4,1539869889769
0,12,2,148.78,149.8,3,2,1539869890010
0,12,2,148.78,149.8,3,3,1539869890247
0,12,2,148.79,149.8,1,3,1539869891155
0,19,2,148.79,149.8,1,3,1539869896128
0,12,2,148.79,149.8,2,3,1539869920152
0,12,2,148.79,149.8,3,3,1539869924493
0,12,2,148.8,149.8,1,3,1539869934495
0,12,2,148.8,149.8,1,2,1539869940793
0,12,19,148.8,149.67,1,1,1539869940794
0,12,2,148.8,149.8,1,2,1539869940794
0,12,2,149.24,149.8,1,2,1539869940796
0,12,2,148.8,149.8,2,2,1539869940796
0,12,8,149.24,150,1,2,1539869940797
0,12,11,149.24,149.8,1,2,1539869940797
0,12,8,149.24,150,2,2,1539869940798
0,12,8,149.24,150,2,1,1539869940798
0,12,8,149.24,150,2,2,1539869940799
0,12,8,149.24,150,1,2,1539869940801
0,12,8,149.24,150,1,2,1539869940801
0,12,2,149.24,149.8,1,1,1539869940801
0,12,2,149.24,149.8,1,1,1539869940801
0,12,8,149.24,150,1,2,1539869941597
0,12,2,149.24,149.8,1,1,1539869941597
0,12,2,149.24,149.8,1,1,1539869943728
0,12,8,149.24,150,1,2,1539869943728
0,12,8,149.24,150,1,1,1539869943729
0,12,8,149.24,150,1,2,1539869943729
0,12,2,149.24,149.8,1,2,1539869943734
0,12,2,149.24,149.8,2,2,1539869943994
0,12,2,149.25,149.8,1,2,1539869943995
0,12,2,149.24,149.8,2,2,1539869944280
0,12,2,149.25,149.8,1,2,1539869944730
0,12,12,149.25,149.53,3,1,1539869945744
0,12,12,149.25,149.53,1,1,1539869945744
0,12,2,149.25,149.8,3,2,1539869945744
0,12,2,149.25,149.8,4,2,1539869945745
0,12,2,149.25,149.8,3,2,1539869945745
0,12,2,149.4,149.8,1,2,1539869945747
0,12,2,149.4,149.8,2,2,1539869945748
0,12,2,149.4,149.8,1,2,1539869945754
0,12,8,149.4,150,1,1,1539869948417
0,12,11,149.4,149.8,1,2,1539869948417
0,12,8,149.61,150,1,2,1539869948418
0,12,8,149.61,150,1,1,1539869948418
0,12,8,149.61,150,2,2,1539869948419
0,12,8,149.61,150,3,2,1539869948419
0,12,8,149.61,149.8,3,1,1539869948419
0,12,8,149.61,150,3,2,1539869948420
0,12,8,149.61,150,2,1,1539869948420
0,12,8,149.61,150,3,1,1539869948420
0,12,12,149.61,150.5,2,1,1539869950098
0,12,12,149.61,150.5,1,1,1539869950158
0,19,12,149.61,150.4,1,1,1539869963879
0,12,12,149.61,150.4,1,1,1539869963879
0,19,12,149.61,150.4,1,2,1539869963881
0,12,12,149.61,150.4,1,2,1539869964545
0,12,12,149.61,150.4,2,2,1539869970416
0,12,12,149.61,150.4,2,1,1539869970822
0,12,19,149.61,150.06,2,1,1539869970823
0,12,19,149.61,150.06,3,1,1539869971926
0,12,12,150.05,150.4,1,1,1539869972338
0,12,12,149.61,150.4,3,1,1539869972338
0,12,12,150.05,150.4,2,1,1539869972339
0,12,12,150.05,150.5,2,1,1539869972708
0,12,12,150.05,150.5,2,2,1539869972708
0,12,12,150.05,150.5,2,1,1539869972708
0,12,12,150.05,150.87,2,1,1539869972708
0,12,12,150.05,150.5,2,2,1539869972708
0,19,12,150.49,150.5,1,2,1539869972709
0,12,12,150.05,150.5,2,1,1539869972709
0,12,12,150.05,150.5,2,2,1539869972709
0,12,12,150.05,150.87,2,1,1539869972709
0,12,12,150.05,150.5,2,1,1539869972709
0,12,12,150.05,150.5,2,1,1539869972709
