c,bE,aE,bP,aP,bS,aS,t
0,11,11,93.04,100,1,3,1539820800056
0,12,12,93.12,103.12,1,1,1539849973516
0,8,8,95,102.55,1,5,1539860400113
0,8,11,95,101.88,1,4,1539860404669
0,8,12,95,98.44,1,1,1539860588210
0,8,11,95,101.88,1,4,1539860595233
0,12,11,93.12,101.88,1,4,1539860817107
0,11,11,98,101.88,1,4,1539860817246
0,12,11,93.12,101.88,1,4,1539860979287
0,8,11,98.12,101.88,1,4,1539860979468
0,12,11,93.12,101.88,1,4,1539861175688
0,12,12,93.12,93.24,1,1,1539861475805
0,12,11,93.12,101.88,1,4,1539861475827
0,11,11,93.24,101.88,1,4,1539861476052
0,12,11,93.12,101.88,1,4,1539861476165
0,12,12,93.12,98.25,1,1,1539864091759
0,12,11,93.12,98.25,1,2,1539864091760
0,12,19,93.12,98.25,1,1,1539864304586
0,12,7,93.12,98.25,1,1,1539864304586
0,12,11,93.12,101.88,1,4,1539864304587
0,12,12,93.12,98,1,1,1539864304593
0,12,7,93.12,98,1,2,1539864304594
0,12,11,93.12,101.88,1,4,1539864317435
0,12,19,93.12,98,1,1,1539864317435
0,12,12,93.12,97.75,1,2,1539864317441
0,12,11,93.12,101.88,1,4,1539864770612
0,12,11,93.12,97.5,1,1,1539864770618
0,8,11,93.04,97.5,1,1,1539868150434
0,12,11,93.36,97.5,1,1,1539868150436
0,12,19,93.36,97.5,1,1,1539868577691
0,12,12,93.36,98.1,1,1,1539869158933
0,12,11,93.36,97.4,1,1,1539869158939
0,7,11,94.17,97.4,1,1,1539869163891
0,7,11,94.82,97.4,1,1,1539869172831
0,18,11,95.34,97.4,1,1,1539869172832
0,19,11,96.31,97.4,1,1,1539869172832
0,18,11,95.34,97.4,1,1,1539869172834
0,7,11,94.82,97.4,1,1,1539869172970
0,7,11,95.34,97.4,1,1,1539869172970
0,12,11,93.36,97.4,1,1,1539869172970
0,18,11,94.17,97.4,1,1,1539869179981
0,7,11,94.17,97.4,1,1,1539869180092
0,7,12,94.17,98.1,1,1,1539869184328
0,18,12,94.82,98.1,1,1,1539869184329
0,11,12,97.4,98.1,1,1,1539869184336
0,18,12,94.82,98.1,1,1,1539869185559
0,7,12,94.82,98.1,1,1,1539869185560
0,18,12,93.51,98.1,1,1,1539869185560
0,12,12,93.36,98.1,1,1,1539869185562
0,12,11,93.36,101.88,1,4,1539869221455
0,18,11,94.31,101.88,1,4,1539869221455
0,18,11,94.31,101.88,1,4,1539869221456
0,7,11,94.31,101.88,1,4,1539869221456
0,12,11,93.36,101.88,1,4,1539869280982
0,7,11,94.31,101.88,1,4,1539869280982
0,12,11,93.36,99.99,1,1,1539869319518
0,11,11,98.2,99.99,3,1,1539869325146
0,11,11,98.2,99.99,6,1,1539869326427
0,11,11,98.2,99.99,3,1,1539869337157
0,12,11,94.48,99.99,8,1,1539869338434
0,18,11,94.28,99.99,1,1,1539869338435
0,8,11,94.27,99.99,1,1,1539869338439
0,12,11,94.27,99.99,1,1,1539869338443
0,12,11,93.36,99.99,1,1,1539869338443
0,11,11,98.2,99.99,3,1,1539869340106
0,12,11,95.96,99.99,8,1,1539869352106
0,18,11,94.28,99.99,1,1,1539869352107
0,12,11,94.27,99.99,1,1,1539869352109
0,12,11,94.27,99.99,2,1,1539869352109
0,12,11,93.36,99.99,1,1,1539869352109
0,12,11,93.36,101.88,1,4,1539869353547
0,11,11,98.2,101.88,3,4,1539869370060
0,12,11,95.37,101.88,8,4,1539869382081
0,12,11,94.31,101.88,1,4,1539869382082
0,11,11,95.37,101.88,1,4,1539869382083
0,11,8,95.37,101.5,1,2,1539869393506
0,11,11,95.37,101.5,1,1,1539869393506
0,11,11,95.37,101.41,1,1,1539869400318
0,10,10,98.32,99.25,1,12,1539869400703
0,8,10,98.5,99.25,10,12,1539869400705
0,8,10,99.23,99.25,1,12,1539869401085
0,8,10,99.23,99.25,2,12,1539869401086
0,8,10,99.23,99.25,2,13,1539869401160
0,8,10,99.23,99.25,2,10,1539869401232
0,8,10,99.23,99.25,1,10,1539869401449
0,8,10,98.5,99.25,10,10,1539869401495
0,8,8,98.5,99.23,10,1,1539869401495
0,8,10,98.5,99.25,10,10,1539869401496
0,10,10,98.51,99.25,1,10,1539869401500
0,12,10,98.51,99.25,1,10,1539869413222
0,10,10,98.51,99.25,2,10,1539869428749
0,10,10,98.61,99.25,1,10,1539869435514
0,10,10,98.61,99.25,2,10,1539869435776
0,10,10,98.93,99.25,1,10,1539869456477
0,10,10,99.09,99.25,1,10,1539869456747
0,12,10,98.93,99.25,1,10,1539869456748
0,10,10,98.93,99.25,2,10,1539869458422
0,10,12,98.93,99.25,2,2,1539869461860
0,10,12,98.93,99.25,2,6,1539869461874
0,10,12,99.09,99.25,1,6,1539869463507
0,12,12,98.93,99.25,1,6,1539869463507
0,10,12,99.09,99.25,1,6,1539869465555
