c,bE,aE,bP,aP,bS,aS,t
0,11,11,1.29,1.31,12,351,1538006400012
0,11,11,1.23,2.83,189,3,1538035200006
0,11,11,1.23,2.2,189,30,1538035200006
0,11,11,1.31,1.45,1,5,1538035200006
0,11,11,1.31,2.2,1,30,1538035200006
0,11,11,1.31,1.39,1,4,1538035200007
0,11,11,1.31,1.35,1,40,1538035200010
0,11,12,1.31,1.34,1,2,1538041031062
0,11,12,1.31,1.32,1,499,1538045660866
0,12,11,1.28,1.31,10,3,1538045722444
0,12,12,1.28,1.31,10,5,1538045722446
0,12,12,1.28,1.32,10,499,1538045727506
0,12,11,1.28,1.31,10,17,1538045727510
0,12,12,1.28,1.31,10,6,1538045821211
0,12,12,1.28,1.34,10,2,1538045821212
0,12,11,1.28,1.3,10,5,1538045821679
0,12,12,1.28,1.3,10,4,1538045826726
0,12,12,1.28,1.34,10,2,1538045826727
0,12,11,1.28,1.3,10,12,1538045826731
0,12,12,1.28,1.3,10,11,1538045991203
0,12,12,1.28,1.34,10,2,1538045991204
0,12,11,1.28,1.29,10,5,1538045991604
0,12,12,1.28,1.34,10,2,1538045996636
0,12,12,1.28,1.29,10,4,1538045996636
0,12,11,1.28,1.29,10,12,1538045996641
0,12,11,1.28,1.3,10,85,1538046015192
0,12,12,1.28,1.29,10,11,1538046015192
0,12,11,1.28,1.3,5,85,1538046015825
0,2,11,1.27,1.3,3,85,1538046015826
0,2,8,1.27,1.28,3,4,1538046015826
0,2,19,1.27,1.28,3,9,1538046015828
0,2,8,1.27,1.28,3,4,1538046015830
0,2,11,1.27,1.3,3,85,1538046020902
0,2,11,1.27,1.28,3,4,1538046020905
0,2,19,1.27,1.28,3,6,1538046020906
0,2,8,1.27,1.28,3,1,1538046051079
0,2,12,1.27,1.28,3,2,1538046051079
0,2,11,1.27,1.3,3,85,1538046051079
0,2,11,1.26,1.3,3,85,1538046051326
0,2,8,1.26,1.27,3,2,1538046051327
0,2,19,1.26,1.27,3,3,1538046051327
0,2,8,1.26,1.27,3,2,1538046051329
0,2,11,1.26,1.3,3,85,1538046056388
0,2,11,1.26,1.27,3,3,1538046056392
0,2,12,1.26,1.27,3,1,1538046082784
0,2,19,1.26,1.27,3,3,1538046082784
0,2,11,1.26,1.3,3,85,1538046082785
0,2,19,1.26,1.28,3,3,1538046083748
0,2,11,1.26,1.28,3,2,1538046083748
0,11,19,1.27,1.28,20,3,1538046150912
0,11,11,1.27,1.3,20,85,1538046242887
0,11,12,1.27,1.28,20,1,1538046242887
0,11,11,1.27,1.28,20,2,1538046242891
0,2,19,1.26,1.28,3,2,1538046318870
0,2,11,1.26,1.3,3,85,1538046569946
0,2,8,1.26,1.28,3,2,1538046569946
0,11,11,1.28,1.3,1,85,1538046569948
0,2,11,1.26,1.3,3,85,1538046572648
0,11,11,1.29,1.3,1,85,1538046572649
0,2,11,1.26,1.3,3,85,1538046575499
0,2,8,1.26,1.31,3,293,1538046575500
0,11,8,1.3,1.31,1,293,1538046575501
0,2,8,1.26,1.31,3,293,1538046576871
0,2,8,1.26,1.31,3,284,1538046576873
0,2,11,1.26,1.31,3,77,1538046587325
0,2,8,1.26,1.31,3,193,1538046587325
0,12,11,1.28,1.31,5,77,1538046594657
0,2,11,1.26,1.31,3,77,1538046606205
0,12,11,1.3,1.31,5,77,1538046606206
0,2,11,1.26,1.31,3,77,1538046623040
0,2,11,1.26,1.31,3,72,1538046623042
0,11,11,1.27,1.31,5,72,1538046657380
0,11,11,1.27,1.31,5,82,1538046706163
0,11,11,1.27,1.31,5,80,1538046736179
0,11,11,1.27,1.31,5,72,1538046736180
0,11,11,1.27,1.31,5,67,1538046884633
0,11,11,1.27,1.31,5,66,1538046977441
0,11,12,1.27,1.29,5,5,1538046990727
0,11,11,1.27,1.31,5,66,1538047009822
0,8,11,1.26,1.31,50,66,1538047043813
0,8,11,1.26,1.3,50,6,1538047055152
0,8,11,1.27,1.3,10,6,1538047600317
0,8,11,1.27,1.31,10,66,1538047662160
0,11,11,1.3,1.31,44,66,1538047662826
0,11,11,1.3,1.31,44,82,1538047718898
0,11,11,1.3,1.31,44,62,1538047739322
0,11,11,1.3,1.31,79,62,1538047838750
0,11,11,1.3,1.31,94,62,1538047867532
0,11,11,1.3,1.31,74,62,1538047873133
0,11,11,1.3,1.31,74,55,1538047965383
0,12,11,1.3,1.31,13,55,1538048049860
0,8,11,1.27,1.31,10,55,1538048049861
0,8,8,1.27,1.3,10,13,1538048049861
0,8,8,1.27,1.3,10,12,1538048100880
0,8,11,1.27,1.31,10,55,1538048321960
0,8,11,1.26,1.31,50,55,1538048334514
0,2,11,1.26,1.31,3,55,1538048334520
0,11,11,1.25,1.31,100,55,1538048334521
0,11,11,1.25,1.3,100,200,1538048424215
0,11,11,1.25,1.3,97,200,1538048449555
0,11,11,1.25,1.3,107,200,1538048647027
0,11,11,1.27,1.3,60,200,1538048655596
0,11,11,1.28,1.3,10,200,1538048917029
0,11,11,1.27,1.3,60,200,1538049005899
0,11,11,1.27,1.31,60,124,1538049033259
0,11,11,1.27,1.31,160,124,1538049096614
0,11,11,1.29,1.31,50,124,1538049139035
0,11,11,1.29,1.3,50,4,1538049152921
0,11,11,1.29,1.3,45,4,1538049221631
0,11,11,1.29,1.31,41,124,1538049404856
0,11,11,1.29,1.31,41,95,1538049496805
0,11,11,1.29,1.31,41,85,1538049496806
0,11,11,1.29,1.31,41,74,1538049496807
0,11,11,1.29,1.31,141,74,1538049513342
0,11,11,1.29,1.3,141,3,1538049549328
0,11,11,1.29,1.3,141,203,1538049553607
0,11,11,1.29,1.3,241,203,1538049560671
0,11,11,1.29,1.3,241,183,1538049601037
0,11,11,1.29,1.3,241,133,1538049625016
0,11,11,1.29,1.3,241,73,1538049659622
0,11,11,1.29,1.3,241,3,1538049672657
0,11,11,1.29,1.3,221,3,1538049770791
0,11,11,1.29,1.3,271,3,1538049902179
0,11,11,1.29,1.3,221,3,1538050028378
0,11,11,1.3,1.31,7,104,1538050030748
0,11,11,1.3,1.31,7,94,1538050032115
0,11,11,1.29,1.31,221,94,1538050033475
0,11,11,1.3,1.31,40,94,1538050045137
0,11,11,1.3,1.31,40,92,1538050129209
0,17,11,1.31,1.31,40,92,1538050148427
0,17,11,1.31,1.31,40,91,1538050148428
0,17,8,1.31,1.32,40,295,1538050225543
0,11,8,1.3,1.32,40,295,1538050225544
0,11,8,1.31,1.32,108,295,1538050225550
0,11,8,1.31,1.32,158,295,1538050226700
0,11,8,1.31,1.32,173,295,1538050309358
0,11,8,1.31,1.32,171,295,1538050340786
0,11,8,1.31,1.32,156,295,1538050363791
0,8,8,1.31,1.32,194,295,1538050367907
0,11,8,1.31,1.32,105,295,1538050562517
0,11,8,1.31,1.32,105,300,1538050583522
0,11,8,1.31,1.32,65,300,1538050606622
0,11,12,1.31,1.31,65,40,1538050606623
0,11,8,1.31,1.32,65,300,1538050630851
0,11,8,1.31,1.32,95,300,1538050683800
0,11,12,1.31,1.31,95,10,1538050806684
0,12,8,1.31,1.32,140,300,1538050836020
0,11,8,1.31,1.32,95,300,1538050836020
0,12,11,1.31,1.32,140,161,1538050859402
0,12,8,1.31,1.32,140,280,1538050859404
0,11,12,1.3,1.31,225,40,1538051182553
0,11,8,1.3,1.32,225,280,1538051182553
0,11,12,1.3,1.31,225,56,1538051182568
0,11,17,1.3,1.31,225,27,1538051182568
0,11,11,1.3,1.31,225,18,1538051182568
0,11,12,1.3,1.31,225,21,1538051213903
0,11,12,1.3,1.31,245,21,1538051249549
0,11,12,1.3,1.31,255,21,1538051280009
0,11,12,1.3,1.31,250,21,1538051347761
0,17,12,1.31,1.31,40,21,1538051594555
0,17,12,1.31,1.31,40,5,1538051594761
0,11,12,1.3,1.31,250,5,1538051594761
0,11,11,1.3,1.31,250,18,1538051594797
0,11,12,1.3,1.31,250,21,1538051594798
0,11,12,1.3,1.31,252,21,1538051613066
0,17,19,1.31,1.31,40,16,1538051628321
0,17,12,1.31,1.31,40,21,1538051628321
0,17,12,1.31,1.31,40,14,1538051628322
0,11,8,1.3,1.32,252,275,1538051628491
0,17,8,1.31,1.32,40,275,1538051628491
0,11,11,1.3,1.31,252,18,1538051628525
0,11,12,1.3,1.31,252,16,1538051635451
