c,bE,aE,bP,aP,bS,aS,t
0,11,12,45.5,51.4,1,1,1539949612776
0,11,12,28.38,51.4,5,1,1539949612781
0,12,12,45.5,51.4,1,1,1539949612788
0,12,12,45.5,51.4,1,1,1539949615483
0,12,12,45.5,,1,,1539949615483
0,12,12,45.5,,1,,1539950095007
0,12,12,45.5,65.99,1,1,1539952200069
0,8,12,54,65.99,3,1,1539953947219
0,12,12,45.5,65.99,1,1,1539953947235
0,12,19,45.5,51.7,1,1,1539954375294
0,12,19,45.5,51.71,1,1,1539954389377
0,12,19,45.5,51.7,1,1,1539954389607
0,12,19,45.5,51.71,1,1,1539954394606
0,12,19,45.5,51.72,1,1,1539954396870
0,12,19,45.5,51.71,1,1,1539954448530
0,12,19,45.5,51.72,1,1,1539954453529
0,12,19,45.5,51.67,1,1,1539954464832
0,12,19,45.5,51.66,1,1,1539954475509
0,12,19,45.5,51.65,1,1,1539954480963
0,12,19,45.5,51.66,1,1,1539954488890
0,12,19,45.5,51.65,1,1,1539954489100
0,12,19,45.5,51.63,1,1,1539954489432
0,12,19,45.5,51.64,1,1,1539954494431
0,12,19,45.5,51.65,1,1,1539954505404
0,12,19,45.5,51.64,1,1,1539954505510
0,12,19,45.5,51.68,1,1,1539954510509
0,12,19,45.5,51.65,1,1,1539954510509
0,12,19,45.5,51.7,1,1,1539954511130
0,12,19,45.5,51.73,1,1,1539954515510
0,12,19,45.5,51.71,1,1,1539954515510
0,12,19,45.5,51.72,1,1,1539954516153
0,12,19,45.5,51.64,1,1,1539954517348
0,12,19,45.5,51.63,1,1,1539954533308
0,12,19,45.5,51.64,1,1,1539954538307
0,12,19,45.5,51.63,1,1,1539954549548
0,12,19,45.5,51.64,1,1,1539954554547
0,12,19,45.5,51.63,1,1,1539954554604
0,12,19,45.5,51.64,1,1,1539954581605
0,12,19,45.5,51.63,1,1,1539954581715
0,12,19,45.5,51.64,1,1,1539954586714
0,12,19,45.5,51.65,1,1,1539954595122
0,12,19,45.5,51.64,1,1,1539954595247
0,12,19,45.5,51.63,1,1,1539954610083
0,12,19,45.5,51.64,1,1,1539954615160
0,12,19,45.5,51.63,1,1,1539954615361
0,12,19,45.5,51.62,1,1,1539954654416
0,12,19,45.5,51.63,1,1,1539954675466
0,12,19,45.5,51.62,1,1,1539954675667
0,12,19,45.5,51.63,1,1,1539954713618
0,12,19,45.5,51.62,1,1,1539954718126
0,12,19,45.5,51.63,1,1,1539954723125
0,12,19,45.5,51.64,1,1,1539954740631
0,12,19,45.5,51.63,1,1,1539954740855
0,12,19,45.5,51.62,1,1,1539954753070
0,12,19,45.5,51.63,1,1,1539954759376
0,12,19,45.5,51.62,1,1,1539954760138
0,12,19,45.5,51.63,1,1,1539954767888
0,12,19,45.5,51.62,1,1,1539954776961
0,12,19,45.5,51.63,1,1,1539954784500
0,12,19,45.5,51.62,1,1,1539954784700
0,12,19,45.5,51.63,1,1,1539954789700
0,12,19,45.5,51.62,1,1,1539954797750
0,12,19,45.5,51.63,1,1,1539954809984
0,12,19,45.5,51.62,1,1,1539954981355
0,12,19,45.5,51.63,1,1,1539954986355
0,8,19,45.54,51.63,1,1,1539955089625
0,8,19,45.54,51.64,1,1,1539955091830
0,8,19,45.54,51.63,1,1,1539955092030
0,8,19,45.54,51.64,1,1,1539955099722
0,8,19,45.54,51.63,1,1,1539955099922
0,8,19,45.54,51.62,1,1,1539955137510
0,8,19,45.54,51.63,1,1,1539955143821
0,8,19,45.54,51.62,1,1,1539955144087
0,8,19,45.54,51.63,1,1,1539955152480
0,8,19,45.54,51.64,1,1,1539955158325
0,8,19,45.54,51.63,1,1,1539955158525
0,8,19,45.54,51.62,1,1,1539955179707
0,8,19,45.54,51.63,1,1,1539955202557
0,8,19,45.54,51.62,1,1,1539955202704
0,8,19,45.54,51.61,1,1,1539955244083
0,8,19,45.54,51.62,1,1,1539955249083
0,8,19,45.54,51.61,1,1,1539955257204
0,8,19,45.54,51.62,1,1,1539955282792
0,8,19,45.54,51.61,1,1,1539955282992
0,8,11,45.54,60.45,1,1,1539955312249
0,8,12,45.54,53.95,1,1,1539955312249
0,8,19,45.54,51.72,1,1,1539955312249
0,8,19,45.54,51.7,1,1,1539955312249
