c,bE,aE,bP,aP,bS,aS,t
0,12,12,53.26,73.92,1,1,1539865800086
0,12,8,53.26,73.91,1,1,1539866794142
0,12,12,53.26,73.92,1,1,1539866952565
0,12,11,53.26,73.9,1,1,1539866957021
0,12,12,53.26,73.92,1,1,1539867005045
0,12,12,66.37,73.92,1,1,1539868257817
0,12,8,66.37,74,1,1,1539869401409
0,12,11,66.37,73.92,1,1,1539869401555
0,12,11,66.37,73.92,1,2,1539869401555
0,12,11,66.37,73.92,1,1,1539869543575
0,12,8,66.37,73.9,1,1,1539869665404
0,10,8,71.5,73.9,1,1,1539869725454
0,10,8,72.65,73.9,1,1,1539869725454
0,10,10,72.65,73.32,1,9,1539869725457
0,10,10,72.65,73.32,2,9,1539869725460
0,10,12,72.65,73.32,2,2,1539869728671
0,10,12,72.65,73.32,2,1,1539869728672
0,10,10,72.65,73.37,2,2,1539869728672
0,10,3,72.65,73.32,2,1,1539869728674
0,10,3,72.65,73.32,3,1,1539869729195
0,10,3,72.65,73.32,4,1,1539869729203
0,10,3,72.65,73.32,3,1,1539869729583
0,10,3,72.65,73.32,2,1,1539869748435
0,10,3,73,73.32,2,1,1539869755095
0,10,3,73,73.32,3,1,1539869755108
0,10,3,73,73.32,4,1,1539869755120
0,10,3,73,73.32,5,1,1539869757194
0,10,19,73,73.32,5,1,1539869757384
0,10,11,73,73.32,5,1,1539869757384
0,10,12,73,73.37,5,2,1539869757384
0,19,12,73.31,73.37,1,2,1539869757384
0,10,12,73,73.37,5,2,1539869757384
0,10,12,73,73.37,5,2,1539869757385
0,12,12,73.31,73.37,1,2,1539869757385
0,10,15,73,73.37,5,1,1539869757823
0,10,15,73,73.37,3,1,1539869795889
0,10,15,73.01,73.37,1,1,1539869800469
0,10,15,73.01,73.37,3,1,1539869800478
0,10,15,73.01,73.37,2,1,1539869800672
0,10,12,73.01,73.38,2,1,1539869801962
0,10,10,73.01,73.39,2,1,1539869802385
0,10,15,73.01,73.42,2,1,1539869803260
0,11,15,73.49,73.42,2,1,1539869803261
0,11,11,73.49,73.69,3,1,1539869803262
0,11,11,73.49,73.69,2,1,1539869803262
0,11,11,73.49,73.69,4,1,1539869803264
0,12,11,73.49,73.69,3,1,1539869803269
0,10,11,73.01,73.69,1,1,1539869803269
0,10,11,73.49,73.69,2,1,1539869803272
0,10,11,73.49,73.69,1,1,1539869803272
0,10,11,73.01,73.69,1,1,1539869803272
0,10,12,73.01,73.61,1,1,1539869803273
0,10,12,73.01,73.61,3,1,1539869803278
0,10,12,73.01,73.45,3,1,1539869803280
0,10,12,73.01,73.45,4,1,1539869803282
0,10,8,73.01,73.9,4,1,1539869803302
0,10,12,73.01,73.61,4,1,1539869803302
0,10,11,73.01,73.46,4,1,1539869803302
0,10,11,73.01,73.46,3,1,1539869803471
0,10,11,73.01,73.46,2,1,1539869803675
0,10,19,73.01,73.75,2,1,1539869813841
0,10,19,73.02,73.75,1,1,1539869813841
0,10,8,73.02,73.9,1,1,1539869813841
0,10,8,73.02,73.9,2,1,1539869813848
0,10,8,73.02,73.9,1,1,1539869813848
0,10,8,73.02,73.9,2,1,1539869824195
0,10,11,73.02,73.7,2,1,1539869828538
0,10,11,73.1,73.7,4,1,1539869835342
0,10,11,73.1,73.7,6,1,1539869835349
0,10,11,73.1,73.7,7,1,1539869837195
0,10,11,73.1,73.7,8,1,1539869837205
0,10,11,73.12,73.7,2,1,1539869851967
0,10,19,73.12,73.7,2,1,1539869851970
0,10,19,73.12,73.7,5,1,1539869851978
0,10,19,73.12,73.7,4,1,1539869852175
0,10,11,73.12,73.7,4,1,1539869852514
0,10,11,73.12,73.7,5,1,1539869853194
0,10,11,73.25,73.7,1,1,1539869878985
0,10,11,73.25,73.7,2,1,1539869878993
0,10,11,73.25,73.7,3,1,1539869878996
0,10,19,73.25,73.7,3,1,1539869879113
0,10,19,73.25,73.7,4,1,1539869879194
0,10,19,73.25,73.7,3,1,1539869879195
0,10,11,73.25,73.7,3,1,1539869879494
0,10,11,73.25,73.7,2,1,1539869882836
0,10,8,73.25,73.9,2,1,1539869936292
0,10,19,73.25,73.7,2,1,1539869936292
0,10,8,73.26,73.9,1,1,1539869936293
0,10,11,73.26,73.71,1,1,1539869936293
0,10,11,73.25,73.71,1,1,1539869936298
0,10,11,73.26,73.71,1,1,1539869936303
0,10,11,73.26,73.71,2,1,1539869939195
0,10,8,73.27,73.9,1,1,1539869939857
0,10,8,73.26,73.9,2,1,1539869939857
0,10,8,73.27,73.9,2,1,1539869939863
0,10,8,73.27,73.9,1,1,1539869942001
0,10,8,73.27,73.9,2,1,1539869943195
0,10,12,73.27,73.89,2,1,1539869944868
0,10,12,73.27,73.89,3,1,1539870001182
0,10,12,73.27,73.89,4,1,1539870001188
0,10,12,73.27,73.89,9,1,1539870108975
0,10,12,73.27,73.89,11,1,1539870108977
0,10,12,73.27,73.89,8,1,1539870109323
0,18,12,73.28,73.89,1,1,1539870116891
0,10,12,73.28,73.89,7,1,1539870116897
0,10,10,73.28,73.75,7,1,1539870155352
0,10,10,73.28,73.75,7,2,1539870155353
0,10,12,73.28,73.74,7,1,1539870155354
0,10,11,73.28,73.74,7,2,1539870236277
0,10,11,73.28,73.74,7,3,1539870273406
0,10,11,73.28,73.74,7,4,1539870341355
0,18,11,73.28,73.74,1,4,1539870369785
0,10,8,73.19,73.29,1,1,1539870369785
0,10,11,73.19,73.74,1,4,1539870369785
0,10,8,73.12,73.29,2,1,1539870369785
0,10,8,73.12,73.28,2,1,1539870369785
0,10,10,73.12,73.73,2,2,1539870369787
0,10,11,73.12,73.72,2,1,1539870369791
0,11,12,73.13,73.72,1,1,1539870370904
0,10,12,73.13,73.72,1,1,1539870370905
0,11,12,73.13,73.72,1,1,1539870370905
0,11,10,73.13,73.72,1,2,1539870371110
0,11,12,73.13,73.72,1,2,1539870375601
0,11,12,73.13,73.71,1,1,1539870375602
0,11,10,73.13,73.71,1,2,1539870376111
0,11,10,73.13,73.71,1,3,1539870385406
0,10,10,73.13,73.71,1,3,1539870385408
0,11,10,73.13,73.7,1,1,1539870390619
0,11,10,73.13,73.7,1,2,1539870390620
0,11,10,73.13,73.7,1,3,1539870391112
0,11,10,73.13,73.7,1,4,1539870476983
0,11,10,73.13,73.7,1,3,1539870476984
0,11,19,73.13,73.69,1,1,1539870540980
0,11,10,73.13,73.7,1,3,1539870633354
0,11,10,73.13,73.7,1,2,1539870693669
0,10,10,73.13,73.7,1,2,1539870804547
0,12,10,73.13,73.7,1,1,1539870963018
0,12,10,73.13,73.7,1,2,1539870965021
0,12,10,73.13,73.7,1,1,1539870966020
0,12,10,73.13,73.73,1,1,1539870972109
0,12,15,73.13,73.7,1,1,1539870972111
0,10,15,73.13,73.7,1,1,1539871022570
0,10,11,73.13,73.7,1,2,1539871027096
0,10,15,73.13,73.7,1,1,1539871035598
0,10,11,73.13,73.7,1,2,1539871035598
0,10,15,73.13,73.7,1,1,1539871040733
0,10,11,73.13,73.7,1,2,1539871040733
0,10,15,73.13,73.7,1,1,1539871041512
0,10,11,73.13,73.7,1,2,1539871041733
0,10,15,73.13,73.7,1,1,1539871041837
0,12,15,73.13,73.7,1,1,1539871056743
0,10,15,73.13,73.7,2,1,1539871146216
0,12,15,73.13,73.7,1,1,1539871155817
0,12,12,73.13,73.7,1,1,1539871157109
0,12,10,73.13,73.7,1,2,1539871157111
0,10,10,73.13,73.7,2,2,1539871157117
0,10,10,73.13,73.7,2,3,1539871200145
0,10,10,73.13,73.7,3,3,1539871216424
0,10,10,73.13,73.7,3,2,1539871247343
0,10,10,73.13,73.7,2,2,1539871281323
0,11,10,73.14,73.7,1,2,1539871284251
0,11,8,73.14,73.7,1,2,1539871338586
0,10,8,73.17,73.7,1,2,1539871507999
0,10,8,73.17,73.7,2,2,1539871508031
0,10,8,73.18,73.7,2,2,1539871508810
0,10,8,73.18,73.7,1,2,1539871508810
0,10,10,73.18,73.7,2,2,1539871513448
0,10,8,73.18,73.7,1,2,1539871545089
0,10,8,73.25,73.7,1,2,1539871545090
0,11,8,73.26,73.7,1,2,1539871551683
0,11,8,73.26,73.7,2,2,1539871551683
0,11,10,73.26,73.7,2,2,1539871558506
0,11,10,73.26,73.7,1,2,1539871604121
0,10,8,73.35,73.7,1,2,1539871604122
0,10,10,73.35,73.7,1,2,1539871604125
0,10,8,73.35,73.7,1,2,1539871604127
0,10,10,73.35,73.7,1,2,1539871605389
0,11,10,73.26,73.7,1,2,1539871605394
0,10,8,73.35,73.7,1,2,1539871693462
0,10,10,73.35,73.7,1,2,1539871693709
0,11,10,73.36,73.7,1,2,1539871697939
0,11,8,73.36,73.7,1,2,1539871697939
0,11,10,73.36,73.7,1,2,1539871697943
0,11,10,73.4,73.7,1,2,1539871935724
0,11,10,73.41,73.7,1,2,1539871936225
0,11,10,73.41,73.7,1,3,1539871958189
0,12,10,73.41,73.7,2,3,1539871964131
0,12,10,73.41,73.7,3,3,1539871981243
0,12,10,73.41,73.7,2,3,1539871985100
0,12,12,73.41,73.7,3,3,1539871985100
0,10,10,73.38,73.7,1,3,1539871985101
0,12,10,73.41,73.7,1,3,1539871985101
