c,bE,aE,bP,aP,bS,aS,t
0,11,11,54.2,71,1,2,1538553600019
0,11,11,54.2,64.97,1,5,1538553600020
0,11,11,57,64.97,1,5,1538563626102
0,11,11,57,64.97,1,6,1538563658181
0,11,11,57,64.97,2,6,1538563740709
0,11,11,57,64,2,10,1538563858877
0,11,11,57,64.97,2,6,1538563957022
0,8,11,60,64.97,20,6,1538564400023
0,11,11,60,64.97,50,6,1538564408648
0,11,11,60,64,50,5,1538564408928
0,11,11,60,64.97,50,6,1538564526138
0,11,11,60,63,50,2,1538564566304
0,11,11,60,63,48,2,1538564587655
0,11,11,60,64.97,48,6,1538564985189
0,11,11,60,62,48,2,1538564990138
0,12,11,60.01,62,1,2,1538565245577
0,12,11,60.01,64.97,1,6,1538566348537
0,12,11,60.01,63,1,2,1538566352491
0,12,8,60.01,62,1,1,1538566519335
0,12,8,60.01,61.95,1,2,1538566534695
0,12,11,60.01,61.95,1,2,1538566629346
0,12,11,60.01,61.9,1,2,1538566841550
0,12,11,60.01,61.95,1,2,1538566950695
0,12,11,60.01,61.95,1,4,1538567557452
0,12,8,60.01,61.94,1,1,1538567823123
0,12,11,60.01,61.94,1,4,1538568028094
0,11,11,60.05,61.94,2,4,1538568285424
0,12,11,60.06,61.94,1,4,1538568321727
0,12,19,60.06,61.23,1,1,1538568422514
0,12,11,60.06,61.94,1,4,1538568424229
0,12,8,60.06,61.94,1,1,1538568446226
0,12,11,60.06,61.95,1,4,1538568446227
0,11,11,61.7,61.95,1,4,1538568471726
0,11,8,61.7,61.94,1,10,1538568492156
0,11,11,61.7,61.95,1,4,1538568503378
0,19,11,61.7,64.97,1,5,1538568543313
0,19,11,61.7,63,1,1,1538569445220
0,11,11,61.71,63,1,1,1538569632804
0,19,11,61.7,63,1,1,1538569979075
0,19,12,61.7,62.94,1,4,1538570411435
0,11,12,61.7,62.94,2,4,1538571026941
0,11,12,61.75,62.94,1,4,1538571266440
0,8,12,62,62.94,20,4,1538571354930
0,11,12,62.25,62.94,1,4,1538571474355
0,8,12,62.25,62.94,1,4,1538571474385
0,18,12,62.25,62.94,1,4,1538571474385
0,7,12,62.25,62.94,1,4,1538571474385
0,8,12,62,62.94,20,4,1538571474385
0,12,12,62.25,62.94,1,4,1538571474385
0,12,12,62.01,62.94,1,4,1538571504996
0,12,8,62.01,62.5,1,1,1538571514668
0,8,8,62,62.5,20,1,1538572176588
0,8,8,62,62.5,20,2,1538572223497
0,8,8,62,62.5,20,1,1538572253428
0,8,8,62,62.33,20,1,1538572253527
0,12,8,62.01,62.33,1,1,1538572309475
0,11,8,61.75,62.33,1,1,1538572947788
0,12,8,62.01,62.33,1,1,1538572947796
0,11,8,61.75,62.33,1,1,1538572947798
0,12,8,62.01,62.33,1,1,1538572947799
0,11,8,61.75,62.33,1,1,1538572947801
0,12,8,62.01,62.33,1,1,1538572947803
0,11,8,61.75,62.33,1,1,1538572947804
0,12,8,62.01,62.33,1,1,1538572947805
0,11,8,61.75,62.33,1,1,1538572947806
0,12,8,62.01,62.33,1,1,1538572947808
0,11,8,61.75,62.33,1,1,1538572947809
0,12,8,62.01,62.33,1,1,1538572947811
0,11,8,61.75,62.33,1,1,1538572947812
0,12,8,62.01,62.33,1,1,1538572947814
0,11,8,61.75,62.33,1,1,1538572947815
0,12,8,62.01,62.33,1,1,1538572947817
0,11,8,61.75,62.33,1,1,1538572947818
0,12,8,62.01,62.33,1,1,1538572947820
0,11,8,61.75,62.33,1,1,1538572947821
0,12,8,62.01,62.33,1,1,1538572947823
0,11,8,61.75,62.33,1,1,1538572947824
0,12,8,62.01,62.33,1,1,1538572947826
0,11,8,61.75,62.33,1,1,1538572947827
0,12,8,62.01,62.33,1,1,1538572947829
0,11,8,61.75,62.33,1,1,1538572947830
0,12,8,62.01,62.33,1,1,1538572947832
0,11,8,61.75,62.33,1,1,1538572947833
0,12,8,62.01,62.33,1,1,1538572947835
