c,bE,aE,bP,aP,bS,aS,t
0,12,12,111.75,111.99,2,2,1539849600018
0,12,11,111.75,111.94,2,1,1539849600049
0,12,11,111.75,111.94,5,1,1539849600103
0,12,11,111.75,111.94,2,1,1539849600635
0,12,11,111.74,111.94,5,1,1539849600742
0,12,11,111.74,111.94,2,1,1539849600742
0,12,12,111.74,111.94,5,1,1539849601071
0,12,11,111.74,111.93,5,1,1539849601071
0,12,11,111.74,111.93,2,1,1539849601425
0,12,11,111.73,111.93,5,1,1539849601479
0,12,11,111.73,111.93,2,1,1539849601479
0,12,11,111.73,111.92,5,1,1539849601824
0,12,12,111.73,111.93,5,1,1539849601824
0,12,11,111.74,111.92,1,1,1539849602761
0,12,11,111.73,111.92,4,1,1539849602761
0,12,11,111.74,111.92,2,1,1539849602761
0,12,11,111.74,111.92,1,1,1539849602768
0,12,11,111.73,111.92,5,1,1539849602768
0,12,11,111.74,111.92,2,1,1539849602768
0,12,12,111.74,111.92,2,1,1539849602770
0,12,11,111.74,111.92,4,1,1539849603032
0,12,11,111.74,111.92,4,1,1539849603196
0,12,11,111.74,111.92,2,1,1539849603196
0,12,11,111.74,111.92,5,1,1539849605143
0,12,12,111.74,111.92,4,1,1539849605143
0,12,11,111.75,111.92,4,1,1539849605145
0,12,12,111.75,111.92,4,1,1539849605161
0,11,11,111.74,111.94,1,1,1539849605161
0,12,11,111.75,111.94,4,1,1539849605161
0,12,11,111.75,111.94,4,1,1539849605161
0,12,11,111.74,111.94,3,1,1539849605161
0,12,11,111.75,111.94,6,1,1539849605162
0,12,12,111.75,,6,,1539849605168
0,12,12,111.75,111.94,6,1,1539849605168
0,12,12,111.75,112.47,6,15,1539849605169
0,12,12,111.75,112.47,4,15,1539849605170
0,12,12,111.79,112.47,2,15,1539849605170
0,12,12,111.79,112.03,2,2,1539849605170
0,12,12,111.77,112.03,2,2,1539849605182
0,12,12,111.78,112.03,2,2,1539849605182
0,11,12,111.74,112.03,1,2,1539849605182
0,11,12,111.74,112.03,1,2,1539849605183
0,12,12,111.76,112.03,2,2,1539849605184
0,12,12,111.76,112.03,2,3,1539849605231
0,12,12,111.76,112.03,4,3,1539849605751
0,12,12,111.76,112.03,2,3,1539849607120
0,12,12,111.75,112.03,2,3,1539849607120
0,12,12,111.76,112.03,4,3,1539849607120
0,12,11,111.76,112.03,4,1,1539849607178
0,12,12,111.76,112.02,4,4,1539849607178
0,12,12,111.76,112.02,4,6,1539849607178
0,12,12,111.76,112.02,4,7,1539849607239
0,12,12,111.76,112.01,4,4,1539849607241
0,12,12,111.76,112.02,4,5,1539849607241
0,12,12,111.76,112.02,4,3,1539849607278
0,12,11,111.76,112.02,4,1,1539849607278
0,12,11,111.76,112.01,4,1,1539849607302
0,12,12,111.76,112.01,4,3,1539849608630
0,12,12,111.76,112.01,6,3,1539849608759
0,12,12,111.76,112.01,4,3,1539849610162
0,12,12,111.76,112,4,2,1539849610477
0,12,11,111.76,112.01,4,1,1539849610477
0,12,12,111.76,112,4,4,1539849610479
0,12,12,111.76,112,4,2,1539849610480
0,12,12,111.76,112,4,4,1539849610480
0,12,12,111.76,112,4,5,1539849610538
0,12,12,111.76,112,4,3,1539849610540
0,12,12,111.76,111.99,4,2,1539849610540
0,12,11,111.76,112,4,1,1539849610577
0,12,12,111.76,112,4,3,1539849610577
0,12,12,111.76,112.01,4,2,1539849610601
0,12,12,111.76,112,4,1,1539849610601
0,12,12,111.76,112.01,6,2,1539849610664
0,12,11,111.76,112.01,6,1,1539849611371
0,12,12,111.76,112.01,6,1,1539849611412
0,12,11,111.76,112.01,7,1,1539849611413
0,12,11,111.76,112.01,5,1,1539849611414
0,11,11,111.76,112.01,1,1,1539849611414
0,12,11,111.77,112.01,6,1,1539849611414
0,12,11,111.77,112.01,7,1,1539849611475
0,12,12,111.77,112.01,6,1,1539849611475
0,12,11,111.78,112.01,4,1,1539849611477
0,12,12,111.78,112.01,4,1,1539849611489
0,12,11,111.78,112.01,2,1,1539849611491
0,12,11,111.78,112.01,4,1,1539849611502
0,12,12,111.78,112.01,4,1,1539849611510
0,12,11,111.77,112.01,3,1,1539849611795
0,12,11,111.78,112.01,2,1,1539849611795
0,12,11,111.78,112.01,4,1,1539849611795
0,12,11,111.78,112.01,6,1,1539849611802
0,12,11,111.78,112.01,6,1,1539849611901
0,12,11,111.78,112.01,4,1,1539849611901
0,12,12,111.78,112.01,6,1,1539849612128
0,12,11,111.78,112.01,7,1,1539849612129
0,12,11,111.79,112.01,4,1,1539849612130
0,12,12,111.79,112.01,4,3,1539849614247
0,12,12,111.79,112,4,2,1539849614448
0,12,12,111.79,112,2,2,1539849614503
0,12,12,111.78,112,3,2,1539849614504
0,12,12,111.8,112,2,2,1539849614504
0,12,12,111.8,112,2,3,1539849614509
0,12,12,111.8,112,2,3,1539849614510
0,12,11,111.8,112,2,1,1539849614510
0,12,12,111.78,112,2,3,1539849614512
0,12,12,111.77,112,2,3,1539849614512
0,11,12,111.76,112,1,3,1539849614512
0,11,12,111.76,111.99,1,2,1539849614512
0,12,12,111.78,111.99,2,2,1539849614514
0,12,11,111.78,111.97,2,1,1539849614573
0,12,11,111.78,111.97,4,1,1539849614747
0,12,11,111.78,111.96,4,1,1539849615430
