c,bE,aE,bP,aP,bS,aS,t
0,11,11,34.13,52.49,1,2,1538553600024
0,11,11,35,52.49,1,2,1538553600026
0,8,11,42.26,44.55,2,1,1538564400015
0,11,11,43.26,44.55,2,1,1538573194887
0,8,11,43.26,44.55,2,1,1538573341607
0,11,11,43.35,44.55,2,1,1538573342167
0,11,11,43.35,44.55,3,1,1538573382167
0,11,11,43.7,44.55,2,1,1538573400147
0,11,11,43.7,44.55,3,1,1538573400147
0,10,10,43.82,44.27,1,6,1538573400755
0,2,10,43.79,44.27,1,6,1538573400758
0,2,10,43.79,44.27,1,2,1538573400758
0,2,3,43.79,44.27,1,3,1538573400787
0,2,7,43.79,44.27,1,4,1538573400788
0,8,7,43.79,44.27,1,4,1538573400788
0,8,3,43.79,44.27,1,3,1538573400788
0,8,2,43.79,44.27,1,4,1538573400788
0,8,18,43.79,44.27,1,4,1538573400820
0,8,12,43.79,44.27,1,4,1538573400820
0,8,10,43.79,44.27,1,2,1538573400882
0,8,10,43.79,44.27,1,3,1538573401012
0,8,10,43.79,44.19,1,20,1538573401013
0,8,10,43.79,44.11,1,2,1538573401015
0,10,10,43.79,44.11,1,2,1538573401016
0,15,10,43.79,44.11,1,2,1538573401016
0,17,10,43.7,44.11,1,2,1538573401020
0,17,10,43.7,43.96,1,2,1538573401021
0,17,10,43.7,44.04,1,20,1538573401021
0,17,10,43.7,43.92,1,2,1538573401331
0,10,10,43.7,43.92,1,2,1538573403657
0,10,10,43.65,43.92,1,2,1538573403658
0,12,12,43.65,43.92,1,2,1538573409599
0,12,19,43.65,43.91,1,1,1538573444888
0,18,19,43.65,43.91,1,1,1538573444889
0,18,11,43.65,43.91,1,2,1538573444890
0,12,11,43.65,43.91,1,2,1538573444992
0,12,9,43.65,43.9,1,3,1538573451168
0,12,11,43.65,43.91,1,2,1538573451192
0,19,19,43.66,43.85,1,1,1538573459514
0,19,11,43.66,43.91,1,2,1538573459514
0,18,11,43.68,43.91,1,2,1538573459514
0,18,19,43.68,43.85,1,1,1538573459514
0,19,11,43.66,43.91,1,2,1538573459514
0,19,19,43.66,43.9,1,1,1538573459514
0,9,19,43.66,43.9,3,1,1538573459514
0,9,9,43.66,43.9,3,3,1538573459514
0,19,9,43.66,43.9,1,3,1538573459550
0,19,19,43.66,43.9,1,1,1538573459550
0,19,18,43.66,43.9,1,2,1538573459909
0,19,10,43.66,43.89,1,1,1538573460181
0,9,10,43.67,43.89,3,1,1538573462701
0,19,10,43.66,43.89,1,1,1538573462734
0,18,10,43.66,43.89,1,1,1538573464018
0,19,10,43.66,43.89,1,1,1538573464018
0,18,10,43.67,43.89,1,1,1538573465230
0,11,10,43.67,43.89,1,1,1538573465885
0,18,10,43.68,43.89,1,1,1538573467304
0,2,10,43.68,43.89,1,1,1538573470784
0,11,10,43.67,43.89,1,1,1538573470787
0,18,10,43.68,43.89,1,1,1538573472183
0,18,10,43.69,43.89,1,1,1538573473038
0,7,10,43.68,43.89,1,1,1538573473038
0,2,10,43.69,43.89,1,1,1538573480032
0,2,12,43.69,43.89,1,1,1538573480052
0,11,12,43.67,43.89,1,1,1538573481444
0,10,12,43.67,43.89,1,1,1538573481446
0,9,9,43.68,43.88,3,3,1538573481446
0,9,12,43.68,43.89,3,1,1538573481446
0,18,18,43.68,43.89,1,2,1538573481468
0,18,9,43.68,43.88,1,3,1538573481468
0,10,18,43.67,43.89,1,2,1538573481560
0,8,18,43.66,43.89,1,2,1538573481561
0,19,18,43.69,43.89,1,2,1538573481562
0,8,18,43.66,43.89,1,2,1538573481564
0,8,12,43.66,43.89,1,1,1538573481569
0,8,10,43.66,43.89,1,1,1538573481570
0,12,10,43.8,43.89,1,1,1538573481570
0,12,19,43.8,43.9,1,1,1538573481571
0,12,12,43.8,43.9,1,1,1538573481571
0,19,12,43.85,43.9,1,1,1538573481572
0,19,10,43.85,43.94,1,2,1538573481573
0,19,10,43.85,43.94,1,1,1538573481574
0,12,10,43.82,43.94,1,1,1538573481574
0,19,10,43.82,43.94,2,1,1538573481574
0,19,10,43.74,43.94,1,1,1538573481713
0,19,10,43.74,43.94,1,2,1538573484655
0,19,10,43.74,43.94,2,2,1538573486125
0,19,10,43.74,43.94,2,1,1538573488996
0,12,10,43.75,43.94,1,1,1538573496381
0,12,10,43.75,43.94,1,2,1538573496412
0,12,19,43.75,43.94,1,1,1538573496413
0,12,12,43.75,43.94,1,1,1538573496413
0,12,8,43.75,43.94,1,1,1538573496413
0,12,10,43.75,43.94,1,1,1538573496413
0,12,10,43.75,43.94,1,2,1538573496444
0,12,12,43.75,43.94,1,2,1538573496445
0,12,10,43.75,43.94,1,1,1538573496445
0,18,10,43.75,43.94,2,1,1538573501303
0,18,12,43.75,43.94,2,1,1538573501303
0,12,12,43.75,43.94,1,1,1538573509135
0,9,12,43.76,43.94,3,1,1538573509189
0,12,10,43.89,43.94,1,1,1538573509193
0,9,10,43.76,43.94,3,1,1538573509193
0,12,12,43.89,43.99,1,1,1538573509193
0,12,12,43.89,43.99,1,1,1538573509194
0,12,12,43.89,43.94,1,1,1538573509194
0,12,12,43.91,43.99,1,1,1538573509194
0,18,12,43.85,43.99,1,1,1538573509224
0,18,12,43.91,43.99,1,1,1538573509224
0,19,12,43.81,43.99,1,1,1538573509224
0,19,12,43.81,43.99,1,2,1538573509224
0,11,12,43.82,43.99,1,2,1538573509225
0,19,12,43.82,43.99,3,2,1538573509225
0,11,2,43.82,43.99,1,1,1538573515064
0,11,2,43.82,43.99,1,1,1538573524324
0,11,2,43.82,43.99,2,1,1538573524324
0,19,2,43.82,43.99,1,1,1538573539617
0,12,2,43.84,43.99,1,1,1538573539618
0,12,12,43.84,43.99,1,1,1538573539618
0,12,2,43.84,43.99,1,1,1538573539619
0,12,10,43.84,43.99,1,1,1538573539671
0,12,12,43.84,43.99,1,1,1538573540993
0,12,19,43.84,43.99,1,1,1538573540993
0,12,2,43.84,43.99,1,1,1538573540994
0,12,19,43.84,43.98,1,1,1538573544080
0,12,19,43.84,43.98,1,2,1538573544111
0,12,12,43.84,43.98,1,1,1538573552064
0,11,19,43.84,43.98,1,1,1538573552064
0,11,2,43.84,43.99,1,1,1538573552065
0,9,2,43.85,43.99,3,1,1538573552969
0,19,2,43.85,43.99,1,1,1538573553011
0,19,11,43.85,43.99,1,1,1538573553022
0,12,11,43.94,43.99,1,1,1538573553742
0,19,10,43.96,43.99,1,1,1538573553742
0,19,11,43.96,43.99,1,1,1538573553742
0,19,12,43.96,43.99,1,1,1538573553742
0,19,11,43.96,44.03,1,1,1538573553742
0,12,11,43.94,44.03,1,1,1538573553743
0,19,11,43.88,44.03,1,1,1538573553745
0,19,11,43.89,44.03,3,1,1538573553745
0,9,11,43.86,44.03,3,1,1538573553747
0,11,11,43.87,44.03,1,1,1538573553748
0,11,11,43.88,44.03,1,1,1538573553774
0,11,11,43.89,44.03,1,1,1538573557084
0,11,19,43.89,44.03,1,1,1538573560202
0,9,19,43.9,44.03,3,1,1538573593866
0,9,10,43.9,44.05,3,4,1538573593879
0,19,10,43.99,44.05,1,4,1538573593880
0,19,10,43.99,44.05,1,2,1538573593880
0,19,19,43.99,44.08,1,1,1538573593880
0,19,10,43.99,44.05,1,1,1538573593880
0,19,19,43.96,44.08,1,1,1538573593881
0,8,19,43.92,44.08,1,1,1538573593881
0,11,19,43.93,44.08,1,1,1538573593894
0,10,19,43.9,44.08,2,1,1538573595059
0,18,19,43.93,44.08,1,1,1538573595059
0,12,19,43.91,44.08,1,1,1538573595060
0,12,19,43.92,44.08,1,1,1538573595155
0,10,19,43.9,44.08,2,1,1538573596055
0,18,19,43.92,44.08,1,1,1538573596055
0,19,19,43.91,44.08,1,1,1538573596056
0,19,19,43.91,44.08,1,2,1538573596125
0,18,19,43.91,44.08,1,1,1538573596126
0,18,12,43.91,44.08,1,1,1538573596126
0,19,19,43.92,44.08,1,1,1538573596235
0,19,19,43.92,44.08,1,2,1538573596266
0,19,12,43.92,44.08,1,2,1538573596267
0,19,19,43.92,44.08,1,1,1538573596268
0,2,12,43.92,44.08,1,1,1538573600321
0,19,12,43.93,44.08,1,1,1538573600322
0,19,12,43.93,44.08,1,2,1538573600353
0,19,19,43.93,44.08,1,1,1538573600525
0,9,19,43.94,44.08,3,1,1538573617322
0,19,19,43.93,44.08,1,1,1538573617363
0,9,19,43.94,44.08,3,1,1538573624901
0,19,19,43.93,44.08,1,1,1538573624938
0,17,19,43.96,44.08,1,1,1538573625042
0,19,19,43.93,44.08,1,1,1538573625183
0,17,19,43.96,44.09,1,1,1538573625480
0,2,19,43.93,44.09,1,1,1538573625480
0,17,10,43.96,44.11,1,4,1538573625481
0,9,10,43.94,44.11,3,4,1538573625497
0,2,10,43.93,44.11,2,4,1538573625508
0,19,10,44.03,44.11,1,4,1538573625557
0,19,10,43.95,44.11,1,4,1538573625559
0,19,10,43.95,44.11,2,4,1538573625559
0,11,10,43.96,44.11,1,4,1538573625577
0,2,10,43.96,44.11,2,4,1538573625865
0,2,9,43.96,44.1,2,3,1538573637693
0,2,10,43.96,44.11,2,4,1538573637716
0,2,19,43.96,44.1,2,1,1538573644504
0,2,12,43.96,44.1,2,2,1538573644505
0,2,12,43.96,44.1,3,2,1538573644505
0,11,12,43.99,44.1,1,2,1538573671005
0,11,18,43.99,44.1,1,2,1538573671008
0,11,9,43.99,44.09,1,3,1538573679560
0,11,18,43.99,44.1,1,2,1538573679597
0,10,18,43.99,44.1,2,2,1538573679774
0,10,19,43.99,44.1,2,1,1538573692362
0,10,8,43.99,44.1,2,1,1538573700162
0,9,8,44,44.1,3,1,1538573749058
0,11,8,43.99,44.1,3,1,1538573749058
0,11,8,43.99,44.1,3,1,1538573749100
0,9,8,44,44.1,3,1,1538573749782
0,11,8,43.99,44.1,3,1,1538573749806
0,11,12,43.99,44.1,3,2,1538573752945
0,11,8,43.99,44.1,3,1,1538573754260
0,11,9,43.99,44.09,3,3,1538573760725
0,11,8,43.99,44.1,3,1,1538573760749
0,11,19,43.99,44.1,3,3,1538573772457
0,11,10,43.99,44.09,3,1,1538573777733
0,11,19,43.99,44.1,3,3,1538573778440
0,11,10,43.99,44.09,3,1,1538573779964
0,11,19,43.99,44.1,3,3,1538573779966
0,12,19,43.99,44.1,1,3,1538573779966
0,11,19,43.99,44.1,1,3,1538573779966
0,11,12,43.99,44.02,1,1,1538573779966
0,11,12,43.99,44.05,1,1,1538573779967
0,11,12,43.99,44.07,1,1,1538573779967
0,11,12,43.99,44.07,2,1,1538573779967
0,12,12,44.02,44.07,1,1,1538573779967
0,12,10,44.02,44.06,1,1,1538573779998
0,12,12,44.02,44.07,1,2,1538573779998
0,11,12,43.99,44.05,2,1,1538573779998
0,11,10,43.99,44.06,2,1,1538573779998
0,11,10,43.99,44.06,2,1,1538573780028
0,11,19,43.99,44.09,2,1,1538573783977
0,11,19,44,44.09,1,1,1538573785323
0,11,19,44,44.09,2,1,1538573785325
0,11,19,44,44.1,2,2,1538573786581
0,11,19,44,44.1,4,2,1538573787001
0,11,12,44,44.09,4,1,1538573787874
0,11,12,44,44.09,4,2,1538573791741
0,11,8,44,44.08,4,1,1538573794579
0,11,12,44,44.08,4,2,1538573798441
0,11,12,44,44.08,2,2,1538573827041
0,11,19,44,44.07,2,1,1538573851554
0,12,19,44,44.07,2,1,1538573868204
0,12,12,44,44.09,2,2,1538573872894
0,12,8,44,44.08,2,1,1538573873472
0,11,8,44,44.08,2,1,1538573873472
0,11,12,44,44.08,2,2,1538573874538
0,11,10,44,44.08,2,3,1538573877262
0,11,12,44,44.08,2,3,1538573948876
0,12,12,44,44.08,2,3,1538573960302
0,12,11,44,44.07,2,1,1538574003433
0,11,11,44,44.07,2,1,1538574003434
0,11,19,44,44.07,3,1,1538574010844
0,11,10,44,44.07,3,2,1538574011350
0,11,19,44,44.07,3,1,1538574011610
0,11,10,44,44.07,3,2,1538574011821
0,19,10,44.05,44.07,1,2,1538574018660
0,19,3,44.05,44.07,1,1,1538574018660
0,19,12,44.05,44.08,1,1,1538574018661
0,19,12,44.04,44.08,1,1,1538574018662
0,19,19,44.04,44.1,1,1,1538574018662
0,8,19,44.01,44.1,1,1,1538574018662
0,12,19,44.02,44.1,1,1,1538574018662
0,12,19,44.04,44.1,1,1,1538574018663
0,12,10,44.04,44.11,1,4,1538574018663
0,12,19,44.04,44.15,1,3,1538574018666
0,12,18,44.04,44.13,1,1,1538574018666
0,12,19,44.04,44.15,1,3,1538574018666
0,12,10,44.04,44.15,1,1,1538574018667
0,12,10,44.02,44.15,1,1,1538574018667
0,9,10,44.03,44.13,3,1,1538574018667
0,12,12,44.02,44.15,1,2,1538574018667
0,12,10,44.02,44.13,1,1,1538574018667
0,9,10,44.03,44.14,3,2,1538574018668
0,9,12,44.03,44.15,3,1,1538574018668
0,9,10,44.03,44.14,3,1,1538574018668
0,9,10,44.03,44.14,3,1,1538574018675
0,9,10,44.03,44.12,3,1,1538574018678
0,9,10,44.03,44.13,3,1,1538574018681
0,9,10,44.03,44.12,3,1,1538574018682
0,9,10,44.03,44.13,3,1,1538574018684
0,9,10,44.03,44.14,3,1,1538574018685
0,9,10,44.03,44.12,3,1,1538574018690
0,10,10,44.03,44.12,2,1,1538574018691
0,10,10,44.03,44.13,2,1,1538574018692
0,10,10,44.03,44.14,2,1,1538574018694
0,10,10,44.03,44.14,3,2,1538574018758
0,10,10,44.03,44.14,3,1,1538574018758
0,10,10,44.03,44.14,2,2,1538574018923
0,8,18,44.03,44.14,2,1,1538574025620
0,8,10,44.03,44.14,2,1,1538574025621
0,9,10,44.04,44.14,3,1,1538574040922
0,8,10,44.03,44.14,2,1,1538574040944
0,8,10,44.03,44.14,2,2,1538574046736
0,8,12,44.03,44.13,2,1,1538574046736
0,8,10,44.03,44.13,2,1,1538574046739
0,8,12,44.03,44.13,2,1,1538574046752
0,8,10,44.03,44.13,2,2,1538574047837
0,8,10,44.03,44.12,2,1,1538574058984
0,8,19,44.03,44.11,2,1,1538574064273
0,8,19,44.03,44.1,2,1,1538574064273
0,8,10,44.03,44.1,2,1,1538574069041
0,8,19,44.03,44.1,2,1,1538574070904
0,8,19,44.03,44.09,2,1,1538574079597
0,8,10,44.03,44.09,2,2,1538574079599
0,8,19,44.03,44.09,2,1,1538574090825
0,8,10,44.03,44.09,2,2,1538574090861
0,8,10,44.03,44.09,2,3,1538574090863
0,8,2,44.03,44.09,2,2,1538574091067
0,8,10,44.03,44.09,2,3,1538574091073
0,8,2,44.03,44.09,2,2,1538574091076
0,10,2,44.03,44.09,1,2,1538574092300
0,11,2,44.02,44.09,1,2,1538574092301
0,11,10,44.02,44.09,1,2,1538574092302
0,12,10,44.02,44.09,1,2,1538574092587
0,12,18,44.02,44.09,1,2,1538574095855
0,19,18,44.06,44.09,1,2,1538574112064
0,19,2,44.05,44.09,1,2,1538574112064
0,19,2,44.06,44.09,1,2,1538574112064
0,8,8,44.03,44.08,1,1,1538574112064
0,8,2,44.03,44.09,1,2,1538574112064
0,8,12,44.03,44.08,1,3,1538574112064
0,8,12,44.03,44.08,1,2,1538574112064
0,12,12,44.02,44.08,1,3,1538574112074
0,8,12,44.02,44.08,1,2,1538574112075
0,12,12,44.02,44.08,1,2,1538574112214
0,8,12,44.02,44.08,1,1,1538574112264
0,8,10,44.02,44.08,1,2,1538574113833
0,12,10,44.02,44.08,1,2,1538574115856
0,12,8,44.02,44.05,1,1,1538574115856
0,12,8,44.02,44.07,1,1,1538574115856
0,12,19,44.02,44.06,1,1,1538574115866
0,12,12,44.02,44.07,1,2,1538574115867
0,12,19,44.02,44.05,1,1,1538574115868
0,12,19,44.02,44.05,1,2,1538574115898
0,12,12,44.02,44.05,1,2,1538574115899
0,12,12,44,44.05,2,2,1538574115899
0,12,12,44,44.05,1,2,1538574115899
0,19,12,44,44.05,1,2,1538574115899
0,12,12,44,44.02,1,1,1538574115899
0,19,12,44,44.02,1,1,1538574115899
0,12,15,44,44.01,1,1,1538574115900
0,12,12,44,44.02,1,1,1538574115901
0,12,8,44,44.01,1,1,1538574116388
0,11,8,43.99,44.01,2,1,1538574116388
0,11,19,43.99,44.01,2,1,1538574116388
0,11,12,43.99,44.01,2,2,1538574116388
0,11,8,43.99,44.01,2,1,1538574116388
0,11,12,43.99,44.01,2,5,1538574116388
0,11,12,43.99,44.01,2,3,1538574116388
0,11,3,43.99,44,2,1,1538574116388
0,11,3,43.99,44,1,1,1538574116388
0,11,15,43.99,44,1,1,1538574116390
0,11,12,43.99,44,1,1,1538574116390
0,11,12,43.99,44,1,1,1538574116391
0,11,12,43.99,44,1,2,1538574116421
0,19,12,43.93,44,1,2,1538574116422
0,19,12,43.93,43.99,1,2,1538574116422
0,19,12,43.88,43.99,1,2,1538574116422
0,2,12,43.88,43.99,1,2,1538574116422
0,19,10,43.93,43.99,1,1,1538574116422
0,9,12,43.89,43.99,3,2,1538574116423
0,19,12,43.88,43.99,1,2,1538574116456
0,10,12,43.88,43.99,2,2,1538574116538
0,10,12,43.88,43.99,3,2,1538574116779
0,10,12,43.88,43.99,2,2,1538574117389
0,10,10,43.88,43.99,2,2,1538574117635
0,10,12,43.88,43.99,3,2,1538574117779
0,11,12,43.89,43.99,2,2,1538574118866
0,11,19,43.89,43.98,2,1,1538574119304
0,11,12,43.89,43.98,2,2,1538574119330
0,11,12,43.89,43.98,1,2,1538574130927
0,11,9,43.89,43.97,1,3,1538574130928
0,12,9,43.89,43.97,1,3,1538574130928
0,12,12,43.89,43.98,1,2,1538574130951
0,12,2,43.89,43.97,1,1,1538574130952
0,12,10,43.89,43.97,1,1,1538574130952
0,12,2,43.89,43.97,1,1,1538574130953
0,12,12,43.89,43.98,1,2,1538574130953
0,12,19,43.89,43.97,1,1,1538574132358
0,11,12,43.89,43.97,1,2,1538574132359
0,11,19,43.89,43.97,1,1,1538574132359
0,12,12,43.89,43.97,1,2,1538574132359
0,12,10,43.89,43.97,1,3,1538574154859
0,19,18,43.89,43.97,1,2,1538574156148
0,12,12,43.89,43.97,1,2,1538574156148
0,19,2,43.89,43.97,1,2,1538574156149
