c,bE,aE,bP,aP,bS,aS,t
0,11,12,11.87,199999.99,2,1,1539865139331
0,11,12,11.87,199999.99,2,2,1539865800012
0,11,11,17.88,53.64,1,1,1539866986514
0,11,12,17.88,199999.99,1,2,1539866986514
0,11,11,17.88,53.64,2,2,1539866996003
0,11,11,17.88,53.64,2,1,1539866996003
0,11,12,17.88,39.45,2,1,1539868257198
0,12,12,32.04,39.45,1,1,1539868257817
0,12,12,32.04,39.45,2,1,1539869371407
0,12,12,32.04,39.45,2,2,1539869371407
0,12,12,35,37.66,60,3,1539869400134
0,12,12,35,37.66,60,3,1539869400134
0,12,12,35,37.66,60,4,1539869401461
0,11,12,36.08,37.66,3,4,1539869403327
0,12,12,36.25,37.66,15,4,1539869498950
0,11,12,36.62,37.66,5,4,1539869520681
0,12,12,37,37.66,2,4,1539869520749
0,12,12,37.37,37.66,1,4,1539869522701
0,12,12,37,37.66,2,4,1539869522702
0,12,12,37,37.37,2,1,1539869522703
0,12,19,37,37.37,2,1,1539869523414
0,12,12,37,37.66,2,3,1539869523469
0,12,19,37,37.51,2,1,1539869523469
0,12,12,37,37.66,2,4,1539869523511
0,12,12,37,37.66,3,4,1539869527072
0,11,12,37.25,37.66,15,4,1539869602813
0,11,12,37.25,37.66,7,4,1539869602814
0,12,12,37,37.66,3,4,1539869602814
0,12,12,37,37.66,4,4,1539869603014
0,12,12,37,37.66,3,4,1539869604014
0,19,12,37,37.66,1,4,1539869731517
0,12,12,37,37.66,2,4,1539869731517
0,12,12,37,37.66,1,4,1539869731517
0,19,12,37,37.33,1,1,1539869731517
0,19,12,37,37.01,1,1,1539869731517
0,12,12,36.95,37.33,2,1,1539869731517
0,12,19,36.95,37,2,1,1539869731518
0,12,19,36.95,37,1,1,1539869731518
0,11,12,36.74,36.95,1,1,1539869731518
0,11,19,36.74,37,1,1,1539869731518
0,12,12,36.32,36.95,1,1,1539869731520
0,12,17,36.32,37.25,1,1,1539869731521
0,19,17,36.3,37.25,1,1,1539869731530
0,19,17,36.3,37.52,1,1,1539869731530
0,19,12,36.3,37.66,1,4,1539869731530
0,19,11,36.3,37.21,1,1,1539869731770
0,12,11,36.3,37.21,1,1,1539869732352
0,12,19,36.3,37.34,1,1,1539869732485
0,12,12,36.3,37.66,1,4,1539869732485
0,19,12,36.3,37.66,1,5,1539869732508
0,19,12,36.3,37.18,1,1,1539869739994
0,12,12,36.3,37.18,1,1,1539869740006
0,19,12,36.3,37.18,1,2,1539869740597
0,19,12,36.3,37.17,1,1,1539869747031
0,19,12,36.3,37.17,1,2,1539869747381
0,11,12,36.54,37.17,1,2,1539869767001
0,11,12,36.54,37.01,1,1,1539869773213
0,11,12,36.54,37.01,1,2,1539869774026
0,19,12,36.54,37.01,1,2,1539869774940
0,11,19,36.54,37,1,1,1539869774942
0,19,19,36.54,37,1,1,1539869774942
0,11,11,36.54,37,1,1,1539869777023
0,12,19,36.54,37,1,1,1539869788019
0,12,12,36.54,37,1,2,1539869853768
0,19,12,36.52,37,1,2,1539869856957
0,12,12,36.54,37,1,2,1539869856957
0,11,12,36.29,37,1,2,1539869856958
0,19,12,36.52,37,1,2,1539869856958
0,11,12,36.08,37,3,2,1539869856959
0,11,12,36.08,37,3,3,1539869857982
0,11,12,36.08,36.99,3,1,1539869868098
0,11,12,36.08,36.99,3,2,1539869868099
0,11,12,36.08,36.98,3,1,1539869869832
0,11,12,36.08,36.97,3,1,1539869869860
0,11,12,36.08,36.97,3,2,1539869875868
0,11,12,36.08,36.96,3,1,1539869880917
0,11,12,36.08,36.95,3,1,1539869883285
0,11,12,36.08,36.94,3,1,1539869883286
0,11,19,36.08,36.93,3,1,1539869892537
0,11,11,36.08,36.93,3,2,1539869994800
0,11,11,36.08,36.93,3,3,1539870009073
0,11,11,36.08,36.93,3,4,1539870013908
0,7,11,36.1,36.93,1,4,1539870099917
0,7,11,36.1,36.93,1,3,1539870152884
0,18,11,36.1,36.93,1,3,1539870207855
0,12,11,36.1,36.93,1,3,1539870209929
0,19,11,36.11,36.93,1,3,1539870256647
0,19,11,36.11,36.93,1,2,1539870276606
0,19,8,36.11,36.9,1,3,1539870341789
0,19,8,36.11,36.9,1,2,1539870341789
0,3,8,36.11,36.9,1,3,1539870343316
0,3,12,36.11,36.89,1,1,1539870343319
0,3,12,36.11,36.89,1,2,1539870343319
0,3,12,36.11,36.88,1,1,1539870343339
0,3,12,36.11,36.88,1,2,1539870343340
0,3,12,36.11,36.88,1,3,1539870344091
0,12,12,36.12,36.88,1,3,1539870348411
0,19,12,36.13,36.88,1,3,1539870348412
0,12,12,36.13,36.88,2,3,1539870348414
0,12,12,36.13,36.87,2,1,1539870351619
0,12,12,36.13,36.87,2,2,1539870351620
0,12,12,36.13,36.86,2,1,1539870351620
0,12,12,36.13,36.86,2,2,1539870351621
0,19,12,36.14,36.86,1,2,1539870351624
