c,bE,aE,bP,aP,bS,aS,t
0,11,11,32,40.26,25,9,1538467200058
0,11,11,32,40.26,25,11,1538467200059
0,11,11,32,40.26,25,13,1538467200059
0,11,11,32,40.26,26,13,1538467200060
0,11,11,32.5,40.26,4,13,1538467200060
0,11,11,32.5,40.26,4,17,1538467200060
0,11,11,32.5,40.26,4,14,1538467200060
0,11,11,32.5,40.26,4,18,1538467200060
0,11,11,32.5,40.26,4,23,1538467200060
0,11,11,32.5,40.26,4,19,1538467200060
0,11,11,32.5,40.26,4,25,1538467200060
0,11,11,32.5,40.26,4,41,1538467200060
0,11,11,32.5,40.26,4,38,1538467200060
0,11,11,33.55,40.26,5,41,1538467200061
0,11,11,34.76,40.26,2,41,1538467200061
0,11,11,34.76,40.26,2,42,1538467200061
0,11,11,34.76,40.26,2,43,1538467200061
0,11,11,34.76,40.26,2,44,1538467200061
0,11,11,34.76,40.26,2,45,1538467200061
0,11,11,34.76,40.26,2,54,1538467200062
0,11,11,34.76,40.26,2,50,1538467200062
0,11,11,34.76,40.26,2,55,1538467200062
0,11,11,34.76,40.26,2,56,1538467200063
0,11,11,34.76,40.26,2,58,1538467200063
0,11,11,34.76,40.26,2,59,1538467200063
0,11,11,34.76,40.26,3,60,1538467200063
0,11,11,34.76,40.26,3,59,1538467200063
0,11,11,34.76,40.26,3,61,1538467200063
0,11,11,34.76,40.26,3,66,1538467200063
0,11,11,34.76,40.26,3,67,1538467200063
0,11,11,34.76,40.26,3,69,1538467200063
0,11,11,34.76,40.26,3,68,1538467200063
0,11,11,34.76,40.26,3,70,1538467200064
0,11,11,37.36,40.26,4,70,1538467200064
0,11,11,34.76,40.26,3,70,1538467200064
0,11,11,34.76,39.39,3,4,1538467201261
0,11,11,34.76,39.39,3,2,1538467201261
0,12,11,39.03,39.39,4,4,1538467201455
0,11,11,34.76,39.39,3,4,1538467210200
0,11,12,34.76,37,3,1,1538467210215
0,11,12,34.76,36.5,3,1,1538467210215
0,11,12,34.76,36.5,3,2,1538467210216
0,11,12,34.76,36.27,3,1,1538467210218
0,12,12,35,36.27,1,1,1538467268198
0,12,12,35,36.27,17,1,1538467850396
0,12,12,35.45,36.27,3,1,1538468403534
0,12,12,35.45,36.5,3,2,1538468879173
0,12,12,35.45,36.88,3,6,1538469560368
0,12,12,35.45,36.5,3,1,1538469560368
0,12,11,35.45,36.5,3,1,1538469584970
0,12,12,35.45,36.88,3,6,1538469659694
0,12,11,35.45,36.6,3,2,1538470089214
0,12,12,35.45,36.5,3,1,1538470159715
0,12,12,35.45,36.38,3,3,1538470322543
0,12,12,35.45,36.75,3,2,1538470511056
0,12,12,35.45,36.28,3,3,1538470511057
0,12,12,35,36.28,1,3,1538470788263
0,12,12,35,36.28,17,3,1538470855204
0,12,12,35,36.75,17,2,1538471199979
0,12,12,35,36.75,17,3,1538471365066
0,12,12,35,36.75,17,4,1538471394519
0,12,12,36,36.75,1,4,1538471559125
0,12,12,35,36.75,17,4,1538471563446
0,12,12,35,36,17,9,1538471563446
0,12,12,35,36.75,17,4,1538471566225
0,12,11,35,36.5,17,1,1538471576928
0,12,12,35,36.5,17,2,1538471599880
0,12,11,35,36,17,1,1538471665358
0,12,12,35,36,17,2,1538471719650
0,12,12,35.45,36,1,2,1538472329522
0,12,12,35.45,36,1,1,1538472389947
0,12,12,35,36,17,1,1538472389948
0,11,12,35.5,36,10,1,1538472855579
0,12,12,35,36,17,1,1538472855586
0,12,12,35.4,36,1,1,1538472895502
0,12,12,35,36,17,1,1538472915185
