c,bE,aE,bP,aP,bS,aS,t
0,11,11,22.4,27.9,6,2,1538640000020
0,12,8,27.08,27.8,1,6,1538650800199
0,12,8,27.2,27.8,2,6,1538659448715
0,12,8,27.21,27.8,1,6,1538659599336
0,11,8,27.22,27.8,4,6,1538659616001
0,19,8,27.22,27.8,4,6,1538659616007
0,8,8,27.22,27.8,4,6,1538659619809
0,11,8,27.23,27.8,4,6,1538659674506
0,12,8,27.24,27.8,4,6,1538659674508
0,11,8,27.25,27.8,4,6,1538659674508
0,12,8,27.26,27.8,4,6,1538659674510
0,11,8,27.27,27.8,4,6,1538659674510
0,12,8,27.28,27.8,4,6,1538659674511
0,12,8,27.23,27.8,4,6,1538659674519
0,12,8,27.21,27.8,1,6,1538659674519
0,12,8,27.29,27.8,4,6,1538659674519
0,8,8,27.3,27.8,4,6,1538659674854
0,11,8,27.31,27.8,4,6,1538659674855
0,8,8,27.32,27.8,4,6,1538659679855
0,19,8,27.33,27.8,4,6,1538659679856
0,8,8,27.34,27.8,4,6,1538659679856
0,11,8,27.35,27.8,4,6,1538659679857
0,11,8,27.37,27.8,4,6,1538659679859
0,8,8,27.36,27.8,4,6,1538659679859
0,19,8,27.37,27.8,4,6,1538659701391
0,12,8,27.37,27.8,4,6,1538659701395
0,11,8,27.35,27.8,4,6,1538659701395
0,8,8,27.35,27.8,4,6,1538659701946
0,11,8,27.35,27.8,4,6,1538659701949
0,19,8,27.36,27.8,4,6,1538659719128
0,8,8,27.37,27.8,4,6,1538659719130
0,11,8,27.34,27.8,4,6,1538659746956
0,12,8,27.37,27.8,4,6,1538659746956
0,19,8,27.35,27.8,4,6,1538659746957
0,11,8,27.36,27.8,4,6,1538659757223
0,8,8,27.36,27.8,4,6,1538659782272
0,11,8,27.36,27.8,5,6,1538659785031
0,11,8,27.36,27.8,5,6,1538659795802
0,8,8,27.36,27.8,4,6,1538659795802
0,11,8,27.36,27.8,5,10,1538659795806
0,8,8,27.36,27.8,4,10,1538659800099
0,8,11,27.36,27.64,4,2,1538659801552
0,8,11,27.36,27.64,4,3,1538659801552
0,8,19,27.36,27.63,4,1,1538659801553
0,19,11,27.37,27.63,4,1,1538659802338
0,19,11,27.37,27.62,4,2,1538659805074
0,19,11,27.37,27.62,4,3,1538659805074
0,19,19,27.37,27.62,4,3,1538659805759
0,19,19,27.37,27.61,4,1,1538659805809
0,11,19,27.38,27.61,4,1,1538659809456
0,19,11,27.39,27.61,4,1,1538659809460
0,11,11,27.38,27.61,4,1,1538659809460
0,19,19,27.39,27.61,4,1,1538659809461
0,12,19,27.4,27.61,1,1,1538659811479
0,12,11,27.4,27.61,1,1,1538659811480
0,12,11,27.4,27.61,2,1,1538659830001
0,12,18,27.4,27.61,2,3,1538659831633
0,12,7,27.4,27.61,2,3,1538659859219
0,12,11,27.4,27.61,2,1,1538659859220
0,12,19,27.4,27.61,2,1,1538659869417
0,12,11,27.4,27.61,2,1,1538659869418
