c,bE,aE,bP,aP,bS,aS,t
0,12,11,27.27,31.99,3,1,1539936000032
0,12,11,27.27,31.8,3,1,1539936000033
0,12,11,27.27,30.57,3,1,1539936000033
0,12,11,27.27,31.17,3,1,1539936000033
0,12,11,27.27,29.35,3,26,1539936000033
0,12,11,27.27,29.65,3,4,1539936000033
0,11,11,28.15,28.6,4,10,1539936000034
0,11,11,28.15,29.35,4,26,1539936000034
0,11,12,28.15,28.5,4,1,1539937178690
0,11,11,28.15,28.6,4,10,1539938021484
0,11,12,28.15,28.58,4,1,1539938060576
0,11,11,28.15,28.6,4,10,1539938091527
0,11,12,28.15,28.55,4,1,1539943179246
0,11,11,28.15,28.5,4,1,1539944543978
0,11,12,28.15,28.25,4,1,1539946196720
0,11,11,28.15,28.5,4,1,1539946593158
0,11,12,28.15,28.25,4,5,1539946593159
0,11,12,28.15,28.25,4,3,1539946689572
0,11,12,28.16,28.25,1,3,1539946866566
0,8,12,28.16,28.25,26,3,1539946884446
0,11,12,28.16,28.25,1,3,1539946926731
0,8,12,28.17,28.25,26,3,1539946926841
0,11,12,28.16,28.25,1,3,1539946942483
0,11,12,28.16,28.2,1,1,1539946997047
0,11,12,28.16,28.25,1,3,1539947145006
0,11,12,28.16,28.18,1,1,1539947145008
0,11,12,28.16,28.25,1,3,1539947145278
0,11,12,28.16,28.25,2,3,1539947168930
0,11,12,28.16,28.25,1,3,1539947208130
0,11,12,28.19,28.25,1,3,1539947208170
0,11,12,28.15,28.25,4,3,1539947275493
0,11,12,28.15,28.25,3,3,1539948024090
0,11,12,28.15,28.25,3,6,1539948405249
0,11,12,28.15,28.25,3,3,1539948576979
0,11,12,28.15,28.25,3,2,1539948655238
0,11,12,28.15,28.25,3,1,1539948687644
0,11,11,28.25,28.4,1,3,1539948990843
0,11,11,28.15,28.4,3,3,1539948990843
0,12,11,28.3,28.4,1,3,1539949126237
0,12,8,28.3,28.43,1,3,1539949128180
0,19,8,28.25,28.43,1,3,1539949128593
0,11,8,28.26,28.43,1,3,1539949319041
0,19,8,28.25,28.43,1,3,1539949340661
0,11,8,28.26,28.43,5,3,1539949673220
0,11,8,28.26,28.43,5,2,1539949681401
0,7,8,28.3,28.43,1,2,1539949681401
0,7,11,28.3,28.5,1,1,1539949802541
0,18,11,28.3,28.5,1,1,1539949802541
0,18,11,28.33,28.5,1,1,1539949802541
0,11,11,28.26,28.5,5,1,1539949802541
0,18,11,28.3,28.5,1,1,1539949807917
0,12,11,28.4,28.5,1,1,1539949825796
0,11,11,28.3,28.5,1,1,1539950192584
0,11,11,28.3,28.6,1,10,1539950845496
0,11,11,28.5,28.6,1,10,1539950869755
0,11,11,28.5,28.6,1,5,1539950908221
