c,bE,aE,bP,aP,bS,aS,t
0,11,12,58.6,59.18,3,1,1539907200013
0,11,11,55.25,73,1,1000,1539936000029
0,11,11,55.25,72,1,1000,1539936000030
0,11,11,55.25,62.5,1,1,1539936000030
0,11,11,55.25,62.5,2,1,1539936000030
0,11,11,57.14,62.5,1,1,1539936000030
0,11,11,57.14,59.36,1,1,1539936000031
0,11,11,57.2,59.36,1,1,1539936000032
0,11,11,57.25,59.36,2,1,1539936000032
0,11,11,57.25,59.11,2,1,1539936000053
0,11,11,58.56,59.11,1,1,1539936000053
0,11,11,58.56,59.36,1,1,1539936072793
0,12,12,58.56,59.11,1,1,1539936072793
0,11,11,58.56,59.36,1,2,1539936076851
0,12,11,58.56,59.36,1,2,1539936076851
0,11,11,58.55,59.36,1,2,1539936274705
0,12,11,58.56,59.36,1,2,1539936274705
0,11,11,58.56,59.36,1,2,1539936291776
0,12,11,58.55,59.36,1,2,1539936291776
0,11,11,58.55,59.36,1,2,1539936312866
0,12,11,58.56,59.36,1,2,1539936312866
0,11,11,58.56,59.36,1,2,1539936335290
0,12,11,58.55,59.36,1,2,1539936335290
0,11,11,58.55,59.36,1,2,1539936345164
0,12,11,58.56,59.36,1,2,1539936345164
0,11,11,58.56,59.36,1,2,1539936351239
0,12,11,58.55,59.36,1,2,1539936351239
0,11,11,58.57,59.36,1,2,1539936422540
0,12,11,58.56,59.36,1,2,1539936422540
0,12,11,58.57,59.36,1,2,1539936453204
0,11,11,58.56,59.36,1,2,1539936453204
0,11,11,58.57,59.36,1,2,1539936462007
0,12,11,58.56,59.36,1,2,1539936462007
0,12,11,58.57,59.36,1,2,1539936466500
0,11,11,58.56,59.36,1,2,1539936466501
0,11,11,58.57,59.36,1,2,1539936466540
0,12,12,58.57,59.36,1,1,1539936639309
0,11,11,58.57,59.36,1,1,1539936639309
0,11,11,58.57,59.36,1,2,1539936824422
0,12,11,58.57,59.36,1,2,1539936824422
0,12,12,58.57,59.36,1,1,1539936827986
0,11,11,58.57,59.36,1,1,1539936827987
0,12,11,58.57,59.36,1,2,1539936839884
0,11,11,58.57,59.36,1,2,1539936839885
0,12,12,58.57,59.36,1,1,1539936843009
0,11,11,58.57,59.36,1,1,1539936843010
0,12,11,58.57,59.36,1,2,1539936888118
0,11,11,58.57,59.36,1,2,1539936888119
