c,bE,aE,bP,aP,bS,aS,t
0,11,11,90,110,2,1,1539820800010
0,11,11,92.17,110,1,1,1539860340308
0,11,11,91.75,110,1,1,1539862447955
0,11,11,91.75,101.45,1,1,1539865795839
0,11,11,91.1,101.45,1,1,1539868945676
0,11,11,91.1,91.75,1,1,1539868945686
0,11,12,91.1,95,1,1,1539868948118
0,11,12,91.1,95,1,2,1539869405361
0,1,12,91.25,95,1,2,1539869417368
0,1,11,91.25,94.23,1,1,1539869456605
0,11,12,91.26,94.23,1,1,1539869458061
0,11,11,91.26,94.22,1,2,1539869458061
0,11,11,91.26,94.22,1,1,1539869458061
0,12,11,91.26,93.83,1,1,1539869459446
0,19,11,91.26,93.83,1,1,1539869459448
0,11,11,91.26,93.83,1,1,1539869459465
0,12,11,91.26,93.82,1,1,1539869459490
0,12,11,91.26,93.82,1,2,1539869459491
0,11,11,91.26,93.82,1,2,1539869459492
0,19,11,91.26,93.82,1,2,1539869459492
0,12,11,91.26,93.46,1,1,1539869462976
0,19,11,91.26,93.46,1,1,1539869462980
0,11,11,91.26,93.46,1,1,1539869463002
0,12,11,91.26,93.45,1,2,1539869463022
0,12,11,91.26,93.45,1,1,1539869463022
0,19,11,91.26,93.45,1,2,1539869463023
0,11,11,91.26,93.45,1,2,1539869463023
0,12,11,91.26,93.42,1,1,1539869517651
0,19,11,91.26,93.42,1,1,1539869517670
0,11,11,91.26,93.42,1,1,1539869517672
0,12,11,91.26,93.41,1,1,1539869517688
0,12,11,91.26,93.41,1,2,1539869517688
0,19,11,91.26,93.41,1,2,1539869517689
0,11,11,91.26,93.41,1,2,1539869517690
0,12,11,91.26,93.39,1,1,1539869523144
0,19,11,91.26,93.39,1,1,1539869523146
0,11,11,91.26,93.39,1,1,1539869523183
0,12,11,91.26,93.38,1,1,1539869523209
0,12,11,91.26,93.38,1,2,1539869523209
0,19,11,91.26,93.38,1,2,1539869523210
0,11,11,91.26,93.38,1,2,1539869523210
0,12,11,91.26,93.35,1,1,1539869538830
0,11,11,91.26,93.35,1,1,1539869538859
0,19,11,91.26,93.34,1,2,1539869538877
0,19,11,91.26,93.34,1,1,1539869538877
0,11,11,91.26,93.34,1,2,1539869538877
0,10,12,91.26,93.34,5,2,1539869610951
0,10,11,91.26,93.34,5,2,1539869610951
0,12,12,91.26,93.34,1,2,1539869610951
0,10,12,91.26,93.34,2,2,1539869610951
0,12,19,91.26,91.27,1,1,1539869610952
0,10,19,91.26,91.27,1,1,1539869610952
0,1,19,91.25,91.26,1,1,1539869610952
0,1,19,91.25,91.27,1,1,1539869610952
0,1,19,91.25,92.81,1,1,1539869610952
0,1,19,91.25,92.29,1,1,1539869610952
0,12,19,91.27,92.81,1,1,1539869610953
0,12,19,91.27,92.59,1,1,1539869610955
0,1,19,91.25,92.59,1,1,1539869610955
0,11,19,91.26,92.59,1,1,1539869610955
0,1,19,91.25,92.58,1,1,1539869610955
0,1,18,91.25,92.31,1,1,1539869610956
0,1,17,91.25,92.25,1,1,1539869610956
0,11,17,91.1,92.25,1,1,1539869610957
0,10,17,91.25,92.25,1,1,1539869610958
0,19,17,91.51,92.25,1,1,1539869610966
0,12,12,91.54,92.25,1,1,1539869610966
0,12,17,91.54,92.25,1,1,1539869610966
0,12,12,91.54,92.25,2,1,1539869611019
0,12,12,91.54,92.25,1,1,1539869611155
0,19,12,91.51,92.25,1,1,1539869611155
0,19,17,91.51,92.07,1,1,1539869611155
0,19,17,91.51,92.1,1,1,1539869611155
0,12,17,91.55,92.07,1,1,1539869611156
0,12,17,91.54,92.07,1,1,1539869611156
0,12,17,91.62,92.07,2,1,1539869611156
0,12,17,91.62,92.07,1,1,1539869611156
0,12,17,91.54,92.07,1,1,1539869611157
0,12,17,91.62,92.07,1,1,1539869611157
0,12,19,91.54,92,1,1,1539869611158
0,12,18,91.54,92,1,1,1539869611158
0,12,15,91.61,91.85,1,1,1539869611158
0,12,15,91.54,91.85,1,1,1539869611158
0,12,17,91.61,92,1,1,1539869611159
0,12,12,91.61,92,1,2,1539869611160
0,12,19,91.54,91.92,1,1,1539869611161
0,12,12,91.54,92,1,2,1539869611161
0,12,17,91.54,91.9,1,1,1539869611161
0,12,17,91.55,91.9,1,1,1539869611161
0,12,17,91.6,91.9,4,1,1539869611161
0,12,17,91.6,91.9,3,1,1539869611161
0,12,17,91.6,91.9,1,1,1539869611161
0,12,17,91.6,91.9,3,1,1539869611161
0,12,17,91.54,91.85,1,1,1539869611161
0,12,17,91.6,91.85,1,1,1539869611161
0,10,17,91.61,91.85,1,1,1539869611162
0,10,17,91.61,91.85,1,1,1539869611162
0,10,15,91.61,91.75,1,1,1539869611162
0,10,12,91.61,91.85,1,2,1539869611164
0,12,12,91.58,91.85,4,2,1539869611165
0,12,12,91.58,91.85,2,2,1539869611175
0,12,12,91.58,91.85,3,2,1539869611175
0,12,17,91.58,91.78,2,1,1539869611175
0,12,17,91.59,91.78,1,1,1539869611176
0,12,17,91.58,91.78,2,1,1539869611177
0,12,12,91.58,91.78,2,1,1539869611207
0,19,12,91.49,91.78,2,1,1539869611227
0,10,12,91.58,91.78,1,1,1539869611227
0,19,12,91.49,91.74,2,1,1539869611227
0,12,12,91.49,91.74,2,1,1539869611228
0,19,17,91.49,91.74,2,1,1539869611228
0,12,17,91.58,91.74,1,1,1539869611228
0,12,19,91.54,91.7,8,1,1539869611228
0,12,17,91.54,91.74,8,1,1539869611228
0,17,19,91.58,91.7,1,1,1539869611228
0,17,17,91.58,91.7,1,1,1539869611229
0,12,17,91.6,91.79,1,1,1539869611229
0,12,17,91.6,91.7,1,1,1539869611229
0,12,17,91.6,91.74,1,1,1539869611229
0,12,17,91.64,91.79,1,1,1539869611229
0,12,17,91.64,91.85,1,1,1539869611229
0,12,17,91.64,91.92,1,1,1539869611229
0,12,17,91.64,92,1,1,1539869611229
0,17,17,91.64,92,1,1,1539869611230
0,10,17,91.64,92,2,1,1539869611237
0,17,17,91.64,92,1,1,1539869611282
0,10,17,91.64,92,1,1,1539869611282
0,17,17,91.63,92,1,1,1539869611283
0,10,17,91.64,92,1,1,1539869611289
0,17,17,91.63,92,1,1,1539869611293
