c,bE,aE,bP,aP,bS,aS,t
0,8,12,145,167.3,1,5,1539860400033
0,8,12,157.67,167.3,2,5,1539860400033
0,8,8,157.67,194.99,2,1,1539860657055
0,8,8,157.67,168,2,3,1539860796322
0,8,8,157.67,194.99,2,1,1539860813491
0,8,11,157.67,167,2,3,1539860818528
0,8,8,157.67,194.99,2,1,1539861186733
0,8,11,157.67,166,2,3,1539861190722
0,8,8,157.67,194.99,2,1,1539861236375
0,8,11,157.67,167,2,3,1539861237978
0,8,8,157.67,194.99,2,1,1539862496963
0,8,11,157.67,166,2,3,1539862500898
0,8,11,157.67,166,2,2,1539862591430
0,11,11,155.5,166,1,2,1539862687481
0,11,11,155.5,166,1,1,1539863536408
0,11,11,155.5,163,1,1,1539863606683
0,11,11,155.5,162.5,1,3,1539863831569
0,11,11,155.5,162.5,1,4,1539864504000
0,11,11,158,162.5,1,4,1539865279688
0,11,11,159,162.5,1,4,1539866547079
0,11,11,159,162.5,1,5,1539866766626
0,11,11,159,162.5,1,4,1539866965878
0,11,11,158,162.5,1,4,1539867355725
0,11,11,155.5,162.5,1,4,1539867374819
0,11,11,159,162.5,1,4,1539867374917
0,11,11,159.01,162.5,1,4,1539867430742
0,12,11,152.65,159,2,1,1539867475350
0,11,11,153.33,159,5,1,1539867856566
0,12,11,156.19,159,1,1,1539868585885
0,19,11,156.19,159,1,1,1539868585885
0,7,11,156.76,159,1,1,1539868585885
0,18,11,154.47,159,1,1,1539868585885
0,18,11,157.21,159,1,1,1539868585886
0,7,11,157.21,159,1,1,1539868585915
0,17,11,156.76,159,1,1,1539868585915
0,12,11,157,159,1,1,1539868600131
0,11,11,153.33,159,5,1,1539868738107
0,12,11,156.01,159,1,1,1539868918133
0,19,11,156.01,159,1,1,1539868918133
0,17,11,156.19,159,1,1,1539868918133
0,19,11,156.01,159,1,1,1539868918133
0,19,11,156.01,159,1,1,1539868918134
0,7,11,154.47,159,1,1,1539868918134
0,7,11,154.47,159,1,1,1539868918134
0,11,11,155,159,1,1,1539868933730
0,7,11,154.47,159,1,1,1539868942864
0,11,11,153.33,159,5,1,1539868944771
0,19,11,156.19,159,1,1,1539868944771
0,7,11,156.76,159,1,1,1539868944771
0,17,11,154.47,159,1,1,1539868944801
0,2,11,154.47,159,1,1,1539868946666
0,11,11,153.33,159,5,1,1539868946666
0,2,8,154.47,158.99,1,1,1539868965147
0,11,8,153.33,158.99,5,1,1539868965148
0,11,11,153.33,159,5,1,1539868965972
0,11,8,153.33,158.99,5,1,1539868968064
0,11,11,153.33,159,5,1,1539868968603
0,8,11,153.34,159,2,1,1539868969921
0,11,11,154,159,1,1,1539869169791
0,7,11,155,159,1,1,1539869282261
0,11,11,154,159,1,1,1539869291603
0,8,11,153.34,159,2,1,1539869350554
0,12,11,152.83,159,1,1,1539869380315
0,12,11,152.65,159,2,1,1539869380324
0,12,11,152.65,159,2,2,1539869381191
0,11,11,157,159,1,2,1539869387213
0,11,11,157,159,1,1,1539869400092
0,11,11,157,162.18,1,1,1539869403003
0,8,11,159,162.18,5,1,1539869403004
0,18,11,157.4,162.18,1,1,1539869403004
0,8,11,159,162.5,5,3,1539869403016
0,8,7,159,162.18,5,1,1539869403051
0,8,8,159,162.18,5,1,1539869403300
0,8,11,159,162,5,1,1539869403928
0,8,12,159,162,5,1,1539869405025
0,8,12,159,162,3,1,1539869405031
0,8,12,159,162,2,1,1539869405707
0,12,12,159,162,1,1,1539869431348
0,8,12,159.1,162,2,1,1539869431449
0,8,7,159.1,162,2,1,1539869431450
0,8,11,159.1,162.5,2,3,1539869431767
0,8,19,159.1,161.99,2,1,1539869433303
0,8,19,159.1,162.08,2,2,1539869435009
0,8,19,159.1,159.32,2,1,1539869435009
0,12,19,159.1,159.32,1,1,1539869435010
0,11,19,159,159.32,1,1,1539869435010
0,8,19,159.1,159.32,1,1,1539869435010
0,11,12,159,159.11,1,1,1539869435010
0,11,8,159,159.1,1,1,1539869435010
0,11,19,159,159.32,1,1,1539869435012
0,11,12,159,159.1,1,1,1539869435012
0,11,2,159,159.25,1,1,1539869435012
0,11,19,159,159.32,1,1,1539869435017
0,11,11,159,159.31,1,1,1539869436440
0,11,19,159,159.3,1,1,1539869436440
0,19,12,159.3,159.31,1,1,1539869437807
0,11,12,159,159.31,1,1,1539869437807
0,19,8,159.3,161.86,1,2,1539869437808
0,19,19,159.3,159.91,1,1,1539869437808
0,11,8,159,161.86,1,2,1539869437809
0,11,18,159,161.28,1,1,1539869439028
0,11,7,159,161.28,1,1,1539869439065
0,11,17,159,161.28,1,1,1539869439389
0,11,11,159,162.5,1,3,1539869439389
0,11,11,159,161.85,1,1,1539869440008
0,19,11,158.37,161.85,1,1,1539869440015
0,19,11,156.55,161.85,1,1,1539869440016
0,12,11,156.48,161.85,1,1,1539869440027
0,19,11,156.19,161.85,1,1,1539869440027
0,19,12,156.19,161.85,1,2,1539869440599
0,19,11,156.19,158.62,1,2,1539869445010
0,11,11,157.01,158.62,1,2,1539869445010
0,19,11,156.19,158.62,1,1,1539869445010
0,11,11,157.01,158.62,1,3,1539869445011
0,11,11,157.01,158.62,1,2,1539869445023
0,11,11,157.01,158.62,1,1,1539869445023
0,11,11,157.01,161.79,1,1,1539869445024
0,11,11,157.01,161.79,1,2,1539869445026
0,11,11,157.01,161.79,1,1,1539869445034
0,11,11,157.01,160,1,1,1539869463559
0,19,11,156.39,160,1,1,1539869480004
0,19,11,156.19,160,1,1,1539869480005
0,11,11,157.01,160,1,1,1539869480460
0,11,11,158,160,1,1,1539869484036
0,11,11,158,159,1,1,1539869485005
0,11,11,158,160,1,1,1539869485005
0,11,11,158,158.79,1,1,1539869485062
0,11,11,158,158.79,1,2,1539869485062
0,11,11,158,158.79,1,1,1539869486096
0,11,11,158,158.4,1,1,1539869487770
0,11,11,158,158.79,1,1,1539869487770
0,19,11,156.39,158.79,1,1,1539869487771
0,19,17,156.39,158.63,1,1,1539869487771
0,12,17,155.94,158.63,6,1,1539869487771
0,12,17,153.97,158.63,1,1,1539869487771
0,12,17,154.35,158.63,6,1,1539869487771
0,12,17,153.97,158.63,1,1,1539869487772
0,12,17,153.97,158.63,1,2,1539869487772
0,12,11,153.97,158.4,1,1,1539869487781
0,11,11,153.42,158.4,1,1,1539869487790
0,11,11,157,158.54,1,1,1539869490001
0,11,11,153.42,158.54,1,1,1539869490001
0,11,11,157,158.54,1,2,1539869490174
0,12,11,153.65,158.54,1,2,1539869495001
0,11,11,153.42,158.54,1,2,1539869495012
0,11,19,153.42,156.8,1,2,1539869500003
0,11,19,153.42,156.8,1,14,1539869500003
0,11,11,153.42,158.54,1,2,1539869500003
0,11,19,153.42,156.8,1,1,1539869500003
0,11,19,153.42,156.8,1,12,1539869500004
0,11,19,153.42,156.8,1,13,1539869500004
0,11,11,153.42,158.54,1,2,1539869500008
0,11,11,157,158.54,1,2,1539869503057
0,11,11,157,158.54,1,3,1539869514717
0,11,11,157,158.54,1,2,1539869520230
0,11,19,157,158.45,1,1,1539869520230
0,11,11,157,158.4,1,1,1539869548503
0,11,11,157,158.4,1,2,1539869548503
0,11,19,157,158.4,1,1,1539869549338
0,11,18,157,158.12,1,1,1539869551265
0,19,18,156.38,158.12,1,2,1539869551265
0,19,18,156.38,158.12,1,1,1539869551265
0,19,18,156.38,157.89,1,1,1539869551265
0,19,17,156.38,158.05,1,1,1539869551265
0,10,18,156.08,157.71,1,1,1539869551265
0,19,18,156.38,157.71,1,1,1539869551265
