c,bE,aE,bP,aP,bS,aS,t
0,11,11,34.19,38.5,1,1,1538640000015
0,11,11,34.19,36.53,1,1,1538640000042
0,11,11,36.44,36.53,1,1,1538640000042
0,11,12,36.44,36.5,1,15,1538640000060
0,11,12,36.44,36.53,1,15,1538640000173
0,11,12,36.44,36.5,1,15,1538640000173
0,11,12,36.44,36.5,1,14,1538640003048
0,11,12,36.44,36.49,1,7,1538640003050
0,11,12,36.44,36.5,1,7,1538640006364
0,11,12,36.44,36.51,1,7,1538640006364
0,12,12,36.44,36.5,7,7,1538640014157
0,11,12,36.44,36.5,1,14,1538640017669
0,11,12,36.44,36.5,1,7,1538640017669
0,11,12,36.44,36.5,1,14,1538640025977
0,11,12,36.44,36.5,1,7,1538640025977
0,11,12,36.45,36.5,1,14,1538640066107
0,12,12,36.43,36.5,7,14,1538640066107
0,12,12,36.43,36.5,7,14,1538640082337
0,11,12,36.43,36.5,1,14,1538640082339
0,11,12,36.43,36.5,1,21,1538640082339
0,11,12,36.43,36.5,1,14,1538640082394
0,11,12,36.43,36.5,1,21,1538640082395
0,12,12,36.42,36.5,7,21,1538640095688
0,11,12,36.44,36.5,1,21,1538640095688
0,11,12,36.42,36.5,1,21,1538640144442
0,12,12,36.41,36.5,7,21,1538640144442
0,11,12,36.41,36.5,1,21,1538640145111
0,12,12,36.4,36.5,7,21,1538640145111
0,12,12,36.41,36.5,7,21,1538640162774
0,11,12,36.42,36.5,1,21,1538640168923
0,11,12,36.43,36.5,1,21,1538640189489
0,12,12,36.41,36.5,7,21,1538640189489
0,11,11,36.43,36.49,1,3,1538640270201
0,11,12,36.43,36.48,1,15,1538640270203
0,11,12,36.43,36.48,1,7,1538640271349
0,11,12,36.43,36.48,1,15,1538640271785
0,12,12,36.42,36.48,3,15,1538640281403
0,11,12,36.42,36.48,4,15,1538640281403
0,11,11,36.42,36.47,4,3,1538640281406
0,11,12,36.42,36.46,4,7,1538640281408
0,11,12,36.42,36.47,4,10,1538640281420
0,11,11,36.42,36.47,4,3,1538640281420
0,12,12,36.42,36.47,3,10,1538640281612
0,11,12,36.42,36.47,1,10,1538640281612
0,11,12,36.42,36.47,1,18,1538640296123
0,11,12,36.42,36.46,1,7,1538640296313
0,11,12,36.42,36.46,1,7,1538640304420
0,11,12,36.42,36.47,1,10,1538640304420
0,11,12,36.42,36.46,1,15,1538640335046
0,11,12,36.42,36.46,1,7,1538640335293
0,11,12,36.42,36.46,1,15,1538640342098
0,11,12,36.42,36.46,1,14,1538640350362
0,11,12,36.42,36.46,1,7,1538640354737
0,11,12,36.42,36.46,1,15,1538640356446
0,11,11,36.42,36.45,1,3,1538640382640
0,11,11,36.42,36.44,1,3,1538640382641
0,12,11,36.39,36.44,7,3,1538640382643
0,12,12,36.4,36.44,7,3,1538640382643
0,11,12,36.4,36.44,1,3,1538640382643
0,11,11,36.4,36.44,1,3,1538640382644
0,11,12,36.4,36.44,1,3,1538640395229
0,11,12,36.4,36.45,1,7,1538640395230
0,11,12,36.4,36.46,1,15,1538640395232
0,11,12,36.4,36.46,1,15,1538640397112
0,11,12,36.4,36.46,1,7,1538640397112
0,11,12,36.4,36.46,1,15,1538640397112
0,11,12,36.4,36.46,1,18,1538640397112
0,11,12,36.41,36.46,1,15,1538640397289
0,12,12,36.39,36.46,15,15,1538640397289
0,11,11,36.41,36.45,1,3,1538640397329
0,11,12,36.41,36.45,1,10,1538640400038
0,11,12,36.41,36.45,1,10,1538640400105
0,11,11,36.41,36.45,1,3,1538640400105
0,11,12,36.4,36.45,1,10,1538640401207
0,12,12,36.39,36.45,10,10,1538640401207
0,11,12,36.41,36.45,1,10,1538640402499
0,12,12,36.39,36.45,10,10,1538640402499
0,11,12,36.42,36.45,1,10,1538640404692
0,12,12,36.4,36.45,15,10,1538640404692
0,11,11,36.42,36.45,1,3,1538640404693
0,11,12,36.41,36.45,1,3,1538640413163
0,12,12,36.4,36.45,22,3,1538640413163
0,11,11,36.41,36.45,1,3,1538640418560
0,11,12,36.41,36.45,1,10,1538640423222
0,11,11,36.41,36.45,1,3,1538640428424
0,11,12,36.41,36.45,1,10,1538640448415
0,11,11,36.41,36.45,1,3,1538640452298
0,11,12,36.41,36.45,1,10,1538640457031
0,11,11,36.41,36.45,1,3,1538640471002
0,11,12,36.41,36.45,1,10,1538640471286
0,11,11,36.41,36.45,1,3,1538640471434
0,11,12,36.41,36.45,1,10,1538640504121
0,11,12,36.41,36.45,1,10,1538640544923
0,11,11,36.41,36.45,1,3,1538640544923
0,11,12,36.41,36.44,1,7,1538640545401
0,11,11,36.41,36.43,1,3,1538640554046
0,11,12,36.41,36.44,1,10,1538640554046
0,11,12,36.41,36.43,4,3,1538640554047
0,11,12,36.41,36.43,1,3,1538640554047
0,11,12,36.41,36.44,4,7,1538640554047
0,11,12,36.41,36.45,4,7,1538640554048
0,11,12,36.42,36.45,1,7,1538640554049
0,12,12,36.41,36.45,3,7,1538640554049
0,11,12,36.42,36.44,1,7,1538640554049
0,11,12,36.42,36.45,1,7,1538640554051
0,11,12,36.42,36.46,1,7,1538640554051
0,11,12,36.42,36.47,1,7,1538640554059
0,11,12,36.42,36.46,1,7,1538640554059
0,11,11,36.42,36.45,1,3,1538640557091
0,12,12,36.41,36.45,3,3,1538640557097
0,11,12,36.41,36.45,4,3,1538640557097
0,11,11,36.41,36.45,4,3,1538640557102
0,11,12,36.41,36.46,4,7,1538640557102
0,12,12,36.41,36.46,10,7,1538640557489
0,11,12,36.42,36.46,1,7,1538640558181
0,11,12,36.42,36.46,4,7,1538640564107
0,11,12,36.42,36.47,4,10,1538640564109
0,12,12,36.42,36.47,3,10,1538640564109
0,11,12,36.44,36.47,1,10,1538640564110
0,12,12,36.42,36.47,10,10,1538640564651
0,11,12,36.42,36.47,4,10,1538640564653
0,11,11,36.42,36.47,4,3,1538640564653
0,11,12,36.42,36.47,4,4,1538640564653
0,11,12,36.44,36.47,1,3,1538640564658
0,11,11,36.44,36.47,1,3,1538640564660
0,12,12,36.42,36.47,10,3,1538640564724
0,11,11,36.42,36.47,4,3,1538640564725
0,12,12,36.42,36.47,3,3,1538640565680
0,11,12,36.44,36.47,1,3,1538640565680
0,11,11,36.44,36.47,1,3,1538640565682
0,12,12,36.42,36.47,10,3,1538640566471
0,12,12,36.42,36.47,10,10,1538640566472
0,11,12,36.42,36.47,4,10,1538640566472
0,11,12,36.42,36.47,4,10,1538640570731
0,11,11,36.42,36.47,4,3,1538640570731
0,11,12,36.42,36.47,4,18,1538640570732
0,11,12,36.42,36.47,4,11,1538640570732
0,11,12,36.42,36.47,4,10,1538640570832
0,11,12,36.42,36.47,4,17,1538640570832
0,12,12,36.42,36.47,10,10,1538640600321
0,11,12,36.43,36.47,1,10,1538640602279
0,11,12,36.42,36.47,4,10,1538640614942
0,12,12,36.42,36.47,3,10,1538640614942
0,12,12,36.42,36.47,3,10,1538640619755
0,11,12,36.43,36.47,1,10,1538640619756
0,12,12,36.42,36.47,3,10,1538640619756
0,12,12,36.42,36.47,4,10,1538640619757
0,11,12,36.42,36.47,4,10,1538640619759
0,11,12,36.42,36.47,3,10,1538640619759
0,12,12,36.42,36.47,3,10,1538640619816
0,11,12,36.43,36.47,1,10,1538640619816
0,11,12,36.43,36.47,4,10,1538640620212
0,11,12,36.44,36.47,3,10,1538640620213
0,11,11,36.44,36.47,3,3,1538640620215
0,12,12,36.44,36.47,3,3,1538640620217
0,11,12,36.44,36.49,3,7,1538640620217
0,12,12,36.44,36.49,3,7,1538640620221
0,11,12,36.43,36.49,1,7,1538640620221
0,11,12,36.43,36.49,1,14,1538640620265
0,12,12,36.42,36.49,15,14,1538640620273
0,12,12,36.42,36.49,7,14,1538640620315
0,12,12,36.42,36.49,8,14,1538640620315
0,12,12,36.42,36.49,10,14,1538640620722
0,11,12,36.43,36.49,1,14,1538640620782
0,11,12,36.43,36.49,1,10,1538640626914
0,11,12,36.43,36.49,1,7,1538640626914
0,11,12,36.43,36.48,1,7,1538640626914
0,11,11,36.43,36.49,1,3,1538640626916
0,11,12,36.43,36.49,1,10,1538640626916
0,11,12,36.43,36.48,1,7,1538640640310
0,11,12,36.43,36.48,1,7,1538640648665
0,11,12,36.43,36.49,1,10,1538640648665
0,11,12,36.44,36.48,1,7,1538640728009
0,12,12,36.42,36.48,15,7,1538640728009
0,11,12,36.44,36.48,1,15,1538640737042
0,11,12,36.44,36.48,1,7,1538640737043
0,11,12,36.44,36.48,1,15,1538640746071
0,11,12,36.44,36.48,1,7,1538640746170
0,11,12,36.45,36.48,1,7,1538640750128
0,12,12,36.42,36.48,25,7,1538640750128
0,11,12,36.45,36.48,1,15,1538640801078
0,11,12,36.45,36.48,1,7,1538640819625
0,11,12,36.45,36.48,1,15,1538640829438
0,11,12,36.45,36.48,1,7,1538640829486
0,11,12,36.45,36.48,1,10,1538640836109
0,11,12,36.45,36.47,1,7,1538640836124
0,11,12,36.44,36.47,1,7,1538640836169
0,12,12,36.43,36.47,10,7,1538640836169
0,11,12,36.44,36.48,1,10,1538640839209
0,11,11,36.44,36.48,1,3,1538640839209
0,11,12,36.44,36.47,1,7,1538640840429
0,11,12,36.44,36.47,1,7,1538640856606
0,11,12,36.44,36.48,1,10,1538640856606
0,11,12,36.44,36.47,4,7,1538640888762
0,12,12,36.44,36.47,3,7,1538640888764
0,11,12,36.45,36.47,1,7,1538640888764
0,11,12,36.45,36.48,1,10,1538640888765
0,11,11,36.45,36.48,1,3,1538640888766
0,11,12,36.45,36.48,1,3,1538640888769
0,11,12,36.45,36.5,1,7,1538640888769
0,11,12,36.45,36.5,1,14,1538640888796
0,11,12,36.45,36.49,1,7,1538640888802
0,11,12,36.45,36.5,1,7,1538640888802
0,11,12,36.45,36.5,1,7,1538640888804
