c,bE,aE,bP,aP,bS,aS,t
0,11,11,60.5,62.59,2,7,1539907200010
0,8,8,59.8,63,10,15,1539946800223
0,11,8,60.5,63,2,15,1539946804917
0,11,8,61,63,2,15,1539949147517
0,11,8,61.5,63,2,15,1539949241907
0,11,8,61.5,63,4,15,1539949491747
0,11,8,62,63,1,15,1539950219663
0,11,8,61.5,63,4,15,1539950220456
0,11,11,61.5,62.25,4,3,1539954154212
0,11,12,61.5,62.49,4,1,1539954612515
0,11,12,61.55,62.49,1,1,1539954649010
0,11,12,61.5,62.49,4,1,1539954711473
0,11,12,61.5,62.49,2,1,1539955680256
0,11,12,60.5,62.49,2,1,1539955710047
0,11,18,60.5,62.29,2,1,1539955710048
0,11,7,60.5,62.29,2,1,1539955710048
0,11,11,60.5,61.58,2,1,1539955710049
0,11,11,60.5,61.56,2,3,1539955710051
0,11,19,60.5,61.56,2,4,1539955710051
0,11,19,60.5,61.58,2,10,1539955712051
0,11,7,60.5,61.58,2,4,1539955712057
0,11,11,60.5,61.58,2,1,1539955712057
0,11,19,60.5,61.58,2,1,1539955714050
0,11,12,60.5,62.49,2,1,1539955714051
0,11,7,60.5,61.58,2,1,1539955714051
0,8,12,60.57,62.49,2,1,1539955747173
0,11,12,60.5,62.49,2,1,1539955775287
0,11,18,60.5,61.8,2,1,1539955775287
0,11,19,60.5,62.05,2,1,1539955775287
0,11,7,60.5,61.59,2,1,1539955775287
0,12,7,60.38,61.59,1,1,1539955775287
0,12,7,60.38,61.37,1,1,1539955775288
0,12,18,60.38,61.37,1,1,1539955775288
0,12,19,60.38,60.42,1,1,1539955775289
0,8,19,59.8,60.42,10,1,1539955775302
0,8,12,59.8,62.26,10,1,1539955776027
0,8,12,59.8,62.49,10,1,1539955776028
0,19,12,60.58,62.49,1,1,1539955800053
0,19,2,60.58,62.49,1,1,1539955800120
0,11,2,60.58,62.49,1,1,1539955800857
0,11,17,60.58,62.49,1,1,1539955801016
0,19,17,60.63,62.49,1,1,1539955802054
0,11,17,60.63,62.49,1,1,1539955804054
0,11,17,60.66,62.49,6,1,1539955805023
0,19,17,60.66,62.49,9,1,1539955805023
0,11,17,60.66,62.49,7,1,1539955805023
0,11,17,60.66,62.49,1,1,1539955808026
0,11,11,60.69,62.39,1,1,1539955859317
0,11,17,60.69,62.49,1,1,1539955859317
0,11,7,60.74,62.39,1,1,1539955860151
0,11,11,60.74,62.36,1,1,1539955861004
0,11,18,60.92,62.36,1,1,1539955862074
0,11,11,60.92,62.18,1,1,1539955862074
0,11,11,60.92,62.16,1,1,1539955869882
0,11,11,60.92,62.14,1,1,1539955893403
0,11,11,60.92,62.12,1,1,1539955900459
0,11,11,60.92,62.1,1,1,1539955909086
0,12,11,60.92,62.07,1,1,1539955913005
0,12,11,60.92,62.05,1,1,1539955926333
0,12,8,60.92,61.5,1,1,1539955927156
0,11,8,60.92,61.5,1,1,1539955927165
0,19,11,60.93,61.5,1,1,1539955930187
0,19,8,60.93,61.5,1,1,1539955930187
0,19,8,60.93,61.5,1,1,1539955930187
0,11,8,60.93,61.5,2,1,1539955930187
0,10,10,61.11,61.44,1,5,1539955936964
0,10,10,61.06,61.44,3,5,1539955936964
0,10,10,61.05,61.44,3,5,1539955936964
0,10,10,61.05,61.44,4,5,1539955936966
0,10,10,61.05,61.44,1,5,1539955936971
0,10,10,61.05,61.44,3,5,1539955936971
0,10,10,61.03,61.44,1,5,1539955936974
0,10,12,61.03,61.43,1,1,1539955937010
0,10,10,61.03,61.33,1,1,1539955937586
0,11,10,60.93,61.33,1,1,1539955937697
0,12,10,61,61.33,1,1,1539955937773
0,11,10,60.93,61.33,1,1,1539955937930
0,11,10,60.93,61.32,1,1,1539955938819
0,11,10,60.93,61.33,1,1,1539955939962
0,11,12,60.93,61.3,1,1,1539955939963
0,11,8,60.93,61.32,1,1,1539955940034
0,11,19,60.93,61.28,1,1,1539955940034
0,11,19,60.93,61.27,1,1,1539955940767
0,11,12,60.93,61.27,1,1,1539955940772
0,11,19,60.93,61.25,1,1,1539955940772
0,8,11,60.93,61.23,1,1,1539955941038
0,11,12,60.93,61.27,1,1,1539955941038
0,8,12,60.93,61.27,1,1,1539955941050
0,8,11,60.93,61.21,1,1,1539955941051
0,8,10,60.93,61.24,1,1,1539955941894
0,8,11,60.93,61.19,1,1,1539955941895
0,8,10,60.93,61.24,1,1,1539955941906
0,8,11,60.93,61.17,1,1,1539955941907
0,8,10,60.93,61.24,1,1,1539955942200
0,8,10,60.93,61.15,1,1,1539955942201
0,8,10,60.93,61.24,1,1,1539955942212
0,8,10,60.93,61.13,1,1,1539955942213
0,19,10,60.93,61.13,1,1,1539955942221
0,12,10,60.93,61.13,1,1,1539955942221
