c,bE,aE,bP,aP,bS,aS,t
0,11,11,40.65,44.45,4,8,1539849628058
0,11,11,40.65,45.8,4,4,1539849633931
0,11,11,40.65,46.25,4,2,1539849884823
0,11,11,40.65,46.25,6,2,1539852009990
0,8,8,40.76,44.45,8,1,1539860400136
0,8,11,40.76,43.7,8,1,1539860403040
0,8,11,40.76,42,8,1,1539860408093
0,11,11,40.8,42,1,1,1539860410765
0,11,11,40.65,42,2,1,1539860598711
0,11,11,41.25,42,1,1,1539861753135
0,11,11,40.65,42,2,1,1539861836602
0,8,11,41,42,1,1,1539861836705
0,8,11,41,41.95,1,4,1539861995135
0,8,11,41,42,1,1,1539864050542
0,8,11,41,42,1,5,1539864583633
0,8,11,41,42,1,6,1539866519445
0,11,11,41.15,42,3,6,1539866956631
0,11,11,41.45,42,3,6,1539867208362
0,11,11,41.45,41.49,3,3,1539867321394
0,11,11,41.45,42,3,6,1539867321398
0,11,11,41.45,42,3,2,1539867433513
0,11,11,41.5,42,4,2,1539867546764
0,11,11,41.55,42,3,2,1539867678438
0,11,11,41.8,42,6,2,1539867856422
0,12,11,41.87,42,1,2,1539867866169
0,11,11,41.8,42,6,2,1539867866170
0,19,8,41.87,42,1,1,1539867866170
0,18,8,41.84,42,1,1,1539867866170
0,11,8,41.8,42,6,1,1539867866170
0,11,8,41.8,42,6,1,1539867866170
0,15,8,41.87,42,1,1,1539867866172
0,18,8,41.84,42,1,1,1539867866272
0,11,12,41.8,41.99,6,1,1539867931196
0,11,8,41.8,42,6,1,1539867931196
0,11,11,41.55,41.8,3,3,1539867958531
0,11,12,41.55,41.8,3,1,1539867958533
0,11,12,41.55,41.8,3,4,1539867958535
0,11,12,41.55,41.8,2,4,1539868897695
0,11,18,41.55,41.75,1,1,1539869089051
0,11,12,41.55,41.8,1,4,1539869089051
0,8,7,41,41.71,1,1,1539869108972
0,8,18,41,41.75,1,1,1539869108972
0,8,12,41,41.8,1,4,1539869115388
0,8,12,41,41.75,1,1,1539869281147
0,8,12,41,41.75,1,2,1539869281147
0,8,12,41,41.75,1,1,1539869281177
0,11,12,40.57,41.75,2,1,1539869286346
0,11,12,41.5,41.75,1,1,1539869333753
0,11,12,40.57,41.75,2,1,1539869335157
0,12,12,40.91,41.75,7,1,1539869400008
0,12,11,41.09,41.75,2,1,1539869400674
0,12,12,40.91,41.75,7,1,1539869400674
0,12,11,41.09,41.75,9,1,1539869400724
0,12,12,41.09,41.75,9,2,1539869401432
0,12,12,41.09,41.75,9,3,1539869401484
0,12,12,41.09,41.25,9,1,1539869401620
0,12,12,41.09,41.25,9,2,1539869401620
0,12,12,41.09,41.25,8,2,1539869401705
0,12,12,41.05,41.25,1,2,1539869401706
0,12,12,41.05,41.09,1,1,1539869401706
0,12,12,41.09,41.25,7,2,1539869401706
0,12,12,41.05,41.09,1,2,1539869401706
0,12,12,41.05,41.09,1,1,1539869401708
0,12,11,41.05,41.09,1,2,1539869401710
0,12,11,40.9,41.09,1,2,1539869401716
0,12,12,40.9,41.08,1,1,1539869401720
0,12,19,40.9,41.08,1,1,1539869401720
0,12,12,40.9,41.08,1,1,1539869401720
0,12,11,40.9,41.08,1,2,1539869401720
0,12,11,40.9,41.08,1,2,1539869401721
0,12,11,40.8,41.08,1,2,1539869401730
0,12,12,40.8,41.06,1,1,1539869401730
0,12,17,40.8,41.04,1,1,1539869401730
0,12,12,40.8,41.04,1,2,1539869401730
0,11,11,40.57,41.04,2,2,1539869401757
0,11,12,40.57,40.97,2,1,1539869401757
0,11,12,40.57,40.97,2,2,1539869401757
0,11,12,40.57,41.01,2,1,1539869401757
0,11,12,40.57,40.9,2,1,1539869401762
0,11,12,40.57,40.93,2,1,1539869401762
0,11,12,40.57,40.9,2,2,1539869401762
0,11,17,40.57,40.9,2,1,1539869401821
0,11,12,40.57,40.9,2,1,1539869401932
0,12,7,40.75,40.9,1,1,1539869402522
0,11,7,40.57,40.9,2,1,1539869402529
0,11,12,40.57,40.83,2,2,1539869402531
