c,bE,aE,bP,aP,bS,aS,t
0,11,11,55.55,85.15,3,6,1539936000019
0,11,8,55.55,84.3,3,1,1539946800014
0,11,8,75,84.3,1,1,1539946809827
0,11,8,75,84.3,2,1,1539946970770
0,11,11,75,79.4,2,1,1539947037087
0,11,11,75.55,79.4,30,1,1539948006094
0,11,11,75.7,79.4,30,1,1539948081348
0,11,12,75.7,79.2,30,1,1539948971941
0,11,11,75.7,78,30,1,1539949165293
0,11,11,76,78,1,1,1539949235999
0,11,11,75.75,78,30,1,1539949633393
0,11,11,77,78,1,1,1539950204134
0,11,11,75.75,78,30,1,1539950304627
0,11,11,75.75,78,30,2,1539950784454
0,11,11,77,78,1,2,1539951767935
0,11,7,75.75,77.8,30,1,1539952000005
0,11,11,75.75,78,30,2,1539952000005
0,11,7,76,77.8,1,1,1539952181881
0,11,18,76,77.8,1,1,1539952181881
0,11,12,76,78,1,1,1539952181881
0,11,11,76,78,1,1,1539952200087
0,11,12,76,77.5,1,12,1539952283002
0,11,12,76,77,1,1,1539952803745
0,11,12,76.26,77,10,1,1539953002506
0,11,12,76.26,77.5,10,12,1539953122382
0,11,12,76.5,77.5,1,12,1539953270634
0,11,12,76.26,77.5,10,12,1539953270638
0,11,19,76.26,76.92,10,1,1539953270639
0,11,18,76.26,77.3,10,1,1539953270639
0,11,11,76.26,76.75,10,1,1539953403749
0,11,11,76.26,76.5,10,1,1539953426055
0,11,11,76.26,76.75,10,1,1539953426974
0,11,12,76.26,76.5,10,1,1539953772141
0,11,12,76,76.5,1,1,1539953774563
0,11,12,76.26,76.5,5,1,1539953774563
0,11,11,76,76.4,1,1,1539953819037
0,11,12,76,76.5,1,1,1539953820205
0,11,11,76,76.4,1,1,1539953945940
0,11,11,75.75,76.4,30,1,1539954131139
0,11,19,75.75,76.39,30,1,1539954131140
0,11,12,75.75,76.31,30,1,1539954131140
0,11,17,75.75,76.39,30,1,1539954131540
0,11,12,75.75,76.39,30,1,1539954133140
0,8,12,76.2,76.39,5,1,1539954134984
0,11,12,75.75,76.39,30,1,1539954134987
0,11,11,75.75,76.4,30,1,1539954141140
0,11,11,75.76,76.4,10,1,1539954151293
0,11,12,75.76,76.5,10,1,1539954226796
0,11,12,75.8,76.5,1,1,1539954236186
0,11,11,75.8,77.4,1,2,1539954301926
0,11,12,75.8,77.5,1,12,1539954312836
0,11,11,75.8,77.4,1,1,1539954312836
0,11,12,75.8,77.5,2,12,1539954315439
0,11,11,75.8,77,2,1,1539954357075
0,11,11,76,77,1,1,1539954389602
0,11,11,76,76.9,1,1,1539954395204
0,11,11,76,76.9,1,2,1539954545542
0,11,11,76,76.5,1,1,1539954607573
0,11,11,76,76.9,1,2,1539954609613
0,11,11,76,76.9,1,1,1539954783138
0,11,11,76,76.9,1,2,1539954915153
0,11,11,76,76.5,1,1,1539954927785
0,11,11,76,76.9,1,2,1539954929278
0,11,11,76,76.9,1,1,1539955067753
0,11,11,76,77,1,1,1539955067754
0,11,11,76,76.9,1,1,1539955180203
0,11,11,76,76.9,1,2,1539955180658
0,11,11,76,76.9,1,3,1539955216290
0,11,11,76,76.9,1,2,1539955233230
0,11,11,76,76.9,1,1,1539955233231
0,11,11,76,76.8,1,1,1539955237809
0,11,11,76,76.8,1,2,1539955238207
0,11,11,76,76.5,1,1,1539955239466
