c,bE,aE,bP,aP,bS,aS,t
0,12,11,210,212,1,2,1538611200011
0,11,11,198.6,224,1,1,1538640000030
0,11,11,200,224,1,1,1538640000031
0,11,8,200,214.78,1,2,1538650800233
0,8,8,201.25,214.78,1,2,1538650800233
0,8,8,205,214.78,2,2,1538650800233
0,8,8,205,214.78,1,2,1538650800233
0,8,11,205,209.81,2,3,1538650800534
0,8,11,205,209.81,2,7,1538650800541
0,11,11,209,209.81,2,7,1538650809750
0,11,11,209,209.81,2,3,1538650849766
0,11,11,209,214.59,2,1,1538650859121
0,11,11,209,209.83,2,3,1538651176719
0,11,11,209,214.59,2,1,1538651236412
0,11,11,209,214.59,7,1,1538651420527
0,11,11,209,214.59,2,1,1538651836998
0,11,11,209,214.59,1,1,1538652523215
0,11,11,208.05,214.59,1,1,1538652567154
0,11,11,208.05,209,1,2,1538652567277
0,11,11,208.05,209,1,1,1538652567278
0,11,11,208.05,214.59,1,1,1538652650202
0,12,11,209,214.59,1,1,1538652650471
0,11,11,208.05,214.59,1,1,1538652661994
0,12,11,209.97,214.59,1,1,1538652661995
0,12,11,209.97,214.59,1,1,1538652667170
0,11,11,208.05,214.59,1,1,1538652667170
0,11,11,209.97,214.59,10,1,1538652670946
0,11,8,209.97,214.78,10,2,1538652674983
0,11,8,209.97,215,10,10,1538652674988
0,8,8,215,216.25,16,3,1538652674990
0,11,8,209.97,216.25,10,3,1538652674992
0,12,8,214.78,216.25,16,3,1538652674995
0,11,8,209.97,216.25,10,3,1538652675997
0,12,8,216,216.25,16,3,1538652675998
0,12,8,216,216.25,16,2,1538652677837
0,12,8,216,216.25,16,1,1538652678900
0,12,8,216,216.26,16,3,1538652679095
0,12,8,216,216.26,16,2,1538652679096
0,12,8,216,216.26,16,1,1538652679441
0,12,11,216,218,16,5,1538652679840
0,12,11,216.25,218,1,5,1538652680628
0,12,8,216.25,218,1,2,1538652686724
0,12,11,216.25,219,1,1,1538652686728
0,12,8,216.25,220,1,6,1538652686730
0,12,8,216.25,220,1,2,1538652686734
0,11,8,213,220,10,2,1538652695138
0,11,8,215,220,1,2,1538652708053
0,8,8,215.01,220,2,2,1538652708791
0,8,11,215.01,217,2,2,1538652710713
0,8,11,215.01,217,2,1,1538652710882
0,8,8,215.01,220,2,2,1538652713342
0,11,8,215,220,1,2,1538652718280
0,11,8,218,220,1,2,1538652742059
0,11,8,219,220,2,2,1538652763116
0,11,12,219,219.5,2,1,1538652769439
0,11,8,219,220,2,2,1538652772740
0,11,8,219,220.59,2,1,1538652773413
0,11,8,219,220,2,1,1538652773413
0,11,11,219,221.9,2,1,1538652774029
0,8,11,220.59,221.9,1,1,1538652775059
0,11,11,219,221.9,2,1,1538652775063
0,11,11,220,221.9,1,1,1538652778661
0,11,11,220,222.77,1,1,1538652779524
0,11,11,220,221.9,1,1,1538652779898
0,11,11,220,221.9,1,2,1538652782207
0,11,11,220,221.8,1,1,1538652796247
0,11,11,220,221.8,2,1,1538652796665
0,11,11,220.01,222.77,1,1,1538652798159
0,11,11,220,222.77,2,1,1538652798163
0,11,11,220,225,2,2,1538652801377
0,9,11,220.01,225,1,2,1538652802431
0,9,11,220.01,224.81,1,1,1538652811914
0,9,12,220.01,223.5,1,1,1538652822366
0,11,12,220,223.5,1,1,1538652823472
0,12,12,221.74,223.5,1,1,1538652830709
0,11,12,220,223.5,1,1,1538652833550
0,12,12,221.85,223.5,1,1,1538652833553
0,11,11,220,223.5,1,1,1538652839508
0,12,11,221.8,223.5,1,1,1538652839511
0,11,11,220,223.5,1,1,1538652841068
0,11,12,222,223.5,1,1,1538652851951
0,11,12,220,223.5,1,1,1538652862130
0,11,12,212,223.5,1,1,1538652867125
0,11,12,215,223.5,1,1,1538652871137
0,11,12,220.05,223.5,10,1,1538652878382
0,11,12,221.05,223.5,1,1,1538652880070
0,11,11,221.05,223.5,1,1,1538652880109
0,11,8,221.05,223,1,1,1538652889100
0,11,8,220.05,223,10,1,1538652890304
0,11,12,220.05,222,10,2,1538652894899
0,11,8,220.05,223,10,1,1538652907771
0,11,11,220.05,221,10,1,1538652911207
0,11,11,220.1,221,10,1,1538652911370
0,11,12,220.1,222.9,10,1,1538652913261
0,8,12,220.11,222.9,1,1,1538652915717
0,19,12,222,222.9,1,1,1538652936648
0,11,12,222.01,222.9,1,1,1538652942874
0,19,12,222,222.9,1,1,1538652945830
0,19,11,222,222.9,1,1,1538652947904
0,11,11,222,222.9,1,1,1538652947907
0,12,11,222,222.9,1,1,1538652954713
0,12,11,222.01,222.9,1,1,1538652961033
0,12,11,222.01,222.75,1,1,1538652968071
0,11,11,222,222.75,1,1,1538652973543
0,12,11,222.01,222.75,1,1,1538652973872
0,11,11,222,222.75,1,1,1538652975904
0,12,12,222,223.5,1,1,1538652986038
0,12,12,222.4,223.5,1,1,1538652986536
0,11,12,222,223.5,1,1,1538652989839
0,12,12,222.8,223.5,1,1,1538652992016
0,11,12,222,223.5,1,1,1538652993302
0,11,12,222,223.5,1,2,1538653002387
0,11,12,222,222.84,1,2,1538653005050
0,12,12,222,222.84,1,2,1538653005219
0,12,7,222,222.5,1,1,1538653019900
0,11,7,222,222.5,1,1,1538653021278
0,12,7,222.3,222.5,1,1,1538653025376
0,12,12,222.3,223.5,1,2,1538653025427
0,11,12,222,223.5,1,2,1538653026119
0,12,12,222,223.5,1,2,1538653036040
0,11,11,222,223.5,1,2,1538653053034
0,12,11,222,223,1,10,1538653058751
0,11,11,222.1,223,10,10,1538653062208
0,12,11,222.11,223,1,10,1538653064928
0,12,12,222.11,222.5,1,1,1538653068326
0,12,18,222.11,222.5,1,2,1538653068328
0,11,18,222.1,222.5,10,2,1538653069395
0,11,18,222.1,222.5,9,2,1538653069966
0,11,18,222.1,222.5,8,2,1538653070115
0,11,18,222.1,222.5,7,2,1538653070148
0,11,18,222.1,222.5,5,2,1538653070149
0,11,18,222.1,222.5,1,2,1538653070298
0,12,18,222,222.5,1,2,1538653070401
0,11,18,222,222.5,1,2,1538653070401
0,12,18,222,222.5,1,2,1538653072070
0,12,11,222,222.1,1,1,1538653090561
0,12,18,222,222.5,1,2,1538653093073
0,12,18,222,222.5,1,2,1538653094617
0,11,18,220.05,222.5,10,2,1538653094617
0,12,18,222,222.5,1,2,1538653094617
0,11,18,220.05,222.5,10,2,1538653094617
0,11,18,220.05,222.5,10,2,1538653094927
0,12,18,222,222.5,1,2,1538653094927
0,12,18,222,222.5,1,2,1538653095073
0,11,18,220.05,222.5,10,2,1538653095073
0,12,18,222,222.5,1,2,1538653095073
0,11,18,220.05,222.5,10,2,1538653095073
0,12,18,222,222.5,1,2,1538653096854
0,11,18,220.05,222.5,10,2,1538653096854
0,11,18,220.05,222.5,10,2,1538653097511
0,11,11,220.05,222,10,2,1538653098164
0,11,18,220.05,222.5,10,2,1538653099805
0,11,12,220.05,222,10,1,1538653100215
0,11,8,220.05,221.77,10,1,1538653101361
0,11,11,220.05,221.76,10,1,1538653103312
0,11,8,220.05,221.77,10,1,1538653104421
0,11,8,220.05,221.76,10,1,1538653105066
0,11,8,220.05,221.77,10,1,1538653108012
0,11,11,220.05,221.48,10,1,1538653108963
0,11,8,220.05,221.47,10,1,1538653112602
0,11,11,220.05,221.48,10,1,1538653112924
0,11,12,220.05,221,10,1,1538653113991
0,11,11,220.05,221.48,10,1,1538653115069
0,11,11,220.05,220.75,10,1,1538653132535
0,11,11,220.05,221.48,10,1,1538653133872
0,11,12,220.05,221,10,3,1538653152752
0,11,12,218,221,1,3,1538653161901
0,11,11,218,220,1,4,1538653162165
0,11,8,218,220,1,1,1538653163734
0,11,12,218,221,1,3,1538653163734
0,11,8,218,220.01,1,1,1538653164939
0,11,8,218,220,1,2,1538653167546
0,11,8,218,220.01,1,1,1538653167550
0,11,12,218,221,1,3,1538653168981
0,11,11,218,220.98,1,1,1538653169143
0,8,11,218.01,220.98,2,1,1538653171530
0,8,12,218.01,221,2,3,1538653177571
0,8,11,218.01,221.48,2,1,1538653177572
0,8,11,218.01,222.5,2,4,1538653177573
0,11,11,217.25,222.5,2,4,1538653179084
0,8,11,217.26,222.5,2,4,1538653179665
0,8,12,217.26,222,2,2,1538653180534
0,11,12,217.25,222,2,2,1538653183908
0,11,11,217.25,222.5,2,4,1538653183909
0,8,11,217.26,222.5,2,4,1538653184506
0,9,11,217.27,222.5,1,4,1538653186853
0,9,11,217.27,222.5,1,5,1538653187114
0,8,11,217.28,222.5,2,5,1538653188778
0,8,19,217.28,222.4,2,1,1538653189495
0,11,19,217.25,222.4,2,1,1538653191012
0,8,19,217.26,222.4,2,1,1538653191546
0,9,19,217.3,222.4,1,1,1538653192377
0,11,19,220,222.4,2,1,1538653197631
0,9,19,217.3,222.4,1,1,1538653199523
0,8,19,217.31,222.4,2,1,1538653200317
0,8,12,217.31,220,2,1,1538653201811
0,8,19,217.31,222.4,2,1,1538653201816
0,8,12,217.31,220,2,1,1538653201816
0,11,12,217.25,220,2,1,1538653202764
0,11,19,217.25,222.4,2,1,1538653202785
0,11,12,217.25,220,2,1,1538653202785
0,11,12,217.25,219.4,2,1,1538653203326
0,11,12,217.25,220,2,1,1538653203327
0,11,19,217.25,222.4,2,1,1538653203327
0,11,12,217.25,220,2,1,1538653203327
0,8,12,217.26,220,2,1,1538653212969
0,8,11,217.26,221.99,2,2,1538653215693
0,8,11,217.26,221.99,2,3,1538653219616
0,8,11,217.26,221.98,2,1,1538653228057
0,8,11,217.26,221.43,2,1,1538653234491
0,12,11,218,221.43,1,1,1538653236395
0,12,11,218,221.43,2,1,1538653238798
0,12,11,218,221.42,2,2,1538653239855
0,12,11,218,221.43,2,1,1538653240443
0,8,11,218.01,221.43,2,1,1538653246633
0,8,11,218.01,221.98,2,3,1538653264627
0,11,11,218.2,221.98,1,3,1538653273618
0,11,11,218.2,221.98,1,1,1538653279651
0,11,8,218.2,221.97,1,2,1538653280616
0,11,11,218.2,221.35,1,1,1538653317139
0,11,11,218.2,221.5,1,1,1538653320060
0,11,11,218.2,221.5,1,2,1538653321662
0,11,12,218.2,221.5,1,1,1538653323175
0,11,11,218.2,221.35,1,1,1538653323409
0,11,12,218.2,220.6,1,1,1538653350748
0,11,12,218.2,220,1,1,1538653373226
0,11,11,218.2,221.35,1,1,1538653373226
0,11,11,218.2,221.35,1,1,1538653373230
0,11,12,218.2,220,1,1,1538653373231
0,11,11,218.2,221.35,1,1,1538653373231
0,11,12,218.2,220,1,1,1538653373231
0,8,12,218.21,220,2,1,1538653375967
0,11,12,218.2,220,1,1,1538653378483
0,11,11,218.2,221.35,1,1,1538653389577
0,11,12,218.2,220,1,1,1538653389577
0,11,12,218.43,220,1,1,1538653396659
0,9,12,218.44,220,1,1,1538653410094
0,12,12,218.83,220,1,1,1538653416202
0,9,12,218.84,220,1,1,1538653421798
0,11,12,218.43,220,1,1,1538653428061
0,11,12,218.2,220,1,1,1538653516204
0,12,11,218,218.2,1,1,1538653545437
0,12,12,218,220,1,1,1538653545441
0,11,12,217.25,220,2,1,1538653545447
0,11,12,217.25,218,2,2,1538653545447
0,11,11,217.25,218,2,3,1538653545457
0,11,19,217.25,218,2,2,1538653545468
0,11,12,217.25,218,2,2,1538653545468
0,11,11,217.25,218,2,2,1538653545468
0,12,11,217.43,218,1,2,1538653545470
0,11,11,217.25,218,2,2,1538653547681
0,11,19,217.01,218,3,2,1538653548273
0,11,19,217.01,218,2,2,1538653549975
0,11,19,217.01,218,1,2,1538653550214
0,11,19,214,218,2,2,1538653551866
0,11,19,214,218,1,2,1538653551871
0,11,11,214,217.99,1,1,1538653552525
0,11,11,214,217.99,2,1,1538653553303
0,11,19,214,218,2,2,1538653553865
0,11,8,214,217.99,2,1,1538653554674
0,11,8,214,217.99,1,1,1538653565296
0,11,19,214,218,1,2,1538653602664
0,12,11,214,218,1,3,1538653614067
0,11,11,214.01,218,2,3,1538653616027
0,11,11,214,218,1,3,1538653616992
0,11,12,214,217.99,1,1,1538653630351
0,11,11,214,218,1,3,1538653633773
0,11,7,214,216,1,1,1538653640338
0,8,7,214.01,216,1,1,1538653658626
0,11,7,214,216,1,1,1538653659399
0,8,7,214.01,216,1,1,1538653662834
0,11,7,214,216,1,1,1538653663115
0,11,7,214.01,216,20,1,1538653670863
0,11,11,214.01,218,20,3,1538653672161
0,12,11,215,218,1,3,1538653679223
0,12,11,215,218,1,2,1538653683192
0,12,19,215,218,1,2,1538653683192
0,8,11,215.01,218,1,2,1538653696138
0,11,11,214.01,218,20,2,1538653696678
0,11,19,214.01,218,20,2,1538653706873
0,11,19,214.01,218,21,2,1538653706873
0,11,19,214.01,218,21,1,1538653706874
0,12,19,215,218,1,1,1538653706876
0,12,19,215,218,1,2,1538653706877
0,12,19,215,218,1,1,1538653708532
0,12,19,215,218,1,2,1538653709079
0,12,19,215,218,2,2,1538653719900
0,8,19,215.1,218,1,2,1538653725523
