c,bE,aE,bP,aP,bS,aS,t
0,11,11,29.9,30.04,1,2,1539907200010
0,11,11,29.7,38,2,1,1539936000028
0,11,11,29.7,30.88,2,2,1539936000028
0,11,11,29.7,30.8,2,35,1539936000029
0,11,11,29.7,30.88,2,2,1539938567211
0,11,11,29.7,30.85,2,35,1539938575935
0,11,11,29.7,30.66,2,2,1539940152519
0,11,11,28,30.66,2,2,1539943479383
0,11,11,28.01,30.66,2,2,1539943726215
0,12,11,29.33,30.66,1,2,1539945789321
0,11,11,28.01,30.66,2,2,1539945990156
0,12,11,29.07,30.66,1,2,1539945990157
0,11,11,28.01,30.66,2,2,1539945994581
0,12,11,29.01,30.66,1,2,1539945994583
0,11,11,28.01,30.66,2,2,1539946293540
0,8,11,29,30.66,1,2,1539946800188
0,8,8,29.05,30.04,2,2,1539946800188
0,11,8,29.5,30.04,1,2,1539946810053
0,11,8,29.6,30.04,1,2,1539946851375
0,11,8,29.6,30.04,1,1,1539946901813
0,18,8,29.69,30.04,1,1,1539946901813
0,11,8,29.5,30.04,1,1,1539946969947
0,18,11,29.61,30.66,1,2,1539947210621
0,11,11,29.5,30.66,1,2,1539947210621
0,12,11,30.04,30.66,2,2,1539947210631
0,18,11,29.61,30.66,1,2,1539947217369
0,11,11,29.65,30.66,2,2,1539947241717
0,11,11,29.5,30.66,1,2,1539947245441
0,11,11,29.65,30.66,2,2,1539947255093
0,11,12,29.65,30.66,2,35,1539947336460
0,11,12,29.65,30.29,2,2,1539947571092
0,11,12,30,30.29,2,2,1539947886371
0,8,12,30.1,30.29,1,2,1539947983716
0,11,12,30.1,30.29,2,2,1539948548447
0,8,12,30.1,30.29,1,2,1539948549936
0,11,12,30.15,30.29,2,2,1539948549938
0,18,12,30.18,30.66,1,35,1539948592386
0,11,12,30.15,30.66,2,35,1539948592386
0,12,12,30.29,30.66,2,35,1539948592389
0,18,12,30.18,30.66,1,35,1539948648745
0,11,12,30.15,30.66,2,35,1539948689432
0,11,12,30.17,30.66,1,35,1539948794370
0,11,12,30.25,30.66,2,35,1539948973817
0,11,12,30.17,30.66,1,35,1539948975012
0,11,12,30.35,30.66,2,35,1539948975014
0,11,11,30.35,30.45,2,5,1539949079515
0,11,18,30.35,30.43,2,1,1539949109232
0,11,12,30.35,30.66,2,35,1539949109232
0,11,8,30.35,30.4,2,2,1539949355564
0,11,8,30.35,30.4,2,1,1539949414334
0,11,12,30.35,30.66,2,35,1539949429914
0,11,8,30.35,30.69,2,2,1539949429950
0,11,11,30.35,30.6,2,20,1539949521545
0,11,11,30.17,30.6,1,20,1539949637380
0,11,11,30.26,30.6,3,20,1539949678393
0,11,11,30.3,30.6,20,20,1539949794094
0,11,11,30.3,30.4,20,10,1539949894105
0,11,11,30.3,30.4,20,5,1539950616105
0,11,11,30.3,30.4,18,5,1539950689930
0,11,11,30.3,30.4,18,4,1539950739621
0,7,11,30.32,30.6,1,20,1539950815094
0,11,11,30.3,30.6,18,20,1539950815094
0,18,11,30.32,30.6,1,20,1539950884791
0,11,11,30.3,30.6,18,20,1539950884791
0,12,11,30.4,30.6,2,20,1539950967226
0,12,11,30.4,30.6,2,21,1539951202999
0,11,11,30.5,30.6,2,21,1539951409987
0,11,11,30.5,30.6,3,21,1539951591512
0,11,11,30.5,30.6,2,21,1539951687758
0,11,11,30.5,30.6,2,20,1539951687803
0,11,11,30.5,30.6,3,20,1539951838894
0,11,11,30.5,30.6,3,15,1539951856119
0,11,11,30.5,30.6,3,5,1539951895166
0,11,8,30.5,30.69,3,2,1539951909847
0,11,11,30.5,30.6,3,1,1539951909847
0,11,8,30.6,30.69,5,2,1539951909869
0,11,8,30.6,30.69,5,1,1539951918172
0,11,8,30.6,31.2,5,3,1539951919674
0,11,11,30.6,31.1,5,10,1539952158861
0,11,8,30.6,31,5,2,1539952232010
0,8,8,30.71,31,4,2,1539952901792
0,7,11,30.85,31.1,1,10,1539953502989
0,8,11,30.71,31.1,4,10,1539953502989
0,8,11,31,31.1,7,10,1539953502991
0,8,18,31,31.08,5,1,1539953507786
0,8,11,31,31.1,5,10,1539953507786
0,8,11,31,31.1,4,10,1539953508742
0,8,18,31,31.08,4,1,1539953508742
0,8,18,31,31.08,4,1,1539953508742
0,8,18,31,31.08,3,1,1539953541319
0,8,11,31,31.1,3,10,1539953541320
0,8,18,31,31.08,3,1,1539953541320
0,8,11,31,31.1,3,10,1539953592098
0,8,18,31,31.08,1,1,1539953824430
0,8,11,31,31.1,1,10,1539953824430
0,8,11,31,31.1,1,11,1539953856700
0,8,18,31,31.08,1,1,1539953911785
0,8,11,31,31.1,1,11,1539954173472
0,8,11,30.71,31.1,4,11,1539954504965
0,8,12,30.71,31,4,17,1539954504968
0,8,11,30.71,31.1,4,11,1539954527593
0,8,11,30.71,31.1,3,11,1539954546950
0,8,18,30.71,31,3,1,1539954819873
0,8,19,30.71,31.09,3,1,1539954819873
0,8,12,30.71,31,3,1,1539954819903
0,8,19,30.71,31.09,3,1,1539954819904
0,8,17,30.71,31.09,3,1,1539954820274
