c,bE,aE,bP,aP,bS,aS,t
0,11,11,66,75.88,2,11,1539849600042
0,11,11,66,75.88,3,11,1539849600043
0,11,11,66.51,75.88,1,11,1539849600043
0,11,12,66.51,74.5,1,3,1539849600044
0,11,11,66.51,74.5,1,3,1539849600527
0,12,11,66.67,74.5,2,3,1539849706332
0,12,12,66.67,74.5,2,3,1539852525911
0,12,11,66.67,75.43,2,3,1539852527397
0,11,11,66.51,75.43,1,3,1539852527398
0,12,11,66.67,75.43,2,3,1539852527401
0,12,11,66.67,74,2,3,1539856770816
0,12,11,66.7,74,1,3,1539856964963
0,12,11,66.73,74,1,3,1539857357130
0,12,12,66.73,74.5,1,2,1539858923256
0,11,12,67,74.5,1,2,1539860401763
0,11,10,67,74,1,3,1539860867313
0,12,10,67,74,1,3,1539861475101
0,12,10,68,74,1,3,1539861818007
0,12,10,68,73.29,1,10,1539862159353
0,11,10,70,73.29,1,10,1539862922562
0,8,11,70,72.5,1,3,1539863794447
0,8,11,70.01,72.5,1,3,1539867535038
0,8,12,70.01,71.06,1,1,1539869280173
0,8,12,70,71.06,1,1,1539869280174
0,12,18,69,70.85,1,1,1539869280174
0,12,12,69,71.06,1,1,1539869280174
0,12,17,69,70.79,1,1,1539869280174
0,12,11,69,69.96,1,1,1539869280175
0,12,11,69,69.96,1,2,1539869280175
0,12,11,69,72.5,1,3,1539869283461
0,11,11,68,72.5,10,3,1539869285006
0,11,12,68,70.96,10,1,1539869285006
0,11,17,68,70.96,10,1,1539869285065
0,11,11,68,72.5,10,3,1539869285264
0,11,10,68,73.29,10,10,1539869288415
0,11,12,68,70.76,10,1,1539869290007
0,11,17,68,70.76,10,2,1539869290007
0,11,12,68,70.76,10,2,1539869290007
0,11,12,68,70.2,7,1,1539869290007
0,11,17,68,70.76,7,2,1539869290007
0,11,17,68,70.2,7,1,1539869290007
0,11,17,68,70.2,5,1,1539869290008
0,11,10,68,73.29,5,10,1539869290264
0,11,11,68,72,5,1,1539869345720
0,11,11,68,72,5,1,1539869400270
0,11,11,68,72,5,3,1539869400352
0,11,12,68,70.95,5,1,1539869401669
0,11,19,68,70.93,5,9,1539869402941
