c,bE,aE,bP,aP,bS,aS,t
0,11,11,105.65,132.59,1,1,1537430400023
0,11,11,105.65,115.13,1,4,1537430400026
0,11,11,90,115.13,2,4,1537433243321
0,11,11,105.65,115.13,1,4,1537434789810
0,11,11,106,115.13,4,4,1537437384473
0,11,8,106,110,4,10,1537441200186
0,8,8,91,110,2,10,1537441200203
0,11,8,104,110,4,10,1537441329258
0,11,8,104,110,3,10,1537441369431
0,8,11,91,104,2,1,1537441373999
0,8,8,91,110,2,10,1537441395560
0,8,11,91,108.55,2,1,1537441439306
0,8,11,103,108.55,1,1,1537441476017
0,8,11,103,106,1,1,1537441480279
0,8,11,91,106,2,1,1537441480284
0,8,11,103,106,1,1,1537441504107
0,8,11,91,106,2,1,1537441507443
0,8,12,91,103,2,1,1537441508483
0,8,11,91,106,2,1,1537441509036
0,11,11,96,106,1,1,1537441539337
0,11,11,102,106,6,1,1537441545478
0,11,11,102,106,5,1,1537441545483
0,11,11,102,106,4,1,1537441570674
0,11,11,102,106,5,1,1537441619035
0,11,11,102,102.01,5,2,1537441642778
0,11,11,96,102.01,5,2,1537441642781
0,11,11,96,102.01,1,2,1537441657589
0,11,11,96,102.01,3,2,1537441657592
0,11,11,96,106,3,1,1537441668091
0,12,11,96.5,106,2,1,1537441669442
0,12,8,96.5,110,2,10,1537441779808
0,12,11,96.5,104.99,2,1,1537441781757
0,12,11,96.5,104,2,10,1537441783445
0,11,11,96,104,2,10,1537441786945
0,12,11,96.65,104,2,10,1537441800457
0,12,11,96.65,103.99,2,1,1537441831155
0,12,11,96.65,103,2,1,1537441913644
0,12,11,96.65,96.65,2,21,1537441915818
0,11,11,95.6,96.65,1,21,1537441915819
0,11,11,95.6,103,1,1,1537441919049
0,8,11,91,103,2,1,1537441935588
0,11,11,93,103,1,1,1537441935743
0,11,11,94,103,1,1,1537441952325
0,11,11,94,102,1,1,1537441964254
0,11,11,94,102,2,1,1537441966789
0,11,11,94,101,2,1,1537441992942
0,11,11,94,100,2,1,1537441993209
0,11,11,94,98.5,2,1,1537442000777
0,11,11,94,100,2,1,1537442002612
0,11,11,96,100,2,1,1537442005267
0,11,11,96,98.5,2,1,1537442008232
0,11,11,96,98.5,1,1,1537442017520
0,11,11,94,96,2,22,1537442022664
0,11,11,94,98.5,2,1,1537442024879
0,11,8,94,96,2,1,1537442040134
0,11,11,93,94,1,23,1537442097431
0,11,11,93,94,1,22,1537442097432
0,11,11,92,94,1,22,1537442098691
0,11,8,92,96,1,1,1537442098751
0,11,12,92,95.95,1,2,1537442101409
0,11,11,92,95,1,1,1537442118085
0,11,8,92,96,1,1,1537442159795
0,8,8,93,96,1,1,1537442169326
0,8,11,93,95,1,2,1537442183817
0,8,8,93,96,1,1,1537442194093
0,12,8,95,96,5,1,1537442194100
